Date,OXY Raw Price,APA Raw Price,OXY Log Price,APA Log Price,Residual,Spread,Beta
2025-01-02,49.2819,22.7603,3.89756,3.12502,0.0274195,26.5216,1.50681
2025-01-03,49.9745,22.7992,3.91151,3.12673,0.00810059,27.1753,1.50681
2025-01-06,50.2317,23.0328,3.91665,3.13692,0.0105596,27.1989,1.50681
2025-01-07,51.0034,23.0328,3.93189,3.13692,-0.0124141,27.9706,1.50681
2025-01-08,50.6472,23.0523,3.92488,3.13777,-0.0010094,27.5949,1.50681
2025-01-10,50.7561,23.0523,3.92703,3.13777,-0.00424384,27.7038,1.50681
2025-01-13,52.1214,23.7337,3.95358,3.1669,-0.0151101,28.3877,1.50681
2025-01-14,51.5278,24.1913,3.94212,3.18599,0.0212448,27.3365,1.50681
2025-01-15,52.1412,24.7754,3.95396,3.20985,0.0272706,27.3658,1.50681
2025-01-16,51.7455,24.4833,3.94634,3.19799,0.0268933,27.2621,1.50681
2025-01-17,51.419,23.7532,3.94001,3.16772,0.00615617,27.6658,1.50681
2025-01-21,50.014,23.0718,3.9123,3.13861,0.0187924,26.9423,1.50681
2025-01-22,49.6677,22.9832,3.90536,3.13476,0.0254163,26.6845,1.50681
2025-01-23,49.8063,23.1308,3.90814,3.14117,0.0276205,26.6755,1.50681
2025-01-24,48.7674,22.9439,3.88706,3.13305,0.0512677,25.8235,1.50681
2025-01-27,49.0345,23.0029,3.89252,3.13562,0.0456059,26.0316,1.50681
2025-01-28,48.4805,22.9635,3.88116,3.13391,0.0610167,25.5169,1.50681
2025-01-29,48.3123,22.8061,3.87769,3.12703,0.0593745,25.5061,1.50681
2025-01-30,48.4013,22.6192,3.87953,3.1188,0.0483695,25.7821,1.50681
2025-01-31,46.1554,21.5763,3.83201,3.0716,0.0727594,24.5791,1.50681
2025-02-03,45.8784,21.1237,3.82599,3.0504,0.0606318,24.7546,1.50681
2025-02-04,47.0854,22.0289,3.85196,3.09235,0.0634578,25.0565,1.50681
2025-02-05,46.8579,21.8321,3.84712,3.08338,0.0617851,25.0258,1.50681
2025-02-06,46.4819,21.291,3.83906,3.05828,0.0488258,25.1909,1.50681
2025-02-07,46.284,21.3205,3.8348,3.05967,0.0566395,24.9635,1.50681
2025-02-10,47.867,22.6192,3.86843,3.1188,0.0650948,25.2478,1.50681
2025-02-11,48.0946,22.934,3.87317,3.13262,0.0717714,25.1606,1.50681
2025-02-12,47.3229,22.0092,3.85699,3.09146,0.0549844,25.3137,1.50681
2025-02-13,47.3723,22.1273,3.85804,3.09681,0.0587598,25.2451,1.50681
2025-02-14,47.5504,22.7668,3.86179,3.1253,0.0815977,24.7837,1.50681
2025-02-18,48.3222,23.1898,3.87789,3.14371,0.075751,25.1323,1.50681
2025-02-19,50.4494,23.2095,3.92097,3.14456,0.0116858,27.2399,1.50681
2025-02-20,51.5377,23.239,3.94231,3.14583,-0.0192038,28.2987,1.50681
2025-02-21,49.8854,22.4224,3.90973,3.11006,-0.00587611,27.463,1.50681
2025-02-24,49.3313,22.5011,3.89856,3.11357,0.0144574,26.8302,1.50681
2025-02-25,48.3716,22.019,3.87891,3.09191,0.0224021,26.3526,1.50681
