Date,OXY Raw Price,APA Raw Price,OXY Log Price,APA Log Price,Residual,Spread,Beta
2025-02-26,48.0352,21.655,3.87193,3.07524,0.0162469,26.3802,1.50681
2025-02-27,48.1342,20.0906,3.87399,3.00025,-0.0618356,28.0435,1.50681
2025-02-28,48.3222,20.3661,3.87789,3.01387,-0.0540899,27.956,1.50681
2025-03-03,45.9575,18.5853,3.82772,2.92237,-0.0699895,27.3722,1.50681
2025-03-04,46.0367,18.2705,3.82944,2.90529,-0.0896677,27.7662,1.50681
2025-03-05,45.0275,18.241,3.80727,2.90367,-0.0578857,26.7865,1.50681
2025-03-06,45.2253,18.4476,3.81166,2.91493,-0.0532299,26.7778,1.50681
2025-03-07,46.7391,18.5361,3.84458,2.91972,-0.0980516,28.203,1.50681
2025-03-10,47.0971,18.7132,3.85221,2.92923,-0.10004,28.3839,1.50681
2025-03-11,46.0231,18.8903,3.82914,2.93865,-0.0558618,27.1328,1.50681
2025-03-12,45.8441,19.3331,3.82525,2.96182,-0.0268228,26.5111,1.50681
2025-03-13,45.1977,18.7329,3.81105,2.93028,-0.0369612,26.4648,1.50681
2025-03-14,46.2717,19.2937,3.83453,2.95978,-0.0428502,26.978,1.50681
2025-03-17,46.9977,19.7069,3.8501,2.98097,-0.0451152,27.2907,1.50681
2025-03-18,47.3855,19.8447,3.85832,2.98794,-0.0505338,27.5408,1.50681
2025-03-19,47.6938,20.4744,3.8648,3.01917,-0.0290675,27.2194,1.50681
2025-03-20,47.6938,20.2382,3.8648,3.00757,-0.0406674,27.4556,1.50681
2025-03-21,47.6739,20.2776,3.86438,3.00952,-0.0380963,27.3963,1.50681
2025-03-24,47.654,20.5039,3.86397,3.02061,-0.0263697,27.1502,1.50681
2025-03-25,48.738,20.5531,3.88646,3.02301,-0.0578637,28.1849,1.50681
2025-03-26,49.4739,20.7597,3.90144,3.03301,-0.0704425,28.7142,1.50681
2025-03-27,49.2352,20.8581,3.89661,3.03774,-0.0584276,28.3771,1.50681
2025-03-28,48.559,20.5826,3.88278,3.02445,-0.0508845,27.9764,1.50681
2025-03-31,49.086,20.681,3.89357,3.02921,-0.0623823,28.4051,1.50681
2025-04-01,48.917,20.7892,3.89012,3.03443,-0.0519645,28.1278,1.50681
2025-04-02,49.0562,20.8974,3.89297,3.03963,-0.0510546,28.1588,1.50681
2025-04-03,43.6563,17.4539,3.77635,2.85956,-0.0553972,26.2025,1.50681
2025-04-04,40.315,14.9352,3.69672,2.70372,-0.0912602,25.3798,1.50681
2025-04-07,38.5349,14.7187,3.65156,2.68912,-0.0378137,23.8162,1.50681
2025-04-08,35.9096,13.8037,3.581,2.62494,0.0043263,22.1059,1.50681
2025-04-09,40.0067,16.4405,3.68905,2.79975,0.0163349,23.5662,1.50681
2025-04-10,36.2676,14.3645,3.59092,2.66476,0.0292019,21.9031,1.50681
2025-04-11,37.4609,14.7974,3.6233,2.69445,0.0101123,22.6635,1.50681
2025-04-14,37.6896,14.9548,3.62939,2.70503,0.0115222,22.7348,1.50681
2025-04-15,37.5902,14.6498,3.62674,2.68443,-0.00510216,22.9404,1.50681
2025-04-16,38.2366,15.1221,3.64379,2.71616,0.000934811,23.1145,1.50681
2025-04-17,39.4896,15.8502,3.67604,2.76318,-0.000628505,23.6394,1.50681
2025-04-21,38.8034,15.25,3.65851,2.72458,-0.0128163,23.5534,1.50681
2025-04-22,39.7481,15.86,3.68256,2.7638,-0.00984184,23.8882,1.50681
2025-04-23,39.6089,15.65,3.67905,2.75047,-0.0178841,23.9589,1.50681
2025-04-24,40.1459,16.26,3.69252,2.78871,6.16923e-05,23.8859,1.50681
2025-04-25,40.136,16.35,3.69227,2.79423,0.00595466,23.786,1.50681
2025-04-28,40.2851,16.55,3.69598,2.80639,0.0125232,23.7351,1.50681
2025-04-29,40.126,16.24,3.69203,2.78748,-0.000422388,23.886,1.50681
2025-04-30,39.1913,15.54,3.66845,2.74342,-0.00896418,23.6513,1.50681
2025-05-01,40.2155,16.22,3.69425,2.78625,-0.00501188,23.9955,1.50681
2025-05-02,40.3846,16.46,3.69845,2.80093,0.00335513,23.9246,1.50681
2025-05-05,38.5946,15.5,3.65311,2.74084,0.0115754,23.0946,1.50681
2025-05-06,39.062,15.73,3.66515,2.75557,0.0081669,23.332,1.50681
2025-05-07,38.7935,15.48,3.65825,2.73955,0.00253923,23.3135,1.50681
2025-05-08,41.21,16.18,3.71868,2.78378,-0.0442882,25.03,1.50681
2025-05-09,41.926,16.72,3.73591,2.81661,-0.037414,25.206,1.50681
2025-05-12,43.6166,17.71,3.77544,2.87413,-0.0394556,25.9066,1.50681
2025-05-13,44.1436,18.46,3.78745,2.91561,-0.0160779,25.6836,1.50681
2025-05-14,43.5768,18.17,3.77452,2.89977,-0.0124383,25.4068,1.50681
2025-05-15,43.1293,17.76,3.7642,2.87695,-0.0197075,25.3693,1.50681
2025-05-16,42.8011,17.59,3.75656,2.86733,-0.0178167,25.2111,1.50681
2025-05-19,42.0752,17.32,3.73946,2.85186,-0.00750913,24.7552,1.50681
2025-05-20,41.6674,17.25,3.72972,2.84781,0.00311385,24.4174,1.50681
2025-05-21,40.9017,16.71,3.71117,2.81601,-0.000742517,24.1917,1.50681
2025-05-22,40.852,16.74,3.70996,2.8178,0.00288407,24.112,1.50681
2025-05-23,41.0608,16.85,3.71505,2.82435,0.00175062,24.2108,1.50681
2025-05-27,41.389,17.31,3.72301,2.85128,0.0166894,24.079,1.50681
2025-05-28,40.8918,17.18,3.71093,2.84375,0.0273625,23.7118,1.50681
2025-05-29,41.2299,17.34,3.71916,2.85302,0.0242248,23.8899,1.50681
2025-05-30,40.5536,17.01,3.70263,2.8338,0.029929,23.5436,1.50681
2025-06-02,41.21,17.33,3.71868,2.85244,0.024375,23.88,1.50681
2025-06-03,42.453,18.27,3.7484,2.90526,0.0324167,24.183,1.50681
2025-06-04,41.6774,17.92,3.72996,2.88592,0.0408597,23.7574,1.50681
2025-06-05,41.5879,17.85,3.72781,2.882,0.0401851,23.7379,1.50681
2025-06-06,42.3039,18.5,3.74488,2.91777,0.0502307,23.8039,1.50681
2025-06-09,43,18.63,3.7612,2.92477,0.0326402,24.37,1.50681
2025-06-10,43.91,19.28,3.78214,2.95907,0.0353798,24.63,1.50681
2025-06-11,44.84,19.61,3.8031,2.97604,0.0207705,25.23,1.50681
2025-06-12,44.76,19.95,3.80131,2.99323,0.0406509,24.81,1.50681
2025-06-13,46.45,21.01,3.83838,3.045,0.0365753,25.44,1.50681
