Date,SHEL Raw Price,SM Raw Price,SHEL Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,61.7661,39.607,4.12335,3.67901,0.314272,22.1591,0.170527
2025-01-03,63.1561,40.0213,4.14561,3.68941,0.320881,23.1348,0.170527
2025-01-06,63.3812,40.2974,4.14917,3.69629,0.327151,23.0838,0.170527
2025-01-07,64.5363,42.0923,4.16723,3.73987,0.36765,22.4439,0.170527
2025-01-08,63.3518,42.0628,4.1487,3.73916,0.370105,21.2891,0.170527
2025-01-10,63.5672,42.7531,4.1521,3.75544,0.385806,20.8141,0.170527
2025-01-13,63.5868,43.118,4.15241,3.76394,0.394253,20.4688,0.170527
2025-01-14,64.5167,43.3153,4.16692,3.76851,0.396341,21.2014,0.170527
2025-01-15,64.9572,44.0747,4.17373,3.78588,0.41256,20.8825,0.170527
2025-01-16,65.0453,43.5125,4.17508,3.77305,0.399493,21.5328,0.170527
2025-01-17,65.3096,42.615,4.17914,3.75221,0.37796,22.6945,0.170527
2025-01-21,65.3585,41.3034,4.17989,3.72094,0.346569,24.0552,0.170527
2025-01-22,64.5558,41.2047,4.16753,3.71855,0.346285,23.3511,0.170527
2025-01-23,65.2508,40.6524,4.17824,3.70506,0.330965,24.5984,0.170527
2025-01-24,64.0077,39.7308,4.159,3.68213,0.311312,24.2769,0.170527
2025-01-27,63.763,39.3344,4.15517,3.6721,0.301938,24.4286,0.170527
2025-01-28,63.2148,39.3244,4.14654,3.67185,0.303159,23.8904,0.170527
2025-01-29,63.4106,39.6911,4.14963,3.68113,0.311913,23.7194,0.170527
2025-01-30,65.241,39.2551,4.17809,3.67008,0.296013,25.986,0.170527
2025-01-31,64.458,37.6199,4.16601,3.62753,0.255523,26.8381,0.170527
2025-02-03,63.7923,37.0451,4.15563,3.61213,0.241896,26.7473,0.170527
2025-02-04,65.2215,37.9271,4.17779,3.63567,0.261649,27.2944,0.170527
2025-02-05,65.1236,37.5108,4.17629,3.62463,0.250869,27.6127,0.170527
2025-02-06,64.7614,36.9063,4.17071,3.60838,0.235573,27.8551,0.170527
2025-02-07,64.4971,37.0451,4.16662,3.61213,0.240022,27.452,0.170527
2025-02-10,64.732,39.0569,4.17026,3.66502,0.292286,25.6752,0.170527
2025-02-11,65.9556,40.2461,4.18898,3.69501,0.319088,25.7095,0.170527
2025-02-12,65.3487,38.5613,4.17974,3.65225,0.277901,26.7874,0.170527
2025-02-13,65.9458,38.6208,4.18883,3.65379,0.277891,27.325,0.170527
2025-02-14,66.4168,38.1748,4.19595,3.64218,0.265063,28.2419,0.170527
2025-02-18,67.0994,38.2739,4.20618,3.64477,0.265912,28.8255,0.170527
2025-02-19,66.8818,38.4821,4.20293,3.65019,0.271889,28.3997,0.170527
2025-02-20,67.6535,36.7775,4.2144,3.60489,0.224626,30.876,0.170527
2025-02-21,65.9913,34.0422,4.18952,3.5276,0.151583,31.9491,0.170527
2025-02-24,66.1793,33.517,4.19237,3.51205,0.135548,32.6624,0.170527
2025-02-25,66.1892,32.7836,4.19252,3.48993,0.113399,33.4056,0.170527
2025-02-26,66.6839,32.0799,4.19996,3.46823,0.0904327,34.604,0.170527
2025-02-27,66.5553,32.2286,4.19803,3.47285,0.0953853,34.3267,0.170527
2025-02-28,66.7433,32.4169,4.20085,3.47868,0.10073,34.3264,0.170527
2025-03-03,65.7539,29.7411,4.18592,3.39253,0.0171264,36.0128,0.170527
2025-03-04,65.4966,28.5915,4.182,3.35311,-0.0216258,36.9052,0.170527
2025-03-05,65.3977,27.2734,4.18049,3.30591,-0.0685649,38.1243,0.170527
2025-03-06,65.3087,26.9067,4.17912,3.29238,-0.0818686,38.4019,0.170527
2025-03-07,66.0804,27.3428,4.19087,3.30845,-0.0677955,38.7376,0.170527
2025-03-10,66.0804,27.1248,4.19087,3.30045,-0.0758013,38.9556,0.170527
2025-03-11,66.1002,28.8095,4.19117,3.36071,-0.0155932,37.2906,0.170527
2025-03-12,66.6641,29.5132,4.19967,3.38484,0.00708839,37.151,0.170527
2025-03-13,67.0203,28.5122,4.205,3.35033,-0.0283241,38.5081,0.170527
2025-03-14,68.0393,29.7213,4.22009,3.39186,0.0106333,38.3181,0.170527
2025-03-17,69.3552,29.9889,4.23924,3.40083,0.0163295,39.3664,0.170527
2025-03-18,70.216,30.0285,4.25158,3.40215,0.0155471,40.1875,0.170527
2025-03-19,70.7601,30.9204,4.2593,3.43142,0.0435011,39.8397,0.170527
2025-03-20,71.1855,30.6529,4.26529,3.42273,0.0337874,40.5327,0.170527
2025-03-21,70.2555,30.3952,4.25214,3.41428,0.0275883,39.8604,0.170527
2025-03-24,70.5227,31.525,4.25593,3.45078,0.0634369,38.9977,0.170527
2025-03-25,71.2647,30.2564,4.2664,3.40971,0.0205812,41.0083,0.170527
2025-03-26,72.2541,30.5141,4.28019,3.41819,0.0267101,41.74,0.170527
2025-03-27,72.5113,29.9789,4.28374,3.4005,0.00841029,42.5324,0.170527
2025-03-28,71.9573,29.1366,4.27607,3.37199,-0.0187832,42.8207,0.170527
2025-03-31,72.5014,29.6816,4.28361,3.39053,-0.00153323,42.8198,0.170527
2025-04-01,72.2739,29.5032,4.28046,3.3845,-0.00702537,42.7706,0.170527
2025-04-02,71.9474,30.2465,4.27593,3.40938,0.0186278,41.7008,0.170527
2025-04-03,69.0287,25.103,4.23452,3.22299,-0.160703,43.9257,0.170527
2025-04-04,63.4486,22.0605,4.15023,3.09379,-0.275527,41.3881,0.170527
2025-04-07,61.6579,21.6146,4.1216,3.07337,-0.291068,40.0433,0.170527
2025-04-08,59.1152,20.2073,4.07949,3.00604,-0.35121,38.9079,0.170527
2025-04-09,63.2112,24.3994,4.14648,3.19456,-0.17412,38.8118,0.170527
2025-04-10,59.1449,21.0497,4.07999,3.04689,-0.310454,38.0952,0.170527
2025-04-11,61.4303,21.4758,4.1179,3.06693,-0.296877,39.9545,0.170527
2025-04-14,61.8755,21.7632,4.12512,3.08022,-0.284815,40.1123,0.170527
2025-04-15,62.113,21.5254,4.12895,3.06923,-0.296457,40.5876,0.170527
2025-04-16,63.3497,22.12,4.14867,3.09648,-0.272569,41.2297,0.170527
2025-04-17,64.349,23.03,4.16432,3.1368,-0.234923,41.319,0.170527
2025-04-21,63.9631,22.02,4.15831,3.09195,-0.278744,41.9431,0.170527
2025-04-22,64.4776,22.88,4.16632,3.13026,-0.241798,41.5976,0.170527
2025-04-23,63.8246,22.99,4.15614,3.13506,-0.235266,40.8346,0.170527
2025-04-24,64.3589,23.17,4.16447,3.14286,-0.228888,41.1889,0.170527
2025-04-25,65.1603,23.48,4.17685,3.15615,-0.217708,41.6803,0.170527
2025-04-28,65.3186,23.6,4.17928,3.16125,-0.213024,41.7185,0.170527
2025-04-29,64.814,23.26,4.17152,3.14674,-0.226213,41.554,0.170527
2025-04-30,63.7949,22.79,4.15567,3.12632,-0.243924,41.0049,0.170527
2025-05-01,64.1115,23.67,4.16062,3.16421,-0.206881,40.4415,0.170527
2025-05-02,65.932,22.82,4.18862,3.12764,-0.248227,43.112,0.170527
2025-05-05,64.4281,21,4.16555,3.04452,-0.327407,43.4281,0.170527
2025-05-06,64.4083,21.52,4.16524,3.06898,-0.302895,42.8883,0.170527
2025-05-07,64.3589,21.2,4.16447,3.054,-0.317745,43.1589,0.170527
2025-05-08,64.3885,22.83,4.16494,3.12808,-0.24375,41.5585,0.170527
2025-05-09,65.4472,23.16,4.18124,3.14243,-0.232179,42.2872,0.170527
2025-05-12,65.6747,24.79,4.18471,3.21044,-0.164758,40.8847,0.170527
2025-05-13,66.8917,25.63,4.20307,3.24376,-0.134565,41.2617,0.170527
2025-05-14,66.3772,25.46,4.19535,3.23711,-0.139904,40.9172,0.170527
2025-05-15,66.674,24.56,4.19982,3.20112,-0.176654,42.114,0.170527
2025-05-16,66.62,24.45,4.199,3.19663,-0.181005,42.17,0.170527
2025-05-19,66.67,23.92,4.19976,3.17471,-0.203048,42.75,0.170527
2025-05-20,66.62,23.73,4.199,3.16674,-0.210895,42.89,0.170527
2025-05-21,66.36,23.1,4.19509,3.13983,-0.237135,43.26,0.170527
2025-05-22,65.95,23.18,4.1889,3.14329,-0.232621,42.77,0.170527
2025-05-23,66.3,23.17,4.19419,3.14286,-0.233955,43.13,0.170527
2025-05-27,66.69,23.83,4.20006,3.17095,-0.206869,42.86,0.170527
2025-05-28,66.04,23.66,4.19026,3.16379,-0.212358,42.38,0.170527
2025-05-29,66.44,23.8,4.1963,3.16969,-0.207488,42.64,0.170527
2025-05-30,66.22,23.42,4.19298,3.15359,-0.223018,42.8,0.170527
2025-06-02,67.45,23.92,4.21139,3.17471,-0.205031,43.53,0.170527
2025-06-03,67.83,25.24,4.217,3.22843,-0.152274,42.59,0.170527
2025-06-04,67.27,24.16,4.20871,3.1847,-0.194592,43.11,0.170527
2025-06-05,67.53,24.01,4.21257,3.17847,-0.201478,43.52,0.170527
2025-06-06,68.02,24.92,4.2198,3.21567,-0.165511,43.1,0.170527
2025-06-09,68.26,25.59,4.22332,3.2422,-0.13958,42.67,0.170527
2025-06-10,70.05,25.99,4.24921,3.25771,-0.128484,44.06,0.170527
2025-06-11,71.02,26.8,4.26296,3.2884,-0.100139,44.22,0.170527
2025-06-12,71.44,27.13,4.26886,3.30064,-0.0889066,44.31,0.170527
2025-06-13,72.54,28.26,4.28414,3.34145,-0.050705,44.28,0.170527
