Date,DVN Raw Price,FANG Raw Price,DVN Log Price,FANG Log Price,Residual,Spread,Beta
2025-01-02,32.9309,164.468,3.49441,5.10271,0.114059,131.537,1.07807
2025-01-03,33.4535,168.59,3.51016,5.12747,0.12184,135.136,1.07807
2025-01-06,33.276,167.288,3.50484,5.11972,0.119823,134.012,1.07807
2025-01-07,34.2028,170.029,3.53231,5.13597,0.106463,135.827,1.07807
2025-01-08,34.6564,168.619,3.54548,5.12764,0.0839327,133.963,1.07807
2025-01-10,35.4846,172.347,3.5691,5.14951,0.0803381,136.862,1.07807
2025-01-13,36.2536,175.148,3.59054,5.16563,0.0733423,138.894,1.07807
2025-01-14,36.6578,175.217,3.60163,5.16602,0.061782,138.559,1.07807
2025-01-15,37.8903,177.07,3.63469,5.17655,0.0366583,139.18,1.07807
2025-01-16,37.8804,176.637,3.63443,5.17409,0.0344854,138.756,1.07807
2025-01-17,37.417,177.682,3.62213,5.17999,0.0536553,140.265,1.07807
2025-01-21,36.2142,174.497,3.58945,5.16191,0.0707928,138.283,1.07807
2025-01-22,35.948,175.128,3.58207,5.16552,0.0823572,139.18,1.07807
2025-01-23,35.9381,174.181,3.5818,5.1601,0.0772325,138.243,1.07807
2025-01-24,35.455,170.858,3.56826,5.14083,0.0725597,135.403,1.07807
2025-01-27,34.8338,169.221,3.55059,5.1312,0.0819871,134.387,1.07807
2025-01-28,34.3901,166.903,3.53777,5.11742,0.0820173,132.513,1.07807
2025-01-29,34.5775,168.491,3.5432,5.12688,0.0856285,133.914,1.07807
2025-01-30,34.5578,168.047,3.54263,5.12425,0.0836062,133.49,1.07807
2025-01-31,33.6211,162.081,3.51515,5.0881,0.0770816,128.46,1.07807
2025-02-03,33.276,162.2,3.50484,5.08883,0.0889337,128.924,1.07807
2025-02-04,33.9366,163.994,3.52449,5.09983,0.0787461,130.058,1.07807
2025-02-05,33.6605,162.476,3.51633,5.09053,0.0782483,128.815,1.07807
2025-02-06,32.9506,157.811,3.49501,5.0614,0.0720991,124.861,1.07807
2025-02-07,32.6844,155.938,3.4869,5.04946,0.0689004,123.253,1.07807
2025-02-10,33.7789,159.419,3.51983,5.07153,0.0554711,125.64,1.07807
