Date,SHEL Raw Price,MTDR Raw Price,SHEL Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,61.7661,57.3103,4.12335,4.04848,0.205105,4.45579,0.627953
2025-01-03,63.1561,58.2872,4.14561,4.06538,0.208032,4.86889,0.627953
2025-01-06,63.3812,57.5767,4.14917,4.05312,0.193533,5.80449,0.627953
2025-01-07,64.5363,58.9286,4.16723,4.07633,0.2054,5.60769,0.627953
2025-01-08,63.3518,59.2838,4.1487,4.08234,0.223042,4.06805,0.627953
2025-01-10,63.5672,60.4383,4.1521,4.10162,0.240198,3.1289,0.627953
2025-01-13,63.5868,61.1389,4.15241,4.11315,0.25153,2.44789,0.627953
2025-01-14,64.5167,61.8987,4.16692,4.1255,0.254763,2.61802,0.627953
2025-01-15,64.9572,62.7769,4.17373,4.13959,0.264579,2.18029,0.627953
2025-01-16,65.0453,62.5401,4.17508,4.13581,0.259948,2.50521,0.627953
2025-01-17,65.3096,62.9249,4.17914,4.14194,0.263536,2.38467,0.627953
2025-01-21,65.3585,61.8888,4.17989,4.12534,0.246464,3.4697,0.627953
2025-01-22,64.5558,62.2046,4.16753,4.13043,0.259312,2.35127,0.627953
2025-01-23,65.2508,61.3757,4.17824,4.11701,0.239174,3.87513,0.627953
2025-01-24,64.0077,60.31,4.159,4.0995,0.233737,3.69767,0.627953
2025-01-27,63.763,58.8102,4.15517,4.07431,0.210959,4.95281,0.627953
2025-01-28,63.2148,59.4811,4.14654,4.08566,0.227725,3.73366,0.627953
2025-01-29,63.4106,59.4614,4.14963,4.08533,0.225452,3.94916,0.627953
2025-01-30,65.241,58.751,4.17809,4.07331,0.195561,6.49009,0.627953
2025-01-31,64.458,57.2314,4.16601,4.0471,0.176939,7.2266,0.627953
2025-02-03,63.7923,56.7775,4.15563,4.03914,0.175494,7.01487,0.627953
2025-02-04,65.2215,57.5965,4.17779,4.05346,0.175903,7.62501,0.627953
2025-02-05,65.1236,57.2018,4.17629,4.04658,0.16997,7.92181,0.627953
2025-02-06,64.7614,55.7216,4.17071,4.02037,0.147256,9.03976,0.627953
2025-02-07,64.4971,55.9289,4.16662,4.02408,0.153536,8.56825,0.627953
2025-02-10,64.732,58.4747,4.17026,4.06859,0.195766,6.25737,0.627953
2025-02-11,65.9556,58.5832,4.18898,4.07045,0.185861,7.37241,0.627953
2025-02-12,65.3487,55.6723,4.17974,4.01948,0.140701,9.67642,0.627953
2025-02-13,65.9458,56.363,4.18883,4.03181,0.14732,9.5828,0.627953
2025-02-14,66.4168,56.4321,4.19595,4.03304,0.144076,9.98467,0.627953
2025-02-18,67.0994,57.034,4.20618,4.04365,0.148264,10.0654,0.627953
2025-02-19,66.8818,55.8795,4.20293,4.0232,0.129855,11.0023,0.627953
2025-02-20,67.6535,55.7315,4.2144,4.02055,0.119998,11.922,0.627953
2025-02-21,65.9913,52.4062,4.18952,3.95902,0.0740976,13.5852,0.627953
2025-02-24,66.1793,52.6923,4.19237,3.96447,0.0777569,13.487,0.627953
2025-02-25,66.1892,51.7648,4.19252,3.94671,0.0599032,14.4244,0.627953
2025-02-26,66.6839,51.4392,4.19996,3.9404,0.0489171,15.2447,0.627953
2025-02-27,66.5553,51.8141,4.19803,3.94766,0.0573924,14.7412,0.627953
2025-02-28,66.7433,51.9561,4.20085,3.9504,0.0583572,14.7872,0.627953
2025-03-03,65.7539,47.3898,4.18592,3.85841,-0.0242558,18.3641,0.627953
2025-03-04,65.4966,46.0894,4.182,3.83058,-0.0496182,19.4072,0.627953
2025-03-05,65.3977,45.3846,4.18049,3.81517,-0.0640789,20.0131,0.627953
2025-03-06,65.3087,44.4614,4.17912,3.79462,-0.0837743,20.8472,0.627953
2025-03-07,66.0804,44.9379,4.19087,3.80528,-0.0804912,21.1424,0.627953
2025-03-10,66.0804,44.6898,4.19087,3.79974,-0.086029,21.3906,0.627953
2025-03-11,66.1002,46.6552,4.19117,3.84279,-0.0431761,19.4449,0.627953
2025-03-12,66.6641,47.9258,4.19967,3.86965,-0.0216412,18.7383,0.627953
2025-03-13,67.0203,46.5858,4.205,3.84129,-0.0533475,20.4345,0.627953
2025-03-14,68.0393,48.2634,4.22009,3.87667,-0.027446,19.776,0.627953
2025-03-17,69.3552,49.9906,4.23924,3.91183,-0.00431228,19.3646,0.627953
2025-03-18,70.216,50.1891,4.25158,3.9158,-0.00809421,20.0268,0.627953
2025-03-19,70.7601,52.234,4.2593,3.95573,0.0269936,18.5261,0.627953
2025-03-20,71.1855,51.9263,4.26529,3.94983,0.0173208,19.2593,0.627953
2025-03-21,70.2555,51.1322,4.25214,3.93441,0.0101671,19.1234,0.627953
2025-03-24,70.5227,52.5814,4.25593,3.96236,0.0357339,17.9412,0.627953
2025-03-25,71.2647,51.9362,4.2664,3.95002,0.0168141,19.3285,0.627953
2025-03-26,72.2541,51.8568,4.28019,3.94849,0.00662595,20.3973,0.627953
2025-03-27,72.5113,51.1222,4.28374,3.93422,-0.00987244,21.3891,0.627953
2025-03-28,71.9573,50.1395,4.27607,3.91481,-0.0244665,21.8178,0.627953
2025-03-31,72.5014,50.7152,4.28361,3.92623,-0.0177798,21.7862,0.627953
2025-04-01,72.2739,50.7351,4.28046,3.92662,-0.0154144,21.5388,0.627953
2025-04-02,71.9474,51.8469,4.27593,3.94829,0.00910563,20.1005,0.627953
2025-04-03,69.0287,44.2431,4.23452,3.7897,-0.123485,24.7856,0.627953
2025-04-04,63.4486,38.0985,4.15023,3.64017,-0.220079,25.3502,0.627953
2025-04-07,61.6579,38.0488,4.1216,3.63887,-0.203404,23.609,0.627953
2025-04-08,59.1152,36.401,4.07949,3.5946,-0.221233,22.7142,0.627953
2025-04-09,63.2112,42.1882,4.14648,3.74214,-0.115757,21.0229,0.627953
2025-04-10,59.1449,37.5624,4.07999,3.626,-0.19014,21.5824,0.627953
2025-04-11,61.4303,39.1209,4.1179,3.66666,-0.173295,22.3094,0.627953
2025-04-14,61.8755,38.9422,4.12512,3.66208,-0.182408,22.9333,0.627953
2025-04-15,62.113,38.6643,4.12895,3.65492,-0.191976,23.4487,0.627953
2025-04-16,63.3497,39.8356,4.14867,3.68476,-0.174511,23.5141,0.627953
2025-04-17,64.349,41.1658,4.16432,3.71761,-0.151493,23.1832,0.627953
2025-04-21,63.9631,39.7364,4.15831,3.68227,-0.183057,24.2268,0.627953
2025-04-22,64.4776,40.7191,4.16632,3.7067,-0.163657,23.7585,0.627953
2025-04-23,63.8246,40.5404,4.15614,3.7023,-0.161663,23.2842,0.627953
2025-04-24,64.3589,40.4511,4.16447,3.70009,-0.169104,23.9078,0.627953
2025-04-25,65.1603,40.7687,4.17685,3.70792,-0.169053,24.3915,0.627953
2025-04-28,65.3186,41.2353,4.17928,3.71929,-0.159197,24.0833,0.627953
2025-04-29,64.814,40.7191,4.17152,3.7067,-0.166925,24.0949,0.627953
2025-04-30,63.7949,39.25,4.15567,3.66995,-0.19372,24.545,0.627953
2025-05-01,64.1115,40.193,4.16062,3.69369,-0.173087,23.9185,0.627953
2025-05-02,65.932,40.7886,4.18862,3.7084,-0.175959,25.1434,0.627953
2025-05-05,64.4281,39.3592,4.16555,3.67273,-0.197144,25.069,0.627953
2025-05-06,64.4083,40.0342,4.16524,3.68973,-0.179946,24.3742,0.627953
2025-05-07,64.3589,39.7463,4.16447,3.68252,-0.186681,24.6126,0.627953
2025-05-08,64.3885,42.357,4.16494,3.74613,-0.123353,22.0315,0.627953
2025-05-09,65.4472,42.75,4.18124,3.75537,-0.124358,22.6972,0.627953
2025-05-12,65.6747,44.69,4.18471,3.79975,-0.082157,20.9847,0.627953
2025-05-13,66.8917,46.36,4.20307,3.83644,-0.056999,20.5317,0.627953
2025-05-14,66.3772,45.89,4.19535,3.82625,-0.0623404,20.4872,0.627953
2025-05-15,66.674,44.59,4.19982,3.79751,-0.0938797,22.084,0.627953
2025-05-16,66.62,44.54,4.199,3.79639,-0.0944929,22.08,0.627953
2025-05-19,66.67,44.29,4.19976,3.79076,-0.100593,22.38,0.627953
2025-05-20,66.62,44.28,4.199,3.79053,-0.100347,22.34,0.627953
2025-05-21,66.36,43.55,4.19509,3.77391,-0.114515,22.81,0.627953
2025-05-22,65.95,43.6,4.1889,3.77506,-0.109476,22.35,0.627953
2025-05-23,66.3,43.4,4.19419,3.77046,-0.117398,22.9,0.627953
2025-05-27,66.69,44.16,4.20006,3.78782,-0.103721,22.53,0.627953
2025-05-28,66.04,43.83,4.19026,3.78032,-0.105071,22.21,0.627953
2025-05-29,66.44,44.04,4.1963,3.7851,-0.104083,22.4,0.627953
2025-05-30,66.22,43.01,4.19298,3.76143,-0.125666,23.21,0.627953
2025-06-02,67.45,43.51,4.21139,3.77299,-0.125665,23.94,0.627953
2025-06-03,67.83,45.8,4.217,3.82428,-0.0778995,22.03,0.627953
2025-06-04,67.27,45.01,4.20871,3.80688,-0.090093,22.26,0.627953
2025-06-05,67.53,44.77,4.21257,3.80154,-0.0978618,22.76,0.627953
2025-06-06,68.02,45.79,4.2198,3.82407,-0.0798743,22.23,0.627953
2025-06-09,68.26,46.66,4.22332,3.84289,-0.0632646,21.6,0.627953
2025-06-10,70.05,47.93,4.24921,3.86974,-0.052665,22.12,0.627953
2025-06-11,71.02,49.02,4.26296,3.89223,-0.0388139,22,0.627953
2025-06-12,71.44,49.5,4.26886,3.90197,-0.0327724,21.94,0.627953
2025-06-13,72.54,51.64,4.28414,3.9443,-4.37046e-05,20.9,0.627953
