Date,CVX Raw Price,FANG Raw Price,CVX Log Price,FANG Log Price,Residual,Spread,Beta
2025-01-02,143.354,164.468,4.96532,5.10271,0.129043,21.1132,1.11231
2025-01-03,144.468,168.59,4.97306,5.12747,0.145187,24.1213,1.11231
2025-01-06,143.892,167.288,4.96906,5.11972,0.141884,23.3961,1.11231
2025-01-07,146.169,170.029,4.98476,5.13597,0.140677,23.8609,1.11231
2025-01-08,146.862,168.619,4.9895,5.12764,0.127082,21.7569,1.11231
2025-01-10,149.637,172.347,5.00822,5.14951,0.128126,22.7095,1.11231
2025-01-13,151.797,175.148,5.02254,5.16563,0.128308,23.3506,1.11231
2025-01-14,153.311,175.217,5.03247,5.16602,0.117659,21.9052,1.11231
2025-01-15,154.709,177.07,5.04154,5.17655,0.118092,22.3618,1.11231
2025-01-16,155.735,176.637,5.04815,5.17409,0.108287,20.9019,1.11231
2025-01-17,157.777,177.682,5.06118,5.17999,0.0996959,19.905,1.11231
2025-01-21,154.621,174.497,5.04098,5.16191,0.104083,19.8759,1.11231
2025-01-22,152.833,175.128,5.02934,5.16552,0.120632,22.2952,1.11231
2025-01-23,152.442,174.181,5.02678,5.1601,0.11806,21.7393,1.11231
2025-01-24,152.09,170.858,5.02447,5.14083,0.101365,18.7678,1.11231
2025-01-27,153.634,169.221,5.03457,5.1312,0.0805041,15.587,1.11231
2025-01-28,152.637,166.903,5.02806,5.11742,0.0739542,14.2662,1.11231
2025-01-29,152.129,168.491,5.02473,5.12688,0.0871307,16.362,1.11231
2025-01-30,152.745,168.047,5.02877,5.12425,0.0800016,15.3027,1.11231
2025-01-31,145.778,162.081,4.98208,5.0881,0.0957812,16.3035,1.11231
2025-02-03,145.924,162.2,4.98309,5.08883,0.0953933,16.2752,1.11231
2025-02-04,149.716,163.994,5.00874,5.09983,0.0778678,14.2787,1.11231
2025-02-05,149.491,162.476,5.00724,5.09053,0.0702351,12.9848,1.11231
2025-02-06,148.426,157.811,5.00009,5.0614,0.0490598,9.38548,1.11231
2025-02-07,149.129,155.938,5.00481,5.04946,0.0318563,6.80832,1.11231
2025-02-10,152.207,159.419,5.02524,5.07153,0.0312103,7.21141,1.11231
2025-02-11,153.839,159.764,5.03591,5.0737,0.0215112,5.92473,1.11231
2025-02-12,151.357,153.305,5.01964,5.03243,-0.00166674,1.94748,1.11231
2025-02-13,152.315,154.005,5.02595,5.03698,-0.00412523,1.69003,1.11231
2025-02-14,153.471,154.813,5.03351,5.04222,-0.00729767,1.34276,1.11231
2025-02-18,154.281,154.587,5.03877,5.04075,-0.0146201,0.305801,1.11231
2025-02-19,155.338,158.038,5.0456,5.06284,-0.000133964,2.70016,1.11231
2025-02-20,156.879,159.843,5.05548,5.07419,0.000238533,2.96356,1.11231
2025-02-21,155.032,153.955,5.04363,5.03666,-0.0241114,1.07619,1.11231
2025-02-24,155.99,153.078,5.04979,5.03095,-0.036683,2.91217,1.11231
2025-02-25,154.538,149.814,5.04044,5.00939,-0.0478324,4.72397,1.11231
2025-02-26,153.273,150.317,5.03222,5.01274,-0.0353415,2.95645,1.11231
2025-02-27,154.785,153.433,5.04203,5.03326,-0.0257385,1.35185,1.11231
2025-02-28,156.711,156.756,5.0544,5.05469,-0.0180692,0.0449066,1.11231
2025-03-03,151.248,145.948,5.01892,4.98325,-0.0500386,5.29968,1.11231
2025-03-04,150.171,143.029,5.01177,4.96305,-0.0622935,7.14178,1.11231
2025-03-05,148.995,140.722,5.00391,4.94678,-0.0698161,8.27367,1.11231
2025-03-06,151.109,138.934,5.018,4.934,-0.0982731,12.1755,1.11231
2025-03-07,154.459,139.143,5.03993,4.9355,-0.121157,15.3161,1.11231
2025-03-10,155.674,139.609,5.04776,4.93885,-0.126525,16.0646,1.11231
2025-03-11,152.226,143.651,5.02537,4.96739,-0.0730715,8.57468,1.11231
2025-03-12,150.833,145.538,5.01617,4.98044,-0.0497961,5.29475,1.11231
2025-03-13,151.761,144.793,5.02231,4.97531,-0.0617545,6.96826,1.11231
2025-03-14,155.13,149.163,5.04427,5.00504,-0.0564449,5.96762,1.11231
2025-03-17,156.81,151.973,5.05503,5.0237,-0.0497564,4.83669,1.11231
2025-03-18,158.875,153.93,5.06812,5.0365,-0.0515165,4.94514,1.11231
2025-03-19,162.076,156.512,5.08806,5.05313,-0.0570696,5.56412,1.11231
2025-03-20,162.787,157.386,5.09244,5.0587,-0.0563725,5.40154,1.11231
2025-03-21,162.767,157.406,5.09232,5.05883,-0.0561113,5.36191,1.11231
2025-03-24,163.034,159.898,5.09396,5.07454,-0.0422209,3.136,1.11231
2025-03-25,163.943,160.484,5.09952,5.0782,-0.0447471,3.45898,1.11231
2025-03-26,165.949,161.964,5.11168,5.08737,-0.0490938,3.98485,1.11231
2025-03-27,164.645,159.124,5.10379,5.06968,-0.05801,5.52098,1.11231
2025-03-28,164.091,156.452,5.10042,5.05275,-0.0711969,7.63914,1.11231
2025-03-31,165.277,158.776,5.10762,5.06749,-0.0644602,6.50085,1.11231
2025-04-01,166.482,159.759,5.11489,5.07367,-0.0663696,6.72302,1.11231
2025-04-02,164.467,160.375,5.10271,5.07751,-0.048975,4.09184,1.11231
2025-04-03,154.241,140.304,5.03852,4.94381,-0.111275,13.9368,1.11231
2025-04-04,141.556,122.518,4.95269,4.80826,-0.151367,19.0377,1.11231
2025-04-07,138.463,123.67,4.93061,4.81762,-0.11744,14.7934,1.11231
2025-04-08,135.282,118.427,4.90736,4.77429,-0.134911,16.8557,1.11231
2025-04-09,144.273,133.998,4.97171,4.89783,-0.0829459,10.2744,1.11231
2025-04-10,133.356,122.31,4.89302,4.80656,-0.0866947,11.0461,1.11231
2025-04-11,133.998,128.119,4.89782,4.85296,-0.0456328,5.87871,1.11231
2025-04-14,133.692,126.759,4.89554,4.84228,-0.0537637,6.93298,1.11231
2025-04-15,132.921,126.262,4.88975,4.83836,-0.0512585,6.6589,1.11231
2025-04-16,133.731,129.321,4.89583,4.8623,-0.0340808,4.41029,1.11231
2025-04-17,136.211,136.69,4.9142,4.91771,0.00089854,0.478668,1.11231
2025-04-21,132.121,131.436,4.88372,4.87852,-0.00438047,0.684616,1.11231
2025-04-22,135.648,135.597,4.91006,4.90969,-0.00251725,0.0505981,1.11231
2025-04-23,135.035,134.604,4.90554,4.90234,-0.00483385,0.431152,1.11231
2025-04-24,137.396,135.22,4.92287,4.9069,-0.0195519,2.17667,1.11231
2025-04-25,137.061,135.816,4.92042,4.9113,-0.0124322,1.2449,1.11231
2025-04-28,138.414,136.868,4.93025,4.91902,-0.0156418,1.54573,1.11231
2025-04-29,137.624,135.706,4.92452,4.91049,-0.0177978,1.9173,1.11231
2025-04-30,134.423,131.098,4.90099,4.87595,-0.0261659,3.32423,1.11231
2025-05-01,134.62,133.899,4.90246,4.89709,-0.00666251,0.721283,1.11231
2025-05-02,136.833,135.865,4.91876,4.91166,-0.0102211,0.968018,1.11231
2025-05-05,133.869,132.161,4.89686,4.88402,-0.0135055,1.70836,1.11231
2025-05-06,133.968,131.069,4.8976,4.87572,-0.0226263,2.89958,1.11231
2025-05-07,134.156,128.675,4.899,4.85729,-0.0426127,5.48062,1.11231
2025-05-08,135.391,135.24,4.90817,4.90705,-0.00304889,0.15123,1.11231
2025-05-09,136.823,136.938,4.91869,4.91953,-0.00227768,0.114395,1.11231
2025-05-12,139.916,141.933,4.94104,4.95536,0.00869186,2.01735,1.11231
2025-05-13,140.637,145.161,4.94618,4.97784,0.0254582,4.52368,1.11231
2025-05-14,139.965,143.82,4.94139,4.96856,0.0215057,3.85483,1.11231
2025-05-15,140.548,141.95,4.94555,4.95547,0.00379542,1.40193,1.11231
2025-05-16,140.39,141.13,4.94442,4.94968,-0.000746421,0.73999,1.11231
2025-05-19,138.49,139.35,4.9308,4.93699,0.00171749,0.860001,1.11231
2025-05-20,137.27,138.35,4.92195,4.92979,0.00435756,1.08,1.11231
2025-05-21,135.56,136.31,4.90941,4.91493,0.00344588,0.75,1.11231
2025-05-22,135.29,136.29,4.90742,4.91478,0.00551679,1,1.11231
2025-05-23,136.54,135.86,4.91662,4.91162,-0.0078731,0.679993,1.11231
2025-05-27,137.83,137.49,4.92602,4.92355,-0.00640645,0.339996,1.11231
2025-05-28,136.02,136.28,4.9128,4.91471,-0.000542332,0.259995,1.11231
2025-05-29,137.91,137.81,4.9266,4.92588,-0.00472721,0.100006,1.11231
2025-05-30,136.7,134.55,4.91779,4.90194,-0.0188648,2.14999,1.11231
2025-06-02,137.84,137.59,4.92609,4.92428,-0.00576011,0.25,1.11231
2025-06-03,139.55,142.28,4.93842,4.9578,0.0140444,2.73,1.11231
2025-06-04,137.37,139.35,4.92268,4.93699,0.0107497,1.98001,1.11231
2025-06-05,136.9,137.45,4.91925,4.92326,0.000833282,0.550003,1.11231
2025-06-06,140.21,140.56,4.94314,4.94563,-0.00336636,0.349991,1.11231
2025-06-09,140.76,142.13,4.94706,4.95674,0.00338676,1.37001,1.11231
2025-06-10,143.35,145.57,4.96529,4.98066,0.00702096,2.22,1.11231
2025-06-11,144.78,148.92,4.97522,5.00341,0.0187322,4.14,1.11231
2025-06-12,144.97,149.33,4.97653,5.00616,0.0200228,4.36,1.11231
2025-06-13,145.91,154.91,4.98299,5.04284,0.0495194,9,1.11231
