Date,COP Raw Price,AR Raw Price,COP Log Price,AR Log Price,Residual,Spread,Beta
2025-05-30,85.35,37.45,4.44676,3.62301,0.0490977,47.9,0.577078
2025-06-02,86.72,38.65,4.46268,3.65455,0.0714483,48.07,0.577078
2025-06-03,87.91,38.36,4.47631,3.64702,0.0560518,49.55,0.577078
2025-06-04,85.95,37.3,4.45377,3.61899,0.0410417,48.65,0.577078
2025-06-05,85.35,37.19,4.44676,3.61604,0.0421308,48.16,0.577078
2025-06-06,87.22,38.65,4.46843,3.65455,0.0681306,48.57,0.577078
2025-06-09,88.04,38.92,4.47779,3.66151,0.069692,49.12,0.577078
2025-06-10,91.18,38.39,4.51284,3.6478,0.0357575,52.79,0.577078
2025-06-11,93.35,39.22,4.53636,3.66919,0.0435743,54.13,0.577078
2025-06-12,94.69,40.04,4.55061,3.68988,0.0560416,54.65,0.577078
2025-06-13,96.96,41.66,4.5743,3.72954,0.082033,55.3,0.577078
