Date,COP Raw Price,AR Raw Price,COP Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,98.4366,35.57,4.58941,3.5715,-0.0847281,62.8666,0.577078
2025-01-03,99.4301,34.94,4.59945,3.55363,-0.108393,64.4901,0.577078
2025-01-06,98.3481,36.01,4.58851,3.5838,-0.0719149,62.3381,0.577078
2025-01-07,100.001,36.68,4.60518,3.60223,-0.0630952,63.3205,0.577078
2025-01-08,99.9514,37.86,4.60468,3.6339,-0.0311479,62.0914,0.577078
2025-01-10,100.246,38.32,4.60763,3.64597,-0.0207721,61.9264,0.577078
2025-01-13,102.519,38.3,4.63004,3.64545,-0.0342276,64.2185,0.577078
2025-01-14,103.158,38.59,4.63626,3.65299,-0.0302719,64.5678,0.577078
2025-01-15,103.748,40.23,4.64196,3.69461,0.00805599,63.518,0.577078
2025-01-16,103.876,40.57,4.6432,3.70303,0.0157611,63.3058,0.577078
2025-01-17,104.112,40.46,4.64547,3.70031,0.0117361,63.6519,0.577078
2025-01-21,102.568,39.93,4.63052,3.68713,0.00717374,62.6377,0.577078
2025-01-22,101.368,40.74,4.61875,3.70721,0.0340475,60.6277,0.577078
2025-01-23,102.282,40.55,4.62774,3.70254,0.0241887,61.7324,0.577078
2025-01-24,100.158,40.15,4.60675,3.69262,0.0263882,60.0079,0.577078
2025-01-27,101.004,36.35,4.61516,3.59319,-0.0778934,64.6538,0.577078
2025-01-28,99.7153,37.22,4.60232,3.61685,-0.0468322,62.4953,0.577078
2025-01-29,99.8923,37.35,4.60409,3.62033,-0.0443692,62.5423,0.577078
2025-01-30,99.794,37.85,4.60311,3.63363,-0.0305027,61.944,0.577078
2025-01-31,97.2072,37.32,4.57684,3.61953,-0.0294482,59.8872,0.577078
2025-02-03,96.8629,38.33,4.5733,3.64623,-0.000697418,58.5329,0.577078
2025-02-04,98.9284,38.73,4.5944,3.65661,-0.00249215,60.1984,0.577078
2025-02-05,98.5645,39.6,4.59071,3.67883,0.0218493,58.9645,0.577078
2025-02-06,98.2989,38.3,4.58801,3.64545,-0.00997301,59.9989,0.577078
2025-02-07,96.7449,37.85,4.57208,3.63363,-0.0125957,58.8949,0.577078
2025-02-10,97.8465,40.02,4.5834,3.68938,0.0366187,57.8265,0.577078
2025-02-11,100.04,40.02,4.60557,3.68938,0.0238255,60.0199,0.577078
2025-02-12,96.7842,39.38,4.57248,3.67326,0.0267968,57.4042,0.577078
2025-02-13,95.3089,40.15,4.55712,3.69262,0.0550258,55.1589,0.577078
2025-02-14,95.4477,39.84,4.55858,3.68487,0.0464349,55.6077,0.577078
2025-02-18,96.6276,39.74,4.57086,3.68236,0.0368314,56.8876,0.577078
2025-02-19,98.7297,40.35,4.59239,3.69759,0.0396449,58.3797,0.577078
2025-02-20,101.139,39.51,4.6165,3.67655,0.00469289,61.6292,0.577078
2025-02-21,97.1135,38.15,4.57588,3.64153,-0.00689549,58.9635,0.577078
2025-02-24,97.9861,37.9,4.58483,3.63495,-0.0186321,60.0861,0.577078
2025-02-25,96.2608,37.35,4.56706,3.62033,-0.0229988,58.9108,0.577078
2025-02-26,95.3188,37.04,4.55723,3.612,-0.0256582,58.2788,0.577078
2025-02-27,96.5483,35.58,4.57004,3.57178,-0.0732692,60.9683,0.577078
2025-02-28,98.3133,36.7,4.58816,3.60278,-0.0527304,61.6133,0.577078
2025-03-03,91.8483,36.15,4.52014,3.58768,-0.0285768,55.6983,0.577078
2025-03-04,89.8751,36.52,4.49842,3.59786,-0.00586112,53.3551,0.577078
2025-03-05,88.13,36.38,4.47881,3.59402,0.00161367,51.75,0.577078
2025-03-06,87.8523,33.78,4.47566,3.51987,-0.0707158,54.0723,0.577078
2025-03-07,89.8652,33.64,4.49831,3.51572,-0.0879417,56.2252,0.577078
2025-03-10,92.116,34.69,4.52305,3.54645,-0.0714821,57.426,0.577078
2025-03-11,94.6049,35.86,4.54971,3.57962,-0.0536958,58.7449,0.577078
2025-03-12,96.9251,36.01,4.57394,3.5838,-0.063504,60.9151,0.577078
2025-03-13,95.3783,36.37,4.55785,3.59374,-0.0442726,59.0083,0.577078
2025-03-14,98.115,37.57,4.58614,3.62621,-0.028136,60.545,0.577078
2025-03-17,98.5215,38.9,4.59028,3.66099,0.0042662,59.6215,0.577078
2025-03-18,99.6816,39.87,4.60198,3.68562,0.0221405,59.8116,0.577078
2025-03-19,100.475,41.02,4.60991,3.71406,0.046002,59.4549,0.577078
2025-03-20,101.447,40.97,4.61953,3.71284,0.039228,60.4766,0.577078
2025-03-21,101.06,40.77,4.61571,3.70795,0.0365384,60.2899,0.577078
2025-03-24,101.328,41.21,4.61836,3.71868,0.0457461,60.1176,0.577078
2025-03-25,101.685,41.42,4.62188,3.72376,0.0487996,60.2646,0.577078
2025-03-26,102.329,40.97,4.62819,3.71284,0.0342297,61.3591,0.577078
2025-03-27,101.952,39.53,4.62451,3.67706,0.000578276,62.4223,0.577078
2025-03-28,101.506,39.69,4.62012,3.6811,0.0071488,61.8161,0.577078
2025-03-31,104.134,40.44,4.64568,3.69982,0.0111205,63.6938,0.577078
2025-04-01,104.501,40.92,4.64919,3.71162,0.0208905,63.5806,0.577078
2025-04-02,105.205,42,4.65591,3.73767,0.0430666,63.2046,0.577078
2025-04-03,94.4462,38.79,4.54803,3.65816,0.0258128,55.6562,0.577078
2025-04-04,85.5618,33.46,4.44924,3.51035,-0.0649887,52.1018,0.577078
2025-04-07,84.947,34.15,4.44203,3.53076,-0.0404155,50.797,0.577078
2025-04-08,81.9624,32.24,4.40626,3.47321,-0.0773299,49.7224,0.577078
2025-04-09,90.7378,34.89,4.50797,3.5522,-0.0570336,55.8478,0.577078
2025-04-10,82.5871,31.92,4.41385,3.46323,-0.0916866,50.6671,0.577078
2025-04-11,85.661,33.1,4.4504,3.49953,-0.0764746,52.561,0.577078
2025-04-14,85.7205,33.23,4.45109,3.50345,-0.0729553,52.4905,0.577078
2025-04-15,84.9966,33.1,4.44261,3.49953,-0.0719816,51.8966,0.577078
2025-04-16,85.6312,34.3,4.45005,3.53515,-0.040662,51.3312,0.577078
2025-04-17,88.2291,34.42,4.47994,3.53864,-0.0544168,53.8091,0.577078
2025-04-21,86.8112,32.06,4.46374,3.46761,-0.116096,54.7512,0.577078
2025-04-22,89.0025,32.83,4.48866,3.49134,-0.106748,56.1725,0.577078
2025-04-23,89.1711,34.29,4.49056,3.53485,-0.0643292,54.8811,0.577078
2025-04-24,91.0253,34.54,4.51114,3.54212,-0.0689416,56.4853,0.577078
2025-04-25,90.946,35.33,4.51027,3.56473,-0.0458241,55.616,0.577078
2025-04-28,92.1458,35.93,4.52337,3.58157,-0.0365472,56.2158,0.577078
2025-04-29,91.1046,36.18,4.51201,3.58851,-0.0230559,54.9246,0.577078
2025-04-30,88.3679,34.83,4.48151,3.55048,-0.0434826,53.5379,0.577078
2025-05-01,89.885,34.65,4.49853,3.5453,-0.0584871,55.235,0.577078
2025-05-02,90.6386,35.76,4.50688,3.57683,-0.031773,54.8786,0.577078
2025-05-05,86.8707,35.49,4.46442,3.56925,-0.0148493,51.3807,0.577078
2025-05-06,86.8905,35.5,4.46465,3.56953,-0.0146993,51.3905,0.577078
2025-05-07,86.9698,36.71,4.46556,3.60305,0.0182906,50.2598,0.577078
2025-05-08,88.0705,37.39,4.47814,3.6214,0.0293874,50.6805,0.577078
2025-05-09,87.8424,38.71,4.47554,3.6561,0.0655784,49.1324,0.577078
2025-05-12,91.4913,39.4,4.51624,3.67377,0.0597592,52.0913,0.577078
2025-05-13,93.3753,41.04,4.53663,3.71455,0.0887782,52.3353,0.577078
2025-05-14,91.7888,40.5,4.51949,3.7013,0.0854221,51.2888,0.577078
2025-05-15,92.1755,40.23,4.52369,3.69461,0.0763069,51.9455,0.577078
2025-05-16,91.65,39.8,4.51798,3.68387,0.0688604,51.85,0.577078
2025-05-19,90.41,39.42,4.50435,3.67427,0.0671277,50.99,0.577078
2025-05-20,89.69,39.77,4.49636,3.68311,0.0805814,49.92,0.577078
2025-05-21,87.15,39.11,4.46763,3.66638,0.0804254,48.04,0.577078
2025-05-22,86.13,39.05,4.45586,3.66484,0.085684,47.08,0.577078
2025-05-23,85.19,39.49,4.44488,3.67605,0.103221,45.7,0.577078
2025-05-27,85.55,40.17,4.4491,3.69312,0.117861,45.38,0.577078
2025-05-28,84.58,38.97,4.4377,3.66279,0.0941129,45.61,0.577078
2025-05-29,85.6,38.84,4.44969,3.65945,0.0838538,46.76,0.577078
