Date,PSX Raw Price,MTDR Raw Price,PSX Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,112.306,57.3103,4.72123,4.04848,0.195692,54.9958,1.15257
2025-01-03,113.955,58.2872,4.73581,4.06538,0.195793,55.668,1.15257
2025-01-06,113.052,57.5767,4.72785,4.05312,0.192699,55.4754,1.15257
2025-01-07,113.072,58.9286,4.72802,4.07633,0.215707,54.1432,1.15257
2025-01-08,114.112,59.2838,4.73718,4.08234,0.211159,54.8285,1.15257
2025-01-10,111.835,60.4383,4.71702,4.10162,0.253681,51.3966,1.15257
2025-01-13,113.847,61.1389,4.73486,4.11315,0.244651,52.7084,1.15257
2025-01-14,115.114,61.8987,4.74592,4.1255,0.244253,53.2148,1.15257
2025-01-15,116.812,62.7769,4.76056,4.13959,0.241463,54.0348,1.15257
2025-01-16,117.43,62.5401,4.76584,4.13581,0.231597,54.8901,1.15257
2025-01-17,118.314,62.9249,4.77334,4.14194,0.229093,55.3887,1.15257
2025-01-21,118.274,61.8888,4.77301,4.12534,0.212873,56.3855,1.15257
2025-01-22,116.37,62.2046,4.75677,4.13043,0.236671,54.1654,1.15257
2025-01-23,120.365,61.3757,4.79053,4.11701,0.184351,58.9894,1.15257
2025-01-24,119.619,60.31,4.78431,4.0995,0.174001,59.3091,1.15257
2025-01-27,120.817,58.8102,4.79427,4.07431,0.137336,62.0065,1.15257
2025-01-28,118.952,59.4811,4.77872,4.08566,0.166612,59.4705,1.15257
2025-01-29,119.914,59.4614,4.78677,4.08533,0.156996,60.4522,1.15257
2025-01-30,118.618,58.751,4.77591,4.07331,0.157498,59.8669,1.15257
2025-01-31,115.702,57.2314,4.75102,4.0471,0.159974,58.4711,1.15257
2025-02-03,115.693,56.7775,4.75094,4.03914,0.15211,58.9152,1.15257
2025-02-04,121.337,57.5965,4.79857,4.05346,0.11153,63.7405,1.15257
2025-02-05,121.052,57.2018,4.79622,4.04658,0.10736,63.8505,1.15257
2025-02-06,118.598,55.7216,4.77574,4.02037,0.10475,62.8766,1.15257
2025-02-07,118.088,55.9289,4.77143,4.02408,0.113433,62.159,1.15257
2025-02-10,121.435,58.4747,4.79938,4.06859,0.12573,62.9604,1.15257
2025-02-11,127.168,58.5832,4.84551,4.07045,0.07442,68.5845,1.15257
