Date,KMI Raw Price,OKE Raw Price,KMI Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,27.5159,99.4384,3.31476,4.59954,0.0838744,71.9225,0.797068
2025-01-03,27.6725,100.542,3.32044,4.61058,0.0903928,72.87,0.797068
2025-01-06,27.2418,99.2918,3.30475,4.59806,0.0903788,72.05,0.797068
2025-01-07,27.2222,99.282,3.30403,4.59796,0.0908534,72.0598,0.797068
2025-01-08,27.6921,100.494,3.32115,4.61009,0.0893431,72.8016,0.797068
2025-01-10,27.5648,99.4188,3.31654,4.59934,0.0822615,71.854,0.797068
2025-01-13,27.9172,101.598,3.32924,4.62102,0.093816,73.6805,0.797068
2025-01-14,28.5045,103.611,3.35006,4.64064,0.0968391,75.106,0.797068
2025-01-15,28.8178,104.431,3.36099,4.64853,0.0960182,75.6135,0.797068
2025-01-16,29.4247,106.171,3.38183,4.66505,0.0959237,76.7459,0.797068
2025-01-17,29.6694,106.464,3.39012,4.6678,0.0920791,76.7943,0.797068
2025-01-21,30.5601,107.333,3.4197,4.67594,0.0766358,76.7731,0.797068
2025-01-22,30.1294,103.865,3.4055,4.64309,0.0550987,73.7352,0.797068
2025-01-23,29.8358,102.487,3.39571,4.62973,0.0495525,72.6511,0.797068
2025-01-24,29.6302,102.135,3.38879,4.6263,0.0516249,72.5049,0.797068
2025-01-27,26.8796,98.1486,3.29137,4.58648,0.0894666,71.269,0.797068
2025-01-28,26.8796,98.2952,3.29137,4.58798,0.0909587,71.4156,0.797068
2025-01-29,26.723,98.0802,3.28552,4.58579,0.0934274,71.3572,0.797068
2025-01-30,27.5061,97.5819,3.31441,4.58069,0.0653121,70.0758,0.797068
2025-01-31,26.8992,94.9438,3.2921,4.55328,0.0556883,68.0446,0.797068
2025-02-03,27.283,96.4152,3.30626,4.56866,0.0597747,69.1322,0.797068
2025-02-04,27.2039,95.8128,3.30336,4.5624,0.0558224,68.6089,0.797068
2025-02-05,27.3424,96.6917,3.30844,4.57153,0.0609065,69.3494,0.797068
2025-02-06,26.4916,94.6278,3.27683,4.54995,0.0645234,68.1361,0.797068
2025-02-07,26.7488,94.6179,3.28649,4.54985,0.0567178,67.869,0.797068
2025-02-10,26.7785,97.462,3.2876,4.57946,0.0854506,70.6835,0.797068
2025-02-11,26.5015,97.6991,3.2772,4.58189,0.0961669,71.1975,0.797068
2025-02-12,25.997,96.4054,3.25798,4.56856,0.0981568,70.4083,0.797068
2025-02-13,26.274,97.7386,3.26858,4.5823,0.103444,71.4646,0.797068
2025-02-14,26.2641,96.6325,3.2682,4.57092,0.0923629,70.3684,0.797068
2025-02-18,26.462,97.4127,3.27571,4.57896,0.0944222,70.9507,0.797068
2025-02-19,26.6004,97.9657,3.28093,4.58462,0.0959227,71.3652,0.797068
2025-02-20,26.3037,97.4028,3.26971,4.57885,0.0991026,71.0991,0.797068
2025-02-21,26.1256,96.8794,3.26292,4.57347,0.0991286,70.7538,0.797068
2025-02-24,26.185,96.8991,3.26519,4.57367,0.0975238,70.7142,0.797068
2025-02-25,25.819,94.5784,3.25111,4.54943,0.084502,68.7594,0.797068
2025-02-26,25.8882,94.5685,3.25379,4.54932,0.0822627,68.6803,0.797068
2025-02-27,25.9278,95.4375,3.25531,4.55847,0.0901931,69.5098,0.797068
2025-02-28,26.8082,99.1409,3.28871,4.59654,0.101647,72.3327,0.797068
2025-03-03,26.8478,95.5561,3.29018,4.55971,0.0636422,68.7083,0.797068
2025-03-04,26.6994,92.623,3.28464,4.52854,0.0368843,65.9236,0.797068
2025-03-05,26.4422,90.7269,3.27496,4.50785,0.0239162,64.2847,0.797068
2025-03-06,26.0267,88.6234,3.25912,4.4844,0.0130816,62.5967,0.797068
2025-03-07,25.8585,88.4555,3.25264,4.4825,0.0163524,62.597,0.797068
2025-03-10,25.8585,90.2825,3.25264,4.50294,0.0367962,64.424,0.797068
2025-03-11,26.1256,91.4676,3.26292,4.51598,0.0416464,65.342,0.797068
2025-03-12,26.2344,91.8132,3.26707,4.51976,0.0421052,65.5788,0.797068
2025-03-13,26.2542,92.3366,3.26783,4.52544,0.0471888,66.0824,0.797068
2025-03-14,26.8082,95.2302,3.28871,4.5563,0.0614015,68.422,0.797068
2025-03-17,27.4908,97.2152,3.31385,4.57693,0.0619911,69.7244,0.797068
2025-03-18,27.2237,96.7905,3.30409,4.57255,0.0653953,69.5668,0.797068
2025-03-19,27.5501,98.8051,3.31601,4.59315,0.0764948,71.255,0.797068
2025-03-20,27.7578,99.3977,3.32352,4.59913,0.0764862,71.6398,0.797068
2025-03-21,27.6292,98.104,3.31887,4.58603,0.0670867,70.4747,0.797068
2025-03-24,28.4008,101.027,3.34642,4.61539,0.0744936,72.6263,0.797068
2025-03-25,28.5196,101.106,3.35059,4.61617,0.0719507,72.5866,0.797068
2025-03-26,28.1733,100,3.33838,4.60517,0.0706866,71.8267,0.797068
2025-03-27,27.926,97.4522,3.32956,4.57936,0.051905,69.5261,0.797068
2025-03-28,28.0645,97.2547,3.33451,4.57733,0.045933,69.1901,0.797068
2025-03-31,28.2228,97.9855,3.34013,4.58482,0.0489366,69.7627,0.797068
2025-04-01,28.3217,98.262,3.34363,4.58764,0.0489657,69.9403,0.797068
2025-04-02,28.6086,99.1211,3.35371,4.59634,0.0496384,70.5126,0.797068
2025-04-03,27.4215,91.5466,3.31133,4.51685,0.00392254,64.1251,0.797068
2025-04-04,25.0177,79.8539,3.21958,4.3802,-0.0595997,54.8362,0.797068
2025-04-07,25.0968,79.9033,3.22274,4.38082,-0.0614988,54.8065,0.797068
2025-04-08,24.9385,77.7306,3.21641,4.35325,-0.0840233,52.7921,0.797068
2025-04-09,25.9673,83.8041,3.25684,4.42848,-0.0410123,57.8368,0.797068
2025-04-10,25.5123,80.2292,3.23916,4.38489,-0.070516,54.7169,0.797068
2025-04-11,26.185,81.5327,3.26519,4.401,-0.0751422,55.3478,0.797068
2025-04-14,26.5114,82.3425,3.27758,4.41089,-0.0751346,55.8311,0.797068
2025-04-15,26.9269,83.1128,3.29313,4.4202,-0.0782177,56.1859,0.797068
2025-04-16,26.6598,83.7449,3.28316,4.42777,-0.0626963,57.0851,0.797068
2025-04-17,26.8082,85.1571,3.28871,4.4445,-0.0503977,58.3489,0.797068
2025-04-21,25.5123,80.8019,3.23916,4.392,-0.063402,55.2897,0.797068
2025-04-22,26.3136,83.0042,3.27008,4.41889,-0.0611606,56.6906,0.797068
2025-04-23,26.3136,83.6066,3.27008,4.42612,-0.0539292,57.293,0.797068
2025-04-24,26.5807,85.2065,3.28018,4.44508,-0.0430245,58.6258,0.797068
2025-04-25,26.5609,85.2361,3.27944,4.44542,-0.0420834,58.6752,0.797068
2025-04-28,26.7785,86.7767,3.2876,4.46334,-0.0306746,59.9982,0.797068
2025-04-29,26.917,86.7668,3.29276,4.46322,-0.0349,59.8498,0.797068
2025-04-30,26.3,81.1377,3.26957,4.39615,-0.0834928,54.8377,0.797068
2025-05-01,26.3,79.923,3.26957,4.38106,-0.0985768,53.623,0.797068
2025-05-02,26.83,81.75,3.28952,4.40367,-0.0918778,54.92,0.797068
2025-05-05,26.87,80.15,3.29101,4.3839,-0.112831,53.28,0.797068
2025-05-06,27.21,79.29,3.30358,4.37311,-0.133641,52.08,0.797068
2025-05-07,27.62,80.25,3.31854,4.38515,-0.133527,52.63,0.797068
2025-05-08,27.04,82.25,3.29732,4.40976,-0.0919947,55.21,0.797068
2025-05-09,27.31,82.3,3.30725,4.41037,-0.0993063,54.99,0.797068
2025-05-12,27.31,85.04,3.30725,4.44312,-0.0665557,57.73,0.797068
2025-05-13,27.5,86.51,3.31419,4.46026,-0.0549435,59.01,0.797068
2025-05-14,27.46,86.61,3.31273,4.46142,-0.0526281,59.15,0.797068
