Date,KMI Raw Price,OKE Raw Price,KMI Log Price,OKE Log Price,Residual,Spread,Beta
2025-05-15,28,86.03,3.3322,4.4547,-0.0748695,58.03,0.797068
2025-05-16,28.09,85.67,3.33541,4.4505,-0.0816208,57.58,0.797068
2025-05-19,28,84.73,3.3322,4.43947,-0.0900958,56.73,0.797068
2025-05-20,27.98,83.71,3.33149,4.42736,-0.101638,55.73,0.797068
2025-05-21,27.47,81.83,3.31309,4.40464,-0.10969,54.36,0.797068
2025-05-22,27.34,81.37,3.30835,4.39901,-0.111546,54.03,0.797068
2025-05-23,27.86,81.14,3.32719,4.39618,-0.129394,53.28,0.797068
2025-05-27,28.19,81.74,3.33897,4.40354,-0.131413,53.55,0.797068
2025-05-28,27.95,80.59,3.33042,4.38937,-0.138766,52.64,0.797068
2025-05-29,27.92,80.68,3.32934,4.39049,-0.136794,52.76,0.797068
2025-05-30,28.04,80.84,3.33363,4.39247,-0.138232,52.8,0.797068
2025-06-02,28.65,82.51,3.35515,4.41292,-0.134938,53.86,0.797068
2025-06-03,28.56,83.24,3.35201,4.42173,-0.123622,54.68,0.797068
2025-06-04,28.03,80.52,3.33328,4.38851,-0.141914,52.49,0.797068
2025-06-05,28.24,81.19,3.34074,4.39679,-0.139576,52.95,0.797068
2025-06-06,28.14,81.72,3.33719,4.4033,-0.130242,53.58,0.797068
2025-06-09,27.53,81.12,3.31528,4.39593,-0.120143,53.59,0.797068
2025-06-10,27.38,81.72,3.30981,4.4033,-0.108419,54.34,0.797068
2025-06-11,27.52,82.9,3.31491,4.41764,-0.098148,55.38,0.797068
2025-06-12,27.66,82.65,3.31999,4.41461,-0.105213,54.99,0.797068
2025-06-13,27.64,83.75,3.31926,4.42784,-0.0914149,56.11,0.797068
