Date,COP Raw Price,WMB Raw Price,COP Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,98.4366,54.9218,4.58941,4.00591,-0.0387744,43.5149,-0.036911
2025-01-03,99.4301,55.6294,4.59945,4.01871,-0.0256014,43.8006,-0.036911
2025-01-06,98.3481,54.853,4.58851,4.00466,-0.0400612,43.4952,-0.036911
2025-01-07,100.001,54.5974,4.60518,3.99999,-0.0441157,45.4031,-0.036911
2025-01-08,99.9514,55.423,4.60468,4.01499,-0.0291255,44.5283,-0.036911
2025-01-10,100.246,54.5679,4.60763,3.99945,-0.0445652,45.6785,-0.036911
2025-01-13,102.519,55.0692,4.63004,4.00859,-0.0345941,47.4493,-0.036911
2025-01-14,103.158,57.0644,4.63626,4.04418,0.00122507,46.0934,-0.036911
2025-01-15,103.748,57.0152,4.64196,4.04332,0.000574041,46.7327,-0.036911
2025-01-16,103.876,58.1652,4.6432,4.06329,0.0205878,45.7107,-0.036911
2025-01-17,104.112,58.1259,4.64547,4.06261,0.0199955,45.986,-0.036911
2025-01-21,102.568,59.5903,4.63052,4.08749,0.0443261,42.9774,-0.036911
2025-01-22,101.368,58.1848,4.61875,4.06362,0.0200235,43.1829,-0.036911
2025-01-23,102.282,58.4699,4.62774,4.06851,0.0252418,43.8126,-0.036911
2025-01-24,100.158,58.5485,4.60675,4.06986,0.0258109,41.6094,-0.036911
2025-01-27,101.004,53.6146,4.61516,3.98182,-0.061913,47.3892,-0.036911
2025-01-28,99.7153,54.2534,4.60232,3.99367,-0.0505417,45.4619,-0.036911
2025-01-29,99.8923,54.3812,4.60409,3.99602,-0.0481239,45.5111,-0.036911
2025-01-30,99.794,55.6196,4.60311,4.01854,-0.0256432,44.1744,-0.036911
2025-01-31,97.2072,54.4795,4.57684,3.99782,-0.047324,42.7277,-0.036911
2025-02-03,96.8629,55.2363,4.5733,4.01162,-0.0336591,41.6266,-0.036911
2025-02-04,98.9284,54.7645,4.5944,4.00304,-0.0414579,44.1639,-0.036911
2025-02-05,98.5645,55.8751,4.59071,4.02312,-0.0215169,42.6894,-0.036911
2025-02-06,98.2989,55.0495,4.58801,4.00823,-0.0365025,43.2494,-0.036911
2025-02-07,96.7449,54.9807,4.57208,4.00698,-0.0383412,41.7641,-0.036911
2025-02-10,97.8465,55.2068,4.5834,4.01109,-0.0338202,42.6397,-0.036911
2025-02-11,100.04,54.2927,4.60557,3.99439,-0.0496973,45.7471,-0.036911
2025-02-12,96.7842,53.8799,4.57248,3.98676,-0.0585508,42.9043,-0.036911
2025-02-13,95.3089,56.4747,4.55712,4.03379,-0.0120839,38.8342,-0.036911
2025-02-14,95.4477,56.0029,4.55858,4.0254,-0.0204189,39.4448,-0.036911
2025-02-18,96.6276,56.8088,4.57086,4.03969,-0.00567695,39.8188,-0.036911
2025-02-19,98.7297,57.2708,4.59239,4.04779,0.00321611,41.459,-0.036911
2025-02-20,101.139,57.4477,4.6165,4.05087,0.00719043,43.6915,-0.036911
2025-02-21,97.1135,56.455,4.57588,4.03344,-0.0117396,40.6585,-0.036911
2025-02-24,97.9861,56.3469,4.58483,4.03153,-0.0133262,41.6392,-0.036911
2025-02-25,96.2608,55.2166,4.56706,4.01126,-0.0342453,41.0441,-0.036911
2025-02-26,95.3188,55.9243,4.55723,4.024,-0.0218737,39.3945,-0.036911
2025-02-27,96.5483,55.2952,4.57004,4.01269,-0.0327122,41.2531,-0.036911
2025-02-28,98.3133,57.1823,4.58816,4.04624,0.00151439,41.131,-0.036911
2025-03-03,91.8483,56.6123,4.52014,4.03623,-0.0110155,35.236,-0.036911
2025-03-04,89.8751,55.826,4.49842,4.02224,-0.0258033,34.0491,-0.036911
2025-03-05,88.13,55.2559,4.47881,4.01198,-0.0367908,32.874,-0.036911
2025-03-06,87.8523,53.6735,4.47566,3.98292,-0.0659628,34.1788,-0.036911
2025-03-07,89.8652,53.4475,4.49831,3.9787,-0.0693473,36.4177,-0.036911
2025-03-10,92.116,53.0937,4.52305,3.97206,-0.0750763,39.0224,-0.036911
2025-03-11,94.6049,54.0077,4.54971,3.98913,-0.0570229,40.5971,-0.036911
2025-03-12,96.9251,55.3346,4.57394,4.0134,-0.0318577,41.5905,-0.036911
2025-03-13,95.3783,55.2166,4.55785,4.01126,-0.0345852,40.1617,-0.036911
2025-03-14,98.115,56.7934,4.58614,4.03942,-0.00538512,41.3216,-0.036911
2025-03-17,98.5215,57.9041,4.59028,4.05879,0.0141352,40.6175,-0.036911
2025-03-18,99.6816,57.914,4.60198,4.05896,0.0147386,41.7677,-0.036911
2025-03-19,100.475,58.8263,4.60991,4.07459,0.0306618,41.6486,-0.036911
2025-03-20,101.447,59.2527,4.61953,4.08181,0.0382397,42.1939,-0.036911
2025-03-21,101.06,59.104,4.61571,4.0793,0.0355851,41.9559,-0.036911
2025-03-24,101.328,60.5816,4.61836,4.10399,0.0603754,40.746,-0.036911
2025-03-25,101.685,60.4031,4.62188,4.10104,0.0575544,41.2815,-0.036911
2025-03-26,102.329,59.4511,4.62819,4.08515,0.0419012,42.878,-0.036911
2025-03-27,101.952,58.9354,4.62451,4.07644,0.0330532,43.0169,-0.036911
2025-03-28,101.506,58.6974,4.62012,4.0724,0.0288448,42.8087,-0.036911
2025-03-31,104.134,59.2627,4.64568,4.08198,0.039372,44.8711,-0.036911
2025-04-01,104.501,60.0659,4.64919,4.09544,0.052965,44.4347,-0.036911
2025-04-02,105.205,61.0873,4.65591,4.1123,0.070075,44.1173,-0.036911
2025-04-03,94.4462,58.5387,4.54803,4.06969,0.0234771,35.9075,-0.036911
2025-04-04,85.5618,54.1159,4.44924,3.99113,-0.0587309,31.446,-0.036911
2025-04-07,84.947,54.3935,4.44203,3.99625,-0.0538792,30.5535,-0.036911
2025-04-08,81.9624,53.8779,4.40626,3.98672,-0.064725,28.0846,-0.036911
2025-04-09,90.7378,55.9505,4.50797,4.02447,-0.0232235,34.7873,-0.036911
2025-04-10,82.5871,54.6117,4.41385,4.00025,-0.0509162,27.9754,-0.036911
2025-04-11,85.661,55.9207,4.4504,4.02393,-0.0258806,29.7403,-0.036911
2025-04-14,85.7205,56.8826,4.45109,4.04099,-0.0087996,28.8378,-0.036911
2025-04-15,84.9966,58.0528,4.44261,4.06135,0.0112505,26.9438,-0.036911
2025-04-16,85.6312,57.7751,4.45005,4.05656,0.0067305,27.8561,-0.036911
2025-04-17,88.2291,58.1321,4.47994,4.06272,0.0139938,30.097,-0.036911
2025-04-21,86.8112,55.9703,4.46374,4.02482,-0.024502,30.8409,-0.036911
2025-04-22,89.0025,57.7156,4.48866,4.05553,0.0071254,31.2869,-0.036911
2025-04-23,89.1711,57.9933,4.49056,4.06033,0.0119947,31.1778,-0.036911
2025-04-24,91.0253,59.1139,4.51114,4.07947,0.0318929,31.9114,-0.036911
2025-04-25,90.946,58.5387,4.51027,4.06969,0.0220832,32.4073,-0.036911
2025-04-28,92.1458,59.1635,4.52337,4.0803,0.0331829,32.9823,-0.036911
2025-04-29,91.1046,59.1734,4.51201,4.08047,0.032931,31.9312,-0.036911
2025-04-30,88.3679,58.0826,4.48151,4.06187,0.0131985,30.2854,-0.036911
2025-05-01,89.885,58.3106,4.49853,4.06578,0.0177461,31.5744,-0.036911
2025-05-02,90.6386,59.5007,4.50688,4.08599,0.0382569,31.1379,-0.036911
2025-05-05,86.8707,59.6693,4.46442,4.08882,0.0395191,27.2014,-0.036911
2025-05-06,86.8905,58.2115,4.46465,4.06408,0.0147934,28.679,-0.036911
2025-05-07,86.9698,58.4495,4.46556,4.06816,0.0189072,28.5203,-0.036911
2025-05-08,88.0705,56.5851,4.47814,4.03575,-0.0130452,31.4853,-0.036911
2025-05-09,87.8424,57.1801,4.47554,4.04621,-0.00268051,30.6623,-0.036911
2025-05-12,91.4913,56.6546,4.51624,4.03697,-0.0104125,34.8368,-0.036911
2025-05-13,93.3753,57.5867,4.53663,4.05329,0.00665957,35.7886,-0.036911
2025-05-14,91.7888,57.7156,4.51949,4.05553,0.00826321,34.0732,-0.036911
2025-05-15,92.1755,58.2809,4.52369,4.06527,0.0181646,33.8946,-0.036911
2025-05-16,91.65,58.3007,4.51798,4.06561,0.0182938,33.3493,-0.036911
2025-05-19,90.41,58.0528,4.50435,4.06135,0.0135295,32.3572,-0.036911
2025-05-20,89.69,58.2809,4.49636,4.06527,0.0171556,31.4091,-0.036911
2025-05-21,87.15,57.4479,4.46763,4.05088,0.00169903,29.7021,-0.036911
2025-05-22,86.13,57.2694,4.45586,4.04777,-0.00184754,28.8606,-0.036911
2025-05-23,85.19,58.4991,4.44488,4.06901,0.018992,26.6909,-0.036911
2025-05-27,85.55,59.5998,4.4491,4.08765,0.0377895,25.9502,-0.036911
2025-05-28,84.58,60.1155,4.4377,4.09627,0.0459837,24.4645,-0.036911
2025-05-29,85.6,59.7684,4.44969,4.09048,0.0406357,25.8316,-0.036911
2025-05-30,85.35,60.0064,4.44676,4.09445,0.0445019,25.3436,-0.036911
2025-06-02,86.72,60.7601,4.46268,4.10693,0.0575714,25.9599,-0.036911
2025-06-03,87.91,60.6014,4.47631,4.10432,0.0554597,27.3086,-0.036911
2025-06-04,85.95,59.6197,4.45377,4.08799,0.0382945,26.3303,-0.036911
2025-06-05,85.35,60.056,4.44676,4.09528,0.045328,25.294,-0.036911
2025-06-06,87.22,60.056,4.46843,4.09528,0.046128,27.164,-0.036911
2025-06-09,88.04,59.1635,4.47779,4.0803,0.0315005,28.8765,-0.036911
2025-06-10,91.18,58.4693,4.51284,4.0685,0.0209914,32.7107,-0.036911
2025-06-11,93.35,58.9255,4.53636,4.07627,0.0296312,34.4245,-0.036911
2025-06-12,94.69,59.58,4.55061,4.08732,0.0412035,35.11,-0.036911
2025-06-13,96.96,59.78,4.5743,4.09067,0.0454291,37.18,-0.036911
