Date,MPC Raw Price,SM Raw Price,MPC Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,139.888,39.607,4.94084,3.67901,0.334969,100.281,0.758263
2025-01-03,141.124,40.0213,4.94964,3.68941,0.338703,101.102,0.758263
2025-01-06,138.939,40.2974,4.93403,3.69629,0.357411,98.6413,0.758263
2025-01-07,140.056,42.0923,4.94204,3.73987,0.394917,97.9636,0.758263
2025-01-08,140.718,42.0628,4.94676,3.73916,0.390636,98.6556,0.758263
2025-01-10,140.659,42.7531,4.94634,3.75544,0.407235,97.9059,0.758263
2025-01-13,145.088,43.118,4.97734,3.76394,0.392225,101.97,0.758263
2025-01-14,147.728,43.3153,4.99537,3.76851,0.383118,104.413,0.758263
2025-01-15,150.229,44.0747,5.01216,3.78588,0.387766,106.155,0.758263
2025-01-16,149.982,43.5125,5.01052,3.77305,0.376178,106.47,0.758263
2025-01-17,150.971,42.615,5.01709,3.75221,0.350355,108.356,0.758263
2025-01-21,149.112,41.3034,5.0047,3.72094,0.328485,107.809,0.758263
2025-01-22,145.939,41.2047,4.98319,3.71855,0.342407,104.734,0.758263
2025-01-23,152.563,40.6524,5.02758,3.70506,0.295253,111.91,0.758263
2025-01-24,149.893,39.7308,5.00992,3.68213,0.285705,110.162,0.758263
2025-01-27,150.872,39.3344,5.01643,3.6721,0.270742,111.538,0.758263
2025-01-28,148.934,39.3244,5.0035,3.67185,0.280293,109.61,0.758263
2025-01-29,149.676,39.6911,5.00847,3.68113,0.285808,109.985,0.758263
2025-01-30,148.262,39.2551,4.99898,3.67008,0.281958,109.007,0.758263
2025-01-31,144.06,37.6199,4.97023,3.62753,0.261209,106.44,0.758263
2025-02-03,145.335,37.0451,4.97904,3.61213,0.239129,108.29,0.758263
2025-02-04,155.133,37.9271,5.04428,3.63567,0.21319,117.206,0.758263
2025-02-05,155.529,37.5108,5.04683,3.62463,0.200224,118.018,0.758263
2025-02-06,150.21,36.9063,5.01203,3.60838,0.210363,113.303,0.758263
2025-02-07,148.42,37.0451,5.00005,3.61213,0.223203,111.375,0.758263
2025-02-10,152.039,39.0569,5.02413,3.66502,0.257822,112.982,0.758263
2025-02-11,153.541,40.2461,5.03397,3.69501,0.280359,113.295,0.758263
2025-02-12,147.52,38.5613,4.99397,3.65225,0.267929,108.959,0.758263
2025-02-13,152.345,38.6208,5.02615,3.65379,0.245068,113.724,0.758263
2025-02-14,154.293,38.1748,5.03885,3.64218,0.22382,116.118,0.758263
2025-02-18,157.229,38.2739,5.0577,3.64477,0.212118,118.955,0.758263
2025-02-19,155.758,38.4821,5.0483,3.65019,0.224672,117.275,0.758263
2025-02-20,157.378,36.7775,5.05865,3.60489,0.171515,120.601,0.758263
2025-02-21,152.874,34.0422,5.02961,3.5276,0.11625,118.832,0.758263
2025-02-24,151.84,33.517,5.02283,3.51205,0.105847,118.323,0.758263
2025-02-25,149.742,32.7836,5.00891,3.48993,0.0942749,116.958,0.758263
