Date,MPC Raw Price,SM Raw Price,MPC Log Price,SM Log Price,Residual,Spread,Beta
2025-02-26,145.476,32.0799,4.98001,3.46823,0.0944929,113.396,0.758263
2025-02-27,147.146,32.2286,4.99143,3.47285,0.0904585,114.918,0.758263
2025-02-28,149.334,32.4169,5.00618,3.47868,0.0850941,116.917,0.758263
2025-03-03,144.999,29.7411,4.97672,3.39253,0.0212834,115.257,0.758263
2025-03-04,141.817,28.5915,4.95453,3.35311,-0.00131197,113.225,0.758263
2025-03-05,134.359,27.2734,4.90051,3.30591,-0.00754715,107.085,0.758263
2025-03-06,136.785,26.9067,4.91841,3.29238,-0.0346537,109.878,0.758263
2025-03-07,136.775,27.3428,4.91834,3.30845,-0.0185223,109.432,0.758263
2025-03-10,135.492,27.1248,4.90892,3.30045,-0.0193833,108.368,0.758263
2025-03-11,133.961,28.8095,4.89755,3.36071,0.0494946,105.152,0.758263
2025-03-12,136.348,29.5132,4.91521,3.38484,0.0602356,106.834,0.758263
2025-03-13,136.248,28.5122,4.91448,3.35033,0.0262849,107.736,0.758263
2025-03-14,140.355,29.7213,4.94417,3.39186,0.0452982,110.634,0.758263
2025-03-17,145.337,29.9889,4.97905,3.40083,0.0278135,115.348,0.758263
2025-03-18,145.177,30.0285,4.97796,3.40215,0.029965,115.149,0.758263
2025-03-19,148.727,30.9204,5.00212,3.43142,0.0409174,117.807,0.758263
2025-03-20,151.094,30.6529,5.0179,3.42273,0.0202552,120.441,0.758263
2025-03-21,149.115,30.3952,5.00472,3.41428,0.0218097,118.72,0.758263
2025-03-24,147.842,31.525,4.99615,3.45078,0.0648055,116.317,0.758263
2025-03-25,148.25,30.2564,4.9989,3.40971,0.0216465,117.994,0.758263
2025-03-26,148.966,30.5141,5.00372,3.41819,0.0264736,118.452,0.758263
2025-03-27,146.52,29.9789,4.98716,3.4005,0.0213344,116.541,0.758263
2025-03-28,143.288,29.1366,4.96486,3.37199,0.00974461,114.152,0.758263
2025-03-31,144.869,29.6816,4.97583,3.39053,0.0199585,115.188,0.758263
2025-04-01,145.804,29.5032,4.98226,3.3845,0.00905359,116.301,0.758263
2025-04-02,147.067,30.2465,4.99089,3.40938,0.0273955,116.82,0.758263
2025-04-03,127.866,25.103,4.85098,3.22299,-0.0529107,102.763,0.758263
2025-04-04,120.388,22.0605,4.79072,3.09379,-0.136416,98.3274,0.758263
2025-04-07,120.975,21.6146,4.79558,3.07337,-0.160525,99.36,0.758263
2025-04-08,117.882,20.2073,4.76969,3.00604,-0.208213,97.6748,0.758263
2025-04-09,130.68,24.3994,4.87275,3.19456,-0.0978479,106.28,0.758263
2025-04-10,120.845,21.0497,4.79451,3.04689,-0.186197,99.7957,0.758263
2025-04-11,122.735,21.4758,4.81002,3.06693,-0.177917,101.259,0.758263
2025-04-14,124.147,21.7632,4.82146,3.08022,-0.173297,102.383,0.758263
2025-04-15,121.541,21.5254,4.80025,3.06923,-0.168204,100.016,0.758263
2025-04-16,123.371,22.12,4.8152,3.09648,-0.152284,101.251,0.758263
2025-04-17,127,23.03,4.84419,3.1368,-0.133954,103.97,0.758263
2025-04-21,126.006,22.02,4.83633,3.09195,-0.17284,103.986,0.758263
2025-04-22,130.65,22.88,4.87252,3.13026,-0.16197,107.77,0.758263
2025-04-23,133.543,22.99,4.89443,3.13506,-0.173784,110.553,0.758263
2025-04-24,136.765,23.17,4.91827,3.14286,-0.184061,113.595,0.758263
2025-04-25,136.666,23.48,4.91754,3.15615,-0.170219,113.186,0.758263
2025-04-28,136.805,23.6,4.91856,3.16125,-0.165893,113.205,0.758263
2025-04-29,137.531,23.26,4.92385,3.14674,-0.184418,114.271,0.758263
2025-04-30,136.636,22.79,4.91732,3.12632,-0.199881,113.846,0.758263
2025-05-01,136.944,23.67,4.91957,3.16421,-0.163703,113.274,0.758263
2025-05-02,140.753,22.82,4.947,3.12764,-0.221073,117.933,0.758263
2025-05-05,142.523,21,4.9595,3.04452,-0.313664,121.523,0.758263
2025-05-06,143.736,21.52,4.96798,3.06898,-0.295631,122.216,0.758263
2025-05-07,143.875,21.2,4.96894,3.054,-0.311346,122.675,0.758263
2025-05-08,149.125,22.83,5.00479,3.12808,-0.264449,126.295,0.758263
2025-05-09,150.04,23.16,5.0109,3.14243,-0.254736,126.88,0.758263
2025-05-12,157.249,24.79,5.05783,3.21044,-0.222307,132.459,0.758263
2025-05-13,161.923,25.63,5.08712,3.24376,-0.211191,136.293,0.758263
2025-05-14,162.599,25.46,5.09129,3.23711,-0.221006,137.139,0.758263
2025-05-15,164.359,24.56,5.10205,3.20112,-0.265159,139.799,0.758263
2025-05-16,163.195,24.45,5.09495,3.19663,-0.264262,138.745,0.758263
2025-05-19,161.356,23.92,5.08361,3.17471,-0.277581,137.436,0.758263
2025-05-20,160.62,23.73,5.07904,3.16674,-0.28209,136.89,0.758263
2025-05-21,156.7,23.1,5.05433,3.13983,-0.290262,133.6,0.758263
2025-05-22,158.89,23.18,5.06821,3.14329,-0.297329,135.71,0.758263
2025-05-23,159.11,23.17,5.0696,3.14286,-0.29881,135.94,0.758263
2025-05-27,162.33,23.83,5.08963,3.17095,-0.285915,138.5,0.758263
2025-05-28,158.61,23.66,5.06645,3.16379,-0.275496,134.95,0.758263
2025-05-29,159.92,23.8,5.07467,3.16969,-0.275833,136.12,0.758263
2025-05-30,160.74,23.42,5.07979,3.15359,-0.295806,137.32,0.758263
2025-06-02,158.75,23.92,5.06733,3.17471,-0.265235,134.83,0.758263
2025-06-03,161.97,25.24,5.08741,3.22843,-0.226747,136.73,0.758263
2025-06-04,156.95,24.16,5.05593,3.1847,-0.246605,132.79,0.758263
2025-06-05,158.21,24.01,5.06392,3.17847,-0.258896,134.2,0.758263
2025-06-06,160.12,24.92,5.07592,3.21567,-0.230795,135.2,0.758263
2025-06-09,160.27,25.59,5.07686,3.2422,-0.204974,134.68,0.758263
2025-06-10,162.64,25.99,5.09154,3.25771,-0.200595,136.65,0.758263
2025-06-11,164.66,26.8,5.10388,3.2884,-0.179265,137.86,0.758263
2025-06-12,165.07,27.13,5.10637,3.30064,-0.168912,137.94,0.758263
2025-06-13,166.15,28.26,5.11289,3.34145,-0.13305,137.89,0.758263
