Date,HES Raw Price,OKE Raw Price,HES Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,134.963,99.4384,4.905,4.59954,0.137591,35.5245,1.13443
2025-01-03,135.93,100.542,4.91214,4.61058,0.140537,35.3871,1.13443
2025-01-06,135.461,99.2918,4.90869,4.59806,0.131935,36.1694,1.13443
2025-01-07,138.142,99.282,4.92828,4.59796,0.109605,38.8601,1.13443
2025-01-08,139.338,100.494,4.9369,4.61009,0.111955,38.8444,1.13443
2025-01-10,141.929,99.4188,4.95533,4.59934,0.0802997,42.5105,1.13443
2025-01-13,144.341,101.598,4.97218,4.62102,0.0828638,42.7434,1.13443
2025-01-14,146.185,103.611,4.98487,4.64064,0.0880826,42.5743,1.13443
2025-01-15,148.417,104.431,5.00003,4.64853,0.0787796,43.986,1.13443
2025-01-16,149.225,106.171,5.00545,4.66505,0.0891431,43.0541,1.13443
2025-01-17,150.839,106.464,5.01621,4.6678,0.0796919,44.3755,1.13443
2025-01-21,148.158,107.333,4.99828,4.67594,0.108171,40.825,1.13443
2025-01-22,145.099,103.865,4.97741,4.64309,0.0989932,41.234,1.13443
2025-01-23,144.371,102.487,4.97239,4.62973,0.0913425,41.8841,1.13443
2025-01-24,143.913,102.135,4.96921,4.6263,0.0915125,41.7774,1.13443
2025-01-27,145.617,98.1486,4.98098,4.58648,0.0383432,47.4682,1.13443
2025-01-28,144.56,98.2952,4.9737,4.58798,0.0480955,46.2652,1.13443
2025-01-29,144.67,98.0802,4.97446,4.58579,0.0450462,46.5898,1.13443
2025-01-30,145.358,97.5819,4.9792,4.58069,0.0345731,47.7758,1.13443
2025-01-31,138.561,94.9438,4.93131,4.55328,0.0614925,43.6169,1.13443
2025-02-03,138.361,96.4152,4.92987,4.56866,0.0785049,41.9462,1.13443
2025-02-04,142.298,95.8128,4.95792,4.5624,0.0404109,46.4852,1.13443
2025-02-05,142.258,96.6917,4.95764,4.57153,0.0498604,45.5664,1.13443
2025-02-06,141.451,94.6278,4.95195,4.54995,0.034739,46.8232,1.13443
2025-02-07,142.458,94.6179,4.95904,4.54985,0.0265903,47.8396,1.13443
2025-02-10,145.338,97.462,4.97906,4.57946,0.0334994,47.8757,1.13443
2025-02-11,146.504,97.6991,4.98705,4.58189,0.0268631,48.8048,1.13443
2025-02-12,144.311,96.4054,4.97197,4.56856,0.0306391,47.9059,1.13443
2025-02-13,145.358,97.7386,4.9792,4.5823,0.036177,47.6191,1.13443
2025-02-14,146.055,96.6325,4.98399,4.57092,0.0193642,49.4229,1.13443
2025-02-18,147.471,97.4127,4.99363,4.57896,0.0164663,50.0579,1.13443
2025-02-19,148.766,97.9657,5.00238,4.58462,0.0122043,50.8005,1.13443
2025-02-20,150.45,97.4028,5.01363,4.57885,-0.00632985,53.0477,1.13443
2025-02-21,147.61,96.8794,4.99457,4.57347,0.009904,50.7307,1.13443
2025-02-24,148.248,96.8991,4.99889,4.57367,0.00521644,51.3488,1.13443
2025-02-25,146.454,94.5784,4.98671,4.54943,-0.00521405,51.8756,1.13443
2025-02-26,144.979,94.5685,4.97659,4.54932,0.00616487,50.4105,1.13443
2025-02-27,146.414,95.4375,4.98644,4.55847,0.00413798,50.9766,1.13443
2025-02-28,148.437,99.1409,5.00016,4.59654,0.0266396,49.2964,1.13443
2025-03-03,143.604,95.5561,4.96706,4.55971,0.0273667,48.0476,1.13443
2025-03-04,141.909,92.623,4.95519,4.52854,0.00965494,49.2864,1.13443
2025-03-05,140.863,90.7269,4.94779,4.50785,-0.00263221,50.136,1.13443
2025-03-06,142.856,88.6234,4.96184,4.4844,-0.0420303,54.2328,1.13443
2025-03-07,146.932,88.4555,4.98997,4.4825,-0.0758425,58.4768,1.13443
2025-03-10,147.74,90.2825,4.99545,4.50294,-0.0616145,57.4571,1.13443
2025-03-11,144.122,91.4676,4.97066,4.51598,-0.0204487,52.6543,1.13443
2025-03-12,143.544,91.8132,4.96664,4.51976,-0.0121177,51.7306,1.13443
2025-03-13,143.434,92.3366,4.96588,4.52544,-0.00556639,51.0976,1.13443
2025-03-14,147.63,95.2302,4.99471,4.5563,-0.00741922,52.3998,1.13443
2025-03-17,150.45,97.2152,5.01363,4.57693,-0.00825459,53.2348,1.13443
2025-03-18,152.82,96.7905,5.02926,4.57255,-0.0303635,56.0295,1.13443
2025-03-19,156.38,98.8051,5.05229,4.59315,-0.0358868,57.5749,1.13443
2025-03-20,157.37,99.3977,5.0586,4.59913,-0.0370669,57.9723,1.13443
2025-03-21,156.58,98.104,5.05357,4.58603,-0.0444586,58.4761,1.13443
2025-03-24,157.35,101.027,5.05847,4.61539,-0.0206622,56.3229,1.13443
2025-03-25,158.29,101.106,5.06443,4.61617,-0.0266373,57.1839,1.13443
2025-03-26,160.52,100,5.07842,4.60517,-0.0535076,60.5199,1.13443
2025-03-27,159.07,97.4522,5.06934,4.57936,-0.0690229,61.6178,1.13443
2025-03-28,158.45,97.2547,5.06544,4.57733,-0.0666213,61.1953,1.13443
2025-03-31,159.73,97.9855,5.07348,4.58482,-0.0682626,61.7445,1.13443
2025-04-01,161.29,98.262,5.0832,4.58764,-0.0764702,63.028,1.13443
2025-04-02,160.02,99.1211,5.0753,4.59634,-0.0587967,60.8989,1.13443
2025-04-03,148.38,91.5466,4.99978,4.51685,-0.0526168,56.8334,1.13443
2025-04-04,133.56,79.8539,4.89455,4.3802,-0.0698946,53.7061,1.13443
2025-04-07,130.59,79.9033,4.87206,4.38082,-0.043765,50.6867,1.13443
2025-04-08,127.51,77.7306,4.84819,4.35325,-0.0442559,49.7794,1.13443
2025-04-09,137.97,83.8041,4.92704,4.42848,-0.0584635,54.1659,1.13443
2025-04-10,127.16,80.2292,4.84545,4.38489,-0.0095002,46.9308,1.13443
2025-04-11,128.5,81.5327,4.85593,4.401,-0.00527462,46.9673,1.13443
2025-04-14,127.91,82.3425,4.85133,4.41089,0.00982922,45.5675,1.13443
2025-04-15,127.21,83.1128,4.84584,4.4202,0.025366,44.0972,1.13443
2025-04-16,127.95,83.7449,4.85164,4.42777,0.0263617,44.2051,1.13443
2025-04-17,130.64,85.1571,4.87245,4.4445,0.0194814,45.4829,1.13443
2025-04-21,126.32,80.8019,4.83882,4.392,0.00513257,45.5181,1.13443
2025-04-22,130.38,83.0042,4.87045,4.41889,-0.00386492,47.3758,1.13443
2025-04-23,130.03,83.6066,4.86777,4.42612,0.00641593,46.4234,1.13443
2025-04-24,132.38,85.2065,4.88568,4.44508,0.00505117,47.1736,1.13443
2025-04-25,132.34,85.2361,4.88537,4.44542,0.0057417,47.1039,1.13443
2025-04-28,133.84,86.7767,4.89665,4.46334,0.0108689,47.0633,1.13443
2025-04-29,132.54,86.7668,4.88688,4.46322,0.0218278,45.7732,1.13443
2025-04-30,129.05,81.1377,4.8602,4.39615,-0.0149765,47.9123,1.13443
2025-05-01,129.79,79.923,4.86592,4.38106,-0.0365469,49.867,1.13443
2025-05-02,132.31,81.75,4.88515,4.40367,-0.0357601,50.56,1.13443
2025-05-05,128.8,80.15,4.85826,4.3839,-0.0250248,48.65,1.13443
2025-05-06,128.87,79.29,4.8588,4.37311,-0.0364289,49.58,1.13443
2025-05-07,129.09,80.25,4.86051,4.38515,-0.0263292,48.84,1.13443
2025-05-08,130.88,82.25,4.87428,4.40976,-0.0173349,48.63,1.13443
2025-05-09,132.37,82.3,4.8856,4.41037,-0.0295691,50.07,1.13443
2025-05-12,135.21,85.04,4.90683,4.44312,-0.0209004,50.17,1.13443
2025-05-13,135.7,86.51,4.91045,4.46026,-0.00786573,49.19,1.13443
2025-05-14,134.79,86.61,4.90372,4.46142,0.000922634,48.18,1.13443
2025-05-15,135.07,86.03,4.90579,4.4547,-0.00815083,49.04,1.13443
2025-05-16,134.93,85.67,4.90476,4.4505,-0.0111676,49.26,1.13443
2025-05-19,132.79,84.73,4.88877,4.43947,-0.00406418,48.06,1.13443
2025-05-20,132.05,83.71,4.88318,4.42736,-0.00983606,48.34,1.13443
2025-05-21,130.16,81.83,4.86876,4.40464,-0.0161964,48.33,1.13443
2025-05-22,130.02,81.37,4.86769,4.39901,-0.0206128,48.65,1.13443
2025-05-23,131.36,81.14,4.87794,4.39618,-0.0350751,50.22,1.13443
2025-05-27,132.58,81.74,4.88719,4.40354,-0.0381951,50.84,1.13443
2025-05-28,131.07,80.59,4.87573,4.38937,-0.0393695,50.48,1.13443
2025-05-29,133.62,80.68,4.895,4.39049,-0.0601119,52.94,1.13443
2025-05-30,132.19,80.84,4.88424,4.39247,-0.0459247,51.35,1.13443
2025-06-02,133.75,82.51,4.89597,4.41292,-0.0387863,51.24,1.13443
2025-06-03,135.96,83.24,4.91236,4.42173,-0.0485694,52.72,1.13443
2025-06-04,133.45,80.52,4.89373,4.38851,-0.0606529,52.93,1.13443
2025-06-05,133.05,81.19,4.89073,4.39679,-0.0489609,51.86,1.13443
2025-06-06,136.13,81.72,4.91361,4.4033,-0.0684161,54.41,1.13443
2025-06-09,136.63,81.12,4.91728,4.39593,-0.0799444,55.51,1.13443
2025-06-10,138.66,81.72,4.93202,4.4033,-0.0893062,56.94,1.13443
2025-06-11,140.58,82.9,4.94578,4.41764,-0.0905704,57.68,1.13443
2025-06-12,141.14,82.65,4.94975,4.41461,-0.0981006,58.49,1.13443
2025-06-13,142.26,83.75,4.95766,4.42784,-0.0938459,58.51,1.13443
