Date,MPC Raw Price,MUR Raw Price,MPC Log Price,MUR Log Price,Residual,Spread,Beta
2025-01-02,139.888,30.1631,4.94084,3.40662,0.217953,109.725,0.405345
2025-01-03,141.124,30.0559,4.94964,3.40306,0.210828,111.068,0.405345
2025-01-06,138.939,29.9682,4.93403,3.40014,0.214232,108.97,0.405345
2025-01-07,140.056,30.8256,4.94204,3.42834,0.239192,109.23,0.405345
2025-01-08,140.718,31.9265,4.94676,3.46344,0.272371,108.792,0.405345
2025-01-10,140.659,32.3746,4.94634,3.47738,0.286482,108.284,0.405345
2025-01-13,145.088,32.9592,4.97734,3.49527,0.291809,112.129,0.405345
2025-01-14,147.728,33.0274,4.99537,3.49734,0.286568,114.701,0.405345
2025-01-15,150.229,32.5987,5.01216,3.48427,0.266697,117.631,0.405345
2025-01-16,149.982,32.1993,5.01052,3.47194,0.255036,117.783,0.405345
2025-01-17,150.971,31.4101,5.01709,3.44713,0.227559,119.561,0.405345
2025-01-21,149.112,30.6794,5.0047,3.42359,0.209042,118.433,0.405345
2025-01-22,145.939,30.0656,4.98319,3.40338,0.197554,115.873,0.405345
2025-01-23,152.563,29.6175,5.02758,3.38836,0.164542,122.945,0.405345
2025-01-24,149.893,28.9745,5.00992,3.36642,0.149748,120.919,0.405345
2025-01-27,150.872,28.7894,5.01643,3.36001,0.1407,122.083,0.405345
2025-01-28,148.934,28.4484,5.0035,3.34809,0.134025,120.486,0.405345
2025-01-29,149.676,28.4289,5.00847,3.34741,0.131327,121.247,0.405345
2025-01-30,148.262,26.7629,4.99898,3.28702,0.0747847,121.499,0.405345
2025-01-31,144.06,25.9445,4.97023,3.25596,0.0553823,118.116,0.405345
2025-02-03,145.335,24.8923,4.97904,3.21456,0.0104085,120.443,0.405345
2025-02-04,155.133,25.7886,5.04428,3.24993,0.0193386,129.345,0.405345
2025-02-05,155.529,25.9932,5.04683,3.25784,0.0262089,129.535,0.405345
2025-02-06,150.21,25.623,5.01203,3.24349,0.0259689,124.587,0.405345
2025-02-07,148.42,26.1296,5.00005,3.26307,0.0504059,122.29,0.405345
2025-02-10,152.039,27.3085,5.02413,3.3072,0.0847695,124.73,0.405345
2025-02-11,153.541,27.9905,5.03397,3.33186,0.105449,125.551,0.405345
2025-02-12,147.52,26.9675,4.99397,3.29463,0.0844327,120.553,0.405345
2025-02-13,152.345,27.2013,5.02615,3.30327,0.080021,125.144,0.405345
2025-02-14,154.293,27.5326,5.03885,3.31537,0.0869758,126.76,0.405345
2025-02-18,157.229,27.7839,5.0577,3.32446,0.0884211,129.445,0.405345
2025-02-19,155.758,27.981,5.0483,3.33153,0.0993026,127.777,0.405345
2025-02-20,157.378,27.7938,5.05865,3.32481,0.0883913,129.585,0.405345
2025-02-21,152.874,26.9166,5.02961,3.29274,0.0680933,125.957,0.405345
2025-02-24,151.84,27.3108,5.02283,3.30728,0.0853851,124.529,0.405345
2025-02-25,149.742,27.2615,5.00891,3.30548,0.0892192,122.48,0.405345
2025-02-26,145.476,26.542,4.98001,3.27873,0.0741878,118.934,0.405345
2025-02-27,147.146,26.3351,4.99143,3.2709,0.0617311,120.811,0.405345
2025-02-28,149.334,26.1084,5.00618,3.26226,0.0471043,123.226,0.405345
2025-03-03,144.999,24.1076,4.97672,3.18253,-0.0206819,120.891,0.405345
2025-03-04,141.817,24.0781,4.95453,3.1813,-0.0129148,117.738,0.405345
2025-03-05,134.359,23.674,4.90051,3.16438,-0.00794295,110.685,0.405345
2025-03-06,136.785,23.812,4.91841,3.17019,-0.00938581,112.973,0.405345
2025-03-07,136.775,24.9947,4.91834,3.21866,0.0391184,111.78,0.405345
2025-03-10,135.492,25.2805,4.90892,3.23003,0.0543083,110.212,0.405345
2025-03-11,133.961,24.8862,4.89755,3.21432,0.0431981,109.075,0.405345
2025-03-12,136.348,24.768,4.91521,3.20955,0.0312767,111.58,0.405345
2025-03-13,136.248,24.5216,4.91448,3.19955,0.0215744,111.726,0.405345
2025-03-14,140.355,25.6649,4.94417,3.24512,0.0551068,114.69,0.405345
2025-03-17,145.337,26.2759,4.97905,3.26865,0.0644993,119.061,0.405345
2025-03-18,145.177,25.724,4.97796,3.24742,0.0437143,119.453,0.405345
2025-03-19,148.727,26.7096,5.00212,3.28502,0.0715204,122.018,0.405345
2025-03-20,151.094,26.4435,5.0179,3.27501,0.0551082,124.65,0.405345
2025-03-21,149.115,26.3154,5.00472,3.27015,0.0555947,122.8,0.405345
2025-03-24,147.842,26.8673,4.99615,3.29091,0.0798263,120.975,0.405345
2025-03-25,148.25,27.3404,4.9989,3.30836,0.096165,120.91,0.405345
2025-03-26,148.966,27.9416,5.00372,3.33012,0.115964,121.024,0.405345
2025-03-27,146.52,28.0894,4.98716,3.33539,0.127952,118.43,0.405345
2025-03-28,143.288,27.9613,4.96486,3.33082,0.132421,115.327,0.405345
2025-03-31,144.869,27.9909,4.97583,3.33188,0.12903,116.878,0.405345
2025-04-01,145.804,28.3358,4.98226,3.34413,0.138671,117.468,0.405345
2025-04-02,147.067,28.7892,4.99089,3.36,0.151049,118.278,0.405345
2025-04-03,127.866,25.0439,4.85098,3.22063,0.0683915,102.822,0.405345
2025-04-04,120.388,21.9985,4.79072,3.09097,-0.0368421,98.3895,0.405345
2025-04-07,120.975,21.1508,4.79558,3.05168,-0.078105,99.8238,0.405345
2025-04-08,117.882,19.3374,4.76969,2.96204,-0.15725,98.5448,0.405345
2025-04-09,130.68,22.8461,4.87275,3.12878,-0.0322855,107.834,0.405345
2025-04-10,120.845,19.6823,4.79451,2.97972,-0.149631,101.163,0.405345
2025-04-11,122.735,20.5693,4.81002,3.0238,-0.111838,102.165,0.405345
2025-04-14,124.147,20.2342,4.82146,3.00738,-0.1329,103.912,0.405345
2025-04-15,121.541,19.8302,4.80025,2.9872,-0.144476,101.711,0.405345
2025-04-16,123.371,20.2934,4.8152,3.01029,-0.127441,103.078,0.405345
2025-04-17,127,21.0621,4.84419,3.04748,-0.102012,105.938,0.405345
2025-04-21,126.006,20.5299,4.83633,3.02188,-0.124419,105.476,0.405345
2025-04-22,130.65,21.0819,4.87252,3.04841,-0.112559,109.568,0.405345
2025-04-23,133.543,20.2934,4.89443,3.01029,-0.159557,113.25,0.405345
2025-04-24,136.765,20.5299,4.91827,3.02188,-0.157631,116.235,0.405345
2025-04-25,136.666,20.7665,4.91754,3.03334,-0.14588,115.899,0.405345
