Date,XOM Raw Price,FANG Raw Price,XOM Log Price,FANG Log Price,Residual,Spread,Beta
2025-04-02,117.587,160.375,4.76718,5.07751,-0.0567336,42.7879,1.49353
2025-04-03,111.404,140.304,4.71316,4.94381,-0.109759,28.9005,1.49353
2025-04-04,103.388,122.518,4.63849,4.80826,-0.133783,19.1303,1.49353
2025-04-07,102.001,123.67,4.62498,4.81762,-0.104249,21.6695,1.49353
2025-04-08,99.8504,118.427,4.60367,4.77429,-0.115753,18.5762,1.49353
2025-04-09,104.834,133.998,4.65238,4.89783,-0.0649692,29.1638,1.49353
2025-04-10,99.018,122.31,4.5953,4.80656,-0.0709891,23.2915,1.49353
2025-04-11,102.199,128.119,4.62692,4.85296,-0.0718052,25.9204,1.49353
2025-04-14,102.446,126.759,4.62934,4.84228,-0.086097,24.3122,1.49353
2025-04-15,102.159,126.262,4.62653,4.83836,-0.0858268,24.103,1.49353
2025-04-16,103.239,129.321,4.63705,4.8623,-0.0775975,26.0817,1.49353
2025-04-17,105.944,136.69,4.66291,4.91771,-0.060811,30.7453,1.49353
2025-04-21,104.389,131.436,4.64812,4.87852,-0.0779091,27.0476,1.49353
2025-04-22,107.312,135.597,4.67574,4.90969,-0.0879886,28.2855,1.49353
2025-04-23,106.39,134.604,4.66711,4.90234,-0.0824587,28.2139,1.49353
2025-04-24,107.639,135.22,4.67878,4.9069,-0.0953194,27.5812,1.49353
2025-04-25,107.579,135.816,4.67823,4.9113,-0.0900975,28.2365,1.49353
2025-04-28,107.639,136.868,4.67878,4.91902,-0.0832015,29.2297,1.49353
2025-04-29,107.371,135.706,4.67629,4.91049,-0.0880105,28.3353,1.49353
2025-04-30,104.666,131.098,4.65077,4.87595,-0.0844458,26.4324,1.49353
2025-05-01,104.815,133.899,4.65219,4.89709,-0.065428,29.0844,1.49353
2025-05-02,105.241,135.865,4.65625,4.91166,-0.0569087,30.6246,1.49353
2025-05-05,102.328,132.161,4.62818,4.88402,-0.0426258,29.8335,1.49353
2025-05-06,103.754,131.069,4.64203,4.87572,-0.071608,27.3142,1.49353
2025-05-07,103.655,128.675,4.64107,4.85729,-0.08861,25.02,1.49353
2025-05-08,105.102,135.24,4.65493,4.90705,-0.0595543,30.1377,1.49353
2025-05-09,106.331,136.938,4.66655,4.91953,-0.0644342,30.6072,1.49353
2025-05-12,108.164,141.933,4.68365,4.95536,-0.0541343,33.7693,1.49353
2025-05-13,108.461,145.161,4.68639,4.97784,-0.0357479,36.6996,1.49353
2025-05-14,107.49,143.82,4.6774,4.96856,-0.0315947,36.33,1.49353
2025-05-15,108.58,141.95,4.68749,4.95547,-0.0597513,33.37,1.49353
2025-05-16,108.19,141.13,4.68389,4.94968,-0.0601706,32.94,1.49353
2025-05-19,106.47,139.35,4.66786,4.93699,-0.0489283,32.88,1.49353
2025-05-20,104.95,138.35,4.65348,4.92979,-0.0346545,33.4,1.49353
2025-05-21,103.66,136.31,4.64112,4.91493,-0.031038,32.65,1.49353
2025-05-22,102.97,136.29,4.63444,4.91478,-0.02121,33.32,1.49353
2025-05-23,103.03,135.86,4.63502,4.91162,-0.02524,32.83,1.49353
2025-05-27,103.52,137.49,4.63976,4.92355,-0.0203999,33.97,1.49353
2025-05-28,102.11,136.28,4.62605,4.91471,-0.00875705,34.17,1.49353
2025-05-29,102.69,137.81,4.63171,4.92588,-0.00605224,35.12,1.49353
2025-05-30,102.3,134.55,4.62791,4.90194,-0.0243093,32.25,1.49353
2025-06-02,103.05,137.59,4.63521,4.92428,-0.0128767,34.54,1.49353
2025-06-03,103.8,142.28,4.64247,4.9578,0.00981146,38.48,1.49353
2025-06-04,102.3,139.35,4.62791,4.93699,0.0107436,37.05,1.49353
2025-06-05,101.83,137.45,4.6233,4.92326,0.00389264,35.62,1.49353
2025-06-06,104.27,140.56,4.64698,4.94563,-0.00909832,36.29,1.49353
2025-06-09,104.97,142.13,4.65367,4.95674,-0.00798374,37.16,1.49353
2025-06-10,107.22,145.57,4.67488,4.98066,-0.0157439,38.35,1.49353
2025-06-11,109.31,148.92,4.69419,5.00341,-0.0218246,39.61,1.49353
2025-06-12,109.73,149.33,4.69802,5.00616,-0.0248028,39.6,1.49353
2025-06-13,112.12,154.91,4.71957,5.04284,-0.0202982,42.79,1.49353
