Date,XOM Raw Price,FANG Raw Price,XOM Log Price,FANG Log Price,Residual,Spread,Beta
2025-01-02,105.388,164.468,4.65765,5.10271,0.132053,59.0797,1.49353
2025-01-03,105.928,168.59,4.66276,5.12747,0.149171,62.6616,1.49353
2025-01-06,105.81,167.288,4.66165,5.11972,0.143083,61.4777,1.49353
2025-01-07,106.802,170.029,4.67098,5.13597,0.145402,63.2273,1.49353
2025-01-08,105.015,168.619,4.6541,5.12764,0.16228,63.6045,1.49353
2025-01-10,104.632,172.347,4.65045,5.14951,0.189603,67.7151,1.49353
2025-01-13,107.333,175.148,4.67593,5.16563,0.167661,67.815,1.49353
2025-01-14,107.755,175.217,4.67986,5.16602,0.16219,67.4617,1.49353
2025-01-15,109.513,177.07,4.69604,5.17655,0.148546,67.5577,1.49353
2025-01-16,109.326,176.637,4.69434,5.17409,0.14864,67.3104,1.49353
2025-01-17,110.308,177.682,4.70328,5.17999,0.141183,67.3736,1.49353
2025-01-21,109.474,174.497,4.69568,5.16191,0.13444,65.0232,1.49353
2025-01-22,107.568,175.128,4.67813,5.16552,0.164272,67.5596,1.49353
2025-01-23,108.177,174.181,4.68377,5.1601,0.150421,66.004,1.49353
2025-01-24,106.714,170.858,4.67015,5.14083,0.151498,64.144,1.49353
2025-01-27,108.197,169.221,4.68395,5.1312,0.121259,61.0241,1.49353
2025-01-28,106.105,166.903,4.66443,5.11742,0.136628,60.7985,1.49353
2025-01-29,106.724,168.491,4.67024,5.12688,0.137412,61.7675,1.49353
2025-01-30,107.608,168.047,4.67849,5.12425,0.122456,60.4398,1.49353
2025-01-31,104.917,162.081,4.65317,5.0881,0.124132,57.1646,1.49353
2025-02-03,105.172,162.2,4.6556,5.08883,0.121231,57.0276,1.49353
2025-02-04,107.991,163.994,4.68204,5.09983,0.0927358,56.0038,1.49353
2025-02-05,107.912,162.476,4.68132,5.09053,0.0845192,54.5637,1.49353
2025-02-06,106.488,157.811,4.66803,5.0614,0.0752309,51.3233,1.49353
2025-02-07,106.94,155.938,4.67227,5.04946,0.0569644,48.9979,1.49353
2025-02-10,108.982,159.419,4.69119,5.07153,0.050782,50.4362,1.49353
2025-02-11,109.67,159.764,4.69748,5.0737,0.0435531,50.0939,1.49353
2025-02-12,106.37,153.305,4.66693,5.03243,0.047909,46.9343,1.49353
2025-02-13,107.143,154.005,4.67417,5.03698,0.041653,46.8616,1.49353
2025-02-14,107.252,154.813,4.67518,5.04222,0.0453713,47.5612,1.49353
2025-02-18,109.135,154.587,4.69258,5.04075,0.0179157,45.4518,1.49353
2025-02-19,109.293,158.038,4.69404,5.06284,0.0378292,48.7447,1.49353
2025-02-20,110.978,159.843,4.70933,5.07419,0.0263399,48.8648,1.49353
2025-02-21,109.68,153.955,4.69757,5.03666,0.006385,44.2756,1.49353
2025-02-24,110.255,153.078,4.70279,5.03095,-0.00713739,42.8233,1.49353
2025-02-25,108.729,149.814,4.68885,5.00939,-0.00787613,41.0851,1.49353
2025-02-26,108.461,150.317,4.68639,5.01274,-0.000845171,41.8556,1.49353
2025-02-27,109.145,153.433,4.69268,5.03326,0.0102884,44.2881,1.49353
2025-02-28,110.314,156.756,4.70333,5.05469,0.0158021,46.4421,1.49353
2025-03-03,106.777,145.948,4.67074,4.98325,-0.00696068,39.1715,1.49353
2025-03-04,106.559,143.029,4.66869,4.96305,-0.0241112,36.4705,1.49353
2025-03-05,104.478,140.722,4.64897,4.94678,-0.0109226,36.2438,1.49353
2025-03-06,106.638,138.934,4.66944,4.934,-0.0542711,32.2961,1.49353
2025-03-07,108.025,139.143,4.68236,4.9355,-0.0720747,31.1175,1.49353
2025-03-10,110.78,139.609,4.70754,4.93885,-0.106333,28.8296,1.49353
2025-03-11,108.164,143.651,4.68365,4.96739,-0.0421023,35.4874,1.49353
2025-03-12,108.134,145.538,4.68337,4.98044,-0.028642,37.404,1.49353
2025-03-13,107.678,144.793,4.67915,4.97531,-0.0274641,37.115,1.49353
2025-03-14,110.879,149.163,4.70844,5.00504,-0.0414776,38.2841,1.49353
2025-03-17,112.722,151.973,4.72492,5.0237,-0.0474328,39.2515,1.49353
2025-03-18,112.603,153.93,4.72387,5.0365,-0.0330653,41.3268,1.49353
2025-03-19,114.357,156.512,4.73932,5.05313,-0.0395136,42.155,1.49353
2025-03-20,114.842,157.386,4.74356,5.0587,-0.0402731,42.5434,1.49353
2025-03-21,114.446,157.406,4.7401,5.05883,-0.0349833,42.9596,1.49353
2025-03-24,114.743,159.898,4.7427,5.07454,-0.0231458,45.155,1.49353
2025-03-25,115.526,160.484,4.7495,5.0782,-0.0296424,44.9582,1.49353
2025-03-26,117.191,161.964,4.7638,5.08737,-0.0418319,44.7732,1.49353
2025-03-27,116.814,159.124,4.76058,5.06968,-0.0547174,42.3095,1.49353
2025-03-28,116.656,156.452,4.75923,5.05275,-0.06962,39.7966,1.49353
2025-03-31,117.845,158.776,4.76937,5.06749,-0.0700219,40.9314,1.49353
2025-04-01,117.954,159.759,4.77029,5.07367,-0.0652297,41.8055,1.49353
