Date,RRC Raw Price,SM Raw Price,RRC Log Price,SM Log Price,Residual,Spread,Beta
2025-03-04,37.6843,28.5915,3.62924,3.35311,-0.0289476,9.09282,1.74455
2025-03-05,37.3558,27.2734,3.62049,3.30591,-0.0608718,10.0824,1.74455
2025-03-06,35.2158,26.9067,3.5615,3.29238,0.0285102,8.3091,1.74455
2025-03-07,35.0566,27.3428,3.55696,3.30845,0.0524938,7.71379,1.74455
2025-03-10,36.2908,27.1248,3.59156,3.30045,-0.0158764,9.16606,1.74455
2025-03-11,37.2762,28.8095,3.61836,3.36071,-0.0023556,8.4667,1.74455
2025-03-12,37.4255,29.5132,3.62235,3.38484,0.0148013,7.91236,1.74455
2025-03-13,37.2862,28.5122,3.61862,3.35033,-0.0131947,8.77396,1.74455
2025-03-14,38.234,29.7213,3.64373,3.39186,-0.0154586,8.51276,1.74455
2025-03-17,38.8826,29.9889,3.66055,3.40083,-0.0358397,8.89373,1.74455
2025-03-18,39.5511,30.0285,3.67759,3.40215,-0.0642573,9.52258,1.74455
2025-03-19,40.4191,30.9204,3.6993,3.43142,-0.0728614,9.49869,1.74455
2025-03-20,40.1797,30.6529,3.69336,3.42273,-0.0711867,9.52681,1.74455
2025-03-21,39.7905,30.3952,3.68363,3.41428,-0.0626506,9.39536,1.74455
2025-03-24,40.5788,31.525,3.70324,3.45078,-0.0603754,9.0538,1.74455
2025-03-25,40.05,30.2564,3.69013,3.40971,-0.0785625,9.79352,1.74455
2025-03-26,39.7506,30.5141,3.68263,3.41819,-0.056995,9.23652,1.74455
2025-03-27,38.703,29.9789,3.65592,3.4005,-0.0280936,8.72404,1.74455
2025-03-28,39.1021,29.1366,3.66618,3.37199,-0.0744926,9.96552,1.74455
2025-03-31,39.8404,29.6816,3.68488,3.39053,-0.0885921,10.1588,1.74455
2025-04-01,40.1298,29.5032,3.69212,3.3845,-0.107245,10.6265,1.74455
2025-04-02,40.5189,30.2465,3.70177,3.40938,-0.0991985,10.2724,1.74455
2025-04-03,37.9846,25.103,3.63718,3.22299,-0.172914,12.8816,1.74455
2025-04-04,33.375,22.0605,3.50781,3.09379,-0.0764113,11.3144,1.74455
2025-04-07,33.4348,21.6146,3.5096,3.07337,-0.0999605,11.8203,1.74455
2025-04-08,32.028,20.2073,3.46661,3.00604,-0.0922899,11.8207,1.74455
2025-04-09,34.4825,24.3994,3.54045,3.19456,-0.0325949,10.0831,1.74455
2025-04-10,32.1777,21.0497,3.47127,3.04689,-0.0595816,11.128,1.74455
2025-04-11,33.3151,21.4758,3.50601,3.06693,-0.100142,11.8393,1.74455
2025-04-14,33.3849,21.7632,3.5081,3.08022,-0.0905015,11.6217,1.74455
2025-04-15,33.2652,21.5254,3.50451,3.06923,-0.0952229,11.7398,1.74455
2025-04-16,34.0235,22.12,3.52705,3.09648,-0.107294,11.9035,1.74455
2025-04-17,34.1033,23.03,3.52939,3.1368,-0.0710671,11.0733,1.74455
2025-04-21,32.5468,22.02,3.48268,3.09195,-0.0344166,10.5268,1.74455
2025-04-22,33.2153,22.88,3.50301,3.13026,-0.031574,10.3353,1.74455
2025-04-23,33.9736,22.99,3.52558,3.13506,-0.0661575,10.9836,1.74455
2025-04-24,33.784,23.17,3.51999,3.14286,-0.0485966,10.614,1.74455
2025-04-25,34.712,23.48,3.54708,3.15615,-0.0825757,11.232,1.74455
2025-04-28,35.1709,23.6,3.56022,3.16125,-0.100394,11.5709,1.74455
2025-04-29,35.0213,23.26,3.55596,3.14674,-0.107466,11.7613,1.74455
2025-04-30,33.8539,22.79,3.52205,3.12632,-0.068736,11.0639,1.74455
2025-05-01,34.1432,23.67,3.53056,3.16421,-0.0456969,10.4732,1.74455
2025-05-02,34.9315,22.82,3.55339,3.12764,-0.122085,12.1115,1.74455
2025-05-05,34.9814,21,3.55482,3.04452,-0.207689,13.9814,1.74455
2025-05-06,34.9514,21.52,3.55396,3.06898,-0.181735,13.4314,1.74455
2025-05-07,35.7396,21.2,3.57626,3.054,-0.235623,14.5396,1.74455
2025-05-08,36.6476,22.83,3.60135,3.12808,-0.205315,13.8176,1.74455
2025-05-09,37.7751,23.16,3.63165,3.14243,-0.243827,14.6151,1.74455
2025-05-12,38.9125,24.79,3.66132,3.21044,-0.227568,14.1225,1.74455
2025-05-13,40.5289,25.63,3.70201,3.24376,-0.265246,14.8989,1.74455
2025-05-14,40.3293,25.46,3.69708,3.23711,-0.26329,14.8693,1.74455
2025-05-15,40.2096,24.56,3.69411,3.20112,-0.294092,15.6496,1.74455
2025-05-16,40.03,24.45,3.68963,3.19663,-0.290772,15.58,1.74455
2025-05-19,39.3415,23.92,3.67228,3.17471,-0.282423,15.4215,1.74455
2025-05-20,39.6309,23.73,3.67961,3.16674,-0.303181,15.9009,1.74455
2025-05-21,39.2318,23.1,3.66949,3.13983,-0.312431,16.1318,1.74455
2025-05-22,39.3216,23.18,3.67177,3.14329,-0.312962,16.1416,1.74455
2025-05-23,39.4613,23.17,3.67532,3.14286,-0.31958,16.2913,1.74455
2025-05-27,39.7207,23.83,3.68187,3.17095,-0.302925,15.8907,1.74455
2025-05-28,39.2518,23.66,3.67,3.16379,-0.289365,15.5918,1.74455
2025-05-29,39.122,23.8,3.66669,3.16969,-0.277691,15.322,1.74455
2025-05-30,37.9547,23.42,3.63639,3.15359,-0.240937,14.5347,1.74455
2025-06-02,38.8327,23.92,3.65926,3.17471,-0.259711,14.9127,1.74455
2025-06-03,38.9524,25.24,3.66234,3.22843,-0.211366,13.7124,1.74455
2025-06-04,37.6254,24.16,3.62768,3.1847,-0.194629,13.4654,1.74455
2025-06-05,37.3161,24.01,3.61942,3.17847,-0.186457,13.3061,1.74455
2025-06-06,38.3039,24.92,3.64555,3.21567,-0.194835,13.3839,1.74455
2025-06-09,38.7229,25.59,3.65643,3.2422,-0.187286,13.1329,1.74455
2025-06-10,38.6431,25.99,3.65437,3.25771,-0.168176,12.6531,1.74455
2025-06-11,39.2418,26.8,3.66974,3.2884,-0.164306,12.4418,1.74455
2025-06-12,40.03,27.13,3.68963,3.30064,-0.186762,12.9,1.74455
2025-06-13,41.39,28.26,3.72304,3.34145,-0.20424,13.13,1.74455
