Date,RRC Raw Price,SM Raw Price,RRC Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,35.8827,39.607,3.58026,3.67901,0.382413,3.72432,1.74455
2025-01-03,35.7434,40.0213,3.57636,3.68941,0.399605,4.27789,1.74455
2025-01-06,36.6392,40.2974,3.60112,3.69629,0.363297,3.65821,1.74455
2025-01-07,36.6093,42.0923,3.6003,3.73987,0.408298,5.48302,1.74455
2025-01-08,37.3459,42.0628,3.62022,3.73916,0.372844,4.71686,1.74455
2025-01-10,37.9929,42.7531,3.6374,3.75544,0.359159,4.76023,1.74455
2025-01-13,38.3114,43.118,3.64575,3.76394,0.353093,4.80663,1.74455
2025-01-14,39.4361,43.3153,3.67468,3.76851,0.307178,3.87912,1.74455
2025-01-15,40.1429,44.0747,3.69244,3.78588,0.293572,3.9318,1.74455
2025-01-16,41.0984,43.5125,3.71597,3.77305,0.239695,2.41411,1.74455
2025-01-17,40.8794,42.615,3.71063,3.75221,0.228174,1.73562,1.74455
2025-01-21,40.7799,41.3034,3.70819,3.72094,0.201163,0.523468,1.74455
2025-01-22,40.8097,41.2047,3.70892,3.71855,0.197496,0.394985,1.74455
2025-01-23,40.3718,40.6524,3.69813,3.70506,0.202825,0.280655,1.74455
2025-01-24,39.9836,39.7308,3.68847,3.68213,0.196748,0.252819,1.74455
2025-01-27,37.0971,39.3344,3.61354,3.6721,0.317442,2.2373,1.74455
2025-01-28,37.2264,39.3244,3.61702,3.67185,0.311116,2.098,1.74455
2025-01-29,37.4156,39.6911,3.62209,3.68113,0.311557,2.27556,1.74455
2025-01-30,37.3957,39.2551,3.62155,3.67008,0.301438,1.85941,1.74455
2025-01-31,36.8681,37.6199,3.60735,3.62753,0.283675,0.75174,1.74455
2025-02-03,37.2663,37.0451,3.61809,3.61213,0.24954,0.221207,1.74455
2025-02-04,37.5649,37.9271,3.62607,3.63567,0.259147,0.362209,1.74455
2025-02-05,38.7593,37.5108,3.65737,3.62463,0.193505,1.24846,1.74455
2025-02-06,37.4554,36.9063,3.62315,3.60838,0.236956,0.549068,1.74455
2025-02-07,37.0771,37.0451,3.613,3.61213,0.258415,0.0320854,1.74455
2025-02-10,39.5257,39.0569,3.67695,3.66502,0.199733,0.468861,1.74455
2025-02-11,39.3864,40.2461,3.67342,3.69501,0.235889,0.859737,1.74455
2025-02-12,38.3014,38.5613,3.64549,3.65225,0.241856,0.259907,1.74455
2025-02-13,38.6199,38.6208,3.65377,3.65379,0.228949,0.000858307,1.74455
2025-02-14,38.4906,38.1748,3.65041,3.64218,0.22319,0.315712,1.74455
2025-02-18,38.7394,38.2739,3.65686,3.64477,0.21454,0.465454,1.74455
2025-02-19,39.7148,38.4821,3.68173,3.65019,0.176579,1.23278,1.74455
2025-02-20,39.4859,36.7775,3.67594,3.60489,0.141358,2.70844,1.74455
2025-02-21,38.3014,34.0422,3.64549,3.5276,0.117207,4.25924,1.74455
2025-02-24,37.8137,33.517,3.63267,3.51205,0.124015,4.29676,1.74455
2025-02-25,37.326,32.7836,3.61969,3.48993,0.124539,4.5424,1.74455
2025-02-26,38.3711,32.0799,3.6473,3.46823,0.054666,6.29117,1.74455
2025-02-27,36.2311,32.2286,3.58992,3.47285,0.159404,4.00249,1.74455
2025-02-28,36.9477,32.4169,3.6095,3.47868,0.131059,4.53085,1.74455
2025-03-03,36.6292,29.7411,3.60085,3.39253,0.0600137,6.88814,1.74455
