Date,HES Raw Price,SM Raw Price,HES Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,134.963,39.607,4.905,3.67901,0.392794,95.3559,2.26936
2025-01-03,135.93,40.0213,4.91214,3.68941,0.387,95.9084,2.26936
2025-01-06,135.461,40.2974,4.90869,3.69629,0.40171,95.1638,2.26936
2025-01-07,138.142,42.0923,4.92828,3.73987,0.400815,96.0498,2.26936
2025-01-08,139.338,42.0628,4.9369,3.73916,0.38055,97.2753,2.26936
2025-01-10,141.929,42.7531,4.95533,3.75544,0.355014,99.1762,2.26936
2025-01-13,144.341,43.118,4.97218,3.76394,0.325273,101.223,2.26936
2025-01-14,146.185,43.3153,4.98487,3.76851,0.301033,102.87,2.26936
2025-01-15,148.417,44.0747,5.00003,3.78588,0.284019,104.343,2.26936
2025-01-16,149.225,43.5125,5.00545,3.77305,0.258872,105.712,2.26936
2025-01-17,150.839,42.615,5.01621,3.75221,0.213609,108.224,2.26936
2025-01-21,148.158,41.3034,4.99828,3.72094,0.223043,106.855,2.26936
2025-01-22,145.099,41.2047,4.97741,3.71855,0.268008,103.894,2.26936
2025-01-23,144.371,40.6524,4.97239,3.70506,0.265921,103.719,2.26936
2025-01-24,143.913,39.7308,4.96921,3.68213,0.250206,104.182,2.26936
2025-01-27,145.617,39.3344,4.98098,3.6721,0.213462,106.282,2.26936
2025-01-28,144.56,39.3244,4.9737,3.67185,0.229734,105.236,2.26936
2025-01-29,144.67,39.6911,4.97446,3.68113,0.237295,104.979,2.26936
2025-01-30,145.358,39.2551,4.9792,3.67008,0.215486,106.103,2.26936
2025-01-31,138.561,37.6199,4.93131,3.62753,0.281615,100.941,2.26936
2025-02-03,138.361,37.0451,4.92987,3.61213,0.269485,101.316,2.26936
2025-02-04,142.298,37.9271,4.95792,3.63567,0.229349,104.371,2.26936
2025-02-05,142.258,37.5108,4.95764,3.62463,0.218949,104.747,2.26936
2025-02-06,141.451,36.9063,4.95195,3.60838,0.215616,104.545,2.26936
2025-02-07,142.458,37.0451,4.95904,3.61213,0.203277,105.412,2.26936
2025-02-10,145.338,39.0569,4.97906,3.66502,0.210735,106.281,2.26936
2025-02-11,146.504,40.2461,4.98705,3.69501,0.222596,106.258,2.26936
2025-02-12,144.311,38.5613,4.97197,3.65225,0.214052,105.75,2.26936
2025-02-13,145.358,38.6208,4.9792,3.65379,0.199197,106.737,2.26936
2025-02-14,146.055,38.1748,4.98399,3.64218,0.176716,107.881,2.26936
