Date,HES Raw Price,SM Raw Price,HES Log Price,SM Log Price,Residual,Spread,Beta
2025-02-18,147.471,38.2739,4.99363,3.64477,0.157426,109.197,2.26936
2025-02-19,148.766,38.4821,5.00238,3.65019,0.142998,110.284,2.26936
2025-02-20,150.45,36.7775,5.01363,3.60489,0.0721428,113.673,2.26936
2025-02-21,147.61,34.0422,4.99457,3.5276,0.0381117,113.568,2.26936
2025-02-24,148.248,33.517,4.99889,3.51205,0.0127769,114.731,2.26936
2025-02-25,146.454,32.7836,4.98671,3.48993,0.0182824,113.67,2.26936
2025-02-26,144.979,32.0799,4.97659,3.46823,0.0195571,112.899,2.26936
2025-02-27,146.414,32.2286,4.98644,3.47285,0.00182637,114.186,2.26936
2025-02-28,148.437,32.4169,5.00016,3.47868,-0.0234914,116.02,2.26936
2025-03-03,143.604,29.7411,4.96706,3.39253,-0.0345133,113.863,2.26936
2025-03-04,141.909,28.5915,4.95519,3.35311,-0.0470005,113.318,2.26936
2025-03-05,140.863,27.2734,4.94779,3.30591,-0.0774007,113.59,2.26936
2025-03-06,142.856,26.9067,4.96184,3.29238,-0.122824,115.949,2.26936
2025-03-07,146.932,27.3428,4.98997,3.30845,-0.170594,119.59,2.26936
2025-03-10,147.74,27.1248,4.99545,3.30045,-0.191034,120.615,2.26936
2025-03-11,144.122,28.8095,4.97066,3.36071,-0.0745124,115.312,2.26936
2025-03-12,143.544,29.5132,4.96664,3.38484,-0.0412617,114.031,2.26936
2025-03-13,143.434,28.5122,4.96588,3.35033,-0.0740317,114.922,2.26936
2025-03-14,147.63,29.7213,4.99471,3.39186,-0.0979328,117.909,2.26936
2025-03-17,150.45,29.9889,5.01363,3.40083,-0.13191,120.461,2.26936
2025-03-18,152.82,30.0285,5.02926,3.40215,-0.166059,122.792,2.26936
2025-03-19,156.38,30.9204,5.05229,3.43142,-0.189048,125.46,2.26936
2025-03-20,157.37,30.6529,5.0586,3.42273,-0.212061,126.717,2.26936
2025-03-21,156.58,30.3952,5.05357,3.41428,-0.209082,126.185,2.26936
2025-03-24,157.35,31.525,5.05847,3.45078,-0.183719,125.825,2.26936
2025-03-25,158.29,30.2564,5.06443,3.40971,-0.238306,128.034,2.26936
2025-03-26,160.52,30.5141,5.07842,3.41819,-0.261574,130.006,2.26936
2025-03-27,159.07,29.9789,5.06934,3.4005,-0.258675,129.091,2.26936
2025-03-28,158.45,29.1366,5.06544,3.37199,-0.278314,129.313,2.26936
2025-03-31,159.73,29.6816,5.07348,3.39053,-0.278038,130.048,2.26936
2025-04-01,161.29,29.5032,5.0832,3.3845,-0.306122,131.787,2.26936
2025-04-02,160.02,30.2465,5.0753,3.40938,-0.263302,129.773,2.26936
2025-04-03,148.38,25.103,4.99978,3.22299,-0.278307,123.277,2.26936
2025-04-04,133.56,22.0605,4.89455,3.09379,-0.16871,111.499,2.26936
2025-04-07,130.59,21.6146,4.87206,3.07337,-0.138099,108.975,2.26936
2025-04-08,127.51,20.2073,4.84819,3.00604,-0.151258,107.303,2.26936
2025-04-09,137.97,24.3994,4.92704,3.19456,-0.141663,113.571,2.26936
2025-04-10,127.16,21.0497,4.84545,3.04689,-0.104179,106.11,2.26936
2025-04-11,128.5,21.4758,4.85593,3.06693,-0.107925,107.024,2.26936
2025-04-14,127.91,21.7632,4.85133,3.08022,-0.0841879,106.147,2.26936
2025-04-15,127.21,21.5254,4.84584,3.06923,-0.0827236,105.685,2.26936
2025-04-16,127.95,22.12,4.85164,3.09648,-0.0686368,105.83,2.26936
2025-04-17,130.64,23.03,4.87245,3.1368,-0.0755374,107.61,2.26936
2025-04-21,126.32,22.02,4.83882,3.09195,-0.044072,104.3,2.26936
2025-04-22,130.38,22.88,4.87045,3.13026,-0.0775511,107.5,2.26936
2025-04-23,130.03,22.99,4.86777,3.13506,-0.0666546,107.04,2.26936
2025-04-24,132.38,23.17,4.88568,3.14286,-0.0995031,109.21,2.26936
2025-04-25,132.34,23.48,4.88537,3.15615,-0.0855265,108.86,2.26936
2025-04-28,133.84,23.6,4.89665,3.16125,-0.106006,110.24,2.26936
2025-04-29,132.54,23.26,4.88688,3.14674,-0.0983673,109.28,2.26936
2025-04-30,129.05,22.79,4.8602,3.12632,-0.0582238,106.26,2.26936
2025-05-01,129.79,23.67,4.86592,3.16421,-0.0333129,106.12,2.26936
2025-05-02,132.31,22.82,4.88515,3.12764,-0.113524,109.49,2.26936
2025-05-05,128.8,21,4.85826,3.04452,-0.135623,107.8,2.26936
2025-05-06,128.87,21.52,4.8588,3.06898,-0.112395,107.35,2.26936
2025-05-07,129.09,21.2,4.86051,3.054,-0.131248,107.89,2.26936
2025-05-08,130.88,22.83,4.87428,3.12808,-0.088425,108.05,2.26936
2025-05-09,132.37,23.16,4.8856,3.14243,-0.0997632,109.21,2.26936
2025-05-12,135.21,24.79,4.90683,3.21044,-0.0799239,110.42,2.26936
2025-05-13,135.7,25.63,4.91045,3.24376,-0.0548099,110.07,2.26936
2025-05-14,134.79,25.46,4.90372,3.23711,-0.0461953,109.33,2.26936
2025-05-15,135.07,24.56,4.90579,3.20112,-0.0868943,110.51,2.26936
2025-05-16,134.93,24.45,4.90476,3.19663,-0.0890294,110.48,2.26936
2025-05-19,132.79,23.92,4.88877,3.17471,-0.074664,108.87,2.26936
2025-05-20,132.05,23.73,4.88318,3.16674,-0.0699572,108.32,2.26936
2025-05-21,130.16,23.1,4.86876,3.13983,-0.0641491,107.06,2.26936
2025-05-22,130.02,23.18,4.86769,3.14329,-0.0582497,106.84,2.26936
2025-05-23,131.36,23.17,4.87794,3.14286,-0.0819497,108.19,2.26936
2025-05-27,132.58,23.83,4.88719,3.17095,-0.0748421,108.75,2.26936
2025-05-28,131.07,23.66,4.87573,3.16379,-0.0560068,107.41,2.26936
2025-05-29,133.62,23.8,4.895,3.16969,-0.0938339,109.82,2.26936
2025-05-30,132.19,23.42,4.88424,3.15359,-0.0855116,108.77,2.26936
2025-06-02,133.75,23.92,4.89597,3.17471,-0.0910114,109.83,2.26936
2025-06-03,135.96,25.24,4.91236,3.22843,-0.0744875,110.72,2.26936
2025-06-04,133.45,24.16,4.89373,3.1847,-0.075932,109.29,2.26936
2025-06-05,133.05,24.01,4.89073,3.17847,-0.0753477,109.04,2.26936
2025-06-06,136.13,24.92,4.91361,3.21567,-0.0900825,111.21,2.26936
2025-06-09,136.63,25.59,4.91728,3.2422,-0.0718716,111.04,2.26936
2025-06-10,138.66,25.99,4.93202,3.25771,-0.0898307,112.67,2.26936
2025-06-11,140.58,26.8,4.94578,3.2884,-0.0903486,113.78,2.26936
2025-06-12,141.14,27.13,4.94975,3.30064,-0.0871323,114.01,2.26936
2025-06-13,142.26,28.26,4.95766,3.34145,-0.0642621,114,2.26936
