Date,XOM Raw Price,RRC Raw Price,XOM Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,105.388,35.8827,4.65765,3.58026,-0.0276544,69.5053,0.949309
2025-01-03,105.928,35.7434,4.66276,3.57636,-0.0363986,70.1848,0.949309
2025-01-06,105.81,36.6392,4.66165,3.60112,-0.0105879,69.1711,0.949309
2025-01-07,106.802,36.6093,4.67098,3.6003,-0.0202613,70.1929,0.949309
2025-01-08,105.015,37.3459,4.6541,3.62022,0.0156805,67.6689,0.949309
2025-01-10,104.632,37.9929,4.65045,3.6374,0.0363249,66.6389,0.949309
2025-01-13,107.333,38.3114,4.67593,3.64575,0.0204811,69.0212,0.949309
2025-01-14,107.755,39.4361,4.67986,3.67468,0.0456888,68.3187,0.949309
2025-01-15,109.513,40.1429,4.69604,3.69244,0.0480881,69.3699,0.949309
2025-01-16,109.326,41.0984,4.69434,3.71597,0.0732317,68.2278,0.949309
2025-01-17,110.308,40.8794,4.70328,3.71063,0.0593997,69.4289,0.949309
2025-01-21,109.474,40.7799,4.69568,3.70819,0.0641732,68.6936,0.949309
2025-01-22,107.568,40.8097,4.67813,3.70892,0.0815722,66.7585,0.949309
2025-01-23,108.177,40.3718,4.68377,3.69813,0.065424,67.8054,0.949309
2025-01-24,106.714,39.9836,4.67015,3.68847,0.068691,66.7302,0.949309
2025-01-27,108.197,37.0971,4.68395,3.61354,-0.0193419,71.0997,0.949309
2025-01-28,106.105,37.2264,4.66443,3.61702,0.00267348,68.8785,0.949309
2025-01-29,106.724,37.4156,4.67024,3.62209,0.00222126,69.3081,0.949309
2025-01-30,107.608,37.3957,4.67849,3.62155,-0.00614064,70.2119,0.949309
2025-01-31,104.917,36.8681,4.65317,3.60735,0.00369297,68.0485,0.949309
2025-02-03,105.172,37.2663,4.6556,3.61809,0.0121266,67.9057,0.949309
2025-02-04,107.991,37.5649,4.68204,3.62607,-0.00499883,70.4257,0.949309
2025-02-05,107.912,38.7593,4.68132,3.65737,0.0269934,69.1527,0.949309
2025-02-06,106.488,37.4554,4.66803,3.62315,0.00538376,69.0326,0.949309
2025-02-07,106.94,37.0771,4.67227,3.613,-0.0087848,69.8626,0.949309
2025-02-10,108.982,39.5257,4.69119,3.67695,0.0372038,69.4567,0.949309
2025-02-11,109.67,39.3864,4.69748,3.67342,0.0277025,70.2835,0.949309
2025-02-12,106.37,38.3014,4.66693,3.64549,0.0287701,68.0689,0.949309
2025-02-13,107.143,38.6199,4.67417,3.65377,0.030179,68.5232,0.949309
2025-02-14,107.252,38.4906,4.67518,3.65041,0.0258575,68.7616,0.949309
2025-02-18,109.135,38.7394,4.69258,3.65686,0.0157826,70.3955,0.949309
2025-02-19,109.293,39.7148,4.69404,3.68173,0.0392726,69.5785,0.949309
2025-02-20,110.978,39.4859,4.70933,3.67594,0.0189718,71.492,0.949309
2025-02-21,109.68,38.3014,4.69757,3.64549,-0.000315779,71.3784,0.949309
2025-02-24,110.255,37.8137,4.70279,3.63267,-0.0180927,72.4408,0.949309
2025-02-25,108.729,37.326,4.68885,3.61969,-0.0178443,71.4026,0.949309
2025-02-26,108.461,38.3711,4.68639,3.6473,0.0121096,70.0899,0.949309
2025-02-27,109.145,36.2311,4.69268,3.58992,-0.0512431,72.9137,0.949309
2025-02-28,110.314,36.9477,4.70333,3.6095,-0.0417715,73.3662,0.949309
2025-03-03,106.777,36.6292,4.67074,3.60085,-0.0194896,70.1473,0.949309
2025-03-04,106.559,37.6843,4.66869,3.62924,0.0108478,68.8743,0.949309
2025-03-05,104.478,37.3558,4.64897,3.62049,0.0208144,67.1219,0.949309
2025-03-06,106.638,35.2158,4.66944,3.5615,-0.0576066,71.422,0.949309
2025-03-07,108.025,35.0566,4.68236,3.55696,-0.0744087,72.9685,0.949309
2025-03-10,110.78,36.2908,4.70754,3.59156,-0.0637109,74.4889,0.949309
2025-03-11,108.164,37.2762,4.68365,3.61836,-0.0142344,70.8876,0.949309
2025-03-12,108.134,37.4255,4.68337,3.62235,-0.00997621,70.7085,0.949309
2025-03-13,107.678,37.2862,4.67915,3.61862,-0.00969662,70.3921,0.949309
2025-03-14,110.879,38.234,4.70844,3.64373,-0.0123981,72.6447,0.949309
2025-03-17,112.722,38.8826,4.72492,3.66055,-0.0112276,73.8392,0.949309
2025-03-18,112.603,39.5511,4.72387,3.67759,0.00682093,73.0518,0.949309
2025-03-19,114.357,40.4191,4.73932,3.6993,0.0138591,73.9376,0.949309
2025-03-20,114.842,40.1797,4.74356,3.69336,0.00389505,74.6626,0.949309
2025-03-21,114.446,39.7905,4.7401,3.68363,-0.00255478,74.6554,0.949309
2025-03-24,114.743,40.5788,4.7427,3.70324,0.0145983,74.1644,0.949309
2025-03-25,115.526,40.05,4.7495,3.69013,-0.00497323,75.476,0.949309
2025-03-26,117.191,39.7506,4.7638,3.68263,-0.0260565,77.44,0.949309
