Date,SM Raw Price,ENB Raw Price,SM Log Price,ENB Log Price,Residual,Spread,Beta
2025-03-19,30.9204,43.75,3.43142,3.77849,-0.010972,12.8296,-0.0518627
2025-03-20,30.6529,44.23,3.42273,3.7894,-0.000511117,13.5771,-0.0518627
2025-03-21,30.3952,43.87,3.41428,3.78123,-0.00912151,13.4748,-0.0518627
2025-03-24,31.525,44.26,3.45078,3.79008,0.00162186,12.735,-0.0518627
2025-03-25,30.2564,44.42,3.40971,3.79369,0.00310029,14.1636,-0.0518627
2025-03-26,30.5141,44.52,3.41819,3.79594,0.00578885,14.0059,-0.0518627
2025-03-27,29.9789,44.36,3.4005,3.79234,0.00127085,14.3811,-0.0518627
2025-03-28,29.1366,44.46,3.37199,3.79459,0.00204439,15.3234,-0.0518627
2025-03-31,29.6816,44.31,3.39053,3.79121,-0.000373819,14.6284,-0.0518627
2025-04-01,29.5032,44.57,3.3845,3.79706,0.00516411,15.0668,-0.0518627
2025-04-02,30.2465,45.14,3.40938,3.80977,0.0191623,14.8935,-0.0518627
2025-04-03,25.103,45.34,3.22299,3.81419,0.0139163,20.237,-0.0518627
2025-04-04,22.0605,43.35,3.09379,3.76931,-0.0376672,21.2895,-0.0518627
2025-04-07,21.6146,41.95,3.07337,3.73648,-0.0715546,20.3354,-0.0518627
2025-04-08,20.2073,41.09,3.00604,3.71576,-0.0957599,20.8827,-0.0518627
2025-04-09,24.3994,41.77,3.19456,3.73218,-0.0695694,17.3706,-0.0518627
2025-04-10,21.0497,41.82,3.04689,3.73337,-0.0760318,20.7703,-0.0518627
2025-04-11,21.4758,43.24,3.06693,3.76677,-0.041601,21.7642,-0.0518627
2025-04-14,21.7632,44.02,3.08022,3.78464,-0.0230335,22.2568,-0.0518627
2025-04-15,21.5254,44.28,3.06923,3.79053,-0.0177144,22.7546,-0.0518627
2025-04-16,22.12,44.57,3.09648,3.79706,-0.00977329,22.45,-0.0518627
2025-04-17,23.03,45.37,3.1368,3.81485,0.0101077,22.34,-0.0518627
2025-04-21,22.02,44.99,3.09195,3.80644,-0.000628982,22.97,-0.0518627
2025-04-22,22.88,45.64,3.13026,3.82078,0.0157022,22.76,-0.0518627
2025-04-23,22.99,45.61,3.13506,3.82013,0.0152934,22.62,-0.0518627
2025-04-24,23.17,46.36,3.14286,3.83644,0.032008,23.19,-0.0518627
2025-04-25,23.48,46.19,3.15615,3.83276,0.0290235,22.71,-0.0518627
2025-04-28,23.6,46.64,3.16125,3.84246,0.0389831,23.04,-0.0518627
2025-04-29,23.26,46.64,3.14674,3.84246,0.0382305,23.38,-0.0518627
2025-04-30,22.79,46.69,3.12632,3.84353,0.0382433,23.9,-0.0518627
2025-05-01,23.67,46.48,3.16421,3.83902,0.0357003,22.81,-0.0518627
2025-05-02,22.82,46.86,3.12764,3.84716,0.041946,24.04,-0.0518627
2025-05-05,21,46.59,3.04452,3.84139,0.0318569,25.59,-0.0518627
2025-05-06,21.52,46.16,3.06898,3.83211,0.0238532,24.64,-0.0518627
2025-05-07,21.2,46.69,3.054,3.84353,0.0344925,25.49,-0.0518627
2025-05-08,22.83,45.78,3.12808,3.82385,0.0186515,22.95,-0.0518627
2025-05-09,23.16,46.1,3.14243,3.83081,0.0263615,22.94,-0.0518627
2025-05-12,24.79,44.55,3.21044,3.79661,-0.00431195,19.76,-0.0518627
2025-05-13,25.63,44.57,3.24376,3.79706,-0.00213488,18.94,-0.0518627
2025-05-14,25.46,44.87,3.23711,3.80377,0.00422839,19.41,-0.0518627
2025-05-15,24.56,44.92,3.20112,3.80488,0.00347557,20.36,-0.0518627
2025-05-16,24.45,44.85,3.19663,3.80332,0.00168323,20.4,-0.0518627
2025-05-19,23.92,44.94,3.17471,3.80533,0.00255133,21.02,-0.0518627
2025-05-20,23.73,45.61,3.16674,3.82013,0.0169365,21.88,-0.0518627
2025-05-21,23.1,45.57,3.13983,3.81925,0.0146636,22.47,-0.0518627
2025-05-22,23.18,45.17,3.14329,3.81043,0.00602641,21.99,-0.0518627
2025-05-23,23.17,46.06,3.14286,3.82994,0.0255158,22.89,-0.0518627
2025-05-27,23.83,46.04,3.17095,3.82951,0.0265382,22.21,-0.0518627
2025-05-28,23.66,45.57,3.16379,3.81925,0.0159059,21.91,-0.0518627
2025-05-29,23.8,45.85,3.16969,3.82538,0.0223374,22.05,-0.0518627
2025-05-30,23.42,46.48,3.15359,3.83902,0.0351496,23.06,-0.0518627
2025-06-02,23.92,47.16,3.17471,3.85355,0.0507692,23.24,-0.0518627
2025-06-03,25.24,47.07,3.22843,3.85164,0.0516448,21.83,-0.0518627
2025-06-04,24.16,46.66,3.1847,3.84289,0.0406281,22.5,-0.0518627
2025-06-05,24.01,46.87,3.17847,3.84738,0.0447957,22.86,-0.0518627
2025-06-06,24.92,46.52,3.21567,3.83988,0.0392295,21.6,-0.0518627
2025-06-09,25.59,45.82,3.2422,3.82472,0.0254438,20.23,-0.0518627
2025-06-10,25.99,45.85,3.25771,3.82538,0.0269027,19.86,-0.0518627
2025-06-11,26.8,45.87,3.2884,3.82581,0.0289305,19.07,-0.0518627
2025-06-12,27.13,46.81,3.30064,3.8461,0.0498508,19.68,-0.0518627
2025-06-13,28.26,46.67,3.34145,3.8431,0.0489718,18.41,-0.0518627
