Date,SM Raw Price,ENB Raw Price,SM Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,39.607,42.98,3.67901,3.76073,-0.0158881,3.37297,-0.0518627
2025-01-03,40.0213,43.09,3.68941,3.76329,-0.0127924,3.06875,-0.0518627
2025-01-06,40.2974,42.99,3.69629,3.76097,-0.0147592,2.6926,-0.0518627
2025-01-07,42.0923,43.64,3.73987,3.77597,0.00250749,1.54766,-0.0518627
2025-01-08,42.0628,44.02,3.73916,3.78464,0.011141,1.95725,-0.0518627
2025-01-10,42.7531,43.48,3.75544,3.7723,-0.000357781,0.726891,-0.0518627
2025-01-13,43.118,43.4,3.76394,3.77046,-0.00175857,0.281982,-0.0518627
2025-01-14,43.3153,44.07,3.76851,3.78578,0.0137979,0.754738,-0.0518627
2025-01-15,44.0747,44.33,3.78588,3.79166,0.0205817,0.255344,-0.0518627
2025-01-16,43.5125,44.03,3.77305,3.78487,0.0131255,0.51749,-0.0518627
2025-01-17,42.615,44.51,3.75221,3.79571,0.0228873,1.89496,-0.0518627
2025-01-21,41.3034,45.31,3.72094,3.81353,0.0390798,4.00665,-0.0518627
2025-01-22,41.2047,44.76,3.71855,3.80131,0.0267429,3.55527,-0.0518627
2025-01-23,40.6524,44.86,3.70506,3.80355,0.0282747,4.20756,-0.0518627
2025-01-24,39.7308,45.06,3.68213,3.80799,0.0315338,5.32923,-0.0518627
2025-01-27,39.3344,44.7,3.6721,3.79997,0.0229923,5.36565,-0.0518627
2025-01-28,39.3244,44.46,3.67185,3.79459,0.0175956,5.13555,-0.0518627
2025-01-29,39.6911,44.26,3.68113,3.79008,0.0135683,4.56887,-0.0518627
2025-01-30,39.2551,44.5,3.67008,3.79549,0.0184033,5.24493,-0.0518627
2025-01-31,37.6199,43.24,3.62753,3.76677,-0.0125266,5.62014,-0.0518627
2025-02-03,37.0451,42.92,3.61213,3.75934,-0.0207532,5.87494,-0.0518627
2025-02-04,37.9271,43.72,3.63567,3.77781,-0.00106508,5.79292,-0.0518627
2025-02-05,37.5108,43.93,3.62463,3.7826,0.00315437,6.41916,-0.0518627
2025-02-06,36.9063,44.2,3.60838,3.78872,0.00843908,7.29369,-0.0518627
2025-02-07,37.0451,44.45,3.61213,3.79436,0.0142739,7.40495,-0.0518627
2025-02-10,39.0569,44.81,3.66502,3.80243,0.0250829,5.75314,-0.0518627
2025-02-11,40.2461,45.25,3.69501,3.8122,0.0364099,5.00389,-0.0518627
2025-02-12,38.5613,45.1,3.65225,3.80888,0.0308716,6.53865,-0.0518627
2025-02-13,38.6208,45.45,3.65379,3.81661,0.0386821,6.82919,-0.0518627
2025-02-14,38.1748,43.07,3.64218,3.76283,-0.0157064,4.89516,-0.0518627
2025-02-18,38.2739,42.75,3.64477,3.75537,-0.0230294,4.47606,-0.0518627
2025-02-19,38.4821,42.31,3.65019,3.74502,-0.0330939,3.82794,-0.0518627
2025-02-20,36.7775,41.98,3.60489,3.73719,-0.0432738,5.20253,-0.0518627
2025-02-21,34.0422,41.78,3.5276,3.73242,-0.0520576,7.7378,-0.0518627
2025-02-24,33.517,41.54,3.51205,3.72666,-0.0586249,8.02305,-0.0518627
2025-02-25,32.7836,41.65,3.48993,3.7293,-0.0571277,8.86641,-0.0518627
2025-02-26,32.0799,41.75,3.46823,3.7317,-0.0558549,9.67006,-0.0518627
2025-02-27,32.2286,41.73,3.47285,3.73122,-0.0560943,9.5014,-0.0518627
2025-02-28,32.4169,42.73,3.47868,3.7549,-0.0321112,10.3131,-0.0518627
2025-03-03,29.7411,42.67,3.39253,3.7535,-0.0379844,12.9289,-0.0518627
2025-03-04,28.5915,41.55,3.35311,3.7269,-0.0666274,12.9585,-0.0518627
2025-03-05,27.2734,42.49,3.30591,3.74927,-0.0467039,15.2166,-0.0518627
2025-03-06,26.9067,41.6,3.29238,3.7281,-0.0685746,14.6933,-0.0518627
2025-03-07,27.3428,42,3.30845,3.73767,-0.0581713,14.6572,-0.0518627
2025-03-10,27.1248,42.68,3.30045,3.75373,-0.0425257,15.5553,-0.0518627
2025-03-11,28.8095,42.3,3.36071,3.74479,-0.0483439,13.4905,-0.0518627
2025-03-12,29.5132,42.54,3.38484,3.75044,-0.0414346,13.0268,-0.0518627
2025-03-13,28.5122,42.55,3.35033,3.75068,-0.0429891,14.0378,-0.0518627
2025-03-14,29.7213,42.83,3.39186,3.75724,-0.0342762,13.1087,-0.0518627
2025-03-17,29.9889,43.5,3.40083,3.77276,-0.0182892,13.5111,-0.0518627
2025-03-18,30.0285,43.41,3.40215,3.77069,-0.0202919,13.3815,-0.0518627
