Date,SHEL Raw Price,MUR Raw Price,SHEL Log Price,MUR Log Price,Residual,Spread,Beta
2025-01-02,61.7661,30.1631,4.12335,3.40662,0.250964,31.603,0.751684
2025-01-03,63.1561,30.0559,4.14561,3.40306,0.230677,33.1002,0.751684
2025-01-06,63.3812,29.9682,4.14917,3.40014,0.22508,33.413,0.751684
2025-01-07,64.5363,30.8256,4.16723,3.42834,0.239712,33.7107,0.751684
2025-01-08,63.3518,31.9265,4.1487,3.46344,0.288727,31.4254,0.751684
2025-01-10,63.5672,32.3746,4.1521,3.47738,0.300116,31.1926,0.751684
2025-01-13,63.5868,32.9592,4.15241,3.49527,0.317779,30.6276,0.751684
2025-01-14,64.5167,33.0274,4.16692,3.49734,0.308933,31.4893,0.751684
2025-01-15,64.9572,32.5987,4.17373,3.48427,0.290754,32.3585,0.751684
2025-01-16,65.0453,32.1993,4.17508,3.47194,0.277406,32.846,0.751684
2025-01-17,65.3096,31.4101,4.17914,3.44713,0.249544,33.8994,0.751684
2025-01-21,65.3585,30.6794,4.17989,3.42359,0.225443,34.6791,0.751684
2025-01-22,64.5558,30.0656,4.16753,3.40338,0.214523,34.4902,0.751684
2025-01-23,65.2508,29.6175,4.17824,3.38836,0.191455,35.6334,0.751684
2025-01-24,64.0077,28.9745,4.159,3.36642,0.183965,35.0332,0.751684
2025-01-27,63.763,28.7894,4.15517,3.36001,0.180435,34.9736,0.751684
2025-01-28,63.2148,28.4484,4.14654,3.34809,0.17501,34.7664,0.751684
2025-01-29,63.4106,28.4289,4.14963,3.34741,0.172001,34.9817,0.751684
2025-01-30,65.241,26.7629,4.17809,3.28702,0.0902199,38.4781,0.751684
2025-01-31,64.458,25.9445,4.16601,3.25596,0.0682408,38.5134,0.751684
2025-02-03,63.7923,24.8923,4.15563,3.21456,0.0346425,38.9,0.751684
2025-02-04,65.2215,25.7886,4.17779,3.24993,0.053363,39.4328,0.751684
2025-02-05,65.1236,25.9932,4.17629,3.25784,0.0623943,39.1303,0.751684
2025-02-06,64.7614,25.623,4.17071,3.24349,0.052241,39.1384,0.751684
2025-02-07,64.4971,26.1296,4.16662,3.26307,0.074894,38.3675,0.751684
2025-02-10,64.732,27.3085,4.17026,3.3072,0.116288,37.4235,0.751684
2025-02-11,65.9556,27.9905,4.18898,3.33186,0.126879,37.9651,0.751684
2025-02-12,65.3487,26.9675,4.17974,3.29463,0.096596,38.3812,0.751684
2025-02-13,65.9458,27.2013,4.18883,3.30327,0.098392,38.7445,0.751684
2025-02-14,66.4168,27.5326,4.19595,3.31537,0.105147,38.8842,0.751684
2025-02-18,67.0994,27.7839,4.20618,3.32446,0.106547,39.3155,0.751684
2025-02-19,66.8818,27.981,4.20293,3.33153,0.116059,38.9008,0.751684
