Date,EOG Raw Price,OKE Raw Price,EOG Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,122.706,99.4384,4.80979,4.59954,0.0687594,23.2675,1.14494
2025-01-03,124.536,100.542,4.82459,4.61058,0.0628515,23.9935,1.14494
2025-01-06,124.359,99.2918,4.82317,4.59806,0.0519636,25.0671,1.14494
2025-01-07,125.51,99.282,4.83239,4.59796,0.0413152,26.2281,1.14494
2025-01-08,126.396,100.494,4.83942,4.61009,0.0453949,25.902,1.14494
2025-01-10,129.298,99.4188,4.86212,4.59934,0.00864665,29.8794,1.14494
2025-01-13,132.329,101.598,4.88529,4.62102,0.00380076,30.731,1.14494
2025-01-14,133.588,103.611,4.89476,4.64064,0.012573,29.9776,1.14494
2025-01-15,134.857,104.431,4.90422,4.64853,0.0096364,30.4261,1.14494
2025-01-16,135.832,106.171,4.91142,4.66505,0.017913,29.661,1.14494
2025-01-17,135.341,106.464,4.9078,4.6678,0.0248121,28.8774,1.14494
2025-01-21,134.806,107.333,4.90384,4.67594,0.0374829,27.4726,1.14494
2025-01-22,132.804,103.865,4.88888,4.64309,0.0217607,28.9396,1.14494
2025-01-23,132.765,102.487,4.88858,4.62973,0.00874933,30.2777,1.14494
2025-01-24,130.624,102.135,4.87232,4.6263,0.0239202,28.4891,1.14494
2025-01-27,130.763,98.1486,4.87339,4.58648,-0.0171093,32.6143,1.14494
2025-01-28,129.068,98.2952,4.86034,4.58798,-0.000683281,30.7733,1.14494
2025-01-29,129.049,98.0802,4.86019,4.58579,-0.0026967,30.9684,1.14494
2025-01-30,128.603,97.5819,4.85673,4.58069,-0.00382722,31.0208,1.14494
2025-01-31,124.649,94.9438,4.8255,4.55328,0.00451843,29.7051,1.14494
2025-02-03,125.253,96.4152,4.83034,4.56866,0.014359,28.8381,1.14494
2025-02-04,126.958,95.8128,4.84385,4.5624,-0.00738352,31.1449,1.14494
2025-02-05,126.542,96.6917,4.84057,4.57153,0.0055075,29.8498,1.14494
2025-02-06,125.531,94.6278,4.83255,4.54995,-0.00688788,30.9031,1.14494
2025-02-07,125.352,94.6179,4.83113,4.54985,-0.00536428,30.7346,1.14494
2025-02-10,129.376,97.462,4.86272,4.57946,-0.0119171,31.9136,1.14494
2025-02-11,131.09,97.6991,4.87588,4.58189,-0.0245598,33.3909,1.14494
2025-02-12,127.671,96.4054,4.84946,4.56856,-0.00763453,31.2659,1.14494
2025-02-13,127.85,97.7386,4.85085,4.5823,0.00450128,30.111,1.14494
2025-02-14,128.137,96.6325,4.8531,4.57092,-0.00945035,31.5045,1.14494
2025-02-18,129.752,97.4127,4.86563,4.57896,-0.0157515,32.3395,1.14494
2025-02-19,133.31,97.9657,4.89267,4.58462,-0.0410588,35.3439,1.14494
2025-02-20,134.439,97.4028,4.90111,4.57885,-0.0564826,37.0365,1.14494
2025-02-21,131.873,96.8794,4.88184,4.57347,-0.039802,34.9934,1.14494
2025-02-24,132.418,96.8991,4.88596,4.57367,-0.0443202,35.5186,1.14494
2025-02-25,130.129,94.5784,4.86852,4.54943,-0.0485968,35.5504,1.14494
2025-02-26,128.662,94.5685,4.85719,4.54932,-0.0357242,34.0937,1.14494
2025-02-27,129.425,95.4375,4.8631,4.55847,-0.0333464,33.9876,1.14494
2025-02-28,125.788,99.1409,4.8346,4.59654,0.0373558,26.6476,1.14494
2025-03-03,119.447,95.5561,4.78287,4.55971,0.0597582,23.8905,1.14494
2025-03-04,121.002,92.623,4.79581,4.52854,0.0137664,28.3793,1.14494
2025-03-05,120.745,90.7269,4.79368,4.50785,-0.00447672,30.0177,1.14494
2025-03-06,121.082,88.6234,4.79646,4.4844,-0.0311251,32.4582,1.14494
2025-03-07,124.124,88.4555,4.82128,4.4825,-0.0614323,35.6682,1.14494
2025-03-10,124.748,90.2825,4.8263,4.50294,-0.0467327,34.4655,1.14494
2025-03-11,123.361,91.4676,4.81511,4.51598,-0.0208877,31.8931,1.14494
2025-03-12,123.143,91.8132,4.81334,4.51976,-0.0150907,31.3295,1.14494
2025-03-13,119.992,92.3366,4.78742,4.52544,0.0202737,27.6549,1.14494
2025-03-14,122.796,95.2302,4.81052,4.5563,0.024679,27.5657,1.14494
2025-03-17,122.459,97.2152,4.80778,4.57693,0.0484546,25.2438,1.14494
2025-03-18,121.458,96.7905,4.79957,4.57255,0.0534727,24.6676,1.14494
2025-03-19,123.807,98.8051,4.81872,4.59315,0.0521461,25.0015,1.14494
2025-03-20,123.172,99.3977,4.81359,4.59913,0.0640051,23.7748,1.14494
2025-03-21,124.035,98.104,4.82056,4.58603,0.0429185,25.9306,1.14494
2025-03-24,127.106,101.027,4.84502,4.61539,0.0442692,26.0793,1.14494
2025-03-25,126.224,101.106,4.83806,4.61617,0.0530228,25.1183,1.14494
2025-03-26,128.008,100,4.85209,4.60517,0.0259572,28.0081,1.14494
2025-03-27,125.58,97.4522,4.83295,4.57936,0.0220711,28.1282,1.14494
2025-03-28,125.442,97.2547,4.83184,4.57733,0.0213079,28.187,1.14494
2025-03-31,127.077,97.9855,4.84479,4.58482,0.013967,29.0912,1.14494
2025-04-01,128.127,98.262,4.85302,4.58764,0.00736011,29.8651,1.14494
2025-04-02,128.791,99.1211,4.85819,4.59634,0.0101483,29.6698,1.14494
2025-04-03,118.802,91.5466,4.77746,4.51685,0.0230836,27.2559,1.14494
2025-04-04,109.547,79.8539,4.69636,4.3802,-0.0207029,29.6933,1.14494
2025-04-07,108.041,79.9033,4.68251,4.38082,-0.00423306,28.1377,1.14494
2025-04-08,104.008,77.7306,4.64447,4.35325,0.0117577,26.2772,1.14494
2025-04-09,113.015,83.8041,4.72752,4.42848,-0.00810611,29.2113,1.14494
2025-04-10,103.661,80.2292,4.64113,4.38489,0.0472195,23.4319,1.14494
2025-04-11,107.555,81.5327,4.67801,4.401,0.0211119,26.0226,1.14494
2025-04-14,106.664,82.3425,4.66968,4.41089,0.0405285,24.321,1.14494
2025-04-15,106.505,83.1128,4.66819,4.4202,0.0515429,23.3922,1.14494
2025-04-16,108.24,83.7449,4.68435,4.42777,0.0406175,24.4951,1.14494
2025-04-17,110.5,85.1571,4.70502,4.4445,0.0336804,25.3429,1.14494
2025-04-21,109.11,80.8019,4.69236,4.392,-0.00432232,28.3081,1.14494
2025-04-22,111.32,83.0042,4.71241,4.41889,-0.000391007,28.3158,1.14494
2025-04-23,111.57,83.6066,4.71465,4.42612,0.00427195,27.9634,1.14494
2025-04-24,113.46,85.2065,4.73145,4.44508,0.00399353,28.2535,1.14494
2025-04-25,113.07,85.2361,4.72801,4.44542,0.00828349,27.8339,1.14494
2025-04-28,114.14,86.7767,4.73743,4.46334,0.0154127,27.3633,1.14494
2025-04-29,112.93,86.7668,4.72677,4.46322,0.0275012,26.1632,1.14494
2025-04-30,110.33,81.1377,4.70348,4.39615,-0.0129065,29.1923,1.14494
2025-05-01,111.68,79.923,4.71564,4.38106,-0.041915,31.757,1.14494
2025-05-02,110.86,81.75,4.70827,4.40367,-0.0108755,29.11,1.14494
2025-05-05,108.52,80.15,4.68693,4.3839,-0.0062155,28.37,1.14494
2025-05-06,108.72,79.29,4.68878,4.37311,-0.0191116,29.43,1.14494
2025-05-07,107.97,80.25,4.68185,4.38515,0.000848863,27.72,1.14494
2025-05-08,109.71,82.25,4.69784,4.40976,0.00716116,27.46,1.14494
2025-05-09,111.12,82.3,4.71061,4.41037,-0.00685227,28.82,1.14494
2025-05-12,114.06,85.04,4.73672,4.44312,-0.00400061,29.02,1.14494
2025-05-13,116.65,86.51,4.75918,4.46026,-0.0125702,30.14,1.14494
2025-05-14,115.59,86.61,4.75005,4.46142,-0.000963232,28.98,1.14494
2025-05-15,115.86,86.03,4.75238,4.4547,-0.0103538,29.83,1.14494
2025-05-16,115.5,85.67,4.74927,4.4505,-0.0109841,29.83,1.14494
2025-05-19,113.95,84.73,4.73576,4.43947,-0.00654785,29.22,1.14494
2025-05-20,112.58,83.71,4.72366,4.42736,-0.00481036,28.87,1.14494
2025-05-21,111.38,81.83,4.71295,4.40464,-0.0152552,29.55,1.14494
2025-05-22,110.79,81.37,4.70764,4.39901,-0.0148114,29.42,1.14494
2025-05-23,110.18,81.14,4.70212,4.39618,-0.0113207,29.04,1.14494
2025-05-27,111.23,81.74,4.7116,4.40354,-0.0148128,29.49,1.14494
2025-05-28,110.45,80.59,4.70456,4.38937,-0.0209245,29.86,1.14494
2025-05-29,109.88,80.68,4.69939,4.39049,-0.0138843,29.2,1.14494
2025-05-30,108.57,80.84,4.6874,4.39247,0.00182901,27.73,1.14494
2025-06-02,111.34,82.51,4.71259,4.41292,-0.00656839,28.83,1.14494
2025-06-03,112.82,83.24,4.72579,4.42173,-0.012879,29.58,1.14494
2025-06-04,110.77,80.52,4.70746,4.38851,-0.0251058,30.25,1.14494
2025-06-05,111.03,81.19,4.7098,4.39679,-0.0195035,29.84,1.14494
2025-06-06,114.05,81.72,4.73664,4.4033,-0.0437232,32.33,1.14494
2025-06-09,114.33,81.12,4.73909,4.39593,-0.0538999,33.21,1.14494
2025-06-10,117.88,81.72,4.76967,4.4033,-0.0815409,36.16,1.14494
2025-06-11,119.92,82.9,4.78682,4.41764,-0.0868493,37.02,1.14494
2025-06-12,120.59,82.65,4.7924,4.41461,-0.0962485,37.94,1.14494
2025-06-13,125.28,83.75,4.83055,4.42784,-0.126712,41.53,1.14494
