Date,PSX Raw Price,SM Raw Price,PSX Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,112.306,39.607,4.72123,3.67901,0.347019,72.6991,1.56536
2025-01-03,113.955,40.0213,4.73581,3.68941,0.334604,73.934,1.56536
2025-01-06,113.052,40.2974,4.72785,3.69629,0.353935,72.7547,1.56536
2025-01-07,113.072,42.0923,4.72802,3.73987,0.397242,70.9794,1.56536
2025-01-08,114.112,42.0628,4.73718,3.73916,0.3822,72.0495,1.56536
2025-01-10,111.835,42.7531,4.71702,3.75544,0.430035,69.0818,1.56536
2025-01-13,113.847,43.118,4.73486,3.76394,0.410618,70.7292,1.56536
2025-01-14,115.114,43.3153,4.74592,3.76851,0.397868,71.7983,1.56536
2025-01-15,116.812,44.0747,4.76056,3.78588,0.392324,72.737,1.56536
2025-01-16,117.43,43.5125,4.76584,3.77305,0.371222,73.9176,1.56536
2025-01-17,118.314,42.615,4.77334,3.75221,0.338648,75.6985,1.56536
2025-01-21,118.274,41.3034,4.77301,3.72094,0.307904,76.971,1.56536
2025-01-22,116.37,41.2047,4.75677,3.71855,0.330922,75.1653,1.56536
2025-01-23,120.365,40.6524,4.79053,3.70506,0.264589,79.7127,1.56536
2025-01-24,119.619,39.7308,4.78431,3.68213,0.251388,79.8883,1.56536
2025-01-27,120.817,39.3344,4.79427,3.6721,0.225767,81.4823,1.56536
2025-01-28,118.952,39.3244,4.77872,3.67185,0.249868,79.6272,1.56536
2025-01-29,119.914,39.6911,4.78677,3.68113,0.246541,80.2225,1.56536
2025-01-30,118.618,39.2551,4.77591,3.67008,0.252501,79.3628,1.56536
2025-01-31,115.702,37.6199,4.75102,3.62753,0.248906,78.0826,1.56536
2025-02-03,115.693,37.0451,4.75094,3.61213,0.233642,78.6476,1.56536
2025-02-04,121.337,37.9271,4.79857,3.63567,0.182608,83.4099,1.56536
2025-02-05,121.052,37.5108,4.79622,3.62463,0.175249,83.5414,1.56536
2025-02-06,118.598,36.9063,4.77574,3.60838,0.191062,81.6919,1.56536
2025-02-07,118.088,37.0451,4.77143,3.61213,0.201566,81.0428,1.56536
2025-02-10,121.435,39.0569,4.79938,3.66502,0.210695,82.3782,1.56536
2025-02-11,127.168,40.2461,4.84551,3.69501,0.168485,86.9216,1.56536
2025-02-12,122.741,38.5613,4.81007,3.65225,0.181188,84.1793,1.56536
2025-02-13,123.231,38.6208,4.81406,3.65379,0.176482,84.6106,1.56536
2025-02-14,125.685,38.1748,4.83378,3.64218,0.134001,87.5106,1.56536
2025-02-18,127.884,38.2739,4.85113,3.64477,0.109445,89.6103,1.56536
2025-02-19,127.57,38.4821,4.84867,3.65019,0.118717,89.0881,1.56536
2025-02-20,129.131,36.7775,4.86083,3.60489,0.0543756,92.3534,1.56536
2025-02-21,126.412,34.0422,4.83955,3.5276,0.0104042,92.3697,1.56536
2025-02-24,125.867,33.517,4.83523,3.51205,0.00161475,92.3502,1.56536
2025-02-25,125.055,32.7836,4.82875,3.48993,-0.0103752,92.2714,1.56536
2025-02-26,124.243,32.0799,4.82224,3.46823,-0.0218727,92.1628,1.56536
2025-02-27,126.194,32.2286,4.83782,3.47285,-0.0416419,93.9654,1.56536
2025-02-28,128.452,32.4169,4.85556,3.47868,-0.0635808,96.0353,1.56536
2025-03-03,123.797,29.7411,4.81864,3.39253,-0.0919482,94.056,1.56536
2025-03-04,121.123,28.5915,4.79681,3.35311,-0.0971839,92.5313,1.56536
2025-03-05,118.597,27.2734,4.77573,3.30591,-0.111395,91.3238,1.56536
2025-03-06,121.618,26.9067,4.80089,3.29238,-0.164304,94.7113,1.56536
2025-03-07,124.976,27.3428,4.82812,3.30845,-0.190859,97.6329,1.56536
2025-03-10,124.926,27.1248,4.82772,3.30045,-0.198244,97.8014,1.56536
2025-03-11,122.371,28.8095,4.80706,3.36071,-0.105633,93.5613,1.56536
2025-03-12,122.797,29.5132,4.81053,3.38484,-0.0869415,93.2836,1.56536
2025-03-13,121.331,28.5122,4.79852,3.35033,-0.102646,92.8186,1.56536
2025-03-14,125.52,29.7213,4.83247,3.39186,-0.114256,95.7992,1.56536
2025-03-17,127.957,29.9889,4.85169,3.40083,-0.135388,97.9681,1.56536
2025-03-18,127.184,30.0285,4.84564,3.40215,-0.124588,97.1559,1.56536
