Date,PSX Raw Price,FANG Raw Price,PSX Log Price,FANG Log Price,Residual,Spread,Beta
2025-01-02,112.306,164.468,4.72123,5.10271,0.12462,52.1616,0.736892
2025-01-03,113.955,168.59,4.73581,5.12747,0.138632,54.6345,0.736892
2025-01-06,113.052,167.288,4.72785,5.11972,0.136744,54.2359,0.736892
2025-01-07,113.072,170.029,4.72802,5.13597,0.152871,56.9577,0.736892
2025-01-08,114.112,168.619,4.73718,5.12764,0.137793,54.507,0.736892
2025-01-10,111.835,172.347,4.71702,5.14951,0.174514,60.512,0.736892
2025-01-13,113.847,175.148,4.73486,5.16563,0.177491,61.3003,0.736892
2025-01-14,115.114,175.217,4.74592,5.16602,0.169735,60.1031,0.736892
2025-01-15,116.812,177.07,4.76056,5.17655,0.169468,60.2588,0.736892
2025-01-16,117.43,176.637,4.76584,5.17409,0.163124,59.2065,0.736892
2025-01-17,118.314,177.682,4.77334,5.17999,0.163501,59.3683,0.736892
2025-01-21,118.274,174.497,4.77301,5.16191,0.145657,56.2224,0.736892
2025-01-22,116.37,175.128,4.75677,5.16552,0.161228,58.7578,0.736892
2025-01-23,120.365,174.181,4.79053,5.1601,0.130934,53.816,0.736892
2025-01-24,119.619,170.858,4.78431,5.14083,0.116251,51.2387,0.736892
2025-01-27,120.817,169.221,4.79427,5.1312,0.0992837,48.4042,0.736892
2025-01-28,118.952,166.903,4.77872,5.11742,0.0969585,47.9518,0.736892
2025-01-29,119.914,168.491,4.78677,5.12688,0.100491,48.5775,0.736892
2025-01-30,118.618,168.047,4.77591,5.12425,0.105859,49.4295,0.736892
2025-01-31,115.702,162.081,4.75102,5.0881,0.0880489,46.3787,0.736892
2025-02-03,115.693,162.2,4.75094,5.08883,0.0888412,46.5069,0.736892
2025-02-04,121.337,163.994,4.79857,5.09983,0.0647445,42.6574,0.736892
2025-02-05,121.052,162.476,4.79622,5.09053,0.0571718,41.4234,0.736892
2025-02-06,118.598,157.811,4.77574,5.0614,0.0431353,39.213,0.736892
2025-02-07,118.088,155.938,4.77143,5.04946,0.03437,37.8498,0.736892
2025-02-10,121.435,159.419,4.79938,5.07153,0.0358506,37.9836,0.736892
2025-02-11,127.168,159.764,4.84551,5.0737,0.00402275,32.5961,0.736892
2025-02-12,122.741,153.305,4.81007,5.03243,-0.0111363,30.564,0.736892
2025-02-13,123.231,154.005,4.81406,5.03698,-0.00952033,30.7733,0.736892
2025-02-14,125.685,154.813,4.83378,5.04222,-0.0188135,29.128,0.736892
2025-02-18,127.884,154.587,4.85113,5.04075,-0.0330599,26.7023,0.736892
2025-02-19,127.57,158.038,4.84867,5.06284,-0.00916619,30.4679,0.736892
2025-02-20,129.131,159.843,4.86083,5.07419,-0.0067727,30.7118,0.736892
2025-02-21,126.412,153.955,4.83955,5.03666,-0.0286174,27.5436,0.736892
2025-02-24,125.867,153.078,4.83523,5.03095,-0.0311521,27.2107,0.736892
2025-02-25,125.055,149.814,4.82875,5.00939,-0.0479357,24.7588,0.736892
2025-02-26,124.243,150.317,4.82224,5.01274,-0.0397829,26.0739,0.736892
2025-02-27,126.194,153.433,4.83782,5.03326,-0.0307468,27.2388,0.736892
2025-02-28,128.452,156.756,4.85556,5.05469,-0.0223886,28.3039,0.736892
2025-03-03,123.797,145.948,4.81864,4.98325,-0.0666277,22.151,0.736892
2025-03-04,121.123,143.029,4.79681,4.96305,-0.070738,21.9062,0.736892
2025-03-05,118.597,140.722,4.77573,4.94678,-0.0714748,22.1244,0.736892
2025-03-06,121.618,138.934,4.80089,4.934,-0.102794,17.3159,0.736892
2025-03-07,124.976,139.143,4.82812,4.9355,-0.121362,14.1668,0.736892
2025-03-10,124.926,139.609,4.82772,4.93885,-0.117721,14.6831,0.736892
2025-03-11,122.371,143.651,4.80706,4.96739,-0.0739517,21.2804,0.736892
2025-03-12,122.797,145.538,4.81053,4.98044,-0.0634622,22.7413,0.736892
2025-03-13,121.331,144.793,4.79852,4.97531,-0.0597436,23.4624,0.736892
2025-03-14,125.52,149.163,4.83247,5.00504,-0.0550276,23.6424,0.736892
2025-03-17,127.957,151.973,4.85169,5.0237,-0.0505283,24.0163,0.736892
2025-03-18,127.184,153.93,4.84564,5.0365,-0.0332746,26.7453,0.736892
2025-03-19,127.769,156.512,4.85022,5.05313,-0.0200176,28.743,0.736892
2025-03-20,127.591,157.386,4.84883,5.0587,-0.0134205,29.7952,0.736892
2025-03-21,124.292,157.406,4.82264,5.05883,0.00600502,33.1132,0.736892
2025-03-24,125.263,159.898,4.83042,5.07454,0.0159845,34.6353,0.736892
2025-03-25,124.292,160.484,4.82264,5.0782,0.0253746,36.1918,0.736892
2025-03-26,125.362,161.964,4.83121,5.08737,0.0282378,36.6019,0.736892
2025-03-27,123.53,159.124,4.81648,5.06968,0.0213961,35.5939,0.736892
2025-03-28,120.598,156.452,4.79246,5.05275,0.0221649,35.8543,0.736892
2025-03-31,122.301,158.776,4.80649,5.06749,0.0265725,36.4745,0.736892
2025-04-01,123.163,159.759,4.81351,5.07367,0.0275718,36.596,0.736892
2025-04-02,122.876,160.375,4.81118,5.07751,0.033139,37.499,0.736892
2025-04-03,106.157,140.304,4.66492,4.94381,0.00721418,34.1474,0.736892
2025-04-04,97.8669,122.518,4.58361,4.80826,-0.0684243,24.6512,0.736892
2025-04-07,95.6681,123.67,4.56089,4.81762,-0.0423207,28.002,0.736892
2025-04-08,91.9836,118.427,4.52161,4.77429,-0.0567042,26.4429,0.736892
2025-04-09,102.146,133.998,4.6264,4.89783,-0.010389,31.8526,0.736892
2025-04-10,96.0643,122.31,4.56502,4.80656,-0.0564283,26.2453,0.736892
2025-04-11,96.4506,128.119,4.56903,4.85296,-0.01298,31.6686,0.736892
2025-04-14,96.8864,126.759,4.57354,4.84228,-0.0269781,29.8722,0.736892
2025-04-15,95.2917,126.262,4.55694,4.83836,-0.0186738,30.9703,0.736892
2025-04-16,95.6483,129.321,4.56068,4.8623,0.00251056,33.6725,0.736892
2025-04-17,98.1542,136.69,4.58654,4.91771,0.0388698,38.5354,0.736892
2025-04-21,96.0841,131.436,4.56522,4.87852,0.0153853,35.352,0.736892
2025-04-22,99.937,135.597,4.60454,4.90969,0.0175813,35.6602,0.736892
2025-04-23,101.799,134.604,4.623,4.90234,-0.00337319,32.805,0.736892
2025-04-24,103.691,135.22,4.64141,4.9069,-0.0123774,31.529,0.736892
2025-04-25,102.978,135.816,4.63451,4.9113,-0.00289522,32.838,0.736892
2025-04-28,104.77,136.868,4.65177,4.91902,-0.0078922,32.0979,0.736892
2025-04-29,104.988,135.706,4.65385,4.91049,-0.0179489,30.7181,0.736892
2025-04-30,103.067,131.098,4.63538,4.87595,-0.0388827,28.0316,0.736892
2025-05-01,102.473,133.899,4.62959,4.89709,-0.0134844,31.4264,0.736892
2025-05-02,106.127,135.865,4.66464,4.91166,-0.0247302,29.738,0.736892
