Date,MTDR Raw Price,AR Raw Price,MTDR Log Price,AR Log Price,Residual,Spread,Beta
2025-02-21,52.4062,38.15,3.95902,3.64153,-0.00692027,14.2562,0.261429
2025-02-24,52.6923,37.9,3.96447,3.63495,-0.0149185,14.7923,0.261429
2025-02-25,51.7648,37.35,3.94671,3.62033,-0.0248939,14.4148,0.261429
2025-02-26,51.4392,37.04,3.9404,3.612,-0.0315786,14.3992,0.261429
2025-02-27,51.8141,35.58,3.94766,3.57178,-0.0736921,16.2341,0.261429
2025-02-28,51.9561,36.7,3.9504,3.60278,-0.0434143,15.2561,0.261429
2025-03-03,47.3898,36.15,3.85841,3.58768,-0.0344649,11.2398,0.261429
2025-03-04,46.0894,36.52,3.83058,3.59786,-0.0170078,9.56942,0.261429
2025-03-05,45.3846,36.38,3.81517,3.59402,-0.0168201,9.00463,0.261429
2025-03-06,44.4614,33.78,3.79462,3.51987,-0.0855977,10.6814,0.261429
2025-03-07,44.9379,33.64,3.80528,3.51572,-0.0925376,11.2979,0.261429
2025-03-10,44.6898,34.69,3.79974,3.54645,-0.0603542,9.99976,0.261429
2025-03-11,46.6552,35.86,3.84279,3.57962,-0.0384353,10.7952,0.261429
2025-03-12,47.9258,36.01,3.86965,3.5838,-0.0412857,11.9158,0.261429
2025-03-13,46.5858,36.37,3.84129,3.59374,-0.0239239,10.2158,0.261429
2025-03-14,48.2634,37.57,3.87667,3.62621,-0.000711082,10.6934,0.261429
2025-03-17,49.9906,38.9,3.91183,3.66099,0.0248849,11.0906,0.261429
2025-03-18,50.1891,39.87,3.9158,3.68562,0.0484786,10.3191,0.261429
2025-03-19,52.234,41.02,3.95573,3.71406,0.0664739,11.214,0.261429
2025-03-20,51.9263,40.97,3.94983,3.71284,0.0667989,10.9563,0.261429
2025-03-21,51.1322,40.77,3.93441,3.70795,0.0659344,10.3622,0.261429
2025-03-24,52.5814,41.21,3.96236,3.71868,0.0693619,11.3714,0.261429
2025-03-25,51.9362,41.42,3.95002,3.72376,0.0776727,10.5162,0.261429
2025-03-26,51.8568,40.97,3.94849,3.71284,0.067149,10.8868,0.261429
2025-03-27,51.1222,39.53,3.93422,3.67706,0.0350985,11.5922,0.261429
2025-03-28,50.1395,39.69,3.91481,3.6811,0.0442123,10.4495,0.261429
2025-03-31,50.7152,40.44,3.92623,3.69982,0.0599476,10.2752,0.261429
2025-04-01,50.7351,40.92,3.92662,3.71162,0.0716448,9.81509,0.261429
2025-04-02,51.8469,42,3.94829,3.73767,0.0920286,9.84687,0.261429
2025-04-03,44.2431,38.79,3.7897,3.65816,0.0539831,5.45306,0.261429
2025-04-04,38.0985,33.46,3.64017,3.51035,-0.0547386,4.63847,0.261429
2025-04-07,38.0488,34.15,3.63887,3.53076,-0.0339858,3.89883,0.261429
2025-04-08,36.401,32.24,3.5946,3.47321,-0.079966,4.16101,0.261429
2025-04-09,42.1882,34.89,3.74214,3.5522,-0.0395464,7.29825,0.261429
2025-04-10,37.5624,31.92,3.626,3.46323,-0.0981521,5.64243,0.261429
2025-04-11,39.1209,33.1,3.66666,3.49953,-0.0724795,6.02092,0.261429
2025-04-14,38.9422,33.23,3.66208,3.50345,-0.0673629,5.71223,0.261429
2025-04-15,38.6643,33.1,3.65492,3.49953,-0.0694101,5.56429,0.261429
2025-04-16,39.8356,34.3,3.68476,3.53515,-0.0416005,5.53563,0.261429
2025-04-17,41.1658,34.42,3.71761,3.53864,-0.046695,6.7458,0.261429
2025-04-21,39.7364,32.06,3.68227,3.46761,-0.108484,7.67636,0.261429
2025-04-22,40.7191,32.83,3.7067,3.49134,-0.0911376,7.8891,0.261429
2025-04-23,40.5404,34.29,3.7023,3.53485,-0.0464769,6.25042,0.261429
2025-04-24,40.4511,34.54,3.70009,3.54212,-0.0386358,5.91108,0.261429
2025-04-25,40.7687,35.33,3.70792,3.56473,-0.0180664,5.43874,0.261429
2025-04-28,41.2353,35.93,3.71929,3.58157,-0.00420105,5.30529,0.261429
2025-04-29,40.7191,36.18,3.7067,3.58851,0.00602608,4.5391,0.261429
2025-04-30,39.25,34.83,3.66995,3.55048,-0.0223945,4.41996,0.261429
2025-05-01,40.193,34.65,3.69369,3.5453,-0.0337828,5.54299,0.261429
2025-05-02,40.7886,35.76,3.7084,3.57683,-0.00609624,5.02859,0.261429
2025-05-05,39.3592,35.49,3.67273,3.56925,-0.00434895,3.86915,0.261429
2025-05-06,40.0342,35.5,3.68973,3.56953,-0.0085128,4.53417,0.261429
2025-05-07,39.7463,36.71,3.68252,3.60305,0.0268903,3.03629,0.261429
2025-05-08,42.357,37.39,3.74613,3.6214,0.0286131,4.967,0.261429
2025-05-09,42.75,38.71,3.75537,3.6561,0.0608933,4.04,0.261429
2025-05-12,44.69,39.4,3.79975,3.67377,0.0669588,5.29,0.261429
2025-05-13,46.36,41.04,3.83644,3.71455,0.098149,5.32,0.261429
2025-05-14,45.89,40.5,3.82625,3.7013,0.0875677,5.39,0.261429
2025-05-15,44.59,40.23,3.79751,3.69461,0.0883916,4.36,0.261429
2025-05-16,44.54,39.8,3.79639,3.68387,0.0779388,4.74,0.261429
2025-05-19,44.29,39.42,3.79076,3.67427,0.0698167,4.87,0.261429
2025-05-20,44.28,39.77,3.79053,3.68311,0.0787153,4.51,0.261429
2025-05-21,43.55,39.11,3.77391,3.66638,0.0663265,4.44,0.261429
2025-05-22,43.6,39.05,3.77506,3.66484,0.0644912,4.55,0.261429
2025-05-23,43.4,39.49,3.77046,3.67605,0.0768978,3.91,0.261429
2025-05-27,44.16,40.17,3.78782,3.69312,0.0894323,3.99,0.261429
2025-05-28,43.83,38.97,3.78032,3.66279,0.061065,4.86,0.261429
2025-05-29,44.04,38.84,3.7851,3.65945,0.0564739,5.2,0.261429
2025-05-30,43.01,37.45,3.76143,3.62301,0.0262169,5.56,0.261429
2025-06-02,43.51,38.65,3.77299,3.65455,0.0547354,4.86,0.261429
2025-06-03,45.8,38.36,3.82428,3.64702,0.0337942,7.44,0.261429
2025-06-04,45.01,37.3,3.80688,3.61899,0.010321,7.71,0.261429
2025-06-05,44.77,37.19,3.80154,3.61604,0.00876526,7.58,0.261429
2025-06-06,45.79,38.65,3.82407,3.65455,0.0413829,7.14,0.261429
2025-06-09,46.66,38.92,3.84289,3.66151,0.0434238,7.74,0.261429
2025-06-10,47.93,38.39,3.86974,3.6478,0.022692,9.54,0.261429
2025-06-11,49.02,39.22,3.89223,3.66919,0.0382032,9.8,0.261429
2025-06-12,49.5,40.04,3.90197,3.68988,0.0563479,9.46,0.261429
2025-06-13,51.64,41.66,3.9443,3.72954,0.0849456,9.98,0.261429
