Date,MTDR Raw Price,AR Raw Price,MTDR Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,57.3103,35.57,4.04848,3.5715,-0.10033,21.7403,0.261429
2025-01-03,58.2872,34.94,4.06538,3.55363,-0.122619,23.3472,0.261429
2025-01-06,57.5767,36.01,4.05312,3.5838,-0.0892484,21.5667,0.261429
2025-01-07,58.9286,36.68,4.07633,3.60223,-0.0768806,22.2486,0.261429
2025-01-08,59.2838,37.86,4.08234,3.6339,-0.0467882,21.4238,0.261429
2025-01-10,60.4383,38.32,4.10162,3.64597,-0.0397536,22.1183,0.261429
2025-01-13,61.1389,38.3,4.11315,3.64545,-0.0432887,22.8389,0.261429
2025-01-14,61.8987,38.59,4.1255,3.65299,-0.0389742,23.3087,0.261429
2025-01-15,62.7769,40.23,4.13959,3.69461,-0.0010375,22.5469,0.261429
2025-01-16,62.5401,40.57,4.13581,3.70303,0.00836646,21.9701,0.261429
2025-01-17,62.9249,40.46,4.14194,3.70031,0.00404768,22.4649,0.261429
2025-01-21,61.8888,39.93,4.12534,3.68713,-0.00479783,21.9588,0.261429
2025-01-22,62.2046,40.74,4.13043,3.70721,0.0139543,21.4646,0.261429
2025-01-23,61.3757,40.55,4.11701,3.70254,0.0127865,20.8257,0.261429
2025-01-24,60.31,40.15,4.0995,3.69262,0.00745238,20.16,0.261429
2025-01-27,58.8102,36.35,4.07431,3.59319,-0.0853922,22.4602,0.261429
2025-01-28,59.4811,37.22,4.08566,3.61685,-0.0647059,22.2611,0.261429
2025-01-29,59.4614,37.35,4.08533,3.62033,-0.0611326,22.1114,0.261429
2025-01-30,58.751,37.85,4.07331,3.63363,-0.0446921,20.901,0.261429
2025-01-31,57.2314,37.32,4.0471,3.61953,-0.0519428,19.9114,0.261429
2025-02-03,56.7775,38.33,4.03914,3.64623,-0.0231576,18.4475,0.261429
2025-02-04,57.5965,38.73,4.05346,3.65661,-0.0165202,18.8665,0.261429
2025-02-05,57.2018,39.6,4.04658,3.67883,0.00749212,17.6018,0.261429
2025-02-06,55.7216,38.3,4.02037,3.64545,-0.0190334,17.4216,0.261429
2025-02-07,55.9289,37.85,4.02408,3.63363,-0.0318227,18.0789,0.261429
2025-02-10,58.4747,40.02,4.06859,3.68938,0.0122886,18.4547,0.261429
2025-02-11,58.5832,40.02,4.07045,3.68938,0.0118038,18.5632,0.261429
2025-02-12,55.6723,39.38,4.01948,3.67326,0.00900642,16.2923,0.261429
2025-02-13,56.363,40.15,4.03181,3.69262,0.0251472,16.213,0.261429
2025-02-14,56.4321,39.84,4.03304,3.68487,0.017076,16.5921,0.261429
2025-02-18,57.034,39.74,4.04365,3.68236,0.0117891,17.294,0.261429
2025-02-19,55.8795,40.35,4.0232,3.69759,0.0323684,15.5295,0.261429
2025-02-20,55.7315,39.51,4.02055,3.67655,0.0120242,16.2215,0.261429
