Date,EOG Raw Price,KMI Raw Price,EOG Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,122.706,27.5159,4.80979,3.31476,0.00793791,95.19,0.147271
2025-01-03,124.536,27.6725,4.82459,3.32044,0.0114334,96.8635,0.147271
2025-01-06,124.359,27.2418,4.82317,3.30475,-0.00404359,97.1171,0.147271
2025-01-07,125.51,27.2222,4.83239,3.30403,-0.00611958,98.2879,0.147271
2025-01-08,126.396,27.6921,4.83942,3.32115,0.00995774,98.7036,0.147271
2025-01-10,129.298,27.5648,4.86212,3.31654,0.00200814,101.733,0.147271
2025-01-13,132.329,27.9172,4.88529,3.32924,0.0112993,104.412,0.147271
2025-01-14,133.588,28.5045,4.89476,3.35006,0.0307239,105.084,0.147271
2025-01-15,134.857,28.8178,4.90422,3.36099,0.0402603,106.04,0.147271
2025-01-16,135.832,29.4247,4.91142,3.38183,0.0600414,106.407,0.147271
2025-01-17,135.341,29.6694,4.9078,3.39012,0.0688565,105.672,0.147271
2025-01-21,134.806,30.5601,4.90384,3.4197,0.0990212,104.246,0.147271
2025-01-22,132.804,30.1294,4.88888,3.4055,0.0870306,102.675,0.147271
2025-01-23,132.765,29.8358,4.88858,3.39571,0.0772801,102.929,0.147271
2025-01-24,130.624,29.6302,4.87232,3.38879,0.0727602,100.994,0.147271
2025-01-27,130.763,26.8796,4.87339,3.29137,-0.0248229,103.883,0.147271
2025-01-28,129.068,26.8796,4.86034,3.29137,-0.022902,102.189,0.147271
2025-01-29,129.049,26.723,4.86019,3.28552,-0.0287232,102.326,0.147271
2025-01-30,128.603,27.5061,4.85673,3.31441,0.000669564,101.097,0.147271
2025-01-31,124.649,26.8992,4.8255,3.2921,-0.0170428,97.7497,0.147271
2025-02-03,125.253,27.283,4.83034,3.30626,-0.0035871,97.9703,0.147271
2025-02-04,126.958,27.2039,4.84385,3.30336,-0.0084825,99.7539,0.147271
2025-02-05,126.542,27.3424,4.84057,3.30844,-0.00292094,99.1992,0.147271
2025-02-06,125.531,26.4916,4.83255,3.27683,-0.0333485,99.0392,0.147271
2025-02-07,125.352,26.7488,4.83113,3.28649,-0.0234772,98.6036,0.147271
2025-02-10,129.376,26.7785,4.86272,3.2876,-0.0270208,102.597,0.147271
2025-02-11,131.09,26.5015,4.87588,3.2772,-0.0393567,104.588,0.147271
2025-02-12,127.671,25.997,4.84946,3.25798,-0.0546856,101.674,0.147271
2025-02-13,127.85,26.274,4.85085,3.26858,-0.0442931,101.576,0.147271
2025-02-14,128.137,26.2641,4.8531,3.2682,-0.0450004,101.873,0.147271
2025-02-18,129.752,26.462,4.86563,3.27571,-0.0393404,103.29,0.147271
2025-02-19,133.31,26.6004,4.89267,3.28093,-0.0381038,106.709,0.147271
2025-02-20,134.439,26.3037,4.90111,3.26971,-0.0505658,108.136,0.147271
2025-02-21,131.873,26.1256,4.88184,3.26292,-0.0545196,105.747,0.147271
2025-02-24,132.418,26.185,4.88596,3.26519,-0.0528578,106.233,0.147271
2025-02-25,130.129,25.819,4.86852,3.25111,-0.0643663,104.31,0.147271
2025-02-26,128.662,25.8882,4.85719,3.25379,-0.0600187,102.774,0.147271
2025-02-27,129.425,25.9278,4.8631,3.25531,-0.0593623,103.497,0.147271
2025-02-28,125.788,26.8082,4.8346,3.28871,-0.0217721,98.9803,0.147271
2025-03-03,119.447,26.8478,4.78287,3.29018,-0.0126784,92.5988,0.147271
2025-03-04,121.002,26.6994,4.79581,3.28464,-0.0201264,94.3029,0.147271
2025-03-05,120.745,26.4422,4.79368,3.27496,-0.0294924,94.3025,0.147271
2025-03-06,121.082,26.0267,4.79646,3.25912,-0.0457402,95.0549,0.147271
2025-03-07,124.124,25.8585,4.82128,3.25264,-0.0558771,98.2652,0.147271
2025-03-10,124.748,25.8585,4.8263,3.25264,-0.0566159,98.8895,0.147271
2025-03-11,123.361,26.1256,4.81511,3.26292,-0.0446929,97.2351,0.147271
2025-03-12,123.143,26.2344,4.81334,3.26707,-0.0402759,96.9083,0.147271
2025-03-13,119.992,26.2542,4.78742,3.26783,-0.0357044,93.7373,0.147271
2025-03-14,122.796,26.8082,4.81052,3.28871,-0.0182261,95.9877,0.147271
2025-03-17,122.459,27.4908,4.80778,3.31385,0.00732113,94.9682,0.147271
2025-03-18,121.458,27.2237,4.79957,3.30409,-0.00123357,94.2344,0.147271
2025-03-19,123.807,27.5501,4.81872,3.31601,0.00786594,96.2565,0.147271
2025-03-20,123.172,27.7578,4.81359,3.32352,0.0161344,95.4146,0.147271
2025-03-21,124.035,27.6292,4.82056,3.31887,0.0104635,96.4053,0.147271
2025-03-24,127.106,28.4008,4.84502,3.34642,0.0344046,98.7056,0.147271
2025-03-25,126.224,28.5196,4.83806,3.35059,0.0396011,97.7049,0.147271
2025-03-26,128.008,28.1733,4.85209,3.33838,0.0253201,99.8348,0.147271
2025-03-27,125.58,27.926,4.83295,3.32956,0.0193232,97.6544,0.147271
2025-03-28,125.442,28.0645,4.83184,3.33451,0.0244331,97.3771,0.147271
2025-03-31,127.077,28.2228,4.84479,3.34013,0.0281498,98.8539,0.147271
2025-04-01,128.127,28.3217,4.85302,3.34363,0.0304364,99.8054,0.147271
2025-04-02,128.791,28.6086,4.85819,3.35371,0.0397535,100.182,0.147271
2025-04-03,118.802,27.4215,4.77746,3.31133,0.00926338,91.3809,0.147271
2025-04-04,109.547,25.0177,4.69636,3.21958,-0.0705369,84.5295,0.147271
2025-04-07,108.041,25.0968,4.68251,3.22274,-0.0653397,82.9441,0.147271
2025-04-08,104.008,24.9385,4.64447,3.21641,-0.0660636,79.0693,0.147271
2025-04-09,113.015,25.9673,4.72752,3.25684,-0.0378704,87.0481,0.147271
2025-04-10,103.661,25.5123,4.64113,3.23916,-0.0428256,78.1487,0.147271
2025-04-11,107.555,26.185,4.67801,3.26519,-0.0222318,81.3704,0.147271
2025-04-14,106.664,26.5114,4.66968,3.27758,-0.00861564,80.1521,0.147271
2025-04-15,106.505,26.9269,4.66819,3.29313,0.00715354,79.5781,0.147271
