Date,CVX Raw Price,RRC Raw Price,CVX Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,143.354,35.8827,4.96532,3.58026,-0.0331784,107.472,0.547572
2025-01-03,144.468,35.7434,4.97306,3.57636,-0.0413079,108.725,0.547572
2025-01-06,143.892,36.6392,4.96906,3.60112,-0.0143645,107.253,0.547572
2025-01-07,146.169,36.6093,4.98476,3.6003,-0.023776,109.559,0.547572
2025-01-08,146.862,37.3459,4.9895,3.62022,-0.0064489,109.516,0.547572
2025-01-10,149.637,37.9929,5.00822,3.6374,0.000476727,111.645,0.547572
2025-01-13,151.797,38.3114,5.02254,3.64575,0.000979769,113.485,0.547572
2025-01-14,153.311,39.4361,5.03247,3.67468,0.0244789,113.875,0.547572
2025-01-15,154.709,40.1429,5.04154,3.69244,0.0372725,114.566,0.547572
2025-01-16,155.735,41.0984,5.04815,3.71597,0.0571778,114.636,0.547572
2025-01-17,157.777,40.8794,5.06118,3.71063,0.0447016,116.897,0.547572
2025-01-21,154.621,40.7799,5.04098,3.70819,0.0533283,113.841,0.547572
2025-01-22,152.833,40.8097,5.02934,3.70892,0.0604297,112.023,0.547572
2025-01-23,152.442,40.3718,5.02678,3.69813,0.0510422,112.07,0.547572
2025-01-24,152.09,39.9836,5.02447,3.68847,0.0426451,112.106,0.547572
2025-01-27,153.634,37.0971,5.03457,3.61354,-0.0378168,116.537,0.547572
2025-01-28,152.637,37.2264,5.02806,3.61702,-0.030771,115.411,0.547572
2025-01-29,152.129,37.4156,5.02473,3.62209,-0.0238779,114.714,0.547572
2025-01-30,152.745,37.3957,5.02877,3.62155,-0.0266213,115.349,0.547572
2025-01-31,145.778,36.8681,4.98208,3.60735,-0.0152656,108.91,0.547572
2025-02-03,145.924,37.2663,4.98309,3.61809,-0.00507465,108.658,0.547572
2025-02-04,149.716,37.5649,5.00874,3.62607,-0.0111385,112.151,0.547572
2025-02-05,149.491,38.7593,5.00724,3.65737,0.0209854,110.732,0.547572
2025-02-06,148.426,37.4554,5.00009,3.62315,-0.00931971,110.97,0.547572
2025-02-07,149.129,37.0771,5.00481,3.613,-0.0220587,112.052,0.547572
2025-02-10,152.207,39.5257,5.02524,3.67695,0.0307058,112.682,0.547572
2025-02-11,153.839,39.3864,5.03591,3.67342,0.0213347,114.453,0.547572
2025-02-12,151.357,38.3014,5.01964,3.64549,0.00230832,113.056,0.547572
2025-02-13,152.315,38.6199,5.02595,3.65377,0.00713643,113.695,0.547572
2025-02-14,153.471,38.4906,5.03351,3.65041,-0.000359583,114.98,0.547572
2025-02-18,154.281,38.7394,5.03877,3.65686,0.00320178,115.541,0.547572
2025-02-19,155.338,39.7148,5.0456,3.68173,0.0243307,115.623,0.547572
2025-02-20,156.879,39.4859,5.05548,3.67594,0.0131435,117.393,0.547572
2025-02-21,155.032,38.3014,5.04363,3.64549,-0.0108263,116.73,0.547572
2025-02-24,155.99,37.8137,5.04979,3.63267,-0.0270164,118.176,0.547572
2025-02-25,154.538,37.326,5.04044,3.61969,-0.0348764,117.212,0.547572
2025-02-26,153.273,38.3711,5.03222,3.6473,-0.00276203,114.902,0.547572
2025-02-27,154.785,36.2311,5.04203,3.58992,-0.065523,118.554,0.547572
2025-02-28,156.711,36.9477,5.0544,3.6095,-0.0527093,119.763,0.547572
2025-03-03,151.248,36.6292,5.01892,3.60085,-0.0419365,114.619,0.547572
2025-03-04,150.171,37.6843,5.01177,3.62924,-0.00962663,112.487,0.547572
2025-03-05,148.995,37.3558,5.00391,3.62049,-0.0140774,111.639,0.547572
2025-03-06,151.109,35.2158,5.018,3.5615,-0.0807867,115.894,0.547572
2025-03-07,154.459,35.0566,5.03993,3.55696,-0.0973232,119.402,0.547572
2025-03-10,155.674,36.2908,5.04776,3.59156,-0.0670127,119.383,0.547572
2025-03-11,152.226,37.2762,5.02537,3.61836,-0.0279573,114.95,0.547572
2025-03-12,150.833,37.4255,5.01617,3.62235,-0.0189261,113.407,0.547572
2025-03-13,151.761,37.2862,5.02231,3.61862,-0.0260175,114.475,0.547572
2025-03-14,155.13,38.234,5.04427,3.64373,-0.0129365,116.896,0.547572
2025-03-17,156.81,38.8826,5.05503,3.66055,-0.00201274,117.927,0.547572
2025-03-18,158.875,39.5511,5.06812,3.67759,0.00787052,119.324,0.547572
2025-03-19,162.076,40.4191,5.08806,3.6993,0.0186578,121.657,0.547572
