Date,HES Raw Price,ET Raw Price,HES Log Price,ET Log Price,Residual,Spread,Beta
2025-02-13,145.358,19.4457,4.9792,2.96763,0.0478547,125.912,0.672483
2025-02-14,146.055,19.6125,4.98399,2.97617,0.0531755,126.443,0.672483
2025-02-18,147.471,19.9167,4.99363,2.99156,0.0620796,127.554,0.672483
2025-02-19,148.766,19.7401,5.00238,2.98265,0.0472907,129.026,0.672483
2025-02-20,150.45,19.5635,5.01363,2.97366,0.0307332,130.887,0.672483
2025-02-21,147.61,19.0239,4.99457,2.94569,0.0155802,128.586,0.672483
2025-02-24,148.248,18.6118,4.99889,2.9238,-0.00921813,129.636,0.672483
2025-02-25,146.454,18.5627,4.98671,2.92116,-0.00367004,127.891,0.672483
2025-02-26,144.979,18.7982,4.97659,2.93376,0.0157424,126.181,0.672483
2025-02-27,146.414,18.5824,4.98644,2.92221,-0.00243046,127.832,0.672483
2025-02-28,148.437,18.9257,5.00016,2.94052,0.00665157,129.512,0.672483
2025-03-03,143.604,18.6707,4.96706,2.92695,0.0153443,124.933,0.672483
2025-03-04,141.909,18.1212,4.95519,2.89708,-0.00654336,123.788,0.672483
2025-03-05,140.863,17.8563,4.94779,2.88236,-0.0162921,123.007,0.672483
2025-03-06,142.856,17.3658,4.96184,2.8545,-0.0535982,125.49,0.672483
2025-03-07,146.932,17.1303,4.98997,2.84085,-0.0861701,129.802,0.672483
2025-03-10,147.74,16.9341,4.99545,2.82933,-0.101376,130.806,0.672483
2025-03-11,144.122,17.4933,4.97066,2.86182,-0.0522125,126.629,0.672483
2025-03-12,143.544,18.0526,4.96664,2.89329,-0.0180416,125.491,0.672483
2025-03-13,143.434,17.8269,4.96588,2.88071,-0.0301066,125.607,0.672483
2025-03-14,147.63,18.3763,4.99471,2.91106,-0.0191416,129.254,0.672483
2025-03-17,150.45,18.5431,5.01363,2.9201,-0.0228306,131.907,0.672483
2025-03-18,152.82,18.3273,5.02926,2.90839,-0.04505,134.493,0.672483
2025-03-19,156.38,18.5824,5.05229,2.92221,-0.0467134,137.798,0.672483
2025-03-20,157.37,18.4941,5.0586,2.91745,-0.0557204,138.876,0.672483
2025-03-21,156.58,18.2488,5.05357,2.9041,-0.0656873,138.331,0.672483
2025-03-24,157.35,18.5235,5.05847,2.91904,-0.0540448,138.827,0.672483
2025-03-25,158.29,18.5235,5.06443,2.91904,-0.0580502,139.767,0.672483
2025-03-26,160.52,18.5725,5.07842,2.92168,-0.0648132,141.947,0.672483
2025-03-27,159.07,18.5235,5.06934,2.91904,-0.0613559,140.547,0.672483
2025-03-28,158.45,18.3567,5.06544,2.90999,-0.0677745,140.093,0.672483
2025-03-31,159.73,18.239,5.07348,2.90356,-0.0796195,141.491,0.672483
2025-04-01,161.29,18.3763,5.0832,2.91106,-0.0786528,142.914,0.672483
2025-04-02,160.02,18.5725,5.0753,2.92168,-0.0627153,141.447,0.672483
2025-04-03,148.38,17.3952,4.99978,2.85619,-0.0774176,130.985,0.672483
2025-04-04,133.56,15.8548,4.89455,2.76348,-0.0993742,117.705,0.672483
2025-04-07,130.59,15.5703,4.87206,2.74537,-0.10236,115.02,0.672483
2025-04-08,127.51,15.3545,4.84819,2.73141,-0.100269,112.156,0.672483
2025-04-09,137.97,16.3552,4.92704,2.79455,-0.0901484,121.615,0.672483
2025-04-10,127.16,15.6096,4.84545,2.74788,-0.0819434,111.55,0.672483
2025-04-11,128.5,16.0216,4.85593,2.77394,-0.0629367,112.478,0.672483
2025-04-14,127.91,16.5024,4.85133,2.8035,-0.0302772,111.408,0.672483
2025-04-15,127.21,16.7869,4.84584,2.8206,-0.00949239,110.423,0.672483
2025-04-16,127.95,16.6005,4.85164,2.80943,-0.0245597,111.349,0.672483
2025-04-17,130.64,16.9439,4.87245,2.82991,-0.0180768,113.696,0.672483
2025-04-21,126.32,16.2473,4.83882,2.78793,-0.037444,110.073,0.672483
2025-04-22,130.38,16.6594,4.87045,2.81297,-0.0336719,113.721,0.672483
2025-04-23,130.03,16.7771,4.86777,2.82001,-0.0248218,113.253,0.672483
2025-04-24,132.38,17.2578,4.88568,2.84827,-0.00861488,115.122,0.672483
2025-04-25,132.34,17.1205,4.88537,2.84028,-0.0164025,115.22,0.672483
2025-04-28,133.84,16.9537,4.89665,2.83049,-0.0337717,116.886,0.672483
2025-04-29,132.54,16.7182,4.88688,2.8165,-0.0411941,115.822,0.672483
2025-04-30,129.05,16.2277,4.8602,2.78672,-0.0530311,112.822,0.672483
2025-05-01,129.79,16.2179,4.86592,2.78611,-0.057481,113.572,0.672483
2025-05-02,132.31,16.3552,4.88515,2.79455,-0.061979,115.955,0.672483
2025-05-05,128.8,15.8843,4.85826,2.76533,-0.073115,112.916,0.672483
2025-05-06,128.87,15.5115,4.8588,2.74158,-0.0972315,113.359,0.672483
2025-05-07,129.09,16.5711,4.86051,2.80766,-0.0322995,112.519,0.672483
2025-05-08,130.88,17.042,4.87428,2.83568,-0.0135374,113.838,0.672483
2025-05-09,132.37,17.21,4.8856,2.84549,-0.0113404,115.16,0.672483
2025-05-12,135.21,17.44,4.90683,2.85877,-0.0123401,117.77,0.672483
2025-05-13,135.7,18,4.91045,2.89037,0.0168326,117.7,0.672483
2025-05-14,134.79,18.16,4.90372,2.89922,0.0302071,116.63,0.672483
2025-05-15,135.07,17.97,4.90579,2.8887,0.0182938,117.1,0.672483
2025-05-16,134.93,17.95,4.90476,2.88759,0.0178777,116.98,0.672483
2025-05-19,132.79,18,4.88877,2.89037,0.0314104,114.79,0.672483
2025-05-20,132.05,18.14,4.88318,2.89812,0.0429161,113.91,0.672483
2025-05-21,130.16,17.76,4.86876,2.87695,0.0314401,112.4,0.672483
2025-05-22,130.02,17.88,4.86769,2.88368,0.0388977,112.14,0.672483
2025-05-23,131.36,17.85,4.87794,2.882,0.0303234,113.51,0.672483
2025-05-27,132.58,17.95,4.88719,2.88759,0.0296931,114.63,0.672483
2025-05-28,131.07,17.76,4.87573,2.87695,0.0267548,113.31,0.672483
2025-05-29,133.62,17.68,4.895,2.87243,0.0092825,115.94,0.672483
2025-05-30,132.19,17.48,4.88424,2.86106,0.00514143,114.71,0.672483
2025-06-02,133.75,17.48,4.89597,2.86106,-0.0027482,116.27,0.672483
2025-06-03,135.96,17.9,4.91236,2.8848,0.00997424,118.06,0.672483
2025-06-04,133.45,17.53,4.89373,2.86391,0.00161828,115.92,0.672483
2025-06-05,133.05,17.67,4.89073,2.87187,0.0115915,115.38,0.672483
2025-06-06,136.13,17.93,4.91361,2.88648,0.0108085,118.2,0.672483
2025-06-09,136.63,17.71,4.91728,2.87413,-0.00400285,118.92,0.672483
2025-06-10,138.66,17.99,4.93202,2.88982,0.00176577,120.67,0.672483
2025-06-11,140.58,18.25,4.94578,2.90417,0.00686696,122.33,0.672483
2025-06-12,141.14,18.45,4.94975,2.91506,0.0150928,122.69,0.672483
2025-06-13,142.26,18.32,4.95766,2.90799,0.00270639,123.94,0.672483
