Date,HES Raw Price,ET Raw Price,HES Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,134.963,19.0293,4.905,2.94598,0.0761025,115.934,0.672483
2025-01-03,135.93,18.9617,4.91214,2.94242,0.067745,116.968,0.672483
2025-01-06,135.461,18.9424,4.90869,2.9414,0.0690475,116.519,0.672483
2025-01-07,138.142,18.8169,4.92828,2.93475,0.0492203,119.325,0.672483
2025-01-08,139.338,19.0486,4.9369,2.94699,0.0556624,120.289,0.672483
2025-01-10,141.929,18.7493,4.95533,2.93116,0.0274344,123.18,0.672483
2025-01-13,144.341,18.7976,4.97218,2.93373,0.0186741,125.544,0.672483
2025-01-14,146.185,19.2417,4.98487,2.95708,0.0334898,126.943,0.672483
2025-01-15,148.417,19.3479,5.00003,2.96258,0.028802,129.069,0.672483
2025-01-16,149.225,19.5506,5.00545,2.97301,0.0355786,129.674,0.672483
2025-01-17,150.839,19.5893,5.01621,2.97498,0.030315,131.25,0.672483
2025-01-21,148.158,20.1878,4.99828,3.00508,0.0724741,127.97,0.672483
2025-01-22,145.099,20.1975,4.97741,3.00556,0.0869854,124.901,0.672483
2025-01-23,144.371,20.3327,4.97239,3.01223,0.0970355,124.038,0.672483
2025-01-24,143.913,20.323,4.96921,3.01175,0.0986994,123.59,0.672483
2025-01-27,145.617,19.1258,4.98098,2.95104,0.0300688,126.491,0.672483
2025-01-28,144.56,19.6472,4.9737,2.97793,0.0618596,124.913,0.672483
2025-01-29,144.67,19.821,4.97446,2.98674,0.070156,124.849,0.672483
2025-01-30,145.358,20.352,4.9792,3.01318,0.0934045,125.006,0.672483
2025-01-31,138.561,19.7727,4.93131,2.9843,0.096733,118.788,0.672483
2025-02-03,138.361,20.043,4.92987,2.99788,0.11128,118.318,0.672483
2025-02-04,142.298,20.0527,4.95792,2.99836,0.0928956,122.245,0.672483
2025-02-05,142.258,20.072,4.95764,2.99932,0.0940465,122.186,0.672483
2025-02-06,141.451,19.6665,4.95195,2.97892,0.0774646,121.784,0.672483
2025-02-07,142.458,19.5537,4.95904,2.97316,0.0669424,122.904,0.672483
2025-02-10,145.338,19.7106,4.97906,2.98116,0.0614776,125.627,0.672483
2025-02-11,146.504,19.4359,4.98705,2.96712,0.0420685,127.068,0.672483
2025-02-12,144.311,19.2789,4.97197,2.95901,0.0440993,125.032,0.672483
