Date,VLO Raw Price,ENB Raw Price,VLO Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,121.125,42.98,4.79682,3.76073,-0.0320824,78.1447,-0.0114605
2025-01-03,122.216,43.09,4.80579,3.76329,-0.0294235,79.1265,-0.0114605
2025-01-06,120.112,42.99,4.78842,3.76097,-0.031946,77.1217,-0.0114605
2025-01-07,121.951,43.64,4.80362,3.77597,-0.0167652,78.3109,-0.0114605
2025-01-08,123.131,44.02,4.81325,3.78464,-0.0079849,79.1112,-0.0114605
2025-01-10,125.059,43.48,4.82879,3.7723,-0.0201499,81.579,-0.0114605
2025-01-13,131.157,43.4,4.8764,3.77046,-0.0214458,87.757,-0.0114605
2025-01-14,131.855,44.07,4.88171,3.78578,-0.00606519,87.7853,-0.0114605
2025-01-15,135.642,44.33,4.91002,3.79166,0.000141723,91.312,-0.0114605
2025-01-16,137.078,44.03,4.92055,3.78487,-0.00652809,93.048,-0.0114605
2025-01-17,138.73,44.51,4.93253,3.79571,0.00445189,94.2204,-0.0114605
2025-01-21,137.235,45.31,4.9217,3.81353,0.0221417,91.9254,-0.0114605
2025-01-22,132.859,44.76,4.88928,3.80131,0.00955725,88.0985,-0.0114605
2025-01-23,138.396,44.86,4.93012,3.80355,0.0122569,93.5359,-0.0114605
2025-01-24,137.334,45.06,4.92241,3.80799,0.016617,92.2737,-0.0114605
2025-01-27,138.986,44.7,4.93437,3.79997,0.00873267,94.2861,-0.0114605
2025-01-28,135.858,44.46,4.91161,3.79459,0.00308819,91.3984,-0.0114605
2025-01-29,137.186,44.26,4.92134,3.79008,-0.00130894,92.9262,-0.0114605
2025-01-30,134.281,44.5,4.89993,3.79549,0.00385363,89.7808,-0.0114605
2025-01-31,131.881,43.24,4.8819,3.76677,-0.0250762,88.6412,-0.0114605
2025-02-03,135.034,42.92,4.90553,3.75934,-0.0322335,92.1144,-0.0114605
2025-02-04,141.787,43.72,4.95433,3.77781,-0.0132065,98.0672,-0.0114605
2025-02-05,139.358,43.93,4.93704,3.7826,-0.00861278,95.4278,-0.0114605
2025-02-06,133.16,44.2,4.89155,3.78872,-0.00300678,88.9603,-0.0114605
2025-02-07,131.961,44.45,4.8825,3.79436,0.00252966,87.5105,-0.0114605
2025-02-10,135.659,44.81,4.91015,3.80243,0.0109128,90.8491,-0.0114605
2025-02-11,135.738,45.25,4.91073,3.8122,0.0206908,90.4885,-0.0114605
2025-02-12,129.809,45.1,4.86606,3.80888,0.0168585,84.7088,-0.0114605
2025-02-13,129.888,45.45,4.86667,3.81661,0.0245961,84.4381,-0.0114605
2025-02-14,134.172,43.07,4.89912,3.76283,-0.0288182,91.1018,-0.0114605
2025-02-18,137.028,42.75,4.92018,3.75537,-0.0360343,94.2775,-0.0114605
2025-02-19,135.996,42.31,4.91263,3.74502,-0.0464666,93.6863,-0.0114605
2025-02-20,137.97,41.98,4.92703,3.73719,-0.0541317,95.9895,-0.0114605
2025-02-21,133.607,41.78,4.8949,3.73242,-0.0592755,91.8266,-0.0114605
2025-02-24,133.924,41.54,4.89727,3.72666,-0.0650092,92.3839,-0.0114605
2025-02-25,132.536,41.65,4.88685,3.7293,-0.0624841,90.8856,-0.0114605
2025-02-26,129.065,41.75,4.86032,3.7317,-0.0603901,87.3151,-0.0114605
2025-02-27,128.54,41.73,4.85624,3.73122,-0.0609161,86.8095,-0.0114605
2025-02-28,129.63,42.73,4.86469,3.7549,-0.0371383,86.9003,-0.0114605
2025-03-03,127.32,42.67,4.8467,3.7535,-0.0387496,84.6499,-0.0114605
2025-03-04,126.537,41.55,4.84053,3.7269,-0.0654188,84.9865,-0.0114605
2025-03-05,120.736,42.49,4.7936,3.74927,-0.0435853,78.2457,-0.0114605
2025-03-06,124.94,41.6,4.82783,3.7281,-0.0643617,83.3401,-0.0114605
2025-03-07,125.783,42,4.83456,3.73767,-0.0547152,83.7829,-0.0114605
2025-03-10,125.733,42.68,4.83416,3.75373,-0.0386589,83.0533,-0.0114605
2025-03-11,121.995,42.3,4.80398,3.74479,-0.0479482,79.6951,-0.0114605
