Date,BP Raw Price,SM Raw Price,BP Log Price,SM Log Price,Residual,Spread,Beta
2025-02-07,31.3157,37.0451,3.44412,3.61213,0.176103,5.72939,1.95826
2025-02-10,33.4021,39.0569,3.50862,3.66502,0.102679,5.65479,1.95826
2025-02-11,33.5282,40.2461,3.51239,3.69501,0.125292,6.71788,1.95826
2025-02-12,33.6544,38.5613,3.51614,3.65225,0.0751743,4.90696,1.95826
2025-02-13,33.47,38.6208,3.51065,3.65379,0.0874732,5.1508,1.95826
2025-02-14,33.9649,38.1748,3.52533,3.64218,0.047114,4.20991,1.95826
2025-02-18,34.2658,38.2739,3.53415,3.64477,0.0324386,4.00818,1.95826
2025-02-19,33.5185,38.4821,3.5121,3.65019,0.0810376,4.96354,1.95826
2025-02-20,33.6253,36.7775,3.51528,3.60489,0.0295041,3.15219,1.95826
2025-02-21,33.3497,34.0422,3.50705,3.5276,-0.0316676,0.692463,1.95826
2025-02-24,33.2021,33.517,3.50261,3.51205,-0.0385307,0.314819,1.95826
2025-02-25,32.7003,32.7836,3.48738,3.48993,-0.0308277,0.0833282,1.95826
2025-02-26,32.159,32.0799,3.47069,3.46823,-0.0198419,0.0790863,1.95826
2025-02-27,32.592,32.2286,3.48407,3.47285,-0.0414083,0.363411,1.95826
2025-02-28,32.592,32.4169,3.48407,3.47868,-0.0355827,0.175114,1.95826
2025-03-03,31.3029,29.7411,3.44371,3.39253,-0.0427043,1.5618,1.95826
2025-03-04,30.9388,28.5915,3.43201,3.35311,-0.0592139,2.34731,1.95826
2025-03-05,31.3718,27.2734,3.44591,3.30591,-0.133626,4.09838,1.95826
2025-03-06,31.2045,26.9067,3.44056,3.29238,-0.136692,4.29777,1.95826
2025-03-07,31.5588,27.3428,3.45185,3.30845,-0.142722,4.21597,1.95826
2025-03-10,31.6965,27.1248,3.45621,3.30045,-0.159258,4.57177,1.95826
2025-03-11,31.4702,28.8095,3.44904,3.36071,-0.0849658,2.66067,1.95826
2025-03-12,31.6867,29.5132,3.4559,3.38484,-0.0742608,2.17353,1.95826
2025-03-13,31.854,28.5122,3.46116,3.35033,-0.119076,3.34177,1.95826
2025-03-14,32.8577,29.7213,3.49219,3.39186,-0.138299,3.13644,1.95826
2025-03-17,33.2218,29.9889,3.50321,3.40083,-0.150916,3.23296,1.95826
2025-03-18,33.6745,30.0285,3.51674,3.40215,-0.176098,3.64599,1.95826
2025-03-19,34.0583,30.9204,3.52807,3.43142,-0.169019,3.13783,1.95826
2025-03-20,34.196,30.6529,3.53211,3.42273,-0.185616,3.54318,1.95826
2025-03-21,33.9992,30.3952,3.52634,3.41428,-0.182755,3.60404,1.95826
2025-03-24,33.5662,31.525,3.51352,3.45078,-0.12116,2.04127,1.95826
2025-03-25,33.7434,30.2564,3.51878,3.40971,-0.172538,3.48693,1.95826
2025-03-26,33.8713,30.5141,3.52257,3.41819,-0.171467,3.35718,1.95826
2025-03-27,33.8615,29.9789,3.52228,3.4005,-0.188592,3.88251,1.95826
2025-03-28,33.3202,29.1366,3.50616,3.37199,-0.185541,4.18366,1.95826
2025-03-31,33.2513,29.6816,3.50409,3.39053,-0.162953,3.5697,1.95826
2025-04-01,33.271,29.5032,3.50469,3.3845,-0.170141,3.76777,1.95826
2025-04-02,33.271,30.2465,3.50469,3.40938,-0.145259,3.02449,1.95826
2025-04-03,30.8404,25.103,3.42883,3.22299,-0.183096,5.73736,1.95826
2025-04-04,27.9276,22.0605,3.32961,3.09379,-0.118014,5.86704,1.95826
2025-04-07,26.7369,21.6146,3.28604,3.07337,-0.0531133,5.1223,1.95826
2025-04-08,25.6938,20.2073,3.24625,3.00604,-0.0425084,5.48647,1.95826
2025-04-09,27.4552,24.3994,3.31256,3.19456,0.0161575,3.05584,1.95826
2025-04-10,25.8119,21.0497,3.25083,3.04689,-0.0106462,4.76217,1.95826
2025-04-11,26.1661,21.4758,3.26447,3.06693,-0.0172975,4.69029,1.95826
2025-04-14,26.481,21.7632,3.27643,3.08022,-0.0274298,4.71779,1.95826
2025-04-15,26.7762,21.5254,3.28751,3.06923,-0.0601293,5.25085,1.95826
2025-04-16,27.2191,22.12,3.30392,3.09648,-0.0650005,5.09906,1.95826
2025-04-17,27.8685,23.03,3.3275,3.1368,-0.0708624,4.83853,1.95826
2025-04-21,27.6324,22.02,3.31899,3.09195,-0.0990429,5.61236,1.95826
2025-04-22,28.4098,22.88,3.34673,3.13026,-0.115064,5.52977,1.95826
2025-04-23,28.1441,22.99,3.33734,3.13506,-0.0918671,5.15407,1.95826
2025-04-24,28.5377,23.17,3.35123,3.14286,-0.111267,5.36769,1.95826
2025-04-25,28.7247,23.48,3.35776,3.15615,-0.110764,5.24467,1.95826
2025-04-28,28.6656,23.6,3.3557,3.16125,-0.101637,5.06562,1.95826
2025-04-29,27.6225,23.26,3.31863,3.14674,-0.0435615,4.36252,1.95826
2025-04-30,27.0222,22.79,3.29666,3.12632,-0.0209498,4.23224,1.95826
2025-05-01,27.4355,23.67,3.31184,3.16421,-0.012788,3.76555,1.95826
2025-05-02,27.6717,22.82,3.32041,3.12764,-0.0661444,4.85172,1.95826
2025-05-05,28.7148,21,3.35741,3.04452,-0.22172,7.71482,1.95826
2025-05-06,27.9473,21.52,3.33032,3.06898,-0.144201,6.42726,1.95826
2025-05-07,27.6816,21.2,3.32077,3.054,-0.140477,6.48156,1.95826
2025-05-08,28.1342,22.83,3.33699,3.12808,-0.0981662,5.30423,1.95826
2025-05-09,29.2954,23.16,3.37743,3.14243,-0.163015,6.13542,1.95826
2025-05-12,29.7087,24.79,3.39144,3.21044,-0.122436,4.91872,1.95826
2025-05-13,30.0728,25.63,3.40362,3.24376,-0.112966,4.44283,1.95826
2025-05-14,29.876,25.46,3.39706,3.23711,-0.106764,4.41602,1.95826
2025-05-15,29.63,24.56,3.38879,3.20112,-0.126561,5.07,1.95826
2025-05-16,29.76,24.45,3.39317,3.19663,-0.139623,5.31,1.95826
2025-05-19,29.4,23.92,3.38099,3.17471,-0.137705,5.48,1.95826
2025-05-20,29.2,23.73,3.37417,3.16674,-0.132313,5.47,1.95826
2025-05-21,28.88,23.1,3.36315,3.13983,-0.137641,5.78,1.95826
2025-05-22,28.94,23.18,3.36522,3.14329,-0.138249,5.76,1.95826
2025-05-23,29.09,23.17,3.37039,3.14286,-0.148804,5.92,1.95826
2025-05-27,29.15,23.83,3.37245,3.17095,-0.124752,5.32,1.95826
2025-05-28,28.94,23.66,3.36522,3.16379,-0.117753,5.28,1.95826
2025-05-29,29.17,23.8,3.37314,3.16969,-0.127354,5.37,1.95826
2025-05-30,29.1,23.42,3.37074,3.15359,-0.138745,5.68,1.95826
2025-06-02,29.58,23.92,3.3871,3.17471,-0.149658,5.66,1.95826
2025-06-03,29.56,25.24,3.38642,3.22843,-0.0946182,4.32,1.95826
2025-06-04,28.92,24.16,3.36453,3.1847,-0.0954862,4.76,1.95826
2025-06-05,29.05,24.01,3.36902,3.17847,-0.110497,5.04,1.95826
2025-06-06,29.29,24.92,3.37725,3.21567,-0.0894088,4.37,1.95826
2025-06-09,29.46,25.59,3.38303,3.2422,-0.0742106,3.87,1.95826
2025-06-10,30.23,25.99,3.40883,3.25771,-0.109226,4.24,1.95826
2025-06-11,30.81,26.8,3.42784,3.2884,-0.115752,4.01,1.95826
2025-06-12,30.92,27.13,3.4314,3.30064,-0.110493,3.79,1.95826
2025-06-13,31.72,28.26,3.45695,3.34145,-0.119707,3.46,1.95826
