Date,BP Raw Price,SM Raw Price,BP Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,29.0449,39.607,3.36884,3.67901,0.390386,10.5622,1.95826
2025-01-03,29.5689,40.0213,3.38672,3.68941,0.365773,10.4524,1.95826
2025-01-06,30.1026,40.2974,3.40461,3.69629,0.337617,10.1948,1.95826
2025-01-07,30.8887,42.0923,3.43039,3.73987,0.330718,11.2037,1.95826
2025-01-08,30.1997,42.0628,3.40783,3.73916,0.37419,11.8631,1.95826
2025-01-10,30.3646,42.7531,3.41328,3.75544,0.379801,12.3885,1.95826
2025-01-13,30.2967,43.118,3.41104,3.76394,0.392686,12.8213,1.95826
2025-01-14,30.1706,43.3153,3.40687,3.76851,0.405421,13.1447,1.95826
2025-01-15,30.3743,44.0747,3.4136,3.78588,0.409618,13.7003,1.95826
2025-01-16,30.8402,43.5125,3.42882,3.77305,0.366979,12.6724,1.95826
2025-01-17,30.7528,42.615,3.42598,3.75221,0.351692,11.8622,1.95826
2025-01-21,30.5878,41.3034,3.4206,3.72094,0.330961,10.7155,1.95826
2025-01-22,30.2094,41.2047,3.40815,3.71855,0.352951,10.9954,1.95826
2025-01-23,30.5587,40.6524,3.41965,3.70506,0.316941,10.0937,1.95826
2025-01-24,30.5199,39.7308,3.41838,3.68213,0.296497,9.21086,1.95826
2025-01-27,30.5199,39.3344,3.41838,3.6721,0.28647,8.81444,1.95826
2025-01-28,30.2385,39.3244,3.40912,3.67185,0.304359,9.08596,1.95826
2025-01-29,30.2094,39.6911,3.40815,3.68113,0.315526,9.48175,1.95826
2025-01-30,30.6752,39.2551,3.42345,3.67008,0.274515,8.57989,1.95826
2025-01-31,30.1414,37.6199,3.4059,3.62753,0.266339,7.47841,1.95826
2025-02-03,29.9571,37.0451,3.39977,3.61213,0.262957,7.08799,1.95826
2025-02-04,30.7043,37.9271,3.4244,3.63567,0.238242,7.22279,1.95826
2025-02-05,30.7334,37.5108,3.42535,3.62463,0.225351,6.77744,1.95826
2025-02-06,31.0148,36.9063,3.43447,3.60838,0.191253,5.89148,1.95826
