Date,SHEL Raw Price,DVN Raw Price,SHEL Log Price,DVN Log Price,Residual,Spread,Beta
2025-01-02,61.7661,32.9309,4.12335,3.49441,0.0615805,28.8352,1.0648
2025-01-03,63.1561,33.4535,4.14561,3.51016,0.0536275,29.7026,1.0648
2025-01-06,63.3812,33.276,4.14917,3.50484,0.0445193,30.1052,1.0648
2025-01-07,64.5363,34.2028,4.16723,3.53231,0.0527601,30.3335,1.0648
2025-01-08,63.3518,34.6564,4.1487,3.54548,0.0856568,28.6955,1.0648
2025-01-10,63.5672,35.4846,4.1521,3.5691,0.10566,28.0826,1.0648
2025-01-13,63.5868,36.2536,4.15241,3.59054,0.126773,27.3332,1.0648
2025-01-14,64.5167,36.6578,4.16692,3.60163,0.122403,27.8588,1.0648
2025-01-15,64.9572,37.8903,4.17373,3.63469,0.148225,27.0669,1.0648
2025-01-16,65.0453,37.8804,4.17508,3.63443,0.146521,27.1648,1.0648
2025-01-17,65.3096,37.417,4.17914,3.62213,0.129895,27.8925,1.0648
2025-01-21,65.3585,36.2142,4.17989,3.58945,0.0964218,29.1443,1.0648
2025-01-22,64.5558,35.948,4.16753,3.58207,0.102201,28.6079,1.0648
2025-01-23,65.2508,35.9381,4.17824,3.5818,0.0905251,29.3127,1.0648
2025-01-24,64.0077,35.455,4.159,3.56826,0.0974729,28.5527,1.0648
2025-01-27,63.763,34.8338,4.15517,3.55059,0.0838771,28.9291,1.0648
2025-01-28,63.2148,34.3901,4.14654,3.53777,0.0802517,28.8247,1.0648
2025-01-29,63.4106,34.5775,4.14963,3.5432,0.0823917,28.8331,1.0648
2025-01-30,65.241,34.5578,4.17809,3.54263,0.051519,30.6833,1.0648
2025-01-31,64.458,33.6211,4.16601,3.51515,0.0368988,30.8369,1.0648
2025-02-03,63.7923,33.276,4.15563,3.50484,0.0376349,30.5163,1.0648
2025-02-04,65.2215,33.9366,4.17779,3.52449,0.0337007,31.2849,1.0648
2025-02-05,65.1236,33.6605,4.17629,3.51633,0.027132,31.463,1.0648
2025-02-06,64.7614,32.9506,4.17071,3.49501,0.0117551,31.8107,1.0648
2025-02-07,64.4971,32.6844,4.16662,3.4869,0.00799769,31.8127,1.0648
2025-02-10,64.732,33.7789,4.17026,3.51983,0.037062,30.9532,1.0648
2025-02-11,65.9556,34.6268,4.18898,3.54463,0.041915,31.3288,1.0648
2025-02-12,65.3487,33.4929,4.17974,3.51133,0.0184653,31.8558,1.0648
2025-02-13,65.9458,33.7394,4.18883,3.51867,0.0161125,32.2064,1.0648
2025-02-14,66.4168,34.1535,4.19595,3.53087,0.0207343,32.2632,1.0648
2025-02-18,67.0994,34.3901,4.20618,3.53777,0.0167501,32.7093,1.0648
2025-02-19,66.8818,37.0424,4.20293,3.61206,0.0945021,29.8394,1.0648
2025-02-20,67.6535,38.0086,4.2144,3.63781,0.108036,29.6449,1.0648
2025-02-21,65.9913,36.9635,4.18952,3.60993,0.106642,29.0278,1.0648
2025-02-24,66.1793,36.786,4.19237,3.60512,0.0988003,29.3933,1.0648
2025-02-25,66.1892,35.3761,4.19252,3.56604,0.0595597,30.8131,1.0648
2025-02-26,66.6839,34.962,4.19996,3.55426,0.0398563,31.7219,1.0648
2025-02-27,66.5553,35.3761,4.19803,3.56604,0.053687,31.1792,1.0648
2025-02-28,66.7433,35.7113,4.20085,3.57547,0.0601151,31.0319,1.0648
2025-03-03,65.7539,33.9267,4.18592,3.5242,0.0247532,31.8271,1.0648
2025-03-04,65.4966,33.769,4.182,3.51954,0.0242664,31.7276,1.0648
2025-03-05,65.3977,33.1873,4.18049,3.50217,0.00849969,32.2104,1.0648
2025-03-06,65.3087,33.3943,4.17912,3.50839,0.0161699,31.9143,1.0648
2025-03-07,66.0804,34.2225,4.19087,3.53288,0.0281598,31.8578,1.0648
2025-03-10,66.0804,33.7296,4.19087,3.51837,0.01365,32.3508,1.0648
2025-03-11,66.1002,33.9267,4.19117,3.5242,0.0191604,32.1734,1.0648
2025-03-12,66.6641,34.262,4.19967,3.53404,0.0199467,32.4021,1.0648
2025-03-13,67.0203,33.3155,4.205,3.50602,-0.0137417,33.7048,1.0648
2025-03-14,68.0393,34.3085,4.22009,3.53539,-0.000439877,33.7309,1.0648
2025-03-17,69.3552,34.8645,4.23924,3.55147,-0.00475789,34.4907,1.0648
2025-03-18,70.216,35.1227,4.25158,3.55885,-0.0105136,35.0932,1.0648
2025-03-19,70.7601,35.798,4.2593,3.57789,0.000309116,34.9621,1.0648
2025-03-20,71.1855,35.8774,4.26529,3.58011,-0.00385681,35.3081,1.0648
2025-03-21,70.2555,35.8973,4.25214,3.58066,0.0106994,34.3583,1.0648
2025-03-24,70.5227,36.7016,4.25593,3.60282,0.0288177,33.8211,1.0648
2025-03-25,71.2647,36.7115,4.2664,3.60309,0.017943,34.5532,1.0648
2025-03-26,72.2541,37.208,4.28019,3.61653,0.0166959,35.046,1.0648
2025-03-27,72.5113,36.6222,4.28374,3.60065,-0.00295959,35.8891,1.0648
2025-03-28,71.9573,36.503,4.27607,3.59739,0.00194845,35.4543,1.0648
2025-03-31,72.5014,37.1385,4.28361,3.61466,0.011187,35.3629,1.0648
2025-04-01,72.2739,37.3074,4.28046,3.61919,0.0190695,34.9665,1.0648
2025-04-02,71.9474,37.6549,4.27593,3.62846,0.0331633,34.2925,1.0648
2025-04-03,69.0287,32.9282,4.23452,3.49433,-0.056875,36.1005,1.0648
2025-04-04,63.4486,29.1051,4.15023,3.37091,-0.0905366,34.3435,1.0648
2025-04-07,61.6579,28.41,4.1216,3.34674,-0.0842239,33.2479,1.0648
2025-04-08,59.1152,26.6126,4.07949,3.28139,-0.104736,32.5025,1.0648
2025-04-09,63.2112,30.8528,4.14648,3.42923,-0.0282302,32.3584,1.0648
2025-04-10,59.1449,27.556,4.07999,3.31622,-0.0704367,31.5889,1.0648
2025-04-11,61.4303,28.0326,4.1179,3.33337,-0.093658,33.3977,1.0648
2025-04-14,61.8755,28.5291,4.12512,3.35093,-0.0837907,33.3464,1.0648
2025-04-15,62.113,28.3305,4.12895,3.34394,-0.0948547,33.7824,1.0648
2025-04-16,63.3497,29.0952,4.14867,3.37057,-0.0892162,34.2545,1.0648
2025-04-17,64.349,30.0981,4.16432,3.40446,-0.0719909,34.2509,1.0648
2025-04-21,63.9631,29.2739,4.15831,3.3767,-0.0933525,34.6892,1.0648
2025-04-22,64.4776,30.9819,4.16632,3.4334,-0.0451766,33.4957,1.0648
2025-04-23,63.8246,30.8627,4.15614,3.42955,-0.0381917,32.9619,1.0648
2025-04-24,64.3589,31.25,4.16447,3.44202,-0.0345976,33.1089,1.0648
2025-04-25,65.1603,31.1308,4.17685,3.4382,-0.051595,34.0294,1.0648
2025-04-28,65.3186,31.3294,4.17928,3.44456,-0.0478193,33.9891,1.0648
2025-04-29,64.814,31.0812,4.17152,3.4366,-0.0475175,33.7328,1.0648
2025-04-30,63.7949,30.1974,4.15567,3.40776,-0.0594894,33.5975,1.0648
2025-05-01,64.1115,30.9422,4.16062,3.43212,-0.040397,33.1694,1.0648
2025-05-02,65.932,31.2202,4.18862,3.44107,-0.061265,34.7118,1.0648
2025-05-05,64.4281,30.4059,4.16555,3.41464,-0.0631242,34.0222,1.0648
2025-05-06,64.4083,30.3761,4.16524,3.41366,-0.0637773,34.0322,1.0648
2025-05-07,64.3589,30.0782,4.16447,3.4038,-0.0728146,34.2806,1.0648
2025-05-08,64.3885,31.7068,4.16494,3.45653,-0.0205772,32.6818,1.0648
2025-05-09,65.4472,32.3026,4.18124,3.47515,-0.0193249,33.1446,1.0648
2025-05-12,65.6747,33.3155,4.18471,3.50602,0.00785344,32.3593,1.0648
2025-05-13,66.8917,34.0503,4.20307,3.52784,0.0101205,32.8414,1.0648
2025-05-14,66.3772,33.7226,4.19535,3.51817,0.0086714,32.6546,1.0648
2025-05-15,66.674,33.1665,4.19982,3.50154,-0.0127069,33.5075,1.0648
2025-05-16,66.62,33.0275,4.199,3.49734,-0.0160448,33.5925,1.0648
2025-05-19,66.67,32.4615,4.19976,3.48005,-0.0341297,34.2085,1.0648
2025-05-20,66.62,31.9451,4.199,3.46402,-0.0493658,34.6749,1.0648
2025-05-21,66.36,31.2798,4.19509,3.44297,-0.0662488,35.0802,1.0648
2025-05-22,65.95,30.9223,4.1889,3.43148,-0.0711439,35.0277,1.0648
2025-05-23,66.3,30.9422,4.19419,3.43212,-0.076138,35.3578,1.0648
2025-05-27,66.69,31.1308,4.20006,3.4382,-0.0763041,35.5592,1.0648
2025-05-28,66.04,30.6443,4.19026,3.42245,-0.0816284,35.3957,1.0648
2025-05-29,66.44,30.8925,4.1963,3.43051,-0.0799899,35.5475,1.0648
2025-05-30,66.22,30.0485,4.19298,3.40281,-0.104161,36.1715,1.0648
2025-06-02,67.45,30.9223,4.21139,3.43148,-0.095091,36.5277,1.0648
2025-06-03,67.83,31.7862,4.217,3.45903,-0.073518,36.0438,1.0648
2025-06-04,67.27,31.3394,4.20871,3.44487,-0.0788483,35.9306,1.0648
2025-06-05,67.53,31.2003,4.21257,3.44043,-0.0874017,36.3297,1.0648
2025-06-06,68.02,32.0643,4.2198,3.46774,-0.067787,35.9557,1.0648
2025-06-09,68.26,32.4217,4.22332,3.47883,-0.0604503,35.8383,1.0648
2025-06-10,70.05,33.236,4.24921,3.50363,-0.0632083,36.814,1.0648
2025-06-11,71.02,34.229,4.26296,3.53307,-0.0484118,36.791,1.0648
2025-06-12,71.44,34.09,4.26886,3.529,-0.0587602,37.35,1.0648
2025-06-13,72.54,35.11,4.28414,3.55849,-0.0455486,37.43,1.0648
