Date,MUR Raw Price,SM Raw Price,MUR Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,30.1631,39.607,3.40662,3.67901,0.000324972,9.44397,1.50677
2025-01-03,30.0559,40.0213,3.40306,3.68941,0.0160918,9.96535,1.50677
2025-01-06,29.9682,40.2974,3.40014,3.69629,0.0273703,10.3292,1.50677
2025-01-07,30.8256,42.0923,3.42834,3.73987,0.0284478,11.2668,1.50677
2025-01-08,31.9265,42.0628,3.46344,3.73916,-0.0251299,10.1363,1.50677
2025-01-10,32.3746,42.7531,3.47738,3.75544,-0.0298543,10.3785,1.50677
2025-01-13,32.9592,43.118,3.49527,3.76394,-0.0483188,10.1588,1.50677
2025-01-14,33.0274,43.3153,3.49734,3.76851,-0.0468693,10.2879,1.50677
2025-01-15,32.5987,44.0747,3.48427,3.78588,-0.00980419,11.4759,1.50677
2025-01-16,32.1993,43.5125,3.47194,3.77305,-0.00406382,11.3132,1.50677
2025-01-17,31.4101,42.615,3.44713,3.75221,0.0124834,11.2049,1.50677
2025-01-21,30.6794,41.3034,3.42359,3.72094,0.0166861,10.6239,1.50677
2025-01-22,30.0656,41.2047,3.40338,3.71855,0.0447458,11.1391,1.50677
2025-01-23,29.6175,40.6524,3.38836,3.70506,0.0538808,11.035,1.50677
2025-01-24,28.9745,39.7308,3.36642,3.68213,0.0640209,10.7563,1.50677
2025-01-27,28.7894,39.3344,3.36001,3.6721,0.0636506,10.545,1.50677
2025-01-28,28.4484,39.3244,3.34809,3.67185,0.0813517,10.8761,1.50677
2025-01-29,28.4289,39.6911,3.34741,3.68113,0.0916654,11.2622,1.50677
2025-01-30,26.7629,39.2551,3.28702,3.67008,0.171611,12.4922,1.50677
2025-01-31,25.9445,37.6199,3.25596,3.62753,0.175856,11.6753,1.50677
2025-02-03,24.8923,37.0451,3.21456,3.61213,0.222841,12.1527,1.50677
2025-02-04,25.7886,37.9271,3.24993,3.63567,0.19307,12.1384,1.50677
2025-02-05,25.9932,37.5108,3.25784,3.62463,0.170128,11.5176,1.50677
2025-02-06,25.623,36.9063,3.24349,3.60838,0.175496,11.2833,1.50677
2025-02-07,26.1296,37.0451,3.26307,3.61213,0.149747,10.9154,1.50677
2025-02-10,27.3085,39.0569,3.3072,3.66502,0.136141,11.7484,1.50677
2025-02-11,27.9905,40.2461,3.33186,3.69501,0.128969,12.2556,1.50677
2025-02-12,26.9675,38.5613,3.29463,3.65225,0.142305,11.5938,1.50677
2025-02-13,27.2013,38.6208,3.30327,3.65379,0.130838,11.4195,1.50677
2025-02-14,27.5326,38.1748,3.31537,3.64218,0.100985,10.6423,1.50677
2025-02-18,27.7839,38.2739,3.32446,3.64477,0.0898861,10.49,1.50677
2025-02-19,27.981,38.4821,3.33153,3.65019,0.0846568,10.5011,1.50677
2025-02-20,27.7938,36.7775,3.32481,3.60489,0.049468,8.98372,1.50677
2025-02-21,26.9166,34.0422,3.29274,3.5276,0.0205041,7.12563,1.50677
2025-02-24,27.3108,33.517,3.30728,3.51205,-0.0169545,6.20614,1.50677
2025-02-25,27.2615,32.7836,3.30548,3.48993,-0.0363567,5.52206,1.50677
2025-02-26,26.542,32.0799,3.27873,3.46823,-0.017753,5.5379,1.50677
2025-02-27,26.3351,32.2286,3.2709,3.47285,-0.00133378,5.89353,1.50677
2025-02-28,26.1084,32.4169,3.26226,3.47868,0.0175177,6.30852,1.50677
2025-03-03,24.1076,29.7411,3.18253,3.39253,0.0514995,5.63347,1.50677
2025-03-04,24.0781,28.5915,3.1813,3.35311,0.013928,4.51343,1.50677
2025-03-05,23.674,27.2734,3.16438,3.30591,-0.00776687,3.59944,1.50677
2025-03-06,23.812,26.9067,3.17019,3.29238,-0.0300596,3.09477,1.50677
2025-03-07,24.9947,27.3428,3.21866,3.30845,-0.0870234,2.34812,1.50677
2025-03-10,25.2805,27.1248,3.23003,3.30045,-0.112162,1.84426,1.50677
2025-03-11,24.8862,28.8095,3.21432,3.36071,-0.0282202,3.92327,1.50677
2025-03-12,24.768,29.5132,3.20955,3.38484,0.00308818,4.74518,1.50677
2025-03-13,24.5216,28.5122,3.19955,3.35033,-0.016351,3.99063,1.50677
2025-03-14,25.6649,29.7213,3.24512,3.39186,-0.0434829,4.05641,1.50677
