Date,OXY Raw Price,RRC Raw Price,OXY Log Price,RRC Log Price,Residual,Spread,Beta
2025-02-27,48.1342,36.2311,3.87399,3.58992,-0.0656905,11.9031,0.418471
2025-02-28,48.3222,36.9477,3.87789,3.6095,-0.0477346,11.3744,0.418471
2025-03-03,45.9575,36.6292,3.82772,3.60085,-0.0353967,9.32827,0.418471
2025-03-04,46.0367,37.6843,3.82944,3.62924,-0.00771947,8.35234,0.418471
2025-03-05,45.0275,37.3558,3.80727,3.62049,-0.00719851,7.67163,0.418471
2025-03-06,45.2253,35.2158,3.81166,3.5615,-0.0680274,10.0095,0.418471
2025-03-07,46.7391,35.0566,3.84458,3.55696,-0.0863377,11.6826,0.418471
2025-03-10,47.0971,36.2908,3.85221,3.59156,-0.0549291,10.8063,0.418471
2025-03-11,46.0231,37.2762,3.82914,3.61836,-0.0184848,8.74691,0.418471
2025-03-12,45.8441,37.4255,3.82525,3.62235,-0.0128568,8.41861,0.418471
2025-03-13,45.1977,37.2862,3.81105,3.61862,-0.0106448,7.91157,0.418471
2025-03-14,46.2717,38.234,3.83453,3.64373,0.00463134,8.0377,0.418471
2025-03-17,46.9977,38.8826,3.8501,3.66055,0.0149372,8.1151,0.418471
2025-03-18,47.3855,39.5511,3.85832,3.67759,0.0285446,7.83445,0.418471
2025-03-19,47.6938,40.4191,3.8648,3.6993,0.0475412,7.27467,0.418471
2025-03-20,47.6938,40.1797,3.8648,3.69336,0.0415991,7.51413,0.418471
2025-03-21,47.6739,39.7905,3.86438,3.68363,0.0320418,7.88337,0.418471
2025-03-24,47.654,40.5788,3.86397,3.70324,0.0518321,7.07526,0.418471
2025-03-25,48.738,40.05,3.88646,3.69013,0.0293028,8.68802,0.418471
2025-03-26,49.4739,39.7506,3.90144,3.68263,0.0155297,9.72324,0.418471
2025-03-27,49.2352,38.703,3.89661,3.65592,-0.00915565,10.5322,0.418471
2025-03-28,48.559,39.1021,3.88278,3.66618,0.00689076,9.45689,0.418471
2025-03-31,49.086,39.8404,3.89357,3.68488,0.0210796,9.2456,0.418471
2025-04-01,48.917,40.1298,3.89012,3.69212,0.0297597,8.7872,0.418471
2025-04-02,49.0562,40.5189,3.89297,3.70177,0.0382204,8.5373,0.418471
2025-04-03,43.6563,37.9846,3.77635,3.63718,0.0224338,5.67174,0.418471
2025-04-04,40.315,33.375,3.69672,3.50781,-0.0736201,6.94003,0.418471
2025-04-07,38.5349,33.4348,3.65156,3.5096,-0.0529305,5.10009,0.418471
2025-04-08,35.9096,32.028,3.581,3.46661,-0.0663907,3.88158,0.418471
2025-04-09,40.0067,34.4825,3.68905,3.54045,-0.0377626,5.52423,0.418471
2025-04-10,36.2676,32.1777,3.59092,3.47127,-0.06588,4.08992,0.418471
2025-04-11,37.4609,33.3151,3.6233,3.50601,-0.0446891,4.14582,0.418471
2025-04-14,37.6896,33.3849,3.62939,3.5081,-0.0451423,4.3047,0.418471
2025-04-15,37.5902,33.2652,3.62674,3.50451,-0.0476294,4.32498,0.418471
2025-04-16,38.2366,34.0235,3.64379,3.52705,-0.0322247,4.21309,0.418471
2025-04-17,39.4896,34.1033,3.67604,3.52939,-0.0433746,5.38626,0.418471
2025-04-21,38.8034,32.5468,3.65851,3.48268,-0.0827546,6.2566,0.418471
2025-04-22,39.7481,33.2153,3.68256,3.50301,-0.0724893,6.53283,0.418471
2025-04-23,39.6089,33.9736,3.67905,3.52558,-0.0484481,5.63531,0.418471
2025-04-24,40.1459,33.784,3.69252,3.51999,-0.059679,6.36189,0.418471
2025-04-25,40.136,34.712,3.69227,3.54708,-0.0324797,5.42403,0.418471
2025-04-28,40.2851,35.1709,3.69598,3.56022,-0.0208965,5.11422,0.418471
2025-04-29,40.126,35.0213,3.69203,3.55596,-0.0235049,5.10478,0.418471
2025-04-30,39.1913,33.8539,3.66845,3.52205,-0.0475423,5.33737,0.418471
2025-05-01,40.2155,34.1432,3.69425,3.53056,-0.049828,6.0723,0.418471
2025-05-02,40.3846,34.9315,3.69845,3.55339,-0.0287601,5.45314,0.418471
2025-05-05,38.5946,34.9814,3.65311,3.55482,-0.00836091,3.61324,0.418471
2025-05-06,39.062,34.9514,3.66515,3.55396,-0.0142544,4.11056,0.418471
2025-05-07,38.7935,35.7396,3.65825,3.57626,0.0109336,3.05383,0.418471
2025-05-08,41.21,36.6476,3.71868,3.60135,0.0107334,4.56239,0.418471
2025-05-09,41.926,37.7751,3.73591,3.63165,0.0338264,4.15092,0.418471
2025-05-12,43.6166,38.9125,3.77544,3.66132,0.0469504,4.70404,0.418471
2025-05-13,44.1436,40.5289,3.78745,3.70201,0.0826229,3.61474,0.418471
2025-05-14,43.5768,40.3293,3.77452,3.69708,0.0830953,3.24745,0.418471
2025-05-15,43.1293,40.2096,3.7642,3.69411,0.0844416,2.91968,0.418471
2025-05-16,42.8011,40.03,3.75656,3.68963,0.0831614,2.77111,0.418471
2025-05-19,42.0752,39.3415,3.73946,3.67228,0.072972,2.73361,0.418471
2025-05-20,41.6674,39.6309,3.72972,3.67961,0.0843748,2.03654,0.418471
2025-05-21,40.9017,39.2318,3.71117,3.66949,0.082015,1.66992,0.418471
2025-05-22,40.852,39.3216,3.70996,3.67177,0.0848103,1.5304,0.418471
2025-05-23,41.0608,39.4613,3.71505,3.67532,0.0862227,1.59954,0.418471
2025-05-27,41.389,39.7207,3.72301,3.68187,0.089444,1.66829,0.418471
2025-05-28,40.8918,39.2518,3.71093,3.67,0.0826254,1.64001,0.418471
2025-05-29,41.2299,39.122,3.71916,3.66669,0.0758694,2.10784,0.418471
2025-05-30,40.5536,37.9547,3.70263,3.63639,0.0524963,2.59898,0.418471
2025-06-02,41.21,38.8327,3.71868,3.65926,0.0686478,2.3773,0.418471
2025-06-03,42.453,38.9524,3.7484,3.66234,0.0592902,3.50063,0.418471
2025-06-04,41.6774,37.6254,3.72996,3.62768,0.0323454,4.05198,0.418471
2025-06-05,41.5879,37.3161,3.72781,3.61942,0.0249904,4.27178,0.418471
2025-06-06,42.3039,38.3039,3.74488,3.64555,0.0439733,4.00001,0.418471
2025-06-09,43,38.7229,3.7612,3.65643,0.0480244,4.27706,0.418471
2025-06-10,43.91,38.6431,3.78214,3.65437,0.0371973,5.26688,0.418471
2025-06-11,44.84,39.2418,3.8031,3.66974,0.0438,5.59822,0.418471
2025-06-12,44.76,40.03,3.80131,3.68963,0.0644345,4.73,0.418471
2025-06-13,46.45,41.39,3.83838,3.72304,0.0823354,5.06,0.418471
