Date,OXY Raw Price,RRC Raw Price,OXY Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,49.2819,35.8827,3.89756,3.58026,-0.0852134,13.3992,0.418471
2025-01-03,49.9745,35.7434,3.91151,3.57636,-0.0949445,14.2311,0.418471
2025-01-06,50.2317,36.6392,3.91665,3.60112,-0.0723392,13.5925,0.418471
2025-01-07,51.0034,36.6093,3.93189,3.6003,-0.0795348,14.3941,0.418471
2025-01-08,50.6472,37.3459,3.92488,3.62022,-0.0566822,13.3014,0.418471
2025-01-10,50.7561,37.9929,3.92703,3.6374,-0.0404047,12.7632,0.418471
2025-01-13,52.1214,38.3114,3.95358,3.64575,-0.0431644,13.8101,0.418471
2025-01-14,51.5278,39.4361,3.94212,3.67468,-0.00943541,12.0917,0.418471
2025-01-15,52.1412,40.1429,3.95396,3.69244,0.00337385,11.9984,0.418471
2025-01-16,51.7455,41.0984,3.94634,3.71597,0.0300869,10.6471,0.418471
2025-01-17,51.419,40.8794,3.94001,3.71063,0.0273933,10.5396,0.418471
2025-01-21,50.014,40.7799,3.9123,3.70819,0.0365487,9.23415,0.418471
2025-01-22,49.6677,40.8097,3.90536,3.70892,0.0401881,8.858,0.418471
2025-01-23,49.8063,40.3718,3.90814,3.69813,0.028233,9.43448,0.418471
2025-01-24,48.7674,39.9836,3.88706,3.68847,0.0273918,8.78381,0.418471
2025-01-27,49.0345,37.0971,3.89252,3.61354,-0.0498258,11.9375,0.418471
2025-01-28,48.4805,37.2264,3.88116,3.61702,-0.0415884,11.254,0.418471
2025-01-29,48.3123,37.4156,3.87769,3.62209,-0.0350668,10.8967,0.418471
2025-01-30,48.4013,37.3957,3.87953,3.62155,-0.0363695,11.0057,0.418471
2025-01-31,46.1554,36.8681,3.83201,3.60735,-0.030694,9.28727,0.418471
2025-02-03,45.8784,37.2663,3.82599,3.61809,-0.0174335,8.61209,0.418471
2025-02-04,47.0854,37.5649,3.85196,3.62607,-0.0203202,9.52055,0.418471
2025-02-05,46.8579,38.7593,3.84712,3.65737,0.0130085,8.09856,0.418471
2025-02-06,46.4819,37.4554,3.83906,3.62315,-0.0178406,9.0265,0.418471
2025-02-07,46.284,37.0771,3.8348,3.613,-0.0262051,9.20686,0.418471
2025-02-10,47.867,39.5257,3.86843,3.67695,0.0236726,8.34132,0.418471
2025-02-11,48.0946,39.3864,3.87317,3.67342,0.018156,8.70823,0.418471
2025-02-12,47.3229,38.3014,3.85699,3.64549,-0.0030072,9.02143,0.418471
2025-02-13,47.3723,38.6199,3.85804,3.65377,0.00483709,8.7524,0.418471
2025-02-14,47.5504,38.4906,3.86179,3.65041,-8.93262e-05,9.05988,0.418471
2025-02-18,48.3222,38.7394,3.87789,3.65686,-0.000382191,9.58277,0.418471
2025-02-19,50.4494,39.7148,3.92097,3.68173,0.00645816,10.7345,0.418471
2025-02-20,51.5377,39.4859,3.94231,3.67594,-0.00825458,12.0518,0.418471
2025-02-21,49.8854,38.3014,3.90973,3.64549,-0.0250752,11.584,0.418471
2025-02-24,49.3313,37.8137,3.89856,3.63267,-0.0332171,11.5176,0.418471
2025-02-25,48.3716,37.326,3.87891,3.61969,-0.0379777,11.0457,0.418471
2025-02-26,48.0352,38.3711,3.87193,3.6473,-0.00744217,9.66413,0.418471
