Date,MPC Raw Price,WMB Raw Price,MPC Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,139.888,54.9218,4.94084,4.00591,-0.0332982,84.9661,0.170382
2025-01-03,141.124,55.6294,4.94964,4.01871,-0.0219944,85.4943,0.170382
2025-01-06,138.939,54.853,4.93403,4.00466,-0.0333917,84.0857,0.170382
2025-01-07,140.056,54.5974,4.94204,3.99999,-0.0394259,85.4585,0.170382
2025-01-08,140.718,55.423,4.94676,4.01499,-0.0252215,85.2953,0.170382
2025-01-10,140.659,54.5679,4.94634,3.99945,-0.0406981,86.0911,0.170382
2025-01-13,145.088,55.0692,4.97734,4.00859,-0.0368367,90.0191,0.170382
2025-01-14,147.728,57.0644,4.99537,4.04418,-0.00431912,90.6637,0.170382
2025-01-15,150.229,57.0152,5.01216,4.04332,-0.00804149,93.2142,0.170382
2025-01-16,149.982,58.1652,5.01052,4.06329,0.0122074,91.817,0.170382
2025-01-17,150.971,58.1259,5.01709,4.06261,0.0104118,92.845,0.170382
2025-01-21,149.112,59.5903,5.0047,4.08749,0.0374048,89.5219,0.170382
2025-01-22,145.939,58.1848,4.98319,4.06362,0.017202,87.7537,0.170382
2025-01-23,152.563,58.4699,5.02758,4.06851,0.0145255,94.0928,0.170382
2025-01-24,149.893,58.5485,5.00992,4.06986,0.0188769,91.3447,0.170382
2025-01-27,150.872,53.6146,5.01643,3.98182,-0.0702664,97.2575,0.170382
2025-01-28,148.934,54.2534,5.0035,3.99367,-0.0562186,94.6808,0.170382
2025-01-29,149.676,54.3812,5.00847,3.99602,-0.0547124,95.2945,0.170382
2025-01-30,148.262,55.6196,4.99898,4.01854,-0.0305784,92.6423,0.170382
2025-01-31,144.06,54.4795,4.97023,3.99782,-0.0463912,89.5806,0.170382
2025-02-03,145.335,55.2363,4.97904,4.01162,-0.0340972,90.0992,0.170382
2025-02-04,155.133,54.7645,5.04428,4.00304,-0.0537905,100.369,0.170382
2025-02-05,155.529,55.8751,5.04683,4.02312,-0.0341472,99.6536,0.170382
2025-02-06,150.21,55.0495,5.01203,4.00823,-0.0431042,95.1601,0.170382
2025-02-07,148.42,54.9807,5.00005,4.00698,-0.0423127,93.4394,0.170382
2025-02-10,152.039,55.2068,5.02413,4.01109,-0.0423138,96.8319,0.170382
2025-02-11,153.541,54.2927,5.03397,3.99439,-0.060685,99.2487,0.170382
2025-02-12,147.52,53.8799,4.99397,3.98676,-0.0615013,93.6405,0.170382
2025-02-13,152.345,56.4747,5.02615,4.03379,-0.0199506,95.8705,0.170382
2025-02-14,154.293,56.0029,5.03885,4.0254,-0.0305039,98.29,0.170382
2025-02-18,157.229,56.8088,5.0577,4.03969,-0.0194275,100.42,0.170382
2025-02-19,155.758,57.2708,5.0483,4.04779,-0.00972655,98.4868,0.170382
2025-02-20,157.378,57.4477,5.05865,4.05087,-0.00840609,99.9307,0.170382
2025-02-21,152.874,56.455,5.02961,4.03344,-0.0208891,96.4189,0.170382
2025-02-24,151.84,56.3469,5.02283,4.03153,-0.0216494,95.4928,0.170382
2025-02-25,149.742,55.2166,5.00891,4.01126,-0.0395419,94.525,0.170382
2025-02-26,145.476,55.9243,4.98001,4.024,-0.0218831,89.5515,0.170382
2025-02-27,147.146,55.2952,4.99143,4.01269,-0.0351401,91.8511,0.170382
2025-02-28,149.334,57.1823,5.00618,4.04624,-0.00409651,92.1516,0.170382
2025-03-03,144.999,56.6123,4.97672,4.03623,-0.00909594,88.3862,0.170382
2025-03-04,141.817,55.826,4.95453,4.02224,-0.0193015,85.9905,0.170382
2025-03-05,134.359,55.2559,4.90051,4.01198,-0.0203612,79.1028,0.170382
2025-03-06,136.785,53.6735,4.91841,3.98292,-0.052466,83.1115,0.170382
2025-03-07,136.775,53.4475,4.91834,3.9787,-0.0566743,83.3276,0.170382
2025-03-10,135.492,53.0937,4.90892,3.97206,-0.0617109,82.3987,0.170382
2025-03-11,133.961,54.0077,4.89755,3.98913,-0.0427049,79.9533,0.170382
2025-03-12,136.348,55.3346,4.91521,4.0134,-0.0214426,81.0129,0.170382
2025-03-13,136.248,55.2166,4.91448,4.01126,-0.0234521,81.0315,0.170382
2025-03-14,140.355,56.7934,4.94417,4.03942,-0.000355858,83.5614,0.170382
2025-03-17,145.337,57.9041,4.97905,4.05879,0.0130691,87.4325,0.170382
2025-03-18,145.177,57.914,4.97796,4.05896,0.013427,87.2635,0.170382
2025-03-19,148.727,58.8263,5.00212,4.07459,0.0249416,89.9011,0.170382
2025-03-20,151.094,59.2527,5.0179,4.08181,0.0294744,91.8412,0.170382
2025-03-21,149.115,59.104,5.00472,4.0793,0.0292069,90.0112,0.170382
2025-03-24,147.842,60.5816,4.99615,4.10399,0.0553602,87.2608,0.170382
2025-03-25,148.25,60.4031,4.9989,4.10104,0.0519401,87.847,0.170382
2025-03-26,148.966,59.4511,5.00372,4.08515,0.0352328,89.5149,0.170382
2025-03-27,146.52,58.9354,4.98716,4.07644,0.0293421,87.5845,0.170382
2025-03-28,143.288,58.6974,4.96486,4.0724,0.0290956,84.5908,0.170382
2025-03-31,144.869,59.2627,4.97583,4.08198,0.0368098,85.6066,0.170382
2025-04-01,145.804,60.0659,4.98226,4.09544,0.0491772,85.738,0.170382
2025-04-02,147.067,61.0873,4.99089,4.1123,0.06457,85.9794,0.170382
2025-04-03,127.866,58.5387,4.85098,4.06969,0.0457916,69.3268,0.170382
2025-04-04,120.388,54.1159,4.79072,3.99113,-0.0225027,66.2721,0.170382
2025-04-07,120.975,54.3935,4.79558,3.99625,-0.0182131,66.5811,0.170382
2025-04-08,117.882,53.8779,4.76969,3.98672,-0.0233266,64.0043,0.170382
2025-04-09,130.68,55.9505,4.87275,4.02447,-0.00313959,74.7292,0.170382
2025-04-10,120.845,54.6117,4.79451,4.00025,-0.014028,66.2337,0.170382
2025-04-11,122.735,55.9207,4.81002,4.02393,0.00701558,66.8139,0.170382
2025-04-14,124.147,56.8826,4.82146,4.04099,0.022122,67.264,0.170382
2025-04-15,121.541,58.0528,4.80025,4.06135,0.0460987,63.4886,0.170382
2025-04-16,123.371,57.7751,4.8152,4.05656,0.0387584,65.5959,0.170382
2025-04-17,127,58.1321,4.84419,4.06272,0.0399784,68.8683,0.170382
2025-04-21,126.006,55.9703,4.83633,4.02482,0.00341985,70.0358,0.170382
2025-04-22,130.65,57.7156,4.87252,4.05553,0.027961,72.9342,0.170382
2025-04-23,133.543,57.9933,4.89443,4.06033,0.0290281,75.5501,0.170382
2025-04-24,136.765,59.1139,4.91827,4.07947,0.0441049,77.6512,0.170382
2025-04-25,136.666,58.5387,4.91754,4.06969,0.0344512,78.127,0.170382
2025-04-28,136.805,59.1635,4.91856,4.0803,0.0448938,77.6414,0.170382
2025-04-29,137.531,59.1734,4.92385,4.08047,0.0441597,78.3574,0.170382
2025-04-30,136.636,58.0826,4.91732,4.06187,0.0266653,78.5533,0.170382
