Date,MUR Raw Price,RRC Raw Price,MUR Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,30.1631,35.8827,3.40662,3.58026,-0.0928707,5.71964,0.235496
2025-01-03,30.0559,35.7434,3.40306,3.57636,-0.0959235,5.68746,0.235496
2025-01-06,29.9682,36.6392,3.40014,3.60112,-0.0704816,6.67097,0.235496
2025-01-07,30.8256,36.6093,3.42834,3.6003,-0.0779397,5.78376,0.235496
2025-01-08,31.9265,37.3459,3.46344,3.62022,-0.0662837,5.41941,0.235496
2025-01-10,32.3746,37.9929,3.47738,3.6374,-0.0523906,5.61824,0.235496
2025-01-13,32.9592,38.3114,3.49527,3.64575,-0.0482561,5.3522,0.235496
2025-01-14,33.0274,39.4361,3.49734,3.67468,-0.0198074,6.40875,0.235496
2025-01-15,32.5987,40.1429,3.48427,3.69244,0.00103083,7.54414,0.235496
2025-01-16,32.1993,41.0984,3.47194,3.71597,0.0274589,8.89912,0.235496
2025-01-17,31.4101,40.8794,3.44713,3.71063,0.0279601,9.4693,0.235496
2025-01-21,30.6794,40.7799,3.42359,3.70819,0.0310654,10.1005,0.235496
2025-01-22,30.0656,40.8097,3.40338,3.70892,0.0365565,10.7441,0.235496
2025-01-23,29.6175,40.3718,3.38836,3.69813,0.0293035,10.7543,0.235496
2025-01-24,28.9745,39.9836,3.36642,3.68847,0.0248106,11.0091,0.235496
2025-01-27,28.7894,37.0971,3.36001,3.61354,-0.0486116,8.30769,0.235496
2025-01-28,28.4484,37.2264,3.34809,3.61702,-0.0423238,8.77808,0.235496
2025-01-29,28.4289,37.4156,3.34741,3.62209,-0.0370951,8.98668,0.235496
2025-01-30,26.7629,37.3957,3.28702,3.62155,-0.0234058,10.6328,0.235496
2025-01-31,25.9445,36.8681,3.25596,3.60735,-0.0302997,10.9236,0.235496
2025-02-03,24.8923,37.2663,3.21456,3.61809,-0.00980866,12.3739,0.235496
2025-02-04,25.7886,37.5649,3.24993,3.62607,-0.0101583,11.7762,0.235496
2025-02-05,25.9932,38.7593,3.25784,3.65737,0.0192821,12.7661,0.235496
2025-02-06,25.623,37.4554,3.24349,3.62315,-0.01156,11.8324,0.235496
2025-02-07,26.1296,37.0771,3.26307,3.613,-0.0263205,10.9475,0.235496
2025-02-10,27.3085,39.5257,3.3072,3.67695,0.0272387,12.2172,0.235496
2025-02-11,27.9905,39.3864,3.33186,3.67342,0.0178981,11.3959,0.235496
2025-02-12,26.9675,38.3014,3.29463,3.64549,-0.00126651,11.3339,0.235496
2025-02-13,27.2013,38.6199,3.30327,3.65377,0.00498196,11.4186,0.235496
2025-02-14,27.5326,38.4906,3.31537,3.65041,-0.0012247,10.958,0.235496
2025-02-18,27.7839,38.7394,3.32446,3.65686,0.00307961,10.9555,0.235496
2025-02-19,27.981,39.7148,3.33153,3.68173,0.0262828,11.7338,0.235496
2025-02-20,27.7938,39.4859,3.32481,3.67594,0.022083,11.6922,0.235496
2025-02-21,26.9166,38.3014,3.29274,3.64549,-0.00082137,11.3849,0.235496
2025-02-24,27.3108,37.8137,3.30728,3.63267,-0.0170613,10.5029,0.235496
2025-02-25,27.2615,37.326,3.30548,3.61969,-0.029618,10.0645,0.235496
2025-02-26,26.542,38.3711,3.27873,3.6473,0.00429589,11.8291,0.235496
2025-02-27,26.3351,36.2311,3.2709,3.58992,-0.0512478,9.89602,0.235496
2025-02-28,26.1084,36.9477,3.26226,3.6095,-0.0296249,10.8394,0.235496
2025-03-03,24.1076,36.6292,3.18253,3.60085,-0.0195073,12.5216,0.235496
2025-03-04,24.0781,37.6843,3.1813,3.62924,0.00917902,13.6063,0.235496
2025-03-05,23.674,37.3558,3.16438,3.62049,0.00441028,13.6819,0.235496
2025-03-06,23.812,35.2158,3.17019,3.5615,-0.0559522,11.4039,0.235496
2025-03-07,24.9947,35.0566,3.21866,3.55696,-0.0719004,10.0619,0.235496
2025-03-10,25.2805,36.2908,3.23003,3.59156,-0.0399764,11.0103,0.235496
2025-03-11,24.8862,37.2762,3.21432,3.61836,-0.00948403,12.39,0.235496
2025-03-12,24.768,37.4255,3.20955,3.62235,-0.00436493,12.6575,0.235496
2025-03-13,24.5216,37.2862,3.19955,3.61862,-0.0057408,12.7646,0.235496
2025-03-14,25.6649,38.234,3.24512,3.64373,0.00863143,12.5692,0.235496
2025-03-17,26.2759,38.8826,3.26865,3.66055,0.0199103,12.6066,0.235496
2025-03-18,25.724,39.5511,3.24742,3.67759,0.0419562,13.8271,0.235496
2025-03-19,26.7096,40.4191,3.28502,3.6993,0.0548121,13.7095,0.235496
2025-03-20,26.4435,40.1797,3.27501,3.69336,0.0512281,13.7362,0.235496
2025-03-21,26.3154,39.7905,3.27015,3.68363,0.0426401,13.4752,0.235496
2025-03-24,26.8673,40.5788,3.29091,3.70324,0.0573676,13.7115,0.235496
2025-03-25,27.3404,40.05,3.30836,3.69013,0.0401397,12.7096,0.235496
2025-03-26,27.9416,39.7506,3.33012,3.68263,0.0275154,11.809,0.235496
2025-03-27,28.0894,38.703,3.33539,3.65592,-0.000436292,10.6136,0.235496
2025-03-28,27.9613,39.1021,3.33082,3.66618,0.0108994,11.1408,0.235496
2025-03-31,27.9909,39.8404,3.33188,3.68488,0.0293569,11.8496,0.235496
2025-04-01,28.3358,40.1298,3.34413,3.69212,0.0337089,11.7939,0.235496
2025-04-02,28.7892,40.5189,3.36,3.70177,0.0396207,11.7297,0.235496
2025-04-03,25.0439,37.9846,3.22063,3.63718,0.00785359,12.9407,0.235496
2025-04-04,21.9985,33.375,3.09097,3.50781,-0.0909868,11.3765,0.235496
2025-04-07,21.1508,33.4348,3.05168,3.5096,-0.0799415,12.284,0.235496
2025-04-08,19.3374,32.028,2.96204,3.46661,-0.101819,12.6906,0.235496
2025-04-09,22.8461,34.4825,3.12878,3.54045,-0.0672449,11.6364,0.235496
2025-04-10,19.6823,32.1777,2.97972,3.47127,-0.101321,12.4953,0.235496
2025-04-11,20.5693,33.3151,3.0238,3.50601,-0.0769637,12.7458,0.235496
2025-04-14,20.2342,33.3849,3.00738,3.5081,-0.0710014,13.1507,0.235496
2025-04-15,19.8302,33.2652,2.9872,3.50451,-0.0698435,13.4351,0.235496
2025-04-16,20.2934,34.0235,3.01029,3.52705,-0.0527419,13.7301,0.235496
2025-04-17,21.0621,34.1033,3.04748,3.52939,-0.0591549,13.0412,0.235496
2025-04-21,20.5299,32.5468,3.02188,3.48268,-0.0998428,12.0169,0.235496
2025-04-22,21.0819,33.2153,3.04841,3.50301,-0.0857589,12.1335,0.235496
2025-04-23,20.2934,33.9736,3.01029,3.52558,-0.0542093,13.6802,0.235496
2025-04-24,20.5299,33.784,3.02188,3.51999,-0.062534,13.2541,0.235496
2025-04-25,20.7665,34.712,3.03334,3.54708,-0.0381362,13.9455,0.235496
2025-04-28,20.9044,35.1709,3.03996,3.56022,-0.0265602,14.2665,0.235496
2025-04-29,20.9143,35.0213,3.04043,3.55596,-0.0309357,14.107,0.235496
2025-04-30,20.2342,33.8539,3.00738,3.52205,-0.0570524,13.6196,0.235496
2025-05-01,20.8059,34.1432,3.03524,3.53056,-0.0551025,13.3373,0.235496
2025-05-02,21.4662,34.9315,3.06648,3.55339,-0.0396373,13.4652,0.235496
2025-05-05,20.3131,34.9814,3.01127,3.55482,-0.0252069,14.6683,0.235496
2025-05-06,20.6975,34.9514,3.03001,3.55396,-0.0304777,14.2539,0.235496
2025-05-07,20.6975,35.7396,3.03001,3.57626,-0.00817609,15.0422,0.235496
2025-05-08,21.072,36.6476,3.04795,3.60135,0.012688,15.5756,0.235496
2025-05-09,21.5451,37.7751,3.07015,3.63165,0.0377608,16.23,0.235496
2025-05-12,22.6489,38.9125,3.12011,3.66132,0.0556605,16.2636,0.235496
2025-05-13,22.9939,40.5289,3.13523,3.70201,0.0927996,17.535,0.235496
2025-05-14,22.6489,40.3293,3.12011,3.69708,0.0914235,17.6804,0.235496
2025-05-15,22.235,40.2096,3.10167,3.69411,0.0927942,17.9746,0.235496
2025-05-16,22.08,40.03,3.09467,3.68963,0.0899651,17.95,0.235496
2025-05-19,21.62,39.3415,3.07362,3.67228,0.0775751,17.7215,0.235496
2025-05-20,21.61,39.6309,3.07316,3.67961,0.085012,18.0209,0.235496
2025-05-21,20.93,39.2318,3.04118,3.66949,0.0824198,18.3018,0.235496
2025-05-22,21,39.3216,3.04452,3.67177,0.0839198,18.3216,0.235496
2025-05-23,20.89,39.4613,3.03927,3.67532,0.0887027,18.5713,0.235496
2025-05-27,21.43,39.7207,3.06479,3.68187,0.089245,18.2907,0.235496
2025-05-28,21.23,39.2518,3.05542,3.67,0.0795769,18.0218,0.235496
2025-05-29,21.25,39.122,3.05636,3.66669,0.0760451,17.872,0.235496
2025-05-30,20.93,37.9547,3.04118,3.63639,0.0493248,17.0247,0.235496
2025-06-02,21.27,38.8327,3.0573,3.65926,0.0684,17.5627,0.235496
2025-06-03,22.03,38.9524,3.09241,3.66234,0.0632108,16.9224,0.235496
2025-06-04,21.67,37.6254,3.07593,3.62768,0.0324294,15.9554,0.235496
2025-06-05,21.54,37.3161,3.06991,3.61942,0.0255919,15.7761,0.235496
2025-06-06,22.5,38.3039,3.11352,3.64555,0.0414496,15.8039,0.235496
2025-06-09,23.02,38.7229,3.13636,3.65643,0.04695,15.7029,0.235496
2025-06-10,23.79,38.6431,3.16927,3.65437,0.0371382,14.8531,0.235496
2025-06-11,24.32,39.2418,3.1913,3.66974,0.0473226,14.9218,0.235496
2025-06-12,24.41,40.03,3.19499,3.68963,0.0663399,15.62,0.235496
2025-06-13,25.43,41.39,3.23593,3.72304,0.0901096,15.96,0.235496
