Date,MUR Raw Price,WMB Raw Price,MUR Log Price,WMB Log Price,Residual,Spread,Beta
2025-02-19,27.981,57.2708,3.33153,4.04779,0.0086246,29.2898,-0.057665
2025-02-20,27.7938,57.4477,3.32481,4.05087,0.0113217,29.6539,-0.057665
2025-02-21,26.9166,56.455,3.29274,4.03344,-0.00795838,29.5384,-0.057665
2025-02-24,27.3108,56.3469,3.30728,4.03153,-0.00903669,29.0361,-0.057665
2025-02-25,27.2615,55.2166,3.30548,4.01126,-0.0294041,27.9551,-0.057665
2025-02-26,26.542,55.9243,3.27873,4.024,-0.0182119,29.3822,-0.057665
2025-02-27,26.3351,55.2952,3.2709,4.01269,-0.029975,28.9602,-0.057665
2025-02-28,26.1084,57.1823,3.26226,4.04624,0.00308447,31.0739,-0.057665
2025-03-03,24.1076,56.6123,3.18253,4.03623,-0.0115322,32.5046,-0.057665
2025-03-04,24.0781,55.826,3.1813,4.02224,-0.0255892,31.7479,-0.057665
2025-03-05,23.674,55.2559,3.16438,4.01198,-0.0368289,31.582,-0.057665
2025-03-06,23.812,53.6735,3.17019,3.98292,-0.0655493,29.8616,-0.057665
2025-03-07,24.9947,53.4475,3.21866,3.9787,-0.0669747,28.4528,-0.057665
2025-03-10,25.2805,53.0937,3.23003,3.97206,-0.0729611,27.8132,-0.057665
2025-03-11,24.8862,54.0077,3.21432,3.98913,-0.0567981,29.1215,-0.057665
2025-03-12,24.768,55.3346,3.20955,4.0134,-0.0328019,30.5666,-0.057665
2025-03-13,24.5216,55.2166,3.19955,4.01126,-0.0355122,30.695,-0.057665
2025-03-14,25.6649,56.7934,3.24512,4.03942,-0.00472851,31.1285,-0.057665
2025-03-17,26.2759,57.9041,3.26865,4.05879,0.0159961,31.6281,-0.057665
2025-03-18,25.724,57.914,3.24742,4.05896,0.0149432,32.19,-0.057665
2025-03-19,26.7096,58.8263,3.28502,4.07459,0.0327419,32.1167,-0.057665
2025-03-20,26.4435,59.2527,3.27501,4.08181,0.0393872,32.8093,-0.057665
2025-03-21,26.3154,59.104,3.27015,4.0793,0.0365935,32.7886,-0.057665
2025-03-24,26.8673,60.5816,3.29091,4.10399,0.0624831,33.7143,-0.057665
2025-03-25,27.3404,60.4031,3.30836,4.10104,0.0605388,33.0627,-0.057665
2025-03-26,27.9416,59.4511,3.33012,4.08515,0.0459066,31.5095,-0.057665
2025-03-27,28.0894,58.9354,3.33539,4.07644,0.0374992,30.846,-0.057665
2025-03-28,27.9613,58.6974,3.33082,4.0724,0.033189,30.7361,-0.057665
2025-03-31,27.9909,59.2627,3.33188,4.08198,0.0428338,31.2718,-0.057665
2025-04-01,28.3358,60.0659,3.34413,4.09544,0.0570034,31.7301,-0.057665
2025-04-02,28.7892,61.0873,3.36,4.1123,0.0747808,32.2981,-0.057665
2025-04-03,25.0439,58.5387,3.22063,4.06969,0.0241281,33.4948,-0.057665
2025-04-04,21.9985,54.1159,3.09097,3.99113,-0.0619102,32.1174,-0.057665
2025-04-07,21.1508,54.3935,3.05168,3.99625,-0.0590581,33.2427,-0.057665
2025-04-08,19.3374,53.8779,2.96204,3.98672,-0.0737529,34.5405,-0.057665
2025-04-09,22.8461,55.9505,3.12878,4.02447,-0.0263907,33.1044,-0.057665
2025-04-10,19.6823,54.6117,2.97972,4.00025,-0.0592048,34.9294,-0.057665
2025-04-11,20.5693,55.9207,3.0238,4.02393,-0.0329761,35.3514,-0.057665
2025-04-14,20.2342,56.8826,3.00738,4.04099,-0.0168679,36.6484,-0.057665
2025-04-15,19.8302,58.0528,2.9872,4.06135,0.00233198,38.2227,-0.057665
2025-04-16,20.2934,57.7751,3.01029,4.05656,-0.00113103,37.4818,-0.057665
2025-04-17,21.0621,58.1321,3.04748,4.06272,0.00717325,37.07,-0.057665
2025-04-21,20.5299,55.9703,3.02188,4.02482,-0.0322004,35.4404,-0.057665
2025-04-22,21.0819,57.7156,3.04841,4.05553,3.66202e-05,36.6338,-0.057665
2025-04-23,20.2934,57.9933,3.01029,4.06033,0.00263805,37.6999,-0.057665
2025-04-24,20.5299,59.1139,3.02188,4.07947,0.0224448,38.584,-0.057665
2025-04-25,20.7665,58.5387,3.03334,4.06969,0.0133279,37.7723,-0.057665
2025-04-28,20.9044,59.1635,3.03996,4.0803,0.0243257,38.259,-0.057665
2025-04-29,20.9143,59.1734,3.04043,4.08047,0.0245205,38.2591,-0.057665
2025-04-30,20.2342,58.0826,3.00738,4.06187,0.00400753,37.8483,-0.057665
2025-05-01,20.8059,58.3106,3.03524,4.06578,0.00953327,37.5048,-0.057665
2025-05-02,21.4662,59.5007,3.06648,4.08599,0.0315377,38.0344,-0.057665
2025-05-05,20.3131,59.6693,3.01127,4.08882,0.0311831,39.3562,-0.057665
2025-05-06,20.6975,58.2115,3.03001,4.06408,0.00752995,37.514,-0.057665
2025-05-07,20.6975,58.4495,3.03001,4.06816,0.0116101,37.752,-0.057665
2025-05-08,21.072,56.5851,3.04795,4.03575,-0.0197723,35.5131,-0.057665
2025-05-09,21.5451,57.1801,3.07015,4.04621,-0.00803165,35.6351,-0.057665
2025-05-12,22.6489,56.6546,3.12011,4.03697,-0.0143847,34.0056,-0.057665
2025-05-13,22.9939,57.5867,3.13523,4.05329,0.00280673,34.5928,-0.057665
2025-05-14,22.6489,57.7156,3.12011,4.05553,0.00417124,35.0667,-0.057665
2025-05-15,22.235,58.2809,3.10167,4.06527,0.0128538,36.0459,-0.057665
2025-05-16,22.08,58.3007,3.09467,4.06561,0.0127906,36.2207,-0.057665
2025-05-19,21.62,58.0528,3.07362,4.06135,0.00731511,36.4328,-0.057665
2025-05-20,21.61,58.2809,3.07316,4.06527,0.0112097,36.6709,-0.057665
2025-05-21,20.93,57.4479,3.04118,4.05088,-0.00503023,36.5179,-0.057665
2025-05-22,21,57.2694,3.04452,4.04777,-0.00794971,36.2694,-0.057665
2025-05-23,20.89,58.4991,3.03927,4.06901,0.0129921,37.6091,-0.057665
2025-05-27,21.43,59.5998,3.06479,4.08765,0.0331056,38.1698,-0.057665
2025-05-28,21.23,60.1155,3.05542,4.09627,0.0411799,38.8855,-0.057665
2025-05-29,21.25,59.7684,3.05636,4.09048,0.0354438,38.5184,-0.057665
2025-05-30,20.93,60.0064,3.04118,4.09445,0.038543,39.0764,-0.057665
2025-06-02,21.27,60.7601,3.0573,4.10693,0.051954,39.4901,-0.057665
2025-06-03,22.03,60.6014,3.09241,4.10432,0.0513636,38.5714,-0.057665
2025-06-04,21.67,59.6197,3.07593,4.08799,0.0340806,37.9497,-0.057665
2025-06-05,21.54,60.056,3.06991,4.09528,0.0410257,38.516,-0.057665
2025-06-06,22.5,60.056,3.11352,4.09528,0.0435401,37.556,-0.057665
2025-06-09,23.02,59.1635,3.13636,4.0803,0.0298847,36.1435,-0.057665
2025-06-10,23.79,58.4693,3.16927,4.0685,0.0199795,34.6793,-0.057665
2025-06-11,24.32,58.9255,3.1913,4.07627,0.0290217,34.6055,-0.057665
2025-06-12,24.41,59.58,3.19499,4.08732,0.0402809,35.17,-0.057665
2025-06-13,25.43,59.78,3.23593,4.09067,0.0459926,34.35,-0.057665
