Date,MUR Raw Price,WMB Raw Price,MUR Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,30.1631,54.9218,3.40662,4.00591,-0.028926,24.7587,-0.057665
2025-01-03,30.0559,55.6294,3.40306,4.01871,-0.0163289,25.5735,-0.057665
2025-01-06,29.9682,54.853,3.40014,4.00466,-0.0305533,24.8847,-0.057665
2025-01-07,30.8256,54.5974,3.42834,3.99999,-0.0335963,23.7719,-0.057665
2025-01-08,31.9265,55.423,3.46344,4.01499,-0.0165644,23.4965,-0.057665
2025-01-10,32.3746,54.5679,3.47738,3.99945,-0.0313091,22.1933,-0.057665
2025-01-13,32.9592,55.0692,3.49527,4.00859,-0.0211333,22.11,-0.057665
2025-01-14,33.0274,57.0644,3.49734,4.04418,0.0145756,24.037,-0.057665
2025-01-15,32.5987,57.0152,3.48427,4.04332,0.0129607,24.4165,-0.057665
2025-01-16,32.1993,58.1652,3.47194,4.06329,0.032218,25.9659,-0.057665
2025-01-17,31.4101,58.1259,3.44713,4.06261,0.030111,26.7157,-0.057665
2025-01-21,30.6794,59.5903,3.42359,4.08749,0.053636,28.9109,-0.057665
2025-01-22,30.0656,58.1848,3.40338,4.06362,0.0286024,28.1192,-0.057665
2025-01-23,29.6175,58.4699,3.38836,4.06851,0.032623,28.8524,-0.057665
2025-01-24,28.9745,58.5485,3.36642,4.06986,0.0327012,29.574,-0.057665
2025-01-27,28.7894,53.6146,3.36001,3.98182,-0.0557028,24.8252,-0.057665
2025-01-28,28.4484,54.2534,3.34809,3.99367,-0.0445447,25.805,-0.057665
2025-01-29,28.4289,54.3812,3.34741,3.99602,-0.0422318,25.9523,-0.057665
2025-01-30,26.7629,55.6196,3.28702,4.01854,-0.0231971,28.8567,-0.057665
2025-01-31,25.9445,54.4795,3.25596,3.99782,-0.0456994,28.535,-0.057665
2025-02-03,24.8923,55.2363,3.21456,4.01162,-0.0342909,30.344,-0.057665
2025-02-04,25.7886,54.7645,3.24993,4.00304,-0.0408286,28.9759,-0.057665
2025-02-05,25.9932,55.8751,3.25784,4.02312,-0.0202959,29.8819,-0.057665
2025-02-06,25.623,55.0495,3.24349,4.00823,-0.0360091,29.4265,-0.057665
2025-02-07,26.1296,54.9807,3.26307,4.00698,-0.0361306,28.8511,-0.057665
2025-02-10,27.3085,55.2068,3.3072,4.01109,-0.0294829,27.8983,-0.057665
2025-02-11,27.9905,54.2927,3.33186,3.99439,-0.0447559,26.3023,-0.057665
2025-02-12,26.9675,53.8799,3.29463,3.98676,-0.0545352,26.9124,-0.057665
2025-02-13,27.2013,56.4747,3.30327,4.03379,-0.00700342,29.2733,-0.057665
2025-02-14,27.5326,56.0029,3.31537,4.0254,-0.0146942,28.4703,-0.057665
2025-02-18,27.7839,56.8088,3.32446,4.03969,0.000118252,29.0249,-0.057665
