Date,XOM Raw Price,MTDR Raw Price,XOM Log Price,MTDR Log Price,Residual,Spread,Beta
2025-03-28,116.656,50.1395,4.75923,3.91481,-0.124404,66.5161,1.86154
2025-03-31,117.845,50.7152,4.76937,3.92623,-0.131865,67.1294,1.86154
2025-04-01,117.954,50.7351,4.77029,3.92662,-0.133195,67.2185,1.86154
2025-04-02,117.587,51.8469,4.76718,3.94829,-0.105723,65.7401,1.86154
2025-04-03,111.404,44.2431,4.71316,3.7897,-0.163766,67.1609,1.86154
2025-04-04,103.388,38.0985,4.63849,3.64017,-0.174278,65.2893,1.86154
2025-04-07,102.001,38.0488,4.62498,3.63887,-0.150435,63.9517,1.86154
2025-04-08,99.8504,36.401,4.60367,3.5946,-0.155048,63.4493,1.86154
2025-04-09,104.834,42.1882,4.65238,3.74214,-0.0981783,62.6462,1.86154
2025-04-10,99.018,37.5624,4.5953,3.626,-0.108058,61.4556,1.86154
2025-04-11,102.199,39.1209,4.62692,3.66666,-0.126262,63.0778,1.86154
2025-04-14,102.446,38.9422,4.62934,3.66208,-0.135346,63.5042,1.86154
2025-04-15,102.159,38.6643,4.62653,3.65492,-0.137281,63.4948,1.86154
2025-04-16,103.239,39.8356,4.63705,3.68476,-0.127013,63.4035,1.86154
2025-04-17,105.944,41.1658,4.66291,3.71761,-0.142315,64.7784,1.86154
2025-04-21,104.389,39.7364,4.64812,3.68227,-0.150119,64.6522,1.86154
2025-04-22,107.312,40.7191,4.67574,3.7067,-0.177098,66.5925,1.86154
2025-04-23,106.39,40.5404,4.66711,3.7023,-0.165441,65.8497,1.86154
2025-04-24,107.639,40.4511,4.67878,3.70009,-0.189366,67.1875,1.86154
2025-04-25,107.579,40.7687,4.67823,3.70792,-0.180515,66.8104,1.86154
2025-04-28,107.639,41.2353,4.67878,3.71929,-0.170165,66.4033,1.86154
2025-04-29,107.371,40.7191,4.67629,3.7067,-0.178129,66.652,1.86154
2025-04-30,104.666,39.25,4.65077,3.66995,-0.167376,65.416,1.86154
2025-05-01,104.815,40.193,4.65219,3.69369,-0.146275,64.6216,1.86154
2025-05-02,105.241,40.7886,4.65625,3.7084,-0.139118,64.4521,1.86154
2025-05-05,102.328,39.3592,4.62818,3.67273,-0.122535,62.9684,1.86154
2025-05-06,103.754,40.0342,4.64203,3.68973,-0.131309,63.7202,1.86154
2025-05-07,103.655,39.7463,4.64107,3.68252,-0.136747,63.909,1.86154
2025-05-08,105.102,42.357,4.65493,3.74613,-0.0989308,62.745,1.86154
2025-05-09,106.331,42.75,4.66655,3.75537,-0.111331,63.5807,1.86154
2025-05-12,108.164,44.69,4.68365,3.79975,-0.0987698,63.4738,1.86154
2025-05-13,108.461,46.36,4.68639,3.83644,-0.0671913,62.1011,1.86154
2025-05-14,107.49,45.89,4.6774,3.82625,-0.0606397,61.6,1.86154
2025-05-15,108.58,44.59,4.68749,3.79751,-0.108159,63.99,1.86154
2025-05-16,108.19,44.54,4.68389,3.79639,-0.102583,63.65,1.86154
2025-05-19,106.47,44.29,4.66786,3.79076,-0.0783791,62.18,1.86154
2025-05-20,104.95,44.28,4.65348,3.79053,-0.0518374,60.67,1.86154
2025-05-21,103.66,43.55,4.64112,3.77391,-0.0454379,60.11,1.86154
2025-05-22,102.97,43.6,4.63444,3.77506,-0.0318579,59.37,1.86154
2025-05-23,103.03,43.4,4.63502,3.77046,-0.0375399,59.63,1.86154
2025-05-27,103.52,44.16,4.63976,3.78782,-0.0290122,59.36,1.86154
2025-05-28,102.11,43.83,4.62605,3.78032,-0.0109836,58.28,1.86154
2025-05-29,102.69,44.04,4.63171,3.7851,-0.0167478,58.65,1.86154
2025-05-30,102.3,43.01,4.62791,3.76143,-0.0333303,59.29,1.86154
2025-06-02,103.05,43.51,4.63521,3.77299,-0.03537,59.54,1.86154
2025-06-03,103.8,45.8,4.64247,3.82428,0.00242409,58,1.86154
2025-06-04,102.3,45.01,4.62791,3.80688,0.0121218,57.29,1.86154
2025-06-05,101.83,44.77,4.6233,3.80154,0.0153477,57.06,1.86154
2025-06-06,104.27,45.79,4.64698,3.82407,-0.00620404,58.48,1.86154
2025-06-09,104.97,46.66,4.65367,3.84289,0.000162013,58.31,1.86154
2025-06-10,107.22,47.93,4.67488,3.86974,-0.0124635,59.29,1.86154
2025-06-11,109.31,49.02,4.69419,3.89223,-0.0259139,60.29,1.86154
2025-06-12,109.73,49.5,4.69802,3.90197,-0.0233086,60.23,1.86154
2025-06-13,112.12,51.64,4.71957,3.9443,-0.0210951,60.48,1.86154
