Date,XOM Raw Price,MTDR Raw Price,XOM Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,105.388,57.3103,4.65765,4.04848,0.198357,48.0777,1.86154
2025-01-03,105.928,58.2872,4.66276,4.06538,0.205742,47.641,1.86154
2025-01-06,105.81,57.5767,4.66165,4.05312,0.19555,48.2336,1.86154
2025-01-07,106.802,58.9286,4.67098,4.07633,0.201388,47.8737,1.86154
2025-01-08,105.015,59.2838,4.6541,4.08234,0.238816,45.731,1.86154
2025-01-10,104.632,60.4383,4.65045,4.10162,0.264905,44.1935,1.86154
2025-01-13,107.333,61.1389,4.67593,4.11315,0.22899,46.1937,1.86154
2025-01-14,107.755,61.8987,4.67986,4.1255,0.234031,45.8562,1.86154
2025-01-15,109.513,62.7769,4.69604,4.13959,0.217994,46.7359,1.86154
2025-01-16,109.326,62.5401,4.69434,4.13581,0.217389,46.7861,1.86154
2025-01-17,110.308,62.9249,4.70328,4.14194,0.206876,47.3834,1.86154
2025-01-21,109.474,61.8888,4.69568,4.12534,0.204415,47.5847,1.86154
2025-01-22,107.568,62.2046,4.67813,4.13043,0.242187,45.3637,1.86154
2025-01-23,108.177,61.3757,4.68377,4.11701,0.218265,46.8014,1.86154
2025-01-24,106.714,60.31,4.67015,4.0995,0.226102,46.4038,1.86154
2025-01-27,108.197,58.8102,4.68395,4.07431,0.175227,49.3866,1.86154
2025-01-28,106.105,59.4811,4.66443,4.08566,0.222915,46.6238,1.86154
2025-01-29,106.724,59.4614,4.67024,4.08533,0.21176,47.2622,1.86154
2025-01-30,107.608,58.751,4.67849,4.07331,0.184386,48.8566,1.86154
2025-01-31,104.917,57.2314,4.65317,4.0471,0.205324,47.6853,1.86154
2025-02-03,105.172,56.7775,4.6556,4.03914,0.192836,48.3945,1.86154
2025-02-04,107.991,57.5965,4.68204,4.05346,0.157926,50.3941,1.86154
2025-02-05,107.912,57.2018,4.68132,4.04658,0.152404,50.7102,1.86154
2025-02-06,106.488,55.7216,4.66803,4.02037,0.150917,50.7663,1.86154
2025-02-07,106.94,55.9289,4.67227,4.02408,0.146748,51.0109,1.86154
2025-02-10,108.982,58.4747,4.69119,4.06859,0.156038,50.5078,1.86154
2025-02-11,109.67,58.5832,4.69748,4.07045,0.146186,51.0867,1.86154
2025-02-12,106.37,55.6723,4.66693,4.01948,0.152088,50.698,1.86154
2025-02-13,107.143,56.363,4.67417,4.03181,0.150942,50.7802,1.86154
2025-02-14,107.252,56.4321,4.67518,4.03304,0.150274,50.8201,1.86154
2025-02-18,109.135,57.034,4.69258,4.04365,0.128491,52.1008,1.86154
2025-02-19,109.293,55.8795,4.69404,4.0232,0.105338,53.4139,1.86154
2025-02-20,110.978,55.7315,4.70933,4.02055,0.0742141,55.2464,1.86154
2025-02-21,109.68,52.4062,4.69757,3.95902,0.0345943,57.2737,1.86154
2025-02-24,110.255,52.6923,4.70279,3.96447,0.0303112,57.5622,1.86154
2025-02-25,108.729,51.7648,4.68885,3.94671,0.0384954,56.9638,1.86154
2025-02-26,108.461,51.4392,4.68639,3.9404,0.0367713,57.0219,1.86154
2025-02-27,109.145,51.8141,4.69268,3.94766,0.0323364,57.3306,1.86154
2025-02-28,110.314,51.9561,4.70333,3.9504,0.0152364,58.3579,1.86154
2025-03-03,106.777,47.3898,4.67074,3.85841,-0.0160832,59.3868,1.86154
2025-03-04,106.559,46.0894,4.66869,3.83058,-0.0401026,60.4692,1.86154
2025-03-05,104.478,45.3846,4.64897,3.81517,-0.0188016,59.0931,1.86154
2025-03-06,106.638,44.4614,4.66944,3.79462,-0.0774479,62.1764,1.86154
2025-03-07,108.025,44.9379,4.68236,3.80528,-0.0908482,63.0871,1.86154
2025-03-10,110.78,44.6898,4.70754,3.79974,-0.14326,66.0899,1.86154
2025-03-11,108.164,46.6552,4.68365,3.84279,-0.0557343,61.5086,1.86154
2025-03-12,108.134,47.9258,4.68337,3.86965,-0.0283528,60.2082,1.86154
2025-03-13,107.678,46.5858,4.67915,3.84129,-0.0488497,61.0925,1.86154
2025-03-14,110.879,48.2634,4.70844,3.87667,-0.0679961,62.6154,1.86154
2025-03-17,112.722,49.9906,4.72492,3.91183,-0.0635221,62.7312,1.86154
2025-03-18,112.603,50.1891,4.72387,3.9158,-0.0575938,62.4138,1.86154
2025-03-19,114.357,52.234,4.73932,3.95573,-0.0464293,62.1227,1.86154
2025-03-20,114.842,51.9263,4.74356,3.94983,-0.0602248,62.916,1.86154
2025-03-21,114.446,51.1322,4.7401,3.93441,-0.0692007,63.3138,1.86154
2025-03-24,114.743,52.5814,4.7427,3.96236,-0.0460798,62.1617,1.86154
2025-03-25,115.526,51.9362,4.7495,3.95002,-0.0710832,63.5898,1.86154
2025-03-26,117.191,51.8568,4.7638,3.94849,-0.0992458,65.3338,1.86154
2025-03-27,116.814,51.1222,4.76058,3.93422,-0.107522,65.6919,1.86154
