Date,OXY Raw Price,MTDR Raw Price,OXY Log Price,MTDR Log Price,Residual,Spread,Beta
2025-04-22,39.7481,40.7191,3.68256,3.7067,-0.00492608,0.970955,1.44367
2025-04-23,39.6089,40.5404,3.67905,3.7023,-0.00425842,0.931496,1.44367
2025-04-24,40.1459,40.4511,3.69252,3.70009,-0.0259056,0.305157,1.44367
2025-04-25,40.136,40.7687,3.69227,3.70792,-0.017726,0.632751,1.44367
2025-04-28,40.2851,41.2353,3.69598,3.71929,-0.0117024,0.950142,1.44367
2025-04-29,40.126,40.7191,3.69203,3.7067,-0.0185863,0.593067,1.44367
2025-04-30,39.1913,39.25,3.66845,3.66995,-0.0213034,0.0587044,1.44367
2025-05-01,40.2155,40.193,3.69425,3.69369,-0.0348075,0.0225449,1.44367
2025-05-02,40.3846,40.7886,3.69845,3.7084,-0.026154,0.403992,1.44367
2025-05-05,38.5946,39.3592,3.65311,3.67273,0.00362284,0.764565,1.44367
2025-05-06,39.062,40.0342,3.66515,3.68973,0.00324948,0.972191,1.44367
2025-05-07,38.7935,39.7463,3.65825,3.68252,0.00599037,0.952816,1.44367
2025-05-08,41.21,42.357,3.71868,3.74613,-0.0176312,1.14701,1.44367
2025-05-09,41.926,42.75,3.73591,3.75537,-0.0332634,0.824005,1.44367
2025-05-12,43.6166,44.69,3.77544,3.79975,-0.0459522,1.07344,1.44367
2025-05-13,44.1436,46.36,3.78745,3.83644,-0.0266055,2.21638,1.44367
2025-05-14,43.5768,45.89,3.77452,3.82625,-0.0181375,2.31322,1.44367
2025-05-15,43.1293,44.59,3.7642,3.79751,-0.031973,1.46072,1.44367
2025-05-16,42.8011,44.54,3.75656,3.79639,-0.0220682,1.73889,1.44367
2025-05-19,42.0752,44.29,3.73946,3.79076,-0.00300092,2.21484,1.44367
2025-05-20,41.6674,44.28,3.72972,3.79053,0.0108311,2.61256,1.44367
2025-05-21,40.9017,43.55,3.71117,3.77391,0.0209849,2.64829,1.44367
2025-05-22,40.852,43.6,3.70996,3.77506,0.0238884,2.74801,1.44367
2025-05-23,41.0608,43.4,3.71505,3.77046,0.0119296,2.33918,1.44367
2025-05-27,41.389,44.16,3.72301,3.78782,0.0177973,2.77101,1.44367
2025-05-28,40.8918,43.83,3.71093,3.78032,0.0277449,2.93824,1.44367
2025-05-29,41.2299,44.04,3.71916,3.7851,0.0206368,2.81012,1.44367
2025-05-30,40.5536,43.01,3.70263,3.76143,0.0208456,2.45635,1.44367
2025-06-02,41.21,43.51,3.71868,3.77299,0.00922586,2.30001,1.44367
2025-06-03,42.453,45.8,3.7484,3.82428,0.0176162,3.34695,1.44367
2025-06-04,41.6774,45.01,3.72996,3.80688,0.0268382,3.33262,1.44367
2025-06-05,41.5879,44.77,3.72781,3.80154,0.0245954,3.18212,1.44367
2025-06-06,42.3039,45.79,3.74488,3.82407,0.0224792,3.48611,1.44367
2025-06-09,43,46.66,3.7612,3.84289,0.0177384,3.66,1.44367
2025-06-10,43.91,47.93,3.78214,3.86974,0.0143595,4.02,1.44367
2025-06-11,44.84,49.02,3.8031,3.89223,0.00658917,4.18,1.44367
2025-06-12,44.76,49.5,3.80131,3.90197,0.0189115,4.74,1.44367
2025-06-13,46.45,51.64,3.83838,3.9443,0.00773071,5.19,1.44367
