Date,OXY Raw Price,MTDR Raw Price,OXY Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,49.2819,57.3103,3.89756,4.04848,0.0264783,8.02842,1.44367
2025-01-03,49.9745,58.2872,3.91151,4.06538,0.023233,8.31273,1.44367
2025-01-06,50.2317,57.5767,3.91665,4.05312,0.0035569,7.34502,1.44367
2025-01-07,51.0034,58.9286,3.93189,4.07633,0.00475364,7.92514,1.44367
2025-01-08,50.6472,59.2838,3.92488,4.08234,0.0208808,8.63655,1.44367
2025-01-10,50.7561,60.4383,3.92703,4.10162,0.0370688,9.68221,1.44367
2025-01-13,52.1214,61.1389,3.95358,4.11315,0.0102716,9.01743,1.44367
2025-01-14,51.5278,61.8987,3.94212,4.1255,0.0391593,10.3709,1.44367
2025-01-15,52.1412,62.7769,3.95396,4.13959,0.0361625,10.6356,1.44367
2025-01-16,51.7455,62.5401,3.94634,4.13581,0.0433825,10.7946,1.44367
2025-01-17,51.419,62.9249,3.94001,4.14194,0.0586548,11.5059,1.44367
2025-01-21,50.014,61.8888,3.9123,4.12534,0.0820473,11.8748,1.44367
2025-01-22,49.6677,62.2046,3.90536,4.13043,0.0971669,12.5368,1.44367
2025-01-23,49.8063,61.3757,3.90814,4.11701,0.0797318,11.5694,1.44367
2025-01-24,48.7674,60.31,3.88706,4.0995,0.0926467,11.5426,1.44367
2025-01-27,49.0345,58.8102,3.89252,4.07431,0.0595766,9.77562,1.44367
2025-01-28,48.4805,59.4811,3.88116,4.08566,0.087327,11.0007,1.44367
2025-01-29,48.3123,59.4614,3.87769,4.08533,0.0920123,11.1491,1.44367
2025-01-30,48.4013,58.751,3.87953,4.07331,0.077334,10.3496,1.44367
2025-01-31,46.1554,57.2314,3.83201,4.0471,0.119722,11.076,1.44367
2025-02-03,45.8784,56.7775,3.82599,4.03914,0.120451,10.8991,1.44367
2025-02-04,47.0854,57.5965,3.85196,4.05346,0.0972802,10.511,1.44367
2025-02-05,46.8579,57.2018,3.84712,4.04658,0.097398,10.3439,1.44367
2025-02-06,46.4819,55.7216,3.83906,4.02037,0.0828121,9.23975,1.44367
2025-02-07,46.284,55.9289,3.8348,4.02408,0.092683,9.64485,1.44367
2025-02-10,47.867,58.4747,3.86843,4.06859,0.0886444,10.6076,1.44367
2025-02-11,48.0946,58.5832,3.87317,4.07045,0.083652,10.4886,1.44367
2025-02-12,47.3229,55.6723,3.85699,4.01948,0.0560397,8.34942,1.44367
2025-02-13,47.3723,56.363,3.85804,4.03181,0.0668619,8.99068,1.44367
2025-02-14,47.5504,56.4321,3.86179,4.03304,0.0626696,8.88166,1.44367
2025-02-18,48.3222,57.034,3.87789,4.04365,0.0500371,8.71185,1.44367
2025-02-19,50.4494,55.8795,3.92097,4.0232,-0.0326059,5.43015,1.44367
2025-02-20,51.5377,55.7315,3.94231,4.02055,-0.0660709,4.1938,1.44367
2025-02-21,49.8854,52.4062,3.90973,3.95902,-0.0805503,2.52075,1.44367
2025-02-24,49.3313,52.6923,3.89856,3.96447,-0.0589807,3.36097,1.44367
2025-02-25,48.3716,51.7648,3.87891,3.94671,-0.048378,3.39314,1.44367
2025-02-26,48.0352,51.4392,3.87193,3.9404,-0.0446134,3.40392,1.44367
2025-02-27,48.1342,51.8141,3.87399,3.94766,-0.0403209,3.67994,1.44367
2025-02-28,48.3222,51.9561,3.87789,3.9504,-0.0432122,3.6339,1.44367
2025-03-03,45.9575,47.3898,3.82772,3.85841,-0.06277,1.43231,1.44367
2025-03-04,46.0367,46.0894,3.82944,3.83058,-0.0930781,0.0527649,1.44367
2025-03-05,45.0275,45.3846,3.80727,3.81517,-0.0764889,0.357159,1.44367
2025-03-06,45.2253,44.4614,3.81166,3.79462,-0.10337,0.763901,1.44367
2025-03-07,46.7391,44.9379,3.84458,3.80528,-0.140242,1.8012,1.44367
2025-03-10,47.0971,44.6898,3.85221,3.79974,-0.156795,2.40737,1.44367
2025-03-11,46.0231,46.6552,3.82914,3.84279,-0.080452,0.632114,1.44367
2025-03-12,45.8441,47.9258,3.82525,3.86965,-0.0479563,2.08172,1.44367
2025-03-13,45.1977,46.5858,3.81105,3.84129,-0.0558164,1.38802,1.44367
2025-03-14,46.2717,48.2634,3.83453,3.87667,-0.0543421,1.99162,1.44367
2025-03-17,46.9977,49.9906,3.8501,3.91183,-0.0416535,2.99291,1.44367
2025-03-18,47.3855,50.1891,3.85832,3.9158,-0.0495547,2.8036,1.44367
2025-03-19,47.6938,52.234,3.8648,3.95573,-0.0189807,4.54021,1.44367
2025-03-20,47.6938,51.9263,3.8648,3.94983,-0.0248894,4.23249,1.44367
2025-03-21,47.6739,51.1322,3.86438,3.93441,-0.039699,3.45824,1.44367
2025-03-24,47.654,52.5814,3.86397,3.96236,-0.0111467,4.92743,1.44367
2025-03-25,48.738,51.9362,3.88646,3.95002,-0.0559639,3.19824,1.44367
2025-03-26,49.4739,51.8568,3.90144,3.94849,-0.079129,2.38294,1.44367
2025-03-27,49.2352,51.1222,3.89661,3.93422,-0.0864144,1.88704,1.44367
2025-03-28,48.559,50.1395,3.88278,3.91481,-0.0858595,1.58051,1.44367
2025-03-31,49.086,50.7152,3.89357,3.92623,-0.090027,1.62921,1.44367
2025-04-01,48.917,50.7351,3.89012,3.92662,-0.0846549,1.81812,1.44367
2025-04-02,49.0562,51.8469,3.89297,3.94829,-0.0670811,2.79068,1.44367
2025-04-03,43.6563,44.2431,3.77635,3.7897,-0.0573195,0.586723,1.44367
2025-04-04,40.315,38.0985,3.69672,3.64017,-0.0918917,2.21652,1.44367
2025-04-07,38.5349,38.0488,3.65156,3.63887,-0.0280015,0.486084,1.44367
2025-04-08,35.9096,36.401,3.581,3.5946,0.029591,0.491436,1.44367
2025-04-09,40.0067,42.1882,3.68905,3.74214,0.0211578,2.18154,1.44367
2025-04-10,36.2676,37.5624,3.59092,3.626,0.0466773,1.29485,1.44367
2025-04-11,37.4609,39.1209,3.6233,3.66666,0.0405929,1.66,1.44367
2025-04-14,37.6896,38.9422,3.62939,3.66208,0.0272273,1.25259,1.44367
2025-04-15,37.5902,38.6643,3.62674,3.65492,0.0238786,1.0741,1.44367
2025-04-16,38.2366,39.8356,3.64379,3.68476,0.0291099,1.59904,1.44367
2025-04-17,39.4896,41.1658,3.67604,3.71761,0.0154061,1.67621,1.44367
2025-04-21,38.8034,39.7364,3.65851,3.68227,0.00537047,0.932941,1.44367
