Date,DVN Raw Price,SM Raw Price,DVN Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,32.9309,39.607,3.49441,3.67901,0.324067,6.6761,2.23556
2025-01-03,33.4535,40.0213,3.51016,3.68941,0.299275,6.56776,2.23556
2025-01-06,33.276,40.2974,3.50484,3.69629,0.318042,7.02138,2.23556
2025-01-07,34.2028,42.0923,3.53231,3.73987,0.300208,7.88953,2.23556
2025-01-08,34.6564,42.0628,3.54548,3.73916,0.270056,7.4064,2.23556
2025-01-10,35.4846,42.7531,3.5691,3.75544,0.233539,7.26855,2.23556
2025-01-13,36.2536,43.118,3.59054,3.76394,0.194105,6.86442,2.23556
2025-01-14,36.6578,43.3153,3.60163,3.76851,0.173879,6.65742,2.23556
2025-01-15,37.8903,44.0747,3.63469,3.78588,0.117335,6.18437,2.23556
2025-01-16,37.8804,43.5125,3.63443,3.77305,0.10508,5.63208,2.23556
2025-01-17,37.417,42.615,3.62213,3.75221,0.111756,5.19801,2.23556
2025-01-21,36.2142,41.3034,3.58945,3.72094,0.153541,5.08919,2.23556
2025-01-22,35.948,41.2047,3.58207,3.71855,0.167644,5.25677,2.23556
2025-01-23,35.9381,40.6524,3.5818,3.70506,0.154763,4.71434,2.23556
2025-01-24,35.455,39.7308,3.56826,3.68213,0.162087,4.27579,2.23556
2025-01-27,34.8338,39.3344,3.55059,3.6721,0.191572,4.50053,2.23556
2025-01-28,34.3901,39.3244,3.53777,3.67185,0.219978,4.9343,2.23556
2025-01-29,34.5775,39.6911,3.5432,3.68113,0.217114,5.11365,2.23556
2025-01-30,34.5578,39.2551,3.54263,3.67008,0.207343,4.69732,2.23556
2025-01-31,33.6211,37.6199,3.51515,3.62753,0.226223,3.99876,2.23556
2025-02-03,33.276,37.0451,3.50484,3.61213,0.23389,3.76904,2.23556
2025-02-04,33.9366,37.9271,3.52449,3.63567,0.213476,3.99047,2.23556
2025-02-05,33.6605,37.5108,3.51633,3.62463,0.2207,3.8503,2.23556
2025-02-06,32.9506,36.9063,3.49501,3.60838,0.252105,3.95566,2.23556
2025-02-07,32.6844,37.0451,3.4869,3.61213,0.273991,4.36061,2.23556
2025-02-10,33.7789,39.0569,3.51983,3.66502,0.253245,5.27801,2.23556
2025-02-11,34.6268,40.2461,3.54463,3.69501,0.227815,5.61934,2.23556
2025-02-12,33.4929,38.5613,3.51133,3.65225,0.25948,5.06842,2.23556
2025-02-13,33.7394,38.6208,3.51867,3.65379,0.244629,4.88139,2.23556
2025-02-14,34.1535,38.1748,3.53087,3.64218,0.205744,4.02132,2.23556
2025-02-18,34.3901,38.2739,3.53777,3.64477,0.1929,3.88379,2.23556
2025-02-19,37.0424,38.4821,3.61206,3.65019,0.0322386,1.43969,2.23556
2025-02-20,38.0086,36.7775,3.63781,3.60489,-0.0706341,1.23113,2.23556
2025-02-21,36.9635,34.0422,3.60993,3.5276,-0.0855873,2.92129,2.23556
2025-02-24,36.786,33.517,3.60512,3.51205,-0.0903776,3.26907,2.23556
2025-02-25,35.3761,32.7836,3.56604,3.48993,-0.025132,2.59251,2.23556
2025-02-26,34.962,32.0799,3.55426,3.46823,-0.0205056,2.88205,2.23556
2025-02-27,35.3761,32.2286,3.56604,3.47285,-0.0422057,3.1475,2.23556
