Date,HES Raw Price,WMB Raw Price,HES Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,134.963,54.9218,4.905,4.00591,-0.0397699,80.0411,0.0185686
2025-01-03,135.93,55.6294,4.91214,4.01871,-0.0271001,80.3002,0.0185686
2025-01-06,135.461,54.853,4.90869,4.00466,-0.0410919,80.6082,0.0185686
2025-01-07,138.142,54.5974,4.92828,3.99999,-0.0461254,83.5447,0.0185686
2025-01-08,139.338,55.423,4.9369,4.01499,-0.0312771,83.9151,0.0185686
2025-01-10,141.929,54.5679,4.95533,3.99945,-0.0471677,87.3614,0.0185686
2025-01-13,144.341,55.0692,4.97218,4.00859,-0.0383367,89.272,0.0185686
2025-01-14,146.185,57.0644,4.98487,4.04418,-0.00298271,89.1205,0.0185686
2025-01-15,148.417,57.0152,5.00003,4.04332,-0.00412572,91.4021,0.0185686
2025-01-16,149.225,58.1652,5.00545,4.06329,0.0157419,91.0594,0.0185686
2025-01-17,150.839,58.1259,5.01621,4.06261,0.0148659,92.7133,0.0185686
2025-01-21,148.158,59.5903,4.99828,4.08749,0.0400812,88.5679,0.0185686
2025-01-22,145.099,58.1848,4.97741,4.06362,0.0166004,86.9137,0.0185686
2025-01-23,144.371,58.4699,4.97239,4.06851,0.0215804,85.9012,0.0185686
2025-01-24,143.913,58.5485,4.96921,4.06986,0.0229834,85.3641,0.0185686
2025-01-27,145.617,53.6146,4.98098,3.98182,-0.0652696,92.0023,0.0185686
2025-01-28,144.56,54.2534,4.9737,3.99367,-0.0532892,90.307,0.0185686
2025-01-29,144.67,54.3812,4.97446,3.99602,-0.0509509,90.2888,0.0185686
2025-01-30,145.358,55.6196,4.9792,4.01854,-0.028522,89.7381,0.0185686
2025-01-31,138.561,54.4795,4.93131,3.99782,-0.0483441,84.0812,0.0185686
2025-02-03,138.361,55.2363,4.92987,4.01162,-0.0345215,83.1251,0.0185686
2025-02-04,142.298,54.7645,4.95792,4.00304,-0.0436201,87.5336,0.0185686
2025-02-05,142.258,55.8751,4.95764,4.02312,-0.0235379,86.3831,0.0185686
2025-02-06,141.451,55.0495,4.95195,4.00823,-0.0383182,86.4014,0.0185686
2025-02-07,142.458,54.9807,4.95904,4.00698,-0.0397004,87.4768,0.0185686
2025-02-10,145.338,55.2068,4.97906,4.01109,-0.0359689,90.131,0.0185686
2025-02-11,146.504,54.2927,4.98705,3.99439,-0.0528127,92.2111,0.0185686
2025-02-12,144.311,53.8799,4.97197,3.98676,-0.060165,90.4313,0.0185686
2025-02-13,145.358,56.4747,4.9792,4.03379,-0.0132652,88.883,0.0185686
2025-02-14,146.055,56.0029,4.98399,4.0254,-0.0217429,90.0524,0.0185686
2025-02-18,147.471,56.8088,4.99363,4.03969,-0.00763351,90.6617,0.0185686
2025-02-19,148.766,57.2708,5.00238,4.04779,0.00030275,91.4954,0.0185686
2025-02-20,150.45,57.4477,5.01363,4.05087,0.00317802,93.0028,0.0185686
2025-02-21,147.61,56.455,4.99457,4.03344,-0.0138989,91.1551,0.0185686
2025-02-24,148.248,56.3469,4.99889,4.03153,-0.0158957,91.901,0.0185686
2025-02-25,146.454,55.2166,4.98671,4.01126,-0.035933,91.2374,0.0185686
2025-02-26,144.979,55.9243,4.97659,4.024,-0.0230105,89.0547,0.0185686
2025-02-27,146.414,55.2952,4.98644,4.01269,-0.034505,91.1189,0.0185686
2025-02-28,148.437,57.1823,5.00016,4.04624,-0.00120186,91.2549,0.0185686
2025-03-03,143.604,56.6123,4.96706,4.03623,-0.0106063,86.9914,0.0185686
2025-03-04,141.909,55.826,4.95519,4.02224,-0.0243721,86.0834,0.0185686
2025-03-05,140.863,55.2559,4.94779,4.01198,-0.0344984,85.607,0.0185686
2025-03-06,142.856,53.6735,4.96184,3.98292,-0.0638149,89.1826,0.0185686
2025-03-07,146.932,53.4475,4.98997,3.9787,-0.0685579,93.4849,0.0185686
2025-03-10,147.74,53.0937,4.99545,3.97206,-0.0753018,94.646,0.0185686
2025-03-11,144.122,54.0077,4.97066,3.98913,-0.057772,90.1142,0.0185686
2025-03-12,143.544,55.3346,4.96664,4.0134,-0.0334265,88.2093,0.0185686
2025-03-13,143.434,55.2166,4.96588,4.01126,-0.0355461,88.2176,0.0185686
2025-03-14,147.63,56.7934,4.99471,4.03942,-0.00792557,90.8366,0.0185686
2025-03-17,150.45,57.9041,5.01363,4.05879,0.0110908,92.5459,0.0185686
2025-03-18,152.82,57.914,5.02926,4.05896,0.0109719,94.906,0.0185686
2025-03-19,156.38,58.8263,5.05229,4.07459,0.0261749,97.5537,0.0185686
2025-03-20,157.37,59.2527,5.0586,4.08181,0.0332804,98.1172,0.0185686
2025-03-21,156.58,59.104,5.05357,4.0793,0.0308602,97.476,0.0185686
2025-03-24,157.35,60.5816,5.05847,4.10399,0.0554617,96.7684,0.0185686
2025-03-25,158.29,60.4031,5.06443,4.10104,0.0524003,97.8869,0.0185686
2025-03-26,160.52,59.4511,5.07842,4.08515,0.0362541,101.069,0.0185686
2025-03-27,159.07,58.9354,5.06934,4.07644,0.0277108,100.135,0.0185686
2025-03-28,158.45,58.6974,5.06544,4.0724,0.0237368,99.7526,0.0185686
2025-03-31,159.73,59.2627,5.07348,4.08198,0.0331713,100.467,0.0185686
2025-04-01,161.29,60.0659,5.0832,4.09544,0.046454,101.224,0.0185686
2025-04-02,160.02,61.0873,5.0753,4.1123,0.0634629,98.9327,0.0185686
2025-04-03,148.38,58.5387,4.99978,4.06969,0.0222492,89.8413,0.0185686
2025-04-04,133.56,54.1159,4.89455,3.99113,-0.0543584,79.4441,0.0185686
2025-04-07,130.59,54.3935,4.87206,3.99625,-0.0488229,76.1965,0.0185686
2025-04-08,127.51,53.8779,4.84819,3.98672,-0.0579053,73.6321,0.0185686
2025-04-09,137.97,55.9505,4.92704,4.02447,-0.0216222,82.0195,0.0185686
2025-04-10,127.16,54.6117,4.84545,4.00025,-0.0443258,72.5483,0.0185686
2025-04-11,128.5,55.9207,4.85593,4.02393,-0.0208337,72.5793,0.0185686
2025-04-14,127.91,56.8826,4.85133,4.04099,-0.00369287,71.0274,0.0185686
2025-04-15,127.21,58.0528,4.84584,4.06135,0.0167721,69.1572,0.0185686
2025-04-16,127.95,57.7751,4.85164,4.05656,0.0118699,70.1749,0.0185686
2025-04-17,130.64,58.1321,4.87245,4.06272,0.0176437,72.5079,0.0185686
2025-04-21,126.32,55.9703,4.83882,4.02482,-0.0196297,70.3497,0.0185686
2025-04-22,130.38,57.7156,4.87045,4.05553,0.0104901,72.6644,0.0185686
2025-04-23,130.03,57.9933,4.86777,4.06033,0.0153395,72.0367,0.0185686
2025-04-24,132.38,59.1139,4.88568,4.07947,0.0341454,73.2661,0.0185686
2025-04-25,132.34,58.5387,4.88537,4.06969,0.0243735,73.8013,0.0185686
2025-04-28,133.84,59.1635,4.89665,4.0803,0.0347802,74.6765,0.0185686
2025-04-29,132.54,59.1734,4.88688,4.08047,0.035129,73.3666,0.0185686
2025-04-30,129.05,58.0826,4.8602,4.06187,0.0170178,70.9674,0.0185686
2025-05-01,129.79,58.3106,4.86592,4.06578,0.0208308,71.4793,0.0185686
2025-05-02,132.31,59.5007,4.88515,4.08599,0.0406765,72.8093,0.0185686
2025-05-05,128.8,59.6693,4.85826,4.08882,0.0440051,69.1308,0.0185686
2025-05-06,128.87,58.2115,4.8588,4.06408,0.0192609,70.6585,0.0185686
2025-05-07,129.09,58.4495,4.86051,4.06816,0.0233094,70.6405,0.0185686
2025-05-08,130.88,56.5851,4.87428,4.03575,-0.00936296,74.2949,0.0185686
2025-05-09,132.37,57.1801,4.8856,4.04621,0.000887228,75.1899,0.0185686
2025-05-12,135.21,56.6546,4.90683,4.03697,-0.00874126,78.5555,0.0185686
2025-05-13,135.7,57.5867,4.91045,4.05329,0.00751133,78.1133,0.0185686
2025-05-14,134.79,57.7156,4.90372,4.05553,0.00987244,77.0743,0.0185686
2025-05-15,135.07,58.2809,4.90579,4.06527,0.0195801,76.7891,0.0185686
2025-05-16,134.93,58.3007,4.90476,4.06561,0.0199396,76.6293,0.0185686
2025-05-19,132.79,58.0528,4.88877,4.06135,0.015975,74.7372,0.0185686
2025-05-20,132.05,58.2809,4.88318,4.06527,0.02,73.7691,0.0185686
2025-05-21,130.16,57.4479,4.86876,4.05088,0.00587149,72.7121,0.0185686
2025-05-22,130.02,57.2694,4.86769,4.04777,0.00277946,72.7506,0.0185686
2025-05-23,131.36,58.4991,4.87794,4.06901,0.0238337,72.8609,0.0185686
2025-05-27,132.58,59.5998,4.88719,4.08765,0.0423039,72.9802,0.0185686
2025-05-28,131.07,60.1155,4.87573,4.09627,0.0511316,70.9545,0.0185686
2025-05-29,133.62,59.7684,4.895,4.09048,0.0449834,73.8516,0.0185686
2025-05-30,132.19,60.0064,4.88424,4.09445,0.0491574,72.1836,0.0185686
2025-06-02,133.75,60.7601,4.89597,4.10693,0.0614213,72.9899,0.0185686
2025-06-03,135.96,60.6014,4.91236,4.10432,0.0585021,75.3586,0.0185686
2025-06-04,133.45,59.6197,4.89373,4.08799,0.0425152,73.8303,0.0185686
2025-06-05,133.05,60.056,4.89073,4.09528,0.049863,72.994,0.0185686
2025-06-06,136.13,60.056,4.91361,4.09528,0.0494381,76.074,0.0185686
2025-06-09,136.63,59.1635,4.91728,4.0803,0.0343971,77.4665,0.0185686
2025-06-10,138.66,58.4693,4.93202,4.0685,0.0223207,80.1907,0.0185686
2025-06-11,140.58,58.9255,4.94578,4.07627,0.029837,81.6545,0.0185686
2025-06-12,141.14,59.58,4.94975,4.08732,0.0408093,81.56,0.0185686
2025-06-13,142.26,59.78,4.95766,4.09067,0.0440137,82.48,0.0185686
