Date,ENB Raw Price,OKE Raw Price,ENB Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,42.98,99.4384,3.76073,4.59954,0.0597265,56.4584,-1.04201
2025-01-03,43.09,100.542,3.76329,4.61058,0.0734323,57.4525,-1.04201
2025-01-06,42.99,99.2918,3.76097,4.59806,0.058494,56.3018,-1.04201
2025-01-07,43.64,99.282,3.77597,4.59796,0.0740326,55.642,-1.04201
2025-01-08,44.02,100.494,3.78464,4.61009,0.0951965,56.4736,-1.04201
2025-01-10,43.48,99.4188,3.7723,4.59934,0.0715821,55.9388,-1.04201
2025-01-13,43.4,101.598,3.77046,4.62102,0.0913429,58.1977,-1.04201
2025-01-14,44.07,103.611,3.78578,4.64064,0.126924,59.5406,-1.04201
2025-01-15,44.33,104.431,3.79166,4.64853,0.140944,60.1013,-1.04201
2025-01-16,44.03,106.171,3.78487,4.66505,0.150385,62.1405,-1.04201
2025-01-17,44.51,106.464,3.79571,4.6678,0.164441,61.9536,-1.04201
2025-01-21,45.31,107.333,3.81353,4.67594,0.191138,62.0233,-1.04201
2025-01-22,44.76,103.865,3.80131,4.64309,0.145561,59.1046,-1.04201
2025-01-23,44.86,102.487,3.80355,4.62973,0.134534,57.6269,-1.04201
2025-01-24,45.06,102.135,3.80799,4.6263,0.135731,57.0751,-1.04201
2025-01-27,44.7,98.1486,3.79997,4.58648,0.0875584,53.4486,-1.04201
2025-01-28,44.46,98.2952,3.79459,4.58798,0.0834408,53.8352,-1.04201
2025-01-29,44.26,98.0802,3.79008,4.58579,0.0765535,53.8202,-1.04201
2025-01-30,44.5,97.5819,3.79549,4.58069,0.077095,53.0819,-1.04201
2025-01-31,43.24,94.9438,3.76677,4.55328,0.0197578,51.7038,-1.04201
2025-02-03,42.92,96.4152,3.75934,4.56866,0.0273968,53.4952,-1.04201
2025-02-04,43.72,95.8128,3.77781,4.5624,0.0403729,52.0928,-1.04201
2025-02-05,43.93,96.6917,3.7826,4.57153,0.0544976,52.7617,-1.04201
2025-02-06,44.2,94.6278,3.78872,4.54995,0.0393051,50.4278,-1.04201
2025-02-07,44.45,94.6179,3.79436,4.54985,0.0450778,50.1679,-1.04201
2025-02-10,44.81,97.462,3.80243,4.57946,0.0830997,52.652,-1.04201
2025-02-11,45.25,97.6991,3.8122,4.58189,0.0957104,52.4491,-1.04201
2025-02-12,45.1,96.4054,3.80888,4.56856,0.0789203,51.3054,-1.04201
2025-02-13,45.45,97.7386,3.81661,4.5823,0.10071,52.2886,-1.04201
2025-02-14,43.07,96.6325,3.76283,4.57092,0.0332831,53.5625,-1.04201
2025-02-18,42.75,97.4127,3.75537,4.57896,0.0335534,54.6627,-1.04201
2025-02-19,42.31,97.9657,3.74502,4.58462,0.0284342,55.6557,-1.04201
2025-02-20,41.98,97.4028,3.73719,4.57885,0.0145125,55.4228,-1.04201
2025-02-21,41.78,96.8794,3.73242,4.57347,0.0041482,55.0994,-1.04201
2025-02-24,41.54,96.8991,3.72666,4.57367,-0.00165078,55.3591,-1.04201
2025-02-25,41.65,94.5784,3.7293,4.54943,-0.0231369,52.9284,-1.04201
2025-02-26,41.75,94.5685,3.7317,4.54932,-0.0207425,52.8185,-1.04201
2025-02-27,41.73,95.4375,3.73122,4.55847,-0.0120942,53.7075,-1.04201
2025-02-28,42.73,99.1409,3.7549,4.59654,0.0506516,56.4109,-1.04201
2025-03-03,42.67,95.5561,3.7535,4.55971,0.0123585,52.8861,-1.04201
2025-03-04,41.55,92.623,3.7269,4.52854,-0.0465331,51.073,-1.04201
2025-03-05,42.49,90.7269,3.74927,4.50785,-0.0439055,48.2369,-1.04201
2025-03-06,41.6,88.6234,3.7281,4.4844,-0.0894216,47.0234,-1.04201
2025-03-07,42,88.4555,3.73767,4.4825,-0.0813461,46.4555,-1.04201
2025-03-10,42.68,90.2825,3.75373,4.50294,-0.0441668,47.6025,-1.04201
2025-03-11,42.3,91.4676,3.74479,4.51598,-0.040445,49.1676,-1.04201
2025-03-12,42.54,91.8132,3.75044,4.51976,-0.0307777,49.2732,-1.04201
2025-03-13,42.55,92.3366,3.75068,4.52544,-0.0248483,49.7866,-1.04201
2025-03-14,42.83,95.2302,3.75724,4.5563,0.0128422,52.4002,-1.04201
2025-03-17,43.5,97.2152,3.77276,4.57693,0.0496463,53.7152,-1.04201
2025-03-18,43.41,96.7905,3.77069,4.57255,0.0431105,53.3805,-1.04201
