Date,ENB Raw Price,OKE Raw Price,ENB Log Price,OKE Log Price,Residual,Spread,Beta
2025-03-19,43.75,98.8051,3.77849,4.59315,0.0718406,55.0551,-1.04201
2025-03-20,44.23,99.3977,3.7894,4.59913,0.0891897,55.1677,-1.04201
2025-03-21,43.87,98.104,3.78123,4.58603,0.0675729,54.234,-1.04201
2025-03-24,44.26,101.027,3.79008,4.61539,0.106157,56.7671,-1.04201
2025-03-25,44.42,101.106,3.79369,4.61617,0.110699,56.6861,-1.04201
2025-03-26,44.52,100,3.79594,4.60517,0.102042,55.4801,-1.04201
2025-03-27,44.36,97.4522,3.79234,4.57936,0.0724811,53.0922,-1.04201
2025-03-28,44.46,97.2547,3.79459,4.57733,0.0727986,52.7947,-1.04201
2025-03-31,44.31,97.9855,3.79121,4.58482,0.0767633,53.6754,-1.04201
2025-04-01,44.57,98.262,3.79706,4.58764,0.0856777,53.692,-1.04201
2025-04-02,45.14,99.1211,3.80977,4.59634,0.107625,53.9811,-1.04201
2025-04-03,45.34,91.5466,3.81419,4.51685,0.0327368,46.2066,-1.04201
2025-04-04,43.35,79.8539,3.76931,4.3802,-0.150681,36.5039,-1.04201
2025-04-07,41.95,79.9033,3.73648,4.38082,-0.18427,37.9533,-1.04201
2025-04-08,41.09,77.7306,3.71576,4.35325,-0.233422,36.6406,-1.04201
2025-04-09,41.77,83.8041,3.73218,4.42848,-0.141086,42.0341,-1.04201
2025-04-10,41.82,80.2292,3.73337,4.38489,-0.183434,38.4092,-1.04201
2025-04-11,43.24,81.5327,3.76677,4.401,-0.132522,38.2927,-1.04201
2025-04-14,44.02,82.3425,3.78464,4.41089,-0.10401,38.3225,-1.04201
2025-04-15,44.28,83.1128,3.79053,4.4202,-0.0885623,38.8328,-1.04201
2025-04-16,44.57,83.7449,3.79706,4.42777,-0.0741844,39.1749,-1.04201
2025-04-17,45.37,85.1571,3.81485,4.4445,-0.0389242,39.7871,-1.04201
2025-04-21,44.99,80.8019,3.80644,4.392,-0.100185,35.8119,-1.04201
2025-04-22,45.64,83.0042,3.82078,4.41889,-0.0583478,37.3642,-1.04201
2025-04-23,45.61,83.6066,3.82013,4.42612,-0.0518016,37.9966,-1.04201
2025-04-24,46.36,85.2065,3.83644,4.44508,-0.0158518,38.8465,-1.04201
2025-04-25,46.19,85.2361,3.83276,4.44542,-0.0193323,39.0461,-1.04201
2025-04-28,46.64,86.7767,3.84246,4.46334,0.00868337,40.1367,-1.04201
2025-04-29,46.64,86.7668,3.84246,4.46322,0.00856951,40.1268,-1.04201
2025-04-30,46.69,81.1377,3.84353,4.39615,-0.0573901,34.4477,-1.04201
2025-05-01,46.48,79.923,3.83902,4.38106,-0.0771713,33.443,-1.04201
2025-05-02,46.86,81.75,3.84716,4.40367,-0.046085,34.89,-1.04201
2025-05-05,46.59,80.15,3.84139,4.3839,-0.0718722,33.56,-1.04201
2025-05-06,46.16,79.29,3.83211,4.37311,-0.092322,33.13,-1.04201
2025-05-07,46.69,80.25,3.84353,4.38515,-0.0683912,33.56,-1.04201
2025-05-08,45.78,82.25,3.82385,4.40976,-0.0642842,36.47,-1.04201
2025-05-09,46.1,82.3,3.83081,4.41037,-0.0564182,36.2,-1.04201
2025-05-12,44.55,85.04,3.79661,4.44312,-0.0593053,40.49,-1.04201
2025-05-13,44.57,86.51,3.79706,4.46026,-0.0416993,41.94,-1.04201
2025-05-14,44.87,86.61,3.80377,4.46142,-0.0335538,41.74,-1.04201
2025-05-15,44.92,86.03,3.80488,4.4547,-0.0391125,41.11,-1.04201
2025-05-16,44.85,85.67,3.80332,4.4505,-0.044931,40.82,-1.04201
2025-05-19,44.94,84.73,3.80533,4.43947,-0.053875,39.79,-1.04201
2025-05-20,45.61,83.71,3.82013,4.42736,-0.0505658,38.1,-1.04201
2025-05-21,45.57,81.83,3.81925,4.40464,-0.0741945,36.26,-1.04201
2025-05-22,45.17,81.37,3.81043,4.39901,-0.0890187,36.2,-1.04201
2025-05-23,46.06,81.14,3.82994,4.39618,-0.0715178,35.08,-1.04201
2025-05-27,46.04,81.74,3.82951,4.40354,-0.0646029,35.7,-1.04201
2025-05-28,45.57,80.59,3.81925,4.38937,-0.089464,35.02,-1.04201
2025-05-29,45.85,80.68,3.82538,4.39049,-0.0819648,34.83,-1.04201
2025-05-30,46.48,80.84,3.83902,4.39247,-0.0657634,34.36,-1.04201
2025-06-02,47.16,82.51,3.85355,4.41292,-0.0301816,35.35,-1.04201
2025-06-03,47.07,83.24,3.85164,4.42173,-0.0233636,36.17,-1.04201
2025-06-04,46.66,80.52,3.84289,4.38851,-0.0657022,33.86,-1.04201
2025-06-05,46.87,81.19,3.84738,4.39679,-0.0527364,34.32,-1.04201
2025-06-06,46.52,81.72,3.83988,4.4033,-0.0540401,35.2,-1.04201
2025-06-09,45.82,81.12,3.82472,4.39593,-0.077208,35.3,-1.04201
2025-06-10,45.85,81.72,3.82538,4.4033,-0.0691568,35.87,-1.04201
2025-06-11,45.87,82.9,3.82581,4.41764,-0.054366,37.03,-1.04201
2025-06-12,46.81,82.65,3.8461,4.41461,-0.0362484,35.84,-1.04201
2025-06-13,46.67,83.75,3.8431,4.42784,-0.0261483,37.08,-1.04201
