Date,SHEL Raw Price,OXY Raw Price,SHEL Log Price,OXY Log Price,Residual,Spread,Beta
2025-01-02,61.7661,49.2819,4.12335,3.89756,0.149612,12.4842,0.82283
2025-01-03,63.1561,49.9745,4.14561,3.91151,0.145256,13.1816,0.82283
2025-01-06,63.3812,50.2317,4.14917,3.91665,0.147462,13.1495,0.82283
2025-01-07,64.5363,51.0034,4.16723,3.93189,0.147848,13.5328,0.82283
2025-01-08,63.3518,50.6472,4.1487,3.92488,0.156082,12.7046,0.82283
2025-01-10,63.5672,50.7561,4.1521,3.92703,0.155436,12.8111,0.82283
2025-01-13,63.5868,52.1214,4.15241,3.95358,0.181728,11.4653,0.82283
2025-01-14,64.5167,51.5278,4.16692,3.94212,0.158327,12.9889,0.82283
2025-01-15,64.9572,52.1412,4.17373,3.95396,0.164562,12.8159,0.82283
2025-01-16,65.0453,51.7455,4.17508,3.94634,0.155828,13.2998,0.82283
2025-01-17,65.3096,51.419,4.17914,3.94001,0.146162,13.8906,0.82283
2025-01-21,65.3585,50.014,4.17989,3.9123,0.117842,15.3445,0.82283
2025-01-22,64.5558,49.6677,4.16753,3.90536,0.121062,14.8881,0.82283
2025-01-23,65.2508,49.8063,4.17824,3.90814,0.115036,15.4446,0.82283
2025-01-24,64.0077,48.7674,4.159,3.88706,0.109785,15.2403,0.82283
2025-01-27,63.763,49.0345,4.15517,3.89252,0.118399,14.7284,0.82283
2025-01-28,63.2148,48.4805,4.14654,3.88116,0.11414,14.7343,0.82283
2025-01-29,63.4106,48.3123,4.14963,3.87769,0.10812,15.0983,0.82283
2025-01-30,65.241,48.4013,4.17809,3.87953,0.0865454,16.8397,0.82283
2025-01-31,64.458,46.1554,4.16601,3.83201,0.0489682,18.3026,0.82283
2025-02-03,63.7923,45.8784,4.15563,3.82599,0.0514892,17.914,0.82283
2025-02-04,65.2215,47.0854,4.17779,3.85196,0.0592287,18.136,0.82283
2025-02-05,65.1236,46.8579,4.17629,3.84712,0.05562,18.2657,0.82283
2025-02-06,64.7614,46.4819,4.17071,3.83906,0.0521527,18.2795,0.82283
2025-02-07,64.4971,46.284,4.16662,3.8348,0.0512514,18.2131,0.82283
2025-02-10,64.732,47.867,4.17026,3.86843,0.0818905,16.865,0.82283
2025-02-11,65.9556,48.0946,4.18898,3.87317,0.0712251,17.861,0.82283
2025-02-12,65.3487,47.3229,4.17974,3.85699,0.0626553,18.0258,0.82283
2025-02-13,65.9458,47.3723,4.18883,3.85804,0.0562159,18.5735,0.82283
2025-02-14,66.4168,47.5504,4.19595,3.86179,0.054113,18.8663,0.82283
2025-02-18,67.0994,48.3222,4.20618,3.87789,0.061798,18.7773,0.82283
2025-02-19,66.8818,50.4494,4.20293,3.92097,0.107552,16.4324,0.82283
2025-02-20,67.6535,51.5377,4.2144,3.94231,0.119455,16.1158,0.82283
2025-02-21,65.9913,49.8854,4.18952,3.90973,0.107338,16.1059,0.82283
2025-02-24,66.1793,49.3313,4.19237,3.89856,0.0938288,16.848,0.82283
2025-02-25,66.1892,48.3716,4.19252,3.87891,0.0740597,17.8176,0.82283
2025-02-26,66.6839,48.0352,4.19996,3.87193,0.0609541,18.6487,0.82283
2025-02-27,66.5553,48.1342,4.19803,3.87399,0.0646003,18.4211,0.82283
2025-02-28,66.7433,48.3222,4.20085,3.87789,0.0661774,18.4211,0.82283
2025-03-03,65.7539,45.9575,4.18592,3.82772,0.0282928,19.7964,0.82283
2025-03-04,65.4966,46.0367,4.182,3.82944,0.033239,19.46,0.82283
2025-03-05,65.3977,45.0275,4.18049,3.80727,0.0123177,20.3702,0.82283
2025-03-06,65.3087,45.2253,4.17912,3.81166,0.0178238,20.0833,0.82283
2025-03-07,66.0804,46.7391,4.19087,3.84458,0.0410818,19.3412,0.82283
2025-03-10,66.0804,47.0971,4.19087,3.85221,0.0487122,18.9832,0.82283
2025-03-11,66.1002,46.0231,4.19117,3.82914,0.0253978,20.077,0.82283
2025-03-12,66.6641,45.8441,4.19967,3.82525,0.0145105,20.82,0.82283
2025-03-13,67.0203,45.1977,4.205,3.81105,-0.00407408,21.8225,0.82283
2025-03-14,68.0393,46.2717,4.22009,3.83453,0.00699313,21.7676,0.82283
2025-03-17,69.3552,46.9977,4.23924,3.8501,0.00679864,22.3575,0.82283
2025-03-18,70.216,47.3855,4.25158,3.85832,0.00486795,22.8304,0.82283
2025-03-19,70.7601,47.6938,4.2593,3.8648,0.00500044,23.0663,0.82283
2025-03-20,71.1855,47.6938,4.26529,3.8648,6.81573e-05,23.4917,0.82283
2025-03-21,70.2555,47.6739,4.25214,3.86438,0.0104719,22.5816,0.82283
2025-03-24,70.5227,47.654,4.25593,3.86397,0.00693192,22.8686,0.82283
2025-03-25,71.2647,48.738,4.2664,3.88646,0.0208108,22.5267,0.82283
2025-03-26,72.2541,49.4739,4.28019,3.90144,0.0244521,22.7802,0.82283
2025-03-27,72.5113,49.2352,4.28374,3.89661,0.016692,23.2761,0.82283
2025-03-28,71.9573,48.559,4.27607,3.88278,0.00917356,23.3983,0.82283
2025-03-31,72.5014,49.086,4.28361,3.89357,0.01377,23.4154,0.82283
2025-04-01,72.2739,48.917,4.28046,3.89012,0.0129066,23.3569,0.82283
2025-04-02,71.9474,49.0562,4.27593,3.89297,0.0194742,22.8912,0.82283
2025-04-03,69.0287,43.6563,4.23452,3.77635,-0.0630685,25.3724,0.82283
2025-04-04,63.4486,40.315,4.15023,3.69672,-0.0733358,23.1336,0.82283
2025-04-07,61.6579,38.5349,4.1216,3.65156,-0.0949368,23.1229,0.82283
2025-04-08,59.1152,35.9096,4.07949,3.581,-0.130846,23.2056,0.82283
2025-04-09,63.2112,40.0067,4.14648,3.68905,-0.0779269,23.2045,0.82283
2025-04-10,59.1449,36.2676,4.07999,3.59092,-0.121339,22.8773,0.82283
2025-04-11,61.4303,37.4609,4.1179,3.6233,-0.120161,23.9694,0.82283
2025-04-14,61.8755,37.6896,4.12512,3.62939,-0.120016,24.1859,0.82283
2025-04-15,62.113,37.5902,4.12895,3.62674,-0.12581,24.5228,0.82283
2025-04-16,63.3497,38.2366,4.14867,3.64379,-0.124982,25.1131,0.82283
2025-04-17,64.349,39.4896,4.16432,3.67604,-0.105616,24.8594,0.82283
