Date,XOM Raw Price,BP Raw Price,XOM Log Price,BP Log Price,Residual,Spread,Beta
2025-03-14,110.879,32.8577,4.70844,3.49219,0.0287187,78.0211,1.56554
2025-03-17,112.722,33.2218,4.72492,3.50321,0.0139302,79.5,1.56554
2025-03-18,112.603,33.6745,4.72387,3.51674,0.0291163,78.9284,1.56554
2025-03-19,114.357,34.0583,4.73932,3.52807,0.0162524,80.2985,1.56554
2025-03-20,114.842,34.196,4.74356,3.53211,0.0136565,80.6463,1.56554
2025-03-21,114.446,33.9992,4.7401,3.52634,0.013297,80.4467,1.56554
2025-03-24,114.743,33.5662,4.7427,3.51352,-0.00358097,81.177,1.56554
2025-03-25,115.526,33.7434,4.7495,3.51878,-0.0089617,81.7826,1.56554
2025-03-26,117.191,33.8713,4.7638,3.52257,-0.0275755,83.3194,1.56554
2025-03-27,116.814,33.8615,4.76058,3.52228,-0.0228278,82.9527,1.56554
2025-03-28,116.656,33.3202,4.75923,3.50616,-0.0368145,83.3354,1.56554
2025-03-31,117.845,33.2513,4.76937,3.50409,-0.0547604,84.5933,1.56554
2025-04-01,117.954,33.271,4.77029,3.50469,-0.055616,84.6826,1.56554
2025-04-02,117.587,33.271,4.76718,3.50469,-0.0507424,84.316,1.56554
2025-04-03,111.404,30.8404,4.71316,3.42883,-0.0420401,80.5636,1.56554
2025-04-04,103.388,27.9276,4.63849,3.32961,-0.0243423,75.4602,1.56554
2025-04-07,102.001,26.7369,4.62498,3.28604,-0.0467654,75.2637,1.56554
2025-04-08,99.8504,25.6938,4.60367,3.24625,-0.0532056,74.1566,1.56554
2025-04-09,104.834,27.4552,4.65238,3.31256,-0.0631546,77.3792,1.56554
2025-04-10,99.018,25.8119,4.5953,3.25083,-0.0355156,73.2062,1.56554
2025-04-11,102.199,26.1661,4.62692,3.26447,-0.0713823,76.0326,1.56554
2025-04-14,102.446,26.481,4.62934,3.27643,-0.0632097,75.9654,1.56554
2025-04-15,102.159,26.7762,4.62653,3.28751,-0.0477257,75.3829,1.56554
2025-04-16,103.239,27.2191,4.63705,3.30392,-0.0477874,76.0201,1.56554
2025-04-17,105.944,27.8685,4.66291,3.3275,-0.0646987,78.0757,1.56554
2025-04-21,104.389,27.6324,4.64812,3.31899,-0.0500507,76.7562,1.56554
2025-04-22,107.312,28.4098,4.67574,3.34673,-0.065541,78.9019,1.56554
2025-04-23,106.39,28.1441,4.66711,3.33734,-0.0614354,78.2461,1.56554
2025-04-24,107.639,28.5377,4.67878,3.35123,-0.0658111,79.1009,1.56554
2025-04-25,107.579,28.7247,4.67823,3.35776,-0.0584159,78.8545,1.56554
2025-04-28,107.639,28.6656,4.67878,3.3557,-0.0613384,78.973,1.56554
2025-04-29,107.371,27.6225,4.67629,3.31863,-0.0945096,79.7486,1.56554
2025-04-30,104.666,27.0222,4.65077,3.29666,-0.0765334,77.6438,1.56554
2025-05-01,104.815,27.4355,4.65219,3.31184,-0.0635757,77.3791,1.56554
2025-05-02,105.241,27.6717,4.65625,3.32041,-0.0613553,77.569,1.56554
2025-05-05,102.328,28.7148,4.62818,3.35741,0.019594,73.6127,1.56554
2025-05-06,103.754,27.9473,4.64203,3.33032,-0.0291795,75.8071,1.56554
2025-05-07,103.655,27.6816,4.64107,3.32077,-0.0372363,75.9738,1.56554
2025-05-08,105.102,28.1342,4.65493,3.33699,-0.0427143,76.9678,1.56554
2025-05-09,106.331,29.2954,4.66655,3.37743,-0.0204658,77.0353,1.56554
2025-05-12,108.164,29.7087,4.68365,3.39144,-0.0332159,78.4551,1.56554
2025-05-13,108.461,30.0728,4.68639,3.40362,-0.0253313,78.3882,1.56554
2025-05-14,107.49,29.876,4.6774,3.39706,-0.0178178,77.614,1.56554
2025-05-15,108.58,29.63,4.68749,3.38879,-0.0418818,78.95,1.56554
2025-05-16,108.19,29.76,4.68389,3.39317,-0.0318707,78.43,1.56554
2025-05-19,106.47,29.4,4.66786,3.38099,-0.0189524,77.07,1.56554
2025-05-20,104.95,29.2,4.65348,3.37417,-0.003267,75.75,1.56554
2025-05-21,103.66,28.88,4.64112,3.36315,0.00507564,74.78,1.56554
2025-05-22,102.97,28.94,4.63444,3.36522,0.0176068,74.03,1.56554
2025-05-23,103.03,29.09,4.63502,3.37039,0.0218646,73.94,1.56554
2025-05-27,103.52,29.15,4.63976,3.37245,0.0164972,74.37,1.56554
2025-05-28,102.11,28.94,4.62605,3.36522,0.030737,73.17,1.56554
2025-05-29,102.69,29.17,4.63171,3.37314,0.0297857,73.52,1.56554
2025-05-30,102.3,29.1,4.62791,3.37074,0.0333401,73.2,1.56554
2025-06-02,103.05,29.58,4.63521,3.3871,0.0382647,73.47,1.56554
2025-06-03,103.8,29.56,4.64247,3.38642,0.0262355,74.24,1.56554
2025-06-04,102.3,28.92,4.62791,3.36453,0.0271353,73.38,1.56554
2025-06-05,101.83,29.05,4.6233,3.36902,0.0388296,72.78,1.56554
2025-06-06,104.27,29.29,4.64698,3.37725,0.00998704,74.98,1.56554
2025-06-09,104.97,29.46,4.65367,3.38303,0.00529927,75.51,1.56554
2025-06-10,107.22,30.23,4.67488,3.40883,-0.00210163,76.99,1.56554
2025-06-11,109.31,30.81,4.69419,3.42784,-0.01332,78.5,1.56554
2025-06-12,109.73,30.92,4.69802,3.4314,-0.0157599,78.81,1.56554
2025-06-13,112.12,31.72,4.71957,3.45695,-0.0239483,80.4,1.56554
