Date,XOM Raw Price,BP Raw Price,XOM Log Price,BP Log Price,Residual,Spread,Beta
2025-01-02,105.388,29.0449,4.65765,3.36884,-0.0151143,76.3431,1.56554
2025-01-03,105.928,29.5689,4.66276,3.38672,-0.00523655,76.3593,1.56554
2025-01-06,105.81,30.1026,4.66165,3.40461,0.0143959,75.7077,1.56554
2025-01-07,106.802,30.8887,4.67098,3.43039,0.0255651,75.9135,1.56554
2025-01-08,105.015,30.1997,4.6541,3.40783,0.0294287,74.8151,1.56554
2025-01-10,104.632,30.3646,4.65045,3.41328,0.0405969,74.2672,1.56554
2025-01-13,107.333,30.2967,4.67593,3.41104,-0.00153969,77.0358,1.56554
2025-01-14,107.755,30.1706,4.67986,3.40687,-0.01186,77.5843,1.56554
2025-01-15,109.513,30.3743,4.69604,3.4136,-0.0304626,79.1384,1.56554
2025-01-16,109.326,30.8402,4.69434,3.42882,-0.0125736,78.486,1.56554
2025-01-17,110.308,30.7528,4.70328,3.42598,-0.0294102,79.5555,1.56554
2025-01-21,109.474,30.5878,4.69568,3.4206,-0.0228967,78.8857,1.56554
2025-01-22,107.568,30.2094,4.67813,3.40815,-0.00786065,77.3589,1.56554
2025-01-23,108.177,30.5587,4.68377,3.41965,-0.00519952,77.6184,1.56554
2025-01-24,106.714,30.5199,4.67015,3.41838,0.0148511,76.1939,1.56554
2025-01-27,108.197,30.5199,4.68395,3.41838,-0.00675473,77.6769,1.56554
2025-01-28,106.105,30.2385,4.66443,3.40912,0.0145457,75.8664,1.56554
2025-01-29,106.724,30.2094,4.67024,3.40815,0.00447996,76.5143,1.56554
2025-01-30,107.608,30.6752,4.67849,3.42345,0.00686917,76.9324,1.56554
2025-01-31,104.917,30.1414,4.65317,3.4059,0.0289635,74.7752,1.56554
2025-02-03,105.172,29.9571,4.6556,3.39977,0.0190221,75.2149,1.56554
2025-02-04,107.991,30.7043,4.68204,3.4244,0.00225537,77.2863,1.56554
2025-02-05,107.912,30.7334,4.68132,3.42535,0.00434253,77.1786,1.56554
2025-02-06,106.488,31.0148,4.66803,3.43447,0.0342546,75.4731,1.56554
2025-02-07,106.94,31.3157,4.67227,3.44412,0.0372799,75.6241,1.56554
2025-02-10,108.982,33.4021,4.69119,3.50862,0.0721568,75.5804,1.56554
2025-02-11,109.67,33.5282,4.69748,3.51239,0.0660822,76.1417,1.56554
2025-02-12,106.37,33.6544,4.66693,3.51614,0.117663,72.7159,1.56554
2025-02-13,107.143,33.47,4.67417,3.51065,0.100835,73.6732,1.56554
2025-02-14,107.252,33.9649,4.67518,3.52533,0.113922,73.2873,1.56554
2025-02-18,109.135,34.2658,4.69258,3.53415,0.0954978,74.8691,1.56554
2025-02-19,109.293,33.5185,4.69404,3.5121,0.071177,75.7749,1.56554
2025-02-20,110.978,33.6253,4.70933,3.51528,0.0504119,77.3526,1.56554
2025-02-21,109.68,33.3497,4.69757,3.50705,0.0606028,76.3301,1.56554
2025-02-24,110.255,33.2021,4.70279,3.50261,0.0479853,77.0524,1.56554
2025-02-25,108.729,32.7003,4.68885,3.48738,0.0545729,76.0283,1.56554
2025-02-26,108.461,32.159,4.68639,3.47069,0.0417401,76.302,1.56554
2025-02-27,109.145,32.592,4.69268,3.48407,0.0452763,76.5527,1.56554
2025-02-28,110.314,32.592,4.70333,3.48407,0.0285945,77.722,1.56554
2025-03-03,106.777,31.3029,4.67074,3.44371,0.0392623,75.4737,1.56554
2025-03-04,106.559,30.9388,4.66869,3.43201,0.030762,75.6198,1.56554
2025-03-05,104.478,31.3718,4.64897,3.44591,0.0755336,73.106,1.56554
2025-03-06,106.638,31.2045,4.66944,3.44056,0.0381489,75.4334,1.56554
2025-03-07,108.025,31.5588,4.68236,3.45185,0.0292036,76.4663,1.56554
2025-03-10,110.78,31.6965,4.70754,3.45621,-0.00586121,79.0832,1.56554
2025-03-11,108.164,31.4702,4.68365,3.44904,0.024384,76.6936,1.56554
2025-03-12,108.134,31.6867,4.68337,3.4559,0.0316702,76.4474,1.56554
2025-03-13,107.678,31.854,4.67915,3.46116,0.0435488,75.8243,1.56554
