Date,MPC Raw Price,OKE Raw Price,MPC Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,139.888,99.4384,4.94084,4.59954,0.0990913,40.4495,0.152249
2025-01-03,141.124,100.542,4.94964,4.61058,0.108794,40.5812,0.152249
2025-01-06,138.939,99.2918,4.93403,4.59806,0.0986528,39.6469,0.152249
2025-01-07,140.056,99.282,4.94204,4.59796,0.097335,40.7739,0.152249
2025-01-08,140.718,100.494,4.94676,4.61009,0.108746,40.2247,0.152249
2025-01-10,140.659,99.4188,4.94634,4.59934,0.0980577,41.2402,0.152249
2025-01-13,145.088,101.598,4.97734,4.62102,0.115017,43.4905,0.152249
2025-01-14,147.728,103.611,4.99537,4.64064,0.13189,44.1175,0.152249
2025-01-15,150.229,104.431,5.01216,4.64853,0.137224,45.7981,0.152249
2025-01-16,149.982,106.171,5.01052,4.66505,0.153992,43.8117,0.152249
2025-01-17,150.971,106.464,5.01709,4.6678,0.155748,44.5072,0.152249
2025-01-21,149.112,107.333,5.0047,4.67594,0.165769,41.7789,0.152249
2025-01-22,145.939,103.865,4.98319,4.64309,0.136194,42.0739,0.152249
2025-01-23,152.563,102.487,5.02758,4.62973,0.116083,50.0758,0.152249
2025-01-24,149.893,102.135,5.00992,4.6263,0.115332,47.7581,0.152249
2025-01-27,150.872,98.1486,5.01643,4.58648,0.0745274,52.7234,0.152249
2025-01-28,148.934,98.2952,5.0035,4.58798,0.0779877,50.639,0.152249
2025-01-29,149.676,98.0802,5.00847,4.58579,0.0750423,51.5955,0.152249
2025-01-30,148.262,97.5819,4.99898,4.58069,0.0713936,50.68,0.152249
2025-01-31,144.06,94.9438,4.97023,4.55328,0.0483635,49.1163,0.152249
2025-02-03,145.335,96.4152,4.97904,4.56866,0.0624009,48.9202,0.152249
2025-02-04,155.133,95.8128,5.04428,4.5624,0.0462005,59.3204,0.152249
2025-02-05,155.529,96.6917,5.04683,4.57153,0.0549445,58.8369,0.152249
2025-02-06,150.21,94.6278,5.01203,4.54995,0.0386653,55.5818,0.152249
2025-02-07,148.42,94.6179,5.00005,4.54985,0.0403855,53.8022,0.152249
2025-02-10,152.039,97.462,5.02413,4.57946,0.0663348,54.5766,0.152249
2025-02-11,153.541,97.6991,5.03397,4.58189,0.0672662,55.8424,0.152249
2025-02-12,147.52,96.4054,4.99397,4.56856,0.0600266,51.1151,0.152249
2025-02-13,152.345,97.7386,5.02615,4.5823,0.0688613,54.6066,0.152249
2025-02-14,154.293,96.6325,5.03885,4.57092,0.0555461,57.6604,0.152249
2025-02-18,157.229,97.4127,5.0577,4.57896,0.060717,59.8165,0.152249
2025-02-19,155.758,97.9657,5.0483,4.58462,0.0678099,57.7918,0.152249
2025-02-20,157.378,97.4028,5.05865,4.57885,0.0604712,59.9756,0.152249
2025-02-21,152.874,96.8794,5.02961,4.57347,0.0595043,55.9945,0.152249
2025-02-24,151.84,96.8991,5.02283,4.57367,0.0607417,54.9406,0.152249
2025-02-25,149.742,94.5784,5.00891,4.54943,0.0386183,55.1633,0.152249
2025-02-26,145.476,94.5685,4.98001,4.54932,0.0429141,50.9073,0.152249
2025-02-27,147.146,95.4375,4.99143,4.55847,0.0503234,51.7088,0.152249
2025-02-28,149.334,99.1409,5.00618,4.59654,0.0861465,50.193,0.152249
2025-03-03,144.999,95.5561,4.97672,4.55971,0.0538032,49.4424,0.152249
2025-03-04,141.817,92.623,4.95453,4.52854,0.0260059,49.1935,0.152249
2025-03-05,134.359,90.7269,4.90051,4.50785,0.0135468,43.6319,0.152249
2025-03-06,136.785,88.6234,4.91841,4.4844,-0.012636,48.1616,0.152249
2025-03-07,136.775,88.4555,4.91834,4.4825,-0.014521,48.3196,0.152249
2025-03-10,135.492,90.2825,4.90892,4.50294,0.00735734,45.2099,0.152249
2025-03-11,133.961,91.4676,4.89755,4.51598,0.0221287,42.4935,0.152249
2025-03-12,136.348,91.8132,4.91521,4.51976,0.0232121,44.5343,0.152249
2025-03-13,136.248,92.3366,4.91448,4.52544,0.0290077,43.9115,0.152249
2025-03-14,140.355,95.2302,4.94417,4.5563,0.0553425,45.1246,0.152249
2025-03-17,145.337,97.2152,4.97905,4.57693,0.0706621,48.1214,0.152249
2025-03-18,145.177,96.7905,4.97796,4.57255,0.0664511,48.387,0.152249
2025-03-19,148.727,98.8051,5.00212,4.59315,0.0833737,49.9223,0.152249
2025-03-20,151.094,99.3977,5.0179,4.59913,0.0869492,51.6963,0.152249
2025-03-21,149.115,98.104,5.00472,4.58603,0.0758554,51.0112,0.152249
2025-03-24,147.842,101.027,4.99615,4.61539,0.106522,46.8153,0.152249
2025-03-25,148.25,101.106,4.9989,4.61617,0.106884,47.144,0.152249
2025-03-26,148.966,100,5.00372,4.60517,0.095151,48.966,0.152249
2025-03-27,146.52,97.4522,4.98716,4.57936,0.0718626,49.0677,0.152249
2025-03-28,143.288,97.2547,4.96486,4.57733,0.0732294,46.0335,0.152249
2025-03-31,144.869,97.9855,4.97583,4.58482,0.0790449,46.8838,0.152249
2025-04-01,145.804,98.262,4.98226,4.58764,0.0808837,47.542,0.152249
2025-04-02,147.067,99.1211,4.99089,4.59634,0.0882765,47.9456,0.152249
2025-04-03,127.866,91.5466,4.85098,4.51685,0.0300822,36.319,0.152249
2025-04-04,120.388,79.8539,4.79072,4.3802,-0.0973925,40.534,0.152249
2025-04-07,120.975,79.9033,4.79558,4.38082,-0.0975144,41.0713,0.152249
2025-04-08,117.882,77.7306,4.76969,4.35325,-0.121139,40.1515,0.152249
2025-04-09,130.68,83.8041,4.87275,4.42848,-0.0615977,46.8755,0.152249
2025-04-10,120.845,80.2292,4.79451,4.38489,-0.0932814,40.6162,0.152249
2025-04-11,122.735,81.5327,4.81002,4.401,-0.0795257,41.2019,0.152249
2025-04-14,124.147,82.3425,4.82146,4.41089,-0.071384,41.8041,0.152249
2025-04-15,121.541,83.1128,4.80025,4.4202,-0.0588437,38.4286,0.152249
2025-04-16,123.371,83.7449,4.8152,4.42777,-0.0535427,39.6262,0.152249
2025-04-17,127,85.1571,4.84419,4.4445,-0.0412345,41.8434,0.152249
2025-04-21,126.006,80.8019,4.83633,4.392,-0.0925342,45.2042,0.152249
2025-04-22,130.65,83.0042,4.87252,4.41889,-0.0711539,47.6456,0.152249
2025-04-23,133.543,83.6066,4.89443,4.42612,-0.0672577,49.9368,0.152249
2025-04-24,136.765,85.2065,4.91827,4.44508,-0.0519326,51.5587,0.152249
2025-04-25,136.666,85.2361,4.91754,4.44542,-0.0514742,51.4296,0.152249
2025-04-28,136.805,86.7767,4.91856,4.46334,-0.0337162,50.0282,0.152249
2025-04-29,137.531,86.7668,4.92385,4.46322,-0.0346358,50.764,0.152249
