Date,MPC Raw Price,OKE Raw Price,MPC Log Price,OKE Log Price,Residual,Spread,Beta
2025-04-30,136.636,81.1377,4.91732,4.39615,-0.100718,55.4982,0.152249
2025-05-01,136.944,79.923,4.91957,4.38106,-0.116145,57.0211,0.152249
2025-05-02,140.753,81.75,4.947,4.40367,-0.0977193,59.0026,0.152249
2025-05-05,142.523,80.15,4.9595,4.3839,-0.119388,62.3725,0.152249
2025-05-06,143.736,79.29,4.96798,4.37311,-0.131466,64.4457,0.152249
2025-05-07,143.875,80.25,4.96894,4.38515,-0.119579,63.6249,0.152249
2025-05-08,149.125,82.25,5.00479,4.40976,-0.100419,66.8751,0.152249
2025-05-09,150.04,82.3,5.0109,4.41037,-0.100742,67.7399,0.152249
2025-05-12,157.249,85.04,5.05783,4.44312,-0.0751367,72.2091,0.152249
2025-05-13,161.923,86.51,5.08712,4.46026,-0.0624574,75.4126,0.152249
2025-05-14,162.599,86.61,5.09129,4.46142,-0.0619366,75.9888,0.152249
2025-05-15,164.359,86.03,5.10205,4.4547,-0.070295,78.3288,0.152249
2025-05-16,163.195,85.67,5.09495,4.4505,-0.0734068,77.5254,0.152249
2025-05-19,161.356,84.73,5.08361,4.43947,-0.0827138,76.6258,0.152249
2025-05-20,160.62,83.71,5.07904,4.42736,-0.0941293,76.91,0.152249
2025-05-21,156.7,81.83,5.05433,4.40464,-0.113082,74.87,0.152249
2025-05-22,158.89,81.37,5.06821,4.39901,-0.120832,77.52,0.152249
2025-05-23,159.11,81.14,5.0696,4.39618,-0.123874,77.97,0.152249
2025-05-27,162.33,81.74,5.08963,4.40354,-0.119557,80.59,0.152249
2025-05-28,158.61,80.59,5.06645,4.38937,-0.130196,78.02,0.152249
2025-05-29,159.92,80.68,5.07467,4.39049,-0.130332,79.24,0.152249
2025-05-30,160.74,80.84,5.07979,4.39247,-0.12913,79.9,0.152249
2025-06-02,158.75,82.51,5.06733,4.41292,-0.106785,76.24,0.152249
2025-06-03,161.97,83.24,5.08741,4.42173,-0.101034,78.73,0.152249
2025-06-04,156.95,80.52,5.05593,4.38851,-0.129463,76.43,0.152249
2025-06-05,158.21,81.19,5.06392,4.39679,-0.122394,77.02,0.152249
2025-06-06,160.12,81.72,5.07592,4.4033,-0.117714,78.4,0.152249
2025-06-09,160.27,81.12,5.07686,4.39593,-0.125226,79.15,0.152249
2025-06-10,162.64,81.72,5.09154,4.4033,-0.120092,80.92,0.152249
2025-06-11,164.66,82.9,5.10388,4.41764,-0.107635,81.76,0.152249
2025-06-12,165.07,82.65,5.10637,4.41461,-0.111034,82.42,0.152249
2025-06-13,166.15,83.75,5.11289,4.42784,-0.0988051,82.4,0.152249
