Date,COP Raw Price,VLO Raw Price,COP Log Price,VLO Log Price,Residual,Spread,Beta
2025-01-02,98.4366,121.125,4.58941,4.79682,-0.0766528,22.6881,0.731274
2025-01-03,99.4301,122.216,4.59945,4.80579,-0.0750227,22.7864,0.731274
2025-01-06,98.3481,120.112,4.58851,4.78842,-0.0843938,21.7636,0.731274
2025-01-07,100.001,121.951,4.60518,4.80362,-0.0813817,21.9504,0.731274
2025-01-08,99.9514,123.131,4.60468,4.81325,-0.0713903,23.1798,0.731274
2025-01-10,100.246,125.059,4.60763,4.82879,-0.0580109,24.8125,0.731274
2025-01-13,102.519,131.157,4.63004,4.8764,-0.0267904,28.6385,0.731274
2025-01-14,103.158,131.855,4.63626,4.88171,-0.0260265,28.6975,0.731274
2025-01-15,103.748,135.642,4.64196,4.91002,-0.0018841,31.894,0.731274
2025-01-16,103.876,137.078,4.6432,4.92055,0.00774602,33.2021,0.731274
2025-01-17,104.112,138.73,4.64547,4.93253,0.0180684,34.6185,0.731274
2025-01-21,102.568,137.235,4.63052,4.9217,0.0181613,34.6677,0.731274
2025-01-22,101.368,132.859,4.61875,4.88928,-0.00564543,31.4908,0.731274
2025-01-23,102.282,138.396,4.62774,4.93012,0.0286191,36.1135,0.731274
2025-01-24,100.158,137.334,4.60675,4.92241,0.0362637,37.1758,0.731274
2025-01-27,101.004,138.986,4.61516,4.93437,0.0420735,37.9823,0.731274
2025-01-28,99.7153,135.858,4.60232,4.91161,0.0287015,36.1431,0.731274
2025-01-29,99.8923,137.186,4.60409,4.92134,0.0371302,37.2938,0.731274
2025-01-30,99.794,134.281,4.60311,4.89993,0.016445,34.4868,0.731274
2025-01-31,97.2072,131.881,4.57684,4.8819,0.0176189,34.674,0.731274
2025-02-03,96.8629,135.034,4.5733,4.90553,0.0438415,38.1715,0.731274
2025-02-04,98.9284,141.787,4.5944,4.95433,0.0772089,42.8587,0.731274
2025-02-05,98.5645,139.358,4.59071,4.93704,0.0626214,40.7933,0.731274
2025-02-06,98.2989,133.16,4.58801,4.89155,0.0191038,34.8614,0.731274
2025-02-07,96.7449,131.961,4.57208,4.8825,0.0217062,35.2156,0.731274
2025-02-10,97.8465,135.659,4.5834,4.91015,0.0410689,37.8126,0.731274
2025-02-11,100.04,135.738,4.60557,4.91073,0.025442,35.6986,0.731274
2025-02-12,96.7842,129.809,4.57248,4.86606,0.00496853,33.0246,0.731274
2025-02-13,95.3089,129.888,4.55712,4.86667,0.0168128,34.5792,0.731274
2025-02-14,95.4477,134.172,4.55858,4.89912,0.0481958,38.7241,0.731274
2025-02-18,96.6276,137.028,4.57086,4.92018,0.0602721,40.3999,0.731274
2025-02-19,98.7297,135.996,4.59239,4.91263,0.0369796,37.2665,0.731274
2025-02-20,101.139,137.97,4.6165,4.92703,0.0337527,36.8303,0.731274
2025-02-21,97.1135,133.607,4.57588,4.8949,0.0313217,36.493,0.731274
2025-02-24,97.9861,133.924,4.58483,4.89727,0.0271526,35.9378,0.731274
2025-02-25,96.2608,132.536,4.56706,4.88685,0.0297236,36.2749,0.731274
2025-02-26,95.3188,129.065,4.55723,4.86032,0.0103801,33.7463,0.731274
2025-02-27,96.5483,128.54,4.57004,4.85624,-0.00307273,31.9912,0.731274
2025-02-28,98.3133,129.63,4.58816,4.86469,-0.00787039,31.317,0.731274
2025-03-03,91.8483,127.32,4.52014,4.8467,0.0238877,35.4716,0.731274
2025-03-04,89.8751,126.537,4.49842,4.84053,0.0335975,36.6614,0.731274
2025-03-05,88.13,120.736,4.47881,4.7936,0.00100994,32.6058,0.731274
2025-03-06,87.8523,124.94,4.47566,4.82783,0.0375473,37.0878,0.731274
2025-03-07,89.8652,125.783,4.49831,4.83456,0.0277048,35.9177,0.731274
2025-03-10,92.116,125.733,4.52305,4.83416,0.00922001,33.6173,0.731274
2025-03-11,94.6049,121.995,4.54971,4.80398,-0.0404585,27.3902,0.731274
2025-03-12,96.9251,124.127,4.57394,4.8213,-0.0408526,27.2019,0.731274
2025-03-13,95.3783,124.742,4.55785,4.82625,-0.0241473,29.3635,0.731274
2025-03-14,98.115,128.054,4.58614,4.85245,-0.0186307,29.9387,0.731274
2025-03-17,98.5215,131.832,4.59028,4.88153,0.00742138,33.3101,0.731274
2025-03-18,99.6816,130.919,4.60198,4.87458,-0.00808323,31.2377,0.731274
2025-03-19,100.475,132.714,4.60991,4.8882,-0.00026377,32.2392,0.731274
2025-03-20,101.447,133.696,4.61953,4.89557,6.76177e-05,32.2492,0.731274
2025-03-21,101.06,130.404,4.61571,4.87064,-0.0220714,29.3438,0.731274
2025-03-24,101.328,130.84,4.61836,4.87398,-0.0206659,29.5124,0.731274
2025-03-25,101.685,130.89,4.62188,4.87435,-0.0228587,29.205,0.731274
2025-03-26,102.329,133.388,4.62819,4.89327,-0.00856804,31.0593,0.731274
2025-03-27,101.952,132.109,4.62451,4.88363,-0.0155064,30.1569,0.731274
2025-03-28,101.506,130.374,4.62012,4.87041,-0.0255212,28.8678,0.731274
2025-03-31,104.134,130.959,4.64568,4.87488,-0.039733,26.8253,0.731274
2025-04-01,104.501,132.615,4.64919,4.88745,-0.0297393,28.1143,0.731274
2025-04-02,105.205,132.496,4.65591,4.88655,-0.035547,27.2913,0.731274
2025-04-03,94.4462,113.329,4.54803,4.73029,-0.11292,18.8824,0.731274
2025-04-04,85.5618,103.809,4.44924,4.64256,-0.128412,18.2475,0.731274
2025-04-07,84.947,105.773,4.44203,4.66129,-0.104403,20.8256,0.731274
2025-04-08,81.9624,104.295,4.40626,4.64723,-0.0923139,22.3328,0.731274
2025-04-09,90.7378,114.925,4.50797,4.74428,-0.069639,24.1873,0.731274
2025-04-10,82.5871,108.093,4.41385,4.68299,-0.0620998,25.5059,0.731274
2025-04-11,85.661,109.769,4.4504,4.69838,-0.0734389,24.1078,0.731274
2025-04-14,85.7205,109.402,4.45109,4.69503,-0.0772945,23.6814,0.731274
2025-04-15,84.9966,106.645,4.44261,4.66951,-0.0966133,21.6487,0.731274
2025-04-16,85.6312,106.229,4.45005,4.6656,-0.105966,20.5976,0.731274
2025-04-17,88.2291,109.134,4.47994,4.69258,-0.100839,20.905,0.731274
2025-04-21,86.8112,107.924,4.46374,4.68143,-0.100138,21.1132,0.731274
2025-04-22,89.0025,111.514,4.48866,4.71415,-0.0856492,22.5114,0.731274
2025-04-23,89.1711,113.537,4.49056,4.73213,-0.0690556,24.3657,0.731274
2025-04-24,91.0253,112.406,4.51114,4.72212,-0.094112,21.3811,0.731274
2025-04-25,90.946,112.912,4.51027,4.72661,-0.0889855,21.9661,0.731274
2025-04-28,92.1458,113.785,4.52337,4.73431,-0.0908713,21.6389,0.731274
2025-04-29,91.1046,114.548,4.51201,4.741,-0.0758739,23.4436,0.731274
2025-04-30,88.3679,115.113,4.48151,4.74592,-0.0486483,26.7455,0.731274
2025-05-01,89.885,113.914,4.49853,4.73544,-0.0715738,24.0286,0.731274
2025-05-02,90.6386,117.93,4.50688,4.77009,-0.0430321,27.2909,0.731274
2025-05-05,86.8707,118.336,4.46442,4.77353,-0.00854101,31.4654,0.731274
2025-05-06,86.8905,116.016,4.46465,4.75373,-0.0285104,29.1253,0.731274
2025-05-07,86.9698,115.966,4.46556,4.7533,-0.0296053,28.9964,0.731274
2025-05-08,88.0705,120.706,4.47814,4.79336,0.00125729,32.6355,0.731274
2025-05-09,87.8424,121.896,4.47554,4.80317,0.012963,34.0535,0.731274
2025-05-12,91.4913,129.392,4.51624,4.86285,0.0428816,37.901,0.731274
2025-05-13,93.3753,133.973,4.53663,4.89764,0.062769,40.5981,0.731274
2025-05-14,91.7888,133.19,4.51949,4.89178,0.0694363,41.4013,0.731274
2025-05-15,92.1755,134.231,4.52369,4.89956,0.0741485,42.0557,0.731274
2025-05-16,91.65,134.598,4.51798,4.90229,0.0810593,42.9481,0.731274
2025-05-19,90.41,133.2,4.50435,4.89185,0.0805789,42.79,0.731274
