Date,COP Raw Price,VLO Raw Price,COP Log Price,VLO Log Price,Residual,Spread,Beta
2025-05-20,89.69,132.21,4.49636,4.88439,0.0789658,42.52,0.731274
2025-05-21,87.15,127.8,4.46763,4.85047,0.0660492,40.65,0.731274
2025-05-22,86.13,128.72,4.45586,4.85764,0.0818314,42.59,0.731274
2025-05-23,85.19,128.55,4.44488,4.85632,0.0885346,43.36,0.731274
2025-05-27,85.55,130.71,4.4491,4.87298,0.102114,45.16,0.731274
2025-05-28,84.58,126.93,4.4377,4.84364,0.0811075,42.35,0.731274
2025-05-29,85.6,129.16,4.44969,4.86105,0.0897577,43.56,0.731274
2025-05-30,85.35,128.97,4.44676,4.85958,0.0904244,43.62,0.731274
2025-06-02,86.72,128.3,4.46268,4.85437,0.073571,41.58,0.731274
2025-06-03,87.91,130.95,4.47631,4.87482,0.0840486,43.04,0.731274
2025-06-04,85.95,126.54,4.45377,4.84056,0.0662803,40.59,0.731274
2025-06-05,85.35,126.88,4.44676,4.84324,0.0740863,41.53,0.731274
2025-06-06,87.22,128.35,4.46843,4.85476,0.0697564,41.13,0.731274
2025-06-09,88.04,128.26,4.47779,4.85406,0.0622119,40.22,0.731274
2025-06-10,91.18,131.93,4.51284,4.88227,0.0647969,40.75,0.731274
2025-06-11,93.35,134.06,4.53636,4.89829,0.0636132,40.71,0.731274
2025-06-12,94.69,133.5,4.55061,4.8941,0.0490047,38.81,0.731274
2025-06-13,96.96,134.11,4.5743,4.89866,0.0362396,37.15,0.731274
