Date,CVX Raw Price,OKE Raw Price,CVX Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,143.354,99.4384,4.96532,4.59954,0.119364,43.9161,1.17931
2025-01-03,144.468,100.542,4.97306,4.61058,0.121278,43.9259,1.17931
2025-01-06,143.892,99.2918,4.96906,4.59806,0.113476,44.6001,1.17931
2025-01-07,146.169,99.282,4.98476,4.59796,0.094864,46.8866,1.17931
2025-01-08,146.862,100.494,4.9895,4.61009,0.10141,46.3687,1.17931
2025-01-10,149.637,99.4188,5.00822,4.59934,0.0685809,50.2186,1.17931
2025-01-13,151.797,101.598,5.02254,4.62102,0.0733634,50.1991,1.17931
2025-01-14,153.311,103.611,5.03247,4.64064,0.081273,49.7009,1.17931
2025-01-15,154.709,104.431,5.04154,4.64853,0.0784635,50.2774,1.17931
2025-01-16,155.735,106.171,5.04815,4.66505,0.0871856,49.5642,1.17931
2025-01-17,157.777,106.464,5.06118,4.6678,0.0745785,51.3133,1.17931
2025-01-21,154.621,107.333,5.04098,4.67594,0.106543,47.2875,1.17931
2025-01-22,152.833,103.865,5.02934,4.64309,0.0874107,48.968,1.17931
2025-01-23,152.442,102.487,5.02678,4.62973,0.0770774,49.9549,1.17931
2025-01-24,152.09,102.135,5.02447,4.6263,0.0763637,49.9549,1.17931
2025-01-27,153.634,98.1486,5.03457,4.58648,0.0246388,55.4853,1.17931
2025-01-28,152.637,98.2952,5.02806,4.58798,0.0338065,54.342,1.17931
2025-01-29,152.129,98.0802,5.02473,4.58579,0.0355495,54.0489,1.17931
2025-01-30,152.745,97.5819,5.02877,4.58069,0.0256935,55.1628,1.17931
2025-01-31,145.778,94.9438,4.98208,4.55328,0.0533417,50.834,1.17931
2025-02-03,145.924,96.4152,4.98309,4.56866,0.067536,49.5091,1.17931
2025-02-04,149.716,95.8128,5.00874,4.5624,0.0310199,53.9028,1.17931
2025-02-05,149.491,96.6917,5.00724,4.57153,0.041923,52.7991,1.17931
2025-02-06,148.426,94.6278,5.00009,4.54995,0.0287781,53.798,1.17931
2025-02-07,149.129,94.6179,5.00481,4.54985,0.0230971,54.5114,1.17931
2025-02-10,152.207,97.462,5.02524,4.57946,0.028621,54.7452,1.17931
2025-02-11,153.839,97.6991,5.03591,4.58189,0.0184738,56.14,1.17931
2025-02-12,151.357,96.4054,5.01964,4.56856,0.0243249,54.9518,1.17931
2025-02-13,152.315,97.7386,5.02595,4.5823,0.0306215,54.5762,1.17931
2025-02-14,153.471,96.6325,5.03351,4.57092,0.0103245,56.8382,1.17931
2025-02-18,154.281,97.4127,5.03877,4.57896,0.0121567,56.8681,1.17931
2025-02-19,155.338,97.9657,5.0456,4.58462,0.00976486,57.3722,1.17931
2025-02-20,156.879,97.4028,5.05548,4.57885,-0.00764085,59.4764,1.17931
2025-02-21,155.032,96.8794,5.04363,4.57347,0.000941623,58.1523,1.17931
2025-02-24,155.99,96.8991,5.04979,4.57367,-0.00612191,59.0909,1.17931
2025-02-25,154.538,94.5784,5.04044,4.54943,-0.0193326,59.9593,1.17931
2025-02-26,153.273,94.5685,5.03222,4.54932,-0.00974689,58.7046,1.17931
2025-02-27,154.785,95.4375,5.04203,4.55847,-0.0121726,59.3471,1.17931
2025-02-28,156.711,99.1409,5.0544,4.59654,0.0113095,57.5703,1.17931
2025-03-03,151.248,95.5561,5.01892,4.55971,0.0163291,55.6917,1.17931
2025-03-04,150.171,92.623,5.01177,4.52854,-0.0064198,57.5479,1.17931
2025-03-05,148.995,90.7269,5.00391,4.50785,-0.0178344,58.2683,1.17931
2025-03-06,151.109,88.6234,5.018,4.4844,-0.0579092,62.486,1.17931
2025-03-07,154.459,88.4555,5.03993,4.4825,-0.0856582,66.0031,1.17931
2025-03-10,155.674,90.2825,5.04776,4.50294,-0.0744564,65.3913,1.17931
2025-03-11,152.226,91.4676,5.02537,4.51598,-0.0350015,60.7583,1.17931
2025-03-12,150.833,91.8132,5.01617,4.51976,-0.020388,59.0196,1.17931
2025-03-13,151.761,92.3366,5.02231,4.52544,-0.0219423,59.4249,1.17931
2025-03-14,155.13,95.2302,5.04427,4.5563,-0.0169797,59.9003,1.17931
2025-03-17,156.81,97.2152,5.05503,4.57693,-0.00904908,59.5948,1.17931
2025-03-18,158.875,96.7905,5.06812,4.57255,-0.0288545,62.0843,1.17931
2025-03-19,162.076,98.8051,5.08806,4.59315,-0.0317785,63.2707,1.17931
2025-03-20,162.787,99.3977,5.09244,4.59913,-0.0309641,63.3895,1.17931
2025-03-21,162.767,98.104,5.09232,4.58603,-0.0439217,64.6635,1.17931
2025-03-24,163.034,101.027,5.09396,4.61539,-0.0164915,62.0071,1.17931
2025-03-25,163.943,101.106,5.09952,4.61617,-0.0222663,62.837,1.17931
2025-03-26,165.949,100,5.11168,4.60517,-0.0476055,65.9486,1.17931
2025-03-27,164.645,97.4522,5.10379,4.57936,-0.0641104,67.1924,1.17931
2025-03-28,164.091,97.2547,5.10042,4.57733,-0.0621697,66.8367,1.17931
2025-03-31,165.277,97.9855,5.10762,4.58482,-0.0631734,67.2914,1.17931
2025-04-01,166.482,98.262,5.11489,4.58764,-0.0689246,68.2202,1.17931
2025-04-02,164.467,99.1211,5.10271,4.59634,-0.0458549,65.3456,1.17931
2025-04-03,154.241,91.5466,5.03852,4.51685,-0.0496496,62.6947,1.17931
2025-04-04,141.556,79.8539,4.95269,4.3802,-0.0850853,61.7019,1.17931
2025-04-07,138.463,79.9033,4.93061,4.38082,-0.0584189,58.5602,1.17931
2025-04-08,135.282,77.7306,4.90736,4.35325,-0.058575,57.5516,1.17931
2025-04-09,144.273,83.8041,4.97171,4.42848,-0.059222,60.4686,1.17931
2025-04-10,133.356,80.2292,4.89302,4.38489,-0.0100224,53.1265,1.17931
2025-04-11,133.998,81.5327,4.89782,4.401,0.000429725,52.4651,1.17931
2025-04-14,133.692,82.3425,4.89554,4.41089,0.0130114,51.3491,1.17931
2025-04-15,132.921,83.1128,4.88975,4.4202,0.0291402,49.8081,1.17931
2025-04-16,133.731,83.7449,4.89583,4.42777,0.0295501,49.9862,1.17931
2025-04-17,136.211,85.1571,4.9142,4.4445,0.0246048,51.0538,1.17931
2025-04-21,132.121,80.8019,4.88372,4.392,0.00806361,51.3188,1.17931
2025-04-22,135.648,83.0042,4.91006,4.41889,0.00388427,52.6436,1.17931
2025-04-23,135.035,83.6066,4.90554,4.42612,0.0164532,51.4286,1.17931
2025-04-24,137.396,85.2065,4.92287,4.44508,0.0149642,52.19,1.17931
2025-04-25,137.061,85.2361,4.92042,4.44542,0.0181987,51.8245,1.17931
2025-04-28,138.414,86.7767,4.93025,4.46334,0.0245227,51.6374,1.17931
2025-04-29,137.624,86.7668,4.92452,4.46322,0.0311623,50.8569,1.17931
2025-04-30,134.423,81.1377,4.90099,4.39615,-0.00815988,53.285,1.17931
2025-05-01,134.62,79.923,4.90246,4.38106,-0.0249761,54.6973,1.17931
2025-05-02,136.833,81.75,4.91876,4.40367,-0.0216036,55.0833,1.17931
2025-05-05,133.869,80.15,4.89686,4.3839,-0.0155441,53.7194,1.17931
2025-05-06,133.968,79.29,4.8976,4.37311,-0.0272021,54.6782,1.17931
2025-05-07,134.156,80.25,4.899,4.38515,-0.0168185,53.9059,1.17931
2025-05-08,135.391,82.25,4.90817,4.40976,-0.00300817,53.1409,1.17931
2025-05-09,136.823,82.3,4.91869,4.41037,-0.0148132,54.5235,1.17931
2025-05-12,139.916,85.04,4.94104,4.44312,-0.00841919,54.8758,1.17931
2025-05-13,140.637,86.51,4.94618,4.46026,0.00265574,54.127,1.17931
2025-05-14,139.965,86.61,4.94139,4.46142,0.00945798,53.3552,1.17931
2025-05-15,140.548,86.03,4.94555,4.4547,-0.0021623,54.5181,1.17931
2025-05-16,140.39,85.67,4.94442,4.4505,-0.00502875,54.72,1.17931
2025-05-19,138.49,84.73,4.9308,4.43947,7.87927e-06,53.76,1.17931
2025-05-20,137.27,83.71,4.92195,4.42736,-0.0016685,53.56,1.17931
2025-05-21,135.56,81.83,4.90941,4.40464,-0.00959974,53.73,1.17931
2025-05-22,135.29,81.37,4.90742,4.39901,-0.0128857,53.92,1.17931
2025-05-23,136.54,81.14,4.91662,4.39618,-0.0265625,55.4,1.17931
2025-05-27,137.83,81.74,4.92602,4.40354,-0.0302847,56.09,1.17931
2025-05-28,136.02,80.59,4.9128,4.38937,-0.0288642,55.43,1.17931
2025-05-29,137.91,80.68,4.9266,4.39049,-0.0440218,57.23,1.17931
2025-05-30,136.7,80.84,4.91779,4.39247,-0.0316479,55.86,1.17931
2025-06-02,137.84,82.51,4.92609,4.41292,-0.0209942,55.33,1.17931
2025-06-03,139.55,83.24,4.93842,4.42173,-0.026726,56.31,1.17931
2025-06-04,137.37,80.52,4.92268,4.38851,-0.0413801,56.85,1.17931
2025-06-05,136.9,81.19,4.91925,4.39679,-0.0290517,55.71,1.17931
2025-06-06,140.21,81.72,4.94314,4.4033,-0.0507196,58.49,1.17931
2025-06-09,140.76,81.12,4.94706,4.39593,-0.0627057,59.64,1.17931
2025-06-10,143.35,81.72,4.96529,4.4033,-0.0768388,61.63,1.17931
2025-06-11,144.78,82.9,4.97522,4.41764,-0.0742085,61.88,1.17931
2025-06-12,144.97,82.65,4.97653,4.41461,-0.0787754,62.32,1.17931
2025-06-13,145.91,83.75,4.98299,4.42784,-0.0731762,62.16,1.17931
