Date,DVN Raw Price,RRC Raw Price,DVN Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,32.9309,35.8827,3.49441,3.58026,-0.0399757,2.95177,0.591888
2025-01-03,33.4535,35.7434,3.51016,3.57636,-0.0531852,2.28987,0.591888
2025-01-06,33.276,36.6392,3.50484,3.60112,-0.025283,3.36317,0.591888
2025-01-07,34.2028,36.6093,3.53231,3.6003,-0.0423582,2.40651,0.591888
2025-01-08,34.6564,37.3459,3.54548,3.62022,-0.0302353,2.68954,0.591888
2025-01-10,35.4846,37.9929,3.5691,3.6374,-0.0270379,2.50832,0.591888
2025-01-13,36.2536,38.3114,3.59054,3.64575,-0.0313799,2.05779,0.591888
2025-01-14,36.6578,39.4361,3.60163,3.67468,-0.00900769,2.7783,0.591888
2025-01-15,37.8903,40.1429,3.63469,3.69244,-0.0108183,2.25256,0.591888
2025-01-16,37.8804,41.0984,3.63443,3.71597,0.0128605,3.21797,0.591888
2025-01-17,37.417,40.8794,3.62213,3.71063,0.0148034,3.46239,0.591888
2025-01-21,36.2142,40.7799,3.58945,3.70819,0.0317059,4.56572,0.591888
2025-01-22,35.948,40.8097,3.58207,3.70892,0.0368048,4.86179,0.591888
2025-01-23,35.9381,40.3718,3.5818,3.69813,0.0261775,4.43369,0.591888
2025-01-24,35.455,39.9836,3.56826,3.68847,0.0245263,4.52861,0.591888
2025-01-27,34.8338,37.0971,3.55059,3.61354,-0.0399439,2.26323,0.591888
2025-01-28,34.3901,37.2264,3.53777,3.61702,-0.0288746,2.8363,0.591888
2025-01-29,34.5775,37.4156,3.5432,3.62209,-0.0270227,2.83809,0.591888
2025-01-30,34.5578,37.3957,3.54263,3.62155,-0.0272172,2.8379,0.591888
2025-01-31,33.6211,36.8681,3.51515,3.60735,-0.0251606,3.24702,0.591888
2025-02-03,33.276,37.2663,3.50484,3.61809,-0.00831292,3.99025,0.591888
2025-02-04,33.9366,37.5649,3.52449,3.62607,-0.0119669,3.62827,0.591888
2025-02-05,33.6605,38.7593,3.51633,3.65737,0.024169,5.09876,0.591888
2025-02-06,32.9506,37.4554,3.49501,3.62315,0.00256487,4.50473,0.591888
2025-02-07,32.6844,37.0771,3.4869,3.613,-0.00278355,4.3927,0.591888
2025-02-10,33.7789,39.5257,3.51983,3.67695,0.0416732,5.74687,0.591888
2025-02-11,34.6268,39.3864,3.54463,3.67342,0.0234672,4.7596,0.591888
2025-02-12,33.4929,38.3014,3.51133,3.64549,0.0152404,4.80851,0.591888
2025-02-13,33.7394,38.6199,3.51867,3.65377,0.0191819,4.88054,0.591888
2025-02-14,34.1535,38.4906,3.53087,3.65041,0.00860544,4.33704,0.591888
2025-02-18,34.3901,38.7394,3.53777,3.65686,0.0109629,4.34925,0.591888
2025-02-19,37.0424,39.7148,3.61206,3.68173,-0.0081417,2.67248,0.591888
2025-02-20,38.0086,39.4859,3.63781,3.67594,-0.029164,1.47731,0.591888
2025-02-21,36.9635,38.3014,3.60993,3.64549,-0.0431177,1.33794,0.591888
2025-02-24,36.786,37.8137,3.60512,3.63267,-0.0530848,1.02769,0.591888
2025-02-25,35.3761,37.326,3.56604,3.61969,-0.0429349,1.94988,0.591888
2025-02-26,34.962,38.3711,3.55426,3.6473,-0.00835037,3.40911,0.591888
2025-02-27,35.3761,36.2311,3.56604,3.58992,-0.072707,0.854988,0.591888
2025-02-28,35.7113,36.9477,3.57547,3.6095,-0.0587023,1.23642,0.591888
2025-03-03,33.9267,36.6292,3.5242,3.60085,-0.0370177,2.70248,0.591888
2025-03-04,33.769,37.6843,3.51954,3.62924,-0.00586186,3.91532,0.591888
2025-03-05,33.1873,37.3558,3.50217,3.62049,-0.0043315,4.16856,0.591888
2025-03-06,33.3943,35.2158,3.50839,3.5615,-0.0670066,1.82149,0.591888
2025-03-07,34.2225,35.0566,3.53288,3.55696,-0.0860394,0.83403,0.591888
2025-03-10,33.7296,36.2908,3.51837,3.59156,-0.0428495,2.56125,0.591888
2025-03-11,33.9267,37.2762,3.5242,3.61836,-0.0195087,3.34947,0.591888
2025-03-12,34.262,37.4255,3.53404,3.62235,-0.0213312,3.16355,0.591888
2025-03-13,33.3155,37.2862,3.50602,3.61862,-0.00848004,3.97071,0.591888
2025-03-14,34.3085,38.234,3.53539,3.64373,-0.000760412,3.92558,0.591888
2025-03-17,34.8645,38.8826,3.55147,3.66055,0.00654314,4.01803,0.591888
2025-03-18,35.1227,39.5511,3.55885,3.67759,0.0192227,4.42834,0.591888
2025-03-19,35.798,40.4191,3.57789,3.6993,0.0296617,4.62115,0.591888
2025-03-20,35.8774,40.1797,3.58011,3.69336,0.0224076,4.30225,0.591888
2025-03-21,35.8973,39.7905,3.58066,3.68363,0.0123482,3.89326,0.591888
2025-03-24,36.7016,40.5788,3.60282,3.70324,0.018848,3.87715,0.591888
2025-03-25,36.7115,40.05,3.60309,3.69013,0.00557061,3.33841,0.591888
2025-03-26,37.208,39.7506,3.61653,3.68263,-0.00988258,2.54258,0.591888
2025-03-27,36.6222,38.703,3.60065,3.65592,-0.0271976,2.08081,0.591888
2025-03-28,36.503,39.1021,3.59739,3.66618,-0.0150094,2.59908,0.591888
2025-03-31,37.1385,39.8404,3.61466,3.68488,-0.0065193,2.70189,0.591888
2025-04-01,37.3074,40.1298,3.61919,3.69212,-0.00196717,2.82243,0.591888
2025-04-02,37.6549,40.5189,3.62846,3.70177,0.00219439,2.864,0.591888
2025-04-03,32.9282,37.9846,3.49433,3.63718,0.016999,5.05642,0.591888
2025-04-04,29.1051,33.375,3.37091,3.50781,-0.0393275,4.26987,0.591888
2025-04-07,28.41,33.4348,3.34674,3.5096,-0.0232281,5.02484,0.591888
2025-04-08,26.6126,32.028,3.28139,3.46661,-0.0275334,5.41535,0.591888
2025-04-09,30.8528,34.4825,3.42923,3.54045,-0.0411976,3.62968,0.591888
2025-04-10,27.556,32.1777,3.31622,3.47127,-0.0434892,4.62165,0.591888
2025-04-11,28.0326,33.3151,3.33337,3.50601,-0.0189013,5.28245,0.591888
2025-04-14,28.5291,33.3849,3.35093,3.5081,-0.0271987,4.85579,0.591888
2025-04-15,28.3305,33.2652,3.34394,3.50451,-0.0266567,4.93466,0.591888
2025-04-16,29.0952,34.0235,3.37057,3.52705,-0.01988,4.92834,0.591888
2025-04-17,30.0981,34.1033,3.40446,3.52939,-0.0375958,4.00522,0.591888
2025-04-21,29.2739,32.5468,3.3767,3.48268,-0.0678769,3.27291,0.591888
2025-04-22,30.9819,33.2153,3.4334,3.50301,-0.081109,2.23344,0.591888
2025-04-23,30.8627,33.9736,3.42955,3.52558,-0.0562552,3.11089,0.591888
2025-04-24,31.25,33.784,3.44202,3.51999,-0.0692317,2.53405,0.591888
2025-04-25,31.1308,34.712,3.4382,3.54708,-0.0398748,3.58112,0.591888
2025-04-28,31.3294,35.1709,3.44456,3.56022,-0.0305032,3.84149,0.591888
2025-04-29,31.0812,35.0213,3.4366,3.55596,-0.030059,3.94008,0.591888
2025-04-30,30.1974,33.8539,3.40776,3.52205,-0.0468865,3.65648,0.591888
2025-05-01,30.9422,34.1432,3.43212,3.53056,-0.0527963,3.20108,0.591888
2025-05-02,31.2202,34.9315,3.44107,3.55339,-0.0352679,3.71126,0.591888
2025-05-05,30.4059,34.9814,3.41464,3.55482,-0.0181984,4.57542,0.591888
2025-05-06,30.3761,34.9514,3.41366,3.55396,-0.0184744,4.57527,0.591888
2025-05-07,30.0782,35.7396,3.4038,3.57626,0.00966056,5.6614,0.591888
2025-05-08,31.7068,36.6476,3.45653,3.60135,0.00353864,4.94082,0.591888
2025-05-09,32.3026,37.7751,3.47515,3.63165,0.022821,5.47249,0.591888
2025-05-12,33.3155,38.9125,3.50602,3.66132,0.0342135,5.59706,0.591888
2025-05-13,34.0503,40.5289,3.52784,3.70201,0.0619992,6.4786,0.591888
2025-05-14,33.7226,40.3293,3.51817,3.69708,0.0627871,6.60674,0.591888
2025-05-15,33.1665,40.2096,3.50154,3.69411,0.0696554,7.04309,0.591888
2025-05-16,33.0275,40.03,3.49734,3.68963,0.0676652,7.00252,0.591888
2025-05-19,32.4615,39.3415,3.48005,3.67228,0.0605488,6.88008,0.591888
2025-05-20,31.9451,39.6309,3.46402,3.67961,0.0773675,7.6858,0.591888
2025-05-21,31.2798,39.2318,3.44297,3.66949,0.0797032,7.95201,0.591888
2025-05-22,30.9223,39.3216,3.43148,3.67177,0.0887929,8.39929,0.591888
2025-05-23,30.9422,39.4613,3.43212,3.67532,0.091959,8.51912,0.591888
2025-05-27,31.1308,39.7207,3.4382,3.68187,0.0949134,8.58986,0.591888
2025-05-28,30.6443,39.2518,3.42245,3.67,0.0923613,8.60749,0.591888
2025-05-29,30.8925,39.122,3.43051,3.66669,0.0842756,8.22953,0.591888
2025-05-30,30.0485,37.9547,3.40281,3.63639,0.0703789,7.90621,0.591888
2025-06-02,30.9223,38.8327,3.43148,3.65926,0.0762816,7.91039,0.591888
