Date,XOM Raw Price,OKE Raw Price,XOM Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,105.388,99.4384,4.65765,4.59954,0.122213,5.94963,1.5654
2025-01-03,105.928,100.542,4.66276,4.61058,0.125252,5.38567,1.5654
2025-01-06,105.81,99.2918,4.66165,4.59806,0.114478,6.51849,1.5654
2025-01-07,106.802,99.282,4.67098,4.59796,0.0997725,7.52018,1.5654
2025-01-08,105.015,100.494,4.6541,4.61009,0.138322,4.52118,1.5654
2025-01-10,104.632,99.4188,4.65045,4.59934,0.133289,5.21297,1.5654
2025-01-13,107.333,101.598,4.67593,4.62102,0.115075,5.7348,1.5654
2025-01-14,107.755,103.611,4.67986,4.64064,0.128546,4.1443,1.5654
2025-01-15,109.513,104.431,4.69604,4.64853,0.111104,5.08149,1.5654
2025-01-16,109.326,106.171,4.69434,4.66505,0.130291,3.15565,1.5654
2025-01-17,110.308,106.464,4.70328,4.6678,0.119049,3.84463,1.5654
2025-01-21,109.474,107.333,4.69568,4.67594,0.139075,2.14024,1.5654
2025-01-22,107.568,103.865,4.67813,4.64309,0.133708,3.70364,1.5654
2025-01-23,108.177,102.487,4.68377,4.62973,0.111519,5.69025,1.5654
2025-01-24,106.714,102.135,4.67015,4.6263,0.129401,4.57868,1.5654
2025-01-27,108.197,98.1486,4.68395,4.58648,0.0679828,10.0482,1.5654
2025-01-28,106.105,98.2952,4.66443,4.58798,0.100037,7.80975,1.5654
2025-01-29,106.724,98.0802,4.67024,4.58579,0.0887456,8.64343,1.5654
2025-01-30,107.608,97.5819,4.67849,4.58069,0.0707408,10.0256,1.5654
2025-01-31,104.917,94.9438,4.65317,4.55328,0.082977,9.97284,1.5654
2025-02-03,105.172,96.4152,4.6556,4.56866,0.0945512,8.75672,1.5654
2025-02-04,107.991,95.8128,4.68204,4.5624,0.0468832,12.1777,1.5654
2025-02-05,107.912,96.6917,4.68132,4.57153,0.0571541,11.2202,1.5654
2025-02-06,106.488,94.6278,4.66803,4.54995,0.0563718,11.8602,1.5654
2025-02-07,106.94,94.6179,4.67227,4.54985,0.0496403,12.3218,1.5654
2025-02-10,108.982,97.462,4.69119,4.57946,0.0496368,11.5204,1.5654
2025-02-11,109.67,97.6991,4.69748,4.58189,0.0422222,11.9709,1.5654
2025-02-12,106.37,96.4054,4.66693,4.56856,0.076713,9.96495,1.5654
2025-02-13,107.143,97.7386,4.67417,4.5823,0.0791144,9.40463,1.5654
2025-02-14,107.252,96.6325,4.67518,4.57092,0.0661415,10.6197,1.5654
2025-02-18,109.135,97.4127,4.69258,4.57896,0.0469426,11.7222,1.5654
2025-02-19,109.293,97.9657,4.69404,4.58462,0.0503314,11.3277,1.5654
2025-02-20,110.978,97.4028,4.70933,4.57885,0.0206261,13.5751,1.5654
2025-02-21,109.68,96.8794,4.69757,4.57347,0.0336555,12.8005,1.5654
2025-02-24,110.255,96.8991,4.70279,4.57367,0.0256784,13.3554,1.5654
2025-02-25,108.729,94.5784,4.68885,4.54943,0.0232534,14.1502,1.5654
2025-02-26,108.461,94.5685,4.68639,4.54932,0.0270056,13.8926,1.5654
2025-02-27,109.145,95.4375,4.69268,4.55847,0.0263163,13.7072,1.5654
2025-02-28,110.314,99.1409,4.70333,4.59654,0.0477058,11.1731,1.5654
2025-03-03,106.777,95.5561,4.67074,4.55971,0.0618969,11.2205,1.5654
2025-03-04,106.559,92.623,4.66869,4.52854,0.0339206,13.9356,1.5654
2025-03-05,104.478,90.7269,4.64897,4.50785,0.044108,13.7508,1.5654
2025-03-06,106.638,88.6234,4.66944,4.4844,-0.0113852,18.0145,1.5654
2025-03-07,108.025,88.4555,4.68236,4.4825,-0.0335137,19.5695,1.5654
2025-03-10,110.78,90.2825,4.70754,4.50294,-0.0524873,20.4972,1.5654
2025-03-11,108.164,91.4676,4.68365,4.51598,-0.0020382,16.6962,1.5654
2025-03-12,108.134,91.8132,4.68337,4.51976,0.00216396,16.3208,1.5654
2025-03-13,107.678,92.3366,4.67915,4.52544,0.0144609,15.3416,1.5654
2025-03-14,110.879,95.2302,4.70844,4.5563,-0.000533657,15.6486,1.5654
2025-03-17,112.722,97.2152,4.72492,4.57693,-0.00571011,15.5067,1.5654
2025-03-18,112.603,96.7905,4.72387,4.57255,-0.0084356,15.8124,1.5654
2025-03-19,114.357,98.8051,4.73932,4.59315,-0.0120292,15.5516,1.5654
2025-03-20,114.842,99.3977,4.74356,4.59913,-0.0126823,15.4446,1.5654
2025-03-21,114.446,98.104,4.7401,4.58603,-0.0203712,16.342,1.5654
2025-03-24,114.743,101.027,4.7427,4.61539,0.00492948,13.7161,1.5654
2025-03-25,115.526,101.106,4.7495,4.61617,-0.00493183,14.4199,1.5654
2025-03-26,117.191,100,4.7638,4.60517,-0.0383274,17.1906,1.5654
2025-03-27,116.814,97.4522,4.76058,4.57936,-0.0590989,19.362,1.5654
2025-03-28,116.656,97.2547,4.75923,4.57733,-0.0590018,19.4009,1.5654
2025-03-31,117.845,97.9855,4.76937,4.58482,-0.0673906,19.8592,1.5654
2025-04-01,117.954,98.262,4.77029,4.58764,-0.0660199,19.6917,1.5654
2025-04-02,117.587,99.1211,4.76718,4.59634,-0.0524409,18.4659,1.5654
2025-04-03,111.404,91.5466,4.71316,4.51685,-0.0473795,19.8574,1.5654
2025-04-04,103.388,79.8539,4.63849,4.3802,-0.0671305,23.5339,1.5654
2025-04-07,102.001,79.9033,4.62498,4.38082,-0.045366,22.0973,1.5654
2025-04-08,99.8504,77.7306,4.60367,4.35325,-0.0395813,22.1197,1.5654
2025-04-09,104.834,83.8041,4.65238,4.42848,-0.0405993,21.0303,1.5654
2025-04-10,99.018,80.2292,4.5953,4.38489,0.00515972,18.7889,1.5654
2025-04-11,102.199,81.5327,4.62692,4.401,-0.0282166,20.666,1.5654
2025-04-14,102.446,82.3425,4.62934,4.41089,-0.0221232,20.1039,1.5654
2025-04-15,102.159,83.1128,4.62653,4.4202,-0.00841486,19.0463,1.5654
2025-04-16,103.239,83.7449,4.63705,4.42777,-0.0173021,19.4943,1.5654
2025-04-17,105.944,85.1571,4.66291,4.4445,-0.0410682,20.7871,1.5654
2025-04-21,104.389,80.8019,4.64812,4.392,-0.070408,23.5866,1.5654
2025-04-22,107.312,83.0042,4.67574,4.41889,-0.0867498,24.3074,1.5654
2025-04-23,106.39,83.6066,4.66711,4.42612,-0.0660178,22.7835,1.5654
2025-04-24,107.639,85.2065,4.67878,4.44508,-0.0653265,22.4322,1.5654
2025-04-25,107.579,85.2361,4.67823,4.44542,-0.064114,22.3431,1.5654
2025-04-28,107.639,86.7767,4.67878,4.46334,-0.0470658,20.862,1.5654
2025-04-29,107.371,86.7668,4.67629,4.46322,-0.043284,20.6043,1.5654
2025-04-30,104.666,81.1377,4.65077,4.39615,-0.0704163,23.5283,1.5654
2025-05-01,104.815,79.923,4.65219,4.38106,-0.0877216,24.8916,1.5654
2025-05-02,105.241,81.75,4.65625,4.40367,-0.0714703,23.4907,1.5654
2025-05-05,102.328,80.15,4.62818,4.3839,-0.0472932,22.1775,1.5654
2025-05-06,103.754,79.29,4.64203,4.37311,-0.0797583,24.4644,1.5654
2025-05-07,103.655,80.25,4.64107,4.38515,-0.0662279,23.4053,1.5654
2025-05-08,105.102,82.25,4.65493,4.40976,-0.0633079,22.852,1.5654
2025-05-09,106.331,82.3,4.66655,4.41037,-0.0808942,24.0307,1.5654
2025-05-12,108.164,85.04,4.68365,4.44312,-0.0749009,23.1238,1.5654
2025-05-13,108.461,86.51,4.68639,4.46026,-0.0620588,21.951,1.5654
2025-05-14,107.49,86.61,4.6774,4.46142,-0.0468253,20.88,1.5654
2025-05-15,108.58,86.03,4.68749,4.4547,-0.0693386,22.55,1.5654
2025-05-16,108.19,85.67,4.68389,4.4505,-0.0678992,22.52,1.5654
2025-05-19,106.47,84.73,4.66786,4.43947,-0.0538454,21.74,1.5654
2025-05-20,104.95,83.71,4.65348,4.42736,-0.0434474,21.24,1.5654
2025-05-21,103.66,81.83,4.64112,4.40464,-0.0468015,21.83,1.5654
2025-05-22,102.97,81.37,4.63444,4.39901,-0.041984,21.6,1.5654
2025-05-23,103.03,81.14,4.63502,4.39618,-0.0457265,21.89,1.5654
2025-05-27,103.52,81.74,4.63976,4.40354,-0.0457863,21.78,1.5654
2025-05-28,102.11,80.59,4.62605,4.38937,-0.038487,21.52,1.5654
2025-05-29,102.69,80.68,4.63171,4.39049,-0.0462375,22.01,1.5654
2025-05-30,102.3,80.84,4.62791,4.39247,-0.0382999,21.46,1.5654
2025-06-02,103.05,82.51,4.63521,4.41292,-0.0292869,20.54,1.5654
2025-06-03,103.8,83.24,4.64247,4.42173,-0.0318302,20.56,1.5654
2025-06-04,102.3,80.52,4.62791,4.38851,-0.0422662,21.78,1.5654
2025-06-05,101.83,81.19,4.6233,4.39679,-0.026771,20.64,1.5654
2025-06-06,104.27,81.72,4.64698,4.4033,-0.0573314,22.55,1.5654
2025-06-09,104.97,81.12,4.65367,4.39593,-0.0751746,23.85,1.5654
2025-06-10,107.22,81.72,4.67488,4.4033,-0.101005,25.5,1.5654
2025-06-11,109.31,82.9,4.69419,4.41764,-0.116889,26.41,1.5654
2025-06-12,109.73,82.65,4.69802,4.41461,-0.125912,27.08,1.5654
2025-06-13,112.12,83.75,4.71957,4.42784,-0.146421,28.37,1.5654
